denumire,cui,localitate,judet,website,telefon,adresa,caen,acoperire,an_infiintare,programe,sursa,email
South Design IT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0724710658,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC Facil Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0790243333,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 1; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007,madr_consultanti,
UNO CONSULE S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740386125,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC ESTIMAMVALORI SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0362405720,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC Bio Green Power Solutions SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0731101030,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
ADYDEN CONSULT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722757530,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,ADYDEN CONSULT SRL - Portalul ; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0430 / 10; PNDR 2014-2020 / 0720 / 4; PNDR 2014-2020 / 1710 / 30; Pro,madr_consultanti,
APIFOND MANAGEMENT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740023677,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,APIFOND MANAGEMENT SRL - Porta; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0630 / 28; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formu,madr_consultanti,
ENA Business Consulting,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0733295000,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; ENA Business Consulting - Port; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M122 / 0; PNDR 2007-2013 / M312 / 1; Proce,madr_consultanti,
ABI EUROPROIECT S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0764537210,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,ABI EUROPROIECT S.R.L. - Porta; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 0; PNDR 2007-2013 / M121 / 0; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
EGM Software Technology,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0755631065,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; EGM Software Technology - Port; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
Svetlana Cercetare și Consultanta,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0756320446,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC EDIL DANCO SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0724921497,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M322 / 0; PNDR 2014-2020 / 0430 / 0; PNDR 2014-2020 / 0720 / 0; Proceduri PNDR 2020; Proceduri PS 202,madr_consultanti,
Jurj I Crinel Teofil II,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740679156,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; Jurj I Crinel Teofil II - Port; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0610 / 0; PNDR 2014-2020 / 0630 / 0; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
PROIECT EXPERT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0766355733,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M141 / 0; PNDR 2007-2013 / M142 / 0; PROIECT EXPERT SRL - Portalul ; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
OUTLINE MANAGEMENT S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0767308340,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; OUTLINE MANAGEMENT S.R.L. - Po; PNDR; PNDR 2007-2013 / M123 / 0; PNDR 2007-2013 / M313 / 0; PNDR 2007-2013 / M41 / 0; PNDR 2,madr_consultanti,
MARBO PROJECT CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722800313,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; MARBO PROJECT CONSULTING SRL -; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M121 / 0; PNDR 2007-2013 / M141 / 0; PNDR 2007-2013 / M312 / 0; PNDR ,madr_consultanti,
GALEX CONSULTING 99 SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744300969,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; GALEX CONSULTING 99 SRL - Port; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
Eurofin Expert Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0746797977,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Eurofin Expert Consulting SRL ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0640 / 8; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formul,madr_consultanti,
OPTIMPLUS FINANCIAR SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740959000,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; OPTIMPLUS FINANCIAR SRL - Port; PNDR; PNDR 2014-2020 / 0410 / 75; PNDR 2014-2020 / 0420 / 2; PNDR 2014-2020 / 0610 / 15; PND,madr_consultanti,
FABRICA FONDURILOR STRUCTURALE SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744292765,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; FABRICA FONDURILOR STRUCTURALE; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 3; PNDR 2007-2013 / M41 / 5; PNDR 2014-2020 / 041A / 3; Proced,madr_consultanti,
NUTRIHEALTH SCIENCE S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0723063931,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; NUTRIHEALTH SCIENCE S.R.L. - P; PNDR; PNDR 2014-2020 / 0760 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formul,madr_consultanti,
Buisiness Agro Enterprise,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0742076043,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Buisiness Agro Enterprise - Po; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
BUSINESS DEVELOPING GROUP SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0760241230,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; BUSINESS DEVELOPING GROUP SRL ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
PEONY TOP CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0746352362,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PEONY TOP CONSULTING - Portalu; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
SOFCONS ENGINEERING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0332802128,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
SC NETT COM SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740021357,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / sM 19.2 / 1; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2,madr_consultanti,
S.C. Mihluc S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0728939313,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0720 / 2; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007,madr_consultanti,
GIM OFFICE CONSULTING,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722760006,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; GIM OFFICE CONSULTING - Portal; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formul,madr_consultanti,
3P Consulting&Projects Srl,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0234570777,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,3P Consulting&Projects Srl - P; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0720 / 2; PNDR 2014-2020 / 0760 / 2; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
FABRICA DE CONSULTANTA LIRA SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0731536459,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; FABRICA DE CONSULTANTA LIRA SR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 18; PNDR 2014-2020 / 041A / 3; PNDR 2014-2020 / 0420 / 2; PNDR,madr_consultanti,
Advice&Consulting srl,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0510285231,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; Advice&Consulting srl - Portal; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 1; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formul,madr_consultanti,
Strateg ID SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0769094999,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 041A / 0; PNDR 2014-2020 / 0420 / 0; PNDR 2014-2020 / 042A / 0; PNDR 2014-,madr_consultanti,
SC YLACONSULT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0742507525,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 0610 / 0; PNDR 2014-2020 / 0630 / 0; PNDR 2014-2020 / 0640 / 0; Proceduri ,madr_consultanti,
CISA Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744870210,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; CISA Consulting SRL - Portalul; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 0; PNDR 2007-2013 / M121 / 2; PNDR 2014-2020 / 041A / 0; PNDR ,madr_consultanti,
ELASAL EXPERT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0755780934,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; ELASAL EXPERT SRL - Portalul A; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
Rigas Management SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0768420361,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
ARPAȘ ANA - MARIA - IULIA ÎNTREPRINDERE INDIVIDUALĂ,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0766946035,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,ARPAȘ ANA - MARIA - IULIA ÎNTR; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
Aang Athena Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0787897306,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Aang Athena Consulting SRL - P; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 0; PNDR 2014-2020 / sM 5.1 Privat; Proceduri PNDR 2020; Proced,madr_consultanti,
FOUR BUSINESS SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0727862258,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; FOUR BUSINESS SRL - Portalul A; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
PROTEUS NORD CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744931880,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 8; PNDR 2014-2020 / 0610 / 20; PNDR 2014-2020 / 0620 / 40; PNDR 2014-2020 / 0630 / 7; PNDR 201,madr_consultanti,
RESOURCE EVOLUTION DEVELOPMENT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0040251481,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; RESOURCE EVOLUTION ,madr_consultanti,
GRANTOR SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0762407201,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; GRANTOR SRL - Portalul AFIR - ; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / Submăsura 4.1; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și F,madr_consultanti,
S.C. PAVILION INTERMED S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
Renea Vision Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722418875,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / M420 / 0; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Renea Vision Consul,madr_consultanti,
S.C. Y-PROJECT S.R.L.,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0743453776,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0650 / 1; PNDR 2014-2020 / 0720 / 1; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare P,madr_consultanti,
ALLIED CAPITAL DEVELOPMENT MGROUP SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,021162130,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,ALLIED CAPITAL DEVELOPMENT MGR; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
S.C.JULY EXPERT CONSULTING S.R.L,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0766369848,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M322 / 5; PNDR 2014-2020 / sM 19.2 / 3; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formular,madr_consultanti,
SISBIT EXPERT SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0740028774,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
RSA CONSULTING CENTER,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0727246056,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0430 / 0; PNDR 2014-2020 / Submăsura 4.1; PNDR 2014-2020 / Submăsura 4.3; Proceduri PNDR 2020; Proced,madr_consultanti,
