Company Name (EN),Company Name (GR),Country (EN),Country (GR),Pavilion,Stand,Street,Number,City,Postal Code,Region,Email,Phone,Website,Products (EN),Products (GR),Exhibition Code
GILLENKIRCH GMBH,GILLENKIRCH GMBH,Germany,Γερμανία,PAVILION 15 GROUND FLOOR,C03,,,,,,info@gillenkirch.com,,,,,49-FRE-2025
GILLENKIRCH GMBH,GILLENKIRCH GMBH,Germany,Γερμανία,,,,,,,,info@gillenkirch.com,,,,,49-FRE-2025
GIONTIS PC,GIONTIS IKE,Greece,Ελλάδα,PAVILION 13,C10,Seremes,,Edessa,58200,Pella,info@giontis.gr,+30 6936802629,www.giontis.gr,"Apricot, Cherry, Kiwi, Mandarin, Nectarine, Orange, Peach, Peach ufo, Plum, Trade of fresh fruit","Ακτινίδιο, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων φρούτων, Κεράσι, Μανταρίνι, Νεκταρίνι, Πορτοκάλι, Ροδάκινο, Ροδάκινο ufo",49-FRE-2025
GLF  FRUIT,GLF FRUIT,Greece,Ελλάδα,PAVILION 13,B07,Macrychori,,Larissa,40006,Larissa,info@glffruit.gr,+306948784597,www.glffruit.gr,"FRESH FRUITS &amp; VEGETABLES, Lemons, Orange, Watermelon","Καρπούζι, Λεμόνια, Πορτοκάλι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
GOLDEN GAIA BY TSIMPLIDIS NIKOLAOS,GOLDEN GAIA -ΤΣΙΜΠΛΙΔΗΣ ΝΙΚΟΛΑΟΣ,Greece,Ελλάδα,PAVILION 13,B03,Central Market of Thessaloniki,Γ-5,Thessaloniki,54628,Thessaloniki,info@golden-gaia.gr,2310764039,https://www.golden-gaia.gr/?lang=en,"CONSULTANTS, Garlic, LABORATORIES, Lemons, Machinery, tools and equipment, Onion, Potato, SERVICES, SERVICES - ORGANISATIONS - BODIES, Sweet patato, TECHNOLOGY-IT-INNOVATION, Trade of fresh vegetables","Γλυκοπατάτα, Εμπορία φρέσκων λαχανικών, ΕΡΓΑΣΤΗΡΙΑ, Κρεμμύδι, Λεμόνια, Μηχανήματα, εργαλεία και εξοπλισμός, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, Πατάτα, Σκόρδο, ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ, ΤΕΧΝΟΛΟΓΙΑ-ΠΛΗΡΟΦΟΡΙΚΗ-ΚΑΙΝΟΤΟΜΙΑ, ΥΠΗΡΕΣΙΕΣ - ΟΡΓΑΝΙΣΜΟΙ - ΦΟΡΕΙΣ",49-FRE-2025
GREEFA MACHINEBOUW B.V.,GREEFA MACHINEBOUW B.V.,Netherlands,Ολλανδία,PAVILION 15 GROUND FLOOR,D01,,,,,,info@greefa.com,,,,,49-FRE-2025
GREEKONIONS ANTONAKIS I.K.E.,GREEKONIONS ANTONAKIS I.K.E.,Greece,Ελλάδα,PAVILION 13,C22,3rd klm Thiva - Mouriki,,Thebes,32200,Voiotia,greekonions@gmail.com,6936502941,https://greekonions.gr/,"Onion, Potato","Κρεμμύδι, Πατάτα",49-FRE-2025
GREEN SORT SP. Z O.O.,GREEN SORT SP. Z O.O.,Poland,Πολωνία,PAVILION 13,C17,Przemysowa,5,Janow Podlaski,21-505,Lubelskie,greensort@greensort.pl,+48 796330769,https://greensort.com/,Graders,Μηχανήματα διαλογής,49-FRE-2025
GRINN GREEK INNOVATIVE NURSERIES,GRINN ΕΛΛΗΝΙΚΑ ΚΑΙΝΟΤΟΜΑ ΦΥΤΩΡΙΑ,Greece,Ελλάδα,PAVILION 13,A11,P.R. Veria- Edessa,0,Naousa,59200,Imathia,info@grinn.gr,6949735741,www.grinn.gr,NURSERIES,ΦΥΤΩΡΙΑ,49-FRE-2025
GS1 ASSOCIATION GREECE,GS1 ASSOCIATION GREECE,Greece,Ελλάδα,PAVILION 13,D12,Alexioupoleos,32,"Argiroupoli, Athens",16452,Attica,info@gs1greece.org,2109904260,www.gs1greece.org,SERVICES,ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ,49-FRE-2025
HELLAS QUALITY FOODS,HELLAS QUALITY FOODS,Greece,Ελλάδα,PAVILION 13,A04,S. Gritsi,20,Acharnai,13671,Attica,info@hellasqualityfoods.com,2102322090,www.hellasqualityfoods.com,"FRESH FRUITS &amp; VEGETABLES, Garlic","Σκόρδο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
HELLENIC LAND-SAITIS SA,HELLENIC LAND-ΣΑΙΤΗΣ ΑΒΕΕ,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B17,Profitis Ilias,,Velo,20002,Korinthia,hls@hellenic-land.gr,2742030062,www.hellenic-land.gr,"Apricot, FRESH FRUITS &amp; VEGETABLES, Grape, Grapefruit, Kiwi, Klimentine, Lemons, Mandarin, Nectarine, Orange, Peach, Strawberry, Trade of fresh fruit, Watermelon","Ακτινίδιο, Βερίκοκο, Γκρέιπφρουτ, Εμπορία φρέσκων φρούτων, Καρπούζι, Κλημεντίνη, Λεμόνια, Μανταρίνι, Νεκταρίνι, Πορτοκάλι, Ροδάκινο, Σταφύλι, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
HIPACK ROMANIA SRL,HIPACK ROMANIA SRL,Romania,Ρουμανία,PAVILION 13,B17,,,,,,info@hipac.com,,,,,49-FRE-2025
HOVMAND,HOVMAND,Denmark,Δανία,PAVILION 13,B17,,,,,,mail@hovmand.com,,,,,49-FRE-2025
INTERFRESH EURASIA EXHIBITION-IZMIR,INTERFRESH EURASIA EXHIBITION-IZMIR,Turkey,Τουρκία,PAVILION 13,A06,Avni Tolunay Caddesi,,Antalya,7200,Muratpasa,murat.ozer@antexpo.info,+905309111666,http://www.euroasiainterfresh.com,"CONSULTANTS, SERVICES, SERVICES - ORGANISATIONS - BODIES","ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ, ΥΠΗΡΕΣΙΕΣ - ΟΡΓΑΝΙΣΜΟΙ - ΦΟΡΕΙΣ",49-FRE-2025
ISOFRUIT,ISOFRUIT,Greece,Ελλάδα,PAVILION 13,C23,Lorentzoy Mabili,2,Acharnai,13671,Attica,info@isofruit.gr,2102387891,https://www.isofruit.gr/,PUBLICATIONS-PRESS,ΕΚΔΟΣΕΙΣ - ΤΥΠΟΣ,49-FRE-2025
JASA PACKAGING SOLUTIONS B.V.,JASA PACKAGING SOLUTIONS B.V.,Netherlands,Ολλανδία,,,,,,,,info@jasa.nl,,,,,49-FRE-2025
JASA PACKAGING SOLUTIONS B.V.,JASA PACKAGING SOLUTIONS B.V.,Netherlands,Ολλανδία,PAVILION 15 GROUND FLOOR,C03,,,,,,info@jasa.nl,,,,,49-FRE-2025
J-PACK SRL,J-PACK SRL,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@jpack.it,,,,,49-FRE-2025
KAESER KOMPRESSOREN S.E.,KAESER KOMPRESSOREN S.E.,Germany,Γερμανία,PAVILION 13,B17,,,,,,produktinfo@kaeser.com,,,,,49-FRE-2025
KARAGIANNIS FRUIT IKE,KARAGIANNIS FRUIT IKE,Greece,Ελλάδα,PAVILION 13,B03,Central Market of Thessaloniki,Β6,Thessaloniki,54628,Thessaloniki,p.karagiannis-b6@hotmail.com,6978089677-2310764658,www.karagiannis-fruit.gr,"Apple, Cherry, Cucumber, Eggplant, FRESH FRUITS &amp; VEGETABLES, Kiwi, Klimentine, Lemons, Lotus, Mandarin, Melon, Orange, Peach, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Watermelon, Zucchini","Αγγούρι, Ακτινίδιο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρπούζι, Κεράσι, Κλημεντίνη, Κολοκύθι, Λεμόνια, Λωτός, Μανταρίνι, Μελιτζάνα, Μήλο, Ντομάτα, Πεπόνι, Πορτοκάλι, Ροδάκινο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
KATSELIS SA,KATSELIS SA,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B12,Neochoraki,,Thiva,32200,Viotia,export@gkatselis.gr,6977622777,www.katselis-sa.gr,"Carrot, FRESH FRUITS &amp; VEGETABLES, Onion","Καρότο, Κρεμμύδι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
KELVION,KELVION,Netherlands,Ολλανδία,PAVILION 13,D13,,,,,,info@moustakas-bros.gr,,,,,49-FRE-2025
K-FRUITS  P.C.,K-FRUITS  I.K.E.,Greece,Ελλάδα,PAVILION 13,A10,Taygetou,14,"Vrilissia, Athens",15235,Attica,info@k-fruits.gr,+306932366111,http://medfruit.gr/,"Apple, Apricot, Cherry, Fig, Grape, Kiwi, Klimentine, Lemons, Lotus, Mandarin, Nectarine, Orange, Peach, Peach ufo, Pear, Plum, Pomegranate, Quince, Strawberry, Trade of fresh fruit, Vanilla","Ακτινίδιο, Αχλάδι, Βανίλια, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων φρούτων, Κεράσι, Κλημεντίνη, Κυδώνι, Λεμόνια, Λωτός, Μανταρίνι, Μήλο, Νεκταρίνι, Πορτοκάλι, Ροδάκινο, Ροδάκινο ufo, Ρόδι, Σταφύλι, Σύκο, Φράουλα",49-FRE-2025
LESNA MUSZKA MALGORZATA MUSZYNSKA,LESNA MUSZKA MALGORZATA MUSZYNSKA,Poland,Πολωνία,PAVILION 13,B01,Lipa Ul. Koscielna,35,Zaklikow,37-470,Podkarpackie,lesnamuszka@gmail.com,+48692542814,www.lesnamuszka.pl,"Blackberry, Dried Fruits, FRESH FRUITS &amp; VEGETABLES, Fresh Fruits (organic), Fresh vegetables (organic), Fruit juices, Fruit Juices (organic), FRUITS &amp; VEGETABLES (ORGANIC), Jams, Mushrooms, NUTS, SPICES (ORGANIC), Strawberry, Superfoods, Trade of fresh fruit","Αποξηραμένα φρούτα, Βατόμουρο, Εμπορία φρέσκων φρούτων, Μανιτάρια, Μαρμελάδες, ΜΠΑΧΑΡΙΚΑ ΒΙΟΛΟΓΙΚΑ, ΞΗΡΟΙ ΚΑΡΠΟΙ, Υπερτροφές, Φράουλα, Φρέσκα λαχανικά (βιολογικά), ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Φρέσκα φρούτα (βιολογικά), ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ ΒΙΟΛΟΓΙΚΑ, Χυμοί φρούτων, Χυμοί Φρούτων  (βιολογικά)",49-FRE-2025
LI FRUITS S.M.P.C,LI FRUITS MON IKE,Greece,Ελλάδα,PAVILION 13,B03A,Davaki,1,Skydra,58500,Pellas,lifruit3@gmail.com,6983419893,,"Apple, Apricot, Cabbage, Carrot, Cherry, Chestnut, FRESH FRUITS &amp; VEGETABLES, Grape, Kiwi, Klimentine, Lemons, Lotus, Mandarin, Melon, Nectarine, Onion, Orange, Peach, Peach ufo, Pear, Plum, Potato, Quince, Strawberry, Trade of fresh fruit, Trade of fresh vegetables, Vanilla, Watermelon","Ακτινίδιο, Αχλάδι, Βανίλια, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρότο, Καρπούζι, Κάστανο, Κεράσι, Κλημεντίνη, Κρεμμύδι, Κυδώνι, Λάχανο, Λεμόνια, Λωτός, Μανταρίνι, Μήλο, Νεκταρίνι, Πατάτα, Πεπόνι, Πορτοκάλι, Ροδάκινο, Ροδάκινο ufo, Σταφύλι, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
M. JOHN FAMILY CO.,M. JOHN FAMILY & ΣΙΑ ΕΕ,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B20,Kato Aigani,,Larissa,40007,Larissa,mjohnfamily@hotmail.com,2495041000,https://mjohnfamily.gr/el/,"FRESH FRUITS &amp; VEGETABLES, Kiwi, SERVICES, Trade of fresh fruit, Trade of fresh vegetables","Ακτινίδιο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
M.A.F. RODA ITALIA SRL,M.A.F. RODA ITALIA SRL,Italy,Ιταλία,PAVILION 13,C20,Via Ferrucio Parri,75,Cesena,47522,FC,mafroda@mafroda.it,+39 5471932200,www.maf-roda.com,"Fruit and vegetable processing machinery, Graders, Hydrocooler for Fruits &amp; Vegetables, Packaging machinery and tools","Μηχανήματα διαλογής, Μηχανήματα-επεξεργασίας φρούτων &amp;  λαχανικών, Μηχανήματα-εργαλεία συσκευασίας, Υδροκούλερ Φρούτων &amp; Λαχανικών",49-FRE-2025
MAGNATTACK GLOBAL,MAGNATTACK GLOBAL,Australia,Αυστραλία,PAVILION 13,A15,,,,,,info@magnattackglobal.com,,,,,49-FRE-2025
MARTOR KG SOLINGEN,MARTOR KG SOLINGEN,Germany,Γερμανία,PAVILION 13,A15,,,,,,info@martor.com,,,,,49-FRE-2025
MAYEKAWA,MAYEKAWA,Japan,Ιαπωνία,PAVILION 13,D13,,,,,,info@moustakas-bros.gr,,,,,49-FRE-2025
MESSERSI S.R.L.,MESSERSI S.R.L.,Italy,Ιταλία,PAVILION 13,B17,,,,,,mes@messersi.com,,,,,49-FRE-2025
MINIPACK-TORRE SPA,MINIPACK-TORRE SPA,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@minipack.it,,,,,49-FRE-2025
MSFARM L.P.,MSFARM E.E.,Greece,Ελλάδα,PAVILION 13,B02A,Dytiko,,Pella,58005,Pella,info@msfarm.gr,00306937060385,,"Bimi Brocolli, Broccoli, Cabbage, Cauliflower, Fig, FRESH FRUITS &amp; VEGETABLES","Bimi Μπρόκολο, Κουνουπίδι, Λάχανο, Μπρόκολο, Σύκο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
NATIONAL SUPPORT CENTRE FOR AGRICULTURE,NATIONAL SUPPORT CENTRE FOR AGRICULTURE,Poland,Πολωνία,PAVILION 13,B01,Karolkowa str.,30,Warsaw,01-207,Masovian Voivodeship,kowr-events@kowr.gov.pl,+48 22 376 72 26,https://www.gov.pl/web/kowr,"SERVICES - ORGANISATIONS - BODIES, STATE PARTICIPATIONS","ΚΡΑΤΙΚΕΣ ΣΥΜΜΕΤΟΧΕΣ, ΥΠΗΡΕΣΙΕΣ - ΟΡΓΑΝΙΣΜΟΙ - ΦΟΡΕΙΣ",49-FRE-2025
NEWTEC A/S,NEWTEC A/S,Denmark,Δανία,PAVILION 15 GROUND FLOOR,C03,,,,,,sales@newtec.com,,,,,49-FRE-2025
NEWTEC A/S,NEWTEC A/S,Denmark,Δανία,,,,,,,,sales@newtec.com,,,,,49-FRE-2025
NIEBLING GMBH,NIEBLING GMBH,Germany,Γερμανία,PAVILION 13,A15,,,,,,info@niebling.com,,,,,49-FRE-2025
NOVAFROZ,NOVAFROZ,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,D08,11th km. Old National Road Giannitsa-Edessa,,Giannitsa,58100,Pella,info@novafroz.gr,6973220558,,"Apricot, Beetroot, Broccoli, Cabbage, Cauliflower, FRESH FRUITS &amp; VEGETABLES, Lotus, Peach, Peach ufo, Pear, Sparagki, Spinach, Trade of fresh fruit, Trade of fresh vegetables","Αχλάδι, Βερίκοκο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Κουνουπίδι, Λάχανο, Λωτός, Μπρόκολο, Παντζάρι, Ροδάκινο, Ροδάκινο ufo, Σπανάκι, Σπαράγγι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
NOVATEC S.A.,NOVATEC Α.Ε.,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C03,Industrial Zone of Patras,Ο.Τ. 23,Patra,25200,Achaia,info@novatec.gr,2610647580,www.novatec.gr,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Cooling Systems, Electronic scales, Fruit and vegetable processing machinery, Graders, Hydrocooler for Fruits &amp; Vegetables, Packaging machinery and tools, SCALES AND BALANCES FOR BUSINESS USE","ΖΥΓΙΣΤΙΚΑ, Ηλεκτρονικές ζυγαριές, Μηχανήματα διαλογής, ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ, Μηχανήματα-επεξεργασίας φρούτων &amp;  λαχανικών, Μηχανήματα-εργαλεία συσκευασίας, Συστήματα Ψύξης, Υδροκούλερ Φρούτων &amp; Λαχανικών",49-FRE-2025
OFFICINA MECCANICA SESTESE SPA (OMS),OFFICINA MECCANICA SESTESE SPA (OMS),Italy,Ιταλία,PAVILION 13,B17,,,,,,oms@omsspa.com,,,,,49-FRE-2025
PACKON PRINTING & PACKAGING PRODUCTION,PACKON PRINTING & PACKAGING PRODUCTION,Turkey,Τουρκία,PAVILION 13,C15,"Pendik, Ramazanoglu Mah.",49/1,Istabul,34906,Istabul,export@packonbasim.com,+902165951444,www.packonbasim.com,"Packaging materials for fruit &amp; vegetables, Paper products, PAPER-PLASTIC PRODUCTS, Plastic cases-Paper boxes-Carton trays","Πλαστικά κιβώτια-χαρτοκιβώτια-χαρτοτελλάρα, Προϊόντα χάρτου, ΠΡΟΪΟΝΤΑ ΧΑΡΤΟΥ-ΠΛΑΣΤΙΚΑ, Υλικά συσκευασίας φρούτων &amp; λαχανικών",49-FRE-2025
PAKFRUT S.R.L.,PAKFRUT S.R.L.,Italy,Ιταλία,,,,,,,,info@pakfrut.it,,,,,49-FRE-2025
PAKFRUT S.R.L.,PAKFRUT S.R.L.,Italy,Ιταλία,PAVILION 15 GROUND FLOOR,C03,,,,,,info@pakfrut.it,,,,,49-FRE-2025
PARKER HANNIFIN CORP,PARKER HANNIFIN CORP,United States of America,Αμερική,PAVILION 13,B17,,,,,,cparker@support.parker.com,,,,,49-FRE-2025
"PPH ,,EWA-BIS SP. Z O.O.","PPH ,,EWA-BIS SP. Z O.O.",Poland,Πολωνία,PAVILION 13,B01,Serwituty Str.,25,Warsaw,02-233,Masovian Voivodeship,handel@ewabis.com.pl,223439801,www.ewabis.com.pl,"Apple, Beet, Blueberry, Cabbage, Carrot, Cauliflower, Eggplant, FRESH FRUITS &amp; VEGETABLES, Fresh Fruits (organic), Onion, Pear, Plum, Strawberry, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Zucchini","Αχλάδι, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρότο, Κοκκινογούλι, Κολοκύθι, Κουνουπίδι, Κρεμμύδι, Λάχανο, Μελιτζάνα, Μήλο, Μύρτιλο, Ντομάτα, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Φρέσκα φρούτα (βιολογικά)",49-FRE-2025
PROVEDO,PROVEDO,Spain,Ισπανία,PAVILION 13,A11,,,,,,provedo@provedo.com,,,,,49-FRE-2025
QLAB IKE,QLAB IKE,Greece,Ελλάδα,PAVILION 13,A12,K. Karamanlis str.,122,Thessaloniki,57008,Thessaloniki,info@q-lab.gr,+30 2310784712,https://www.q-lab.gr,LABORATORIES,ΕΡΓΑΣΤΗΡΙΑ,49-FRE-2025
RADU M. ADRIANA PERSOANA PFA,RADU M. ADRIANA PERSOANA PFA,Romania,Ρουμανία,PAVILION 13,A03,Strada Alexandru Conduratu,14,Ilfov County,077160,Popesti Leordeni City,adriana@avangardegroup.ro,+40 0724 044 909,www.investmentzoom.ro,"FRESH FRUITS &amp; VEGETABLES, Fruit juices","ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Χυμοί φρούτων",49-FRE-2025
REDPEARL E.E.,REDPEARL E.E.,Greece,Ελλάδα,PAVILION 13,A01,Agrosykia,,Agrosykia,58005,Pella,info@redpearl.gr,6949044006,,"Apricot, Cherry, Melon, Nectarine, Peach, Peach ufo, Pomegranate, Trade of fresh fruit","Βερίκοκο, Εμπορία φρέσκων φρούτων, Κεράσι, Νεκταρίνι, Πεπόνι, Ροδάκινο, Ροδάκινο ufo, Ρόδι",49-FRE-2025
REFAL SP.  ZO.O.,REFAL SP.  ZO.O.,Poland,Πολωνία,PAVILION 13,B01,Lukawa,80,Wilczyce,27-612,Swietokrzyskie,biuro@refal.eu,668129103,www.refal.eu,FRESH FRUITS &amp; VEGETABLES,ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ,49-FRE-2025
ROBOPAC SA,ROBOPAC SA,San Marino,Άγιος Μαρίνος,PAVILION 13,B17,,,,,,robopac@aetnagroup.com,,,,,49-FRE-2025
SACMI PACKAGING & CHOCOLATE SPA,SACMI PACKAGING & CHOCOLATE SPA,Italy,Ιταλία,PAVILION 13,C21,Via Selice Provinciale,17A,Imola BO,40026,Emilia Romagna,spc.marketing@sacmigroup.com,+3902824521,,"Machinery, tools and equipment","Μηχανήματα, εργαλεία και εξοπλισμός",49-FRE-2025
SCHMALZ J. GMBH,SCHMALZ J. GMBH,Germany,Γερμανία,PAVILION 13,B17,,,,,,schmalz@scmalz.de,,,,,49-FRE-2025
SEALED AIR SEE,SEALED AIR SEE,Italy,Ιταλία,PAVILION 13,B17,,,,,,info@sealedair.com,,,,,49-FRE-2025
SEKISUI JUSHI STRAPPING B.V.,SEKISUI JUSHI STRAPPING B.V.,Netherlands,Ολλανδία,PAVILION 13,B17,,,,,,sales@sekisuijushi.nl,,,,,49-FRE-2025
SELIM FOR INVESTMENTS,SELIM FOR INVESTMENTS,Egypt,Αίγυπτος,PAVILION 13,D02,"54 Safia Zaghloul St., Raml Station",54,Alexandria,22621,Alexandria,seliminvestments07@gmail.com,+201222929178,,"Apple, Apricot, Banana, Bean, Beet, Beetroot, Broccoli, Cabbage, Carrot, Cauliflower, Cherry tomatoes, Cucumber, Eggplant, Fig, FRESH FRUITS &amp; VEGETABLES, Fruit juices, Garlic, Grape, Grapefruit, Green pepper, Klimentine, Lemons, Lettuce, Mandarin, Mango, Melon, NUTS, Olives, Onion, Orange, Peach, Pear, Peas, Pineapple, Plum, Pomegranate, Potato, Radish, Spinach, Strawberry, Sweet patato, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Watermelon, Zucchini","Αγγούρι, Ανανάς, Αρακάς, Αχλάδι, Βερίκοκο, Γκρέιπφρουτ, Γλυκοπατάτα, Δαμάσκηνο, Ελιές, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Καρότο, Καρπούζι, Κλημεντίνη, Κοκκινογούλι, Κολοκύθι, Κουνουπίδι, Κρεμμύδι, Λάχανο, Λεμόνια, Μάνγκο, Μανταρίνι, Μαρούλι, Μελιτζάνα, Μήλο, Μπανάνα, Μπρόκολο, Ντομάτα, Ντοματίνια, ΞΗΡΟΙ ΚΑΡΠΟΙ, Παντζάρι, Πατάτα, Πεπόνι, Πιπεριά, Πορτοκάλι, Ραπανάκι, Ροδάκινο, Ρόδι, Σκόρδο, Σπανάκι, Σταφύλι, Σύκο, Φασολάκι, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Χυμοί φρούτων",49-FRE-2025
SER.MAC s.r.l.,SER.MAC SRL,Italy,Ιταλία,PAVILION 13,B13,Via Zavagla,415,Cesena,47522,FC,l.russo@sermac.org,00390547415193,https://www.sermac.org/,"FRESH FRUITS &amp; VEGETABLES, Fruit and vegetable processing machinery, Graders, Packaging machinery and tools","Μηχανήματα διαλογής, Μηχανήματα-επεξεργασίας φρούτων &amp;  λαχανικών, Μηχανήματα-εργαλεία συσκευασίας, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
SIGNODE SWITZERLAND GMBH,SIGNODE SWITZERLAND GMBH,Switzerland,Ελβετία,PAVILION 13,B17,,,,,,info.emea@signode.com,,,,,49-FRE-2025
ST LUCAS FRUITS,ST LUCAS FRUITS,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,A06,Rachi,-,Katerini,601 50,Pieria,info@kerasiarachis.gr,+30 23510 98711,www.kerasiarachis.gr,"Apple, Apricot, Cherry, FRESH FRUITS &amp; VEGETABLES, Pear","Αχλάδι, Βερίκοκο, Κεράσι, Μήλο, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
STOREX,STOREX,Netherlands,Ολλανδία,PAVILION 13,D13,,,,,,info@storex.nl,,,,,49-FRE-2025
STOREX BV - MOUSTAKAS INDUSTRIAL REFRIGERATION,STOREX BV - ΜΟΥΣΤΑΚΑΣ ΒΙΟΜΗΧΑΝΙΚΗ ΨΥΞΗ,Greece,Ελλάδα,PAVILION 13,D13,NAFPAKTOU,43,GLYFADA,16674,ATTICA,info@moustakas-bros.gr,+302109621244,www.moustakas-bros.gr,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Controlled atmosphere refrigeration systems, Cooling Systems, Energy saving systems, Fruit preservation systems","ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ, Συστήματα εξοικονόμησης ενέργειας, Συστήματα συντήρησης φρούτων, Συστήματα ψυκτικών εφαρμογών θαλάμων ελεγχόμενης ατμοσφαίρας, Συστήματα Ψύξης",49-FRE-2025
STRAPACK NV/SA,STRAPACK NV/SA,Japan,Ιαπωνία,PAVILION 13,B17,,,,,,info@strapack.com,,,,,49-FRE-2025
TAMA,TAMA,Israel,Ισραήλ,PAVILION 13,B17,,,,,,tamaexportil@tama.co.il,,,,,49-FRE-2025
TASIOS KIWI,TASIOS KIWI,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C04,Koutso,,Genissea,67064,Xanthi,etasios@otenet.gr,2541096850,www.agrotasios.gr,Kiwi,Ακτινίδιο,49-FRE-2025
TASTY FRUIT APOSTOLIDIS S. - NIKOLOPOULOS V. G.P.,TASTY FRUIT ΑΠΟΣΤΟΛΙΔΗΣ ΣΤΕΦΑΝΟΣ - ΝΙΚΟΛΟΠΟΥΛΟΣ ΒΑΣΙΛΗΣ Ο.Ε.,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,C09,Terma Rossoprosfigon,,Veria,59100,Imathia,tastyfruit@hotmail.gr,0030 233107200,www.tastyfruit.gr,FRESH FRUITS &amp; VEGETABLES,ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ,49-FRE-2025
TEUFELBERGER,TEUFELBERGER,Austria,Αυστρία,PAVILION 13,B17,,,,,,office@teufelberger.com,,,,,49-FRE-2025
