company_name,address,phone,contact_name,makes,siret,url
BIO AGRICOLA S.R.L.,"JUD. BIHOR, SAT LUNCŞOARA COM. AUŞEU, COM. AUSEU, NR.416",0740040522,,,J05/644/2002,
AGRO BIO SRL,"JUD. SIBIU, SAT IACOBENI COM. IACOBENI,  , FERMA AGRO BIO SRL. IMOBIL ÎNSCRIS ÎN CF 100074 IACOBENI. NR. TOP 1740/1-C5",,,,J32/535/2002,
AZIENDA AGRICOLA BER-CAM SRL,"JUD. TIMIŞ, MUN. TIMIŞOARA, STR. HORIA, NR.103/A",025643319,,,J2002001138359,
AGRICOLA COARNELE CAPREI S.R.L.,"JUD. IAŞI, MUN. IAŞI, STR. LASCĂR CATARGI, NR.43",0232415112,,,J22/809/2002,
AGRICOLA CINTEI SRL,"JUD. ARAD, SAT NĂDAB ORŞ. CHIŞINEU-CRIŞ, STR. OCTAVIAN GOGA, NR.2",0744923364,,,J02/633/2002,
ANIMAL FERMA SRL,"JUD. ALBA, MUN. BLAJ, STR. IZVORULUI, NR.13",,,,J01/328/2002,
GRUP FUNCIAR AGRICOL S.R.L.,"JUD. SATU MARE, SAT SUPURU DE SUS COM. SUPUR, NR.99",0261823480,,,J30/450/2002,
AGROZOOTEHNICA SRL,"JUD. DÂMBOVIŢA, SAT COMIŞANI COM. COMIŞANI, STR. CARTIERUL NOU, NR.20",0755062100,,,J15/410/2002,
FERMA TASU S.R.L.,"JUD. CONSTANŢA, SAT SINOIE COM. MIHAI VITEAZU, COM. MIHAI VITEAZU",0241540345,,,J13/2127/2002,
AGRICOLA MARSPI SRL,"JUD. CONSTANŢA, SAT CHIRNOGENI COM. CHIRNOGENI, STR. RECOLTEI, NR.8",0241856422,,,J13/2223/2002,
AGRICOLA MDL SRL,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. DRAGOSLAVELE, NR.1B, BL.A2, SC.B, ET.P, AP.21",661595,,,J13/2348/2002,
BIOPLANTSEM S.R.L.,"JUD. VASLUI, SAT FĂLCIU COM. FĂLCIU, FERMA 2 DONICEASA",0235430208,,,J37/371/2002,
AGRICOLA MARTINA S.R.L.,"JUD. TIMIŞ, SAT SINTEŞTI COM. MARGINA, NR.194",0256320322,,,J35/1976/2002,
PINZGAU SRL,"JUD. CARAŞ-SEVERIN, SAT GRĂDINARI COM. GRĂDINARI, FS (INCINTA FERMA DE VACI)",025557589,,,J2002000459118,
AGRICOLA SIN SRL,"JUD. CONSTANŢA, SAT SINOIE COM. MIHAI VITEAZU, STR. OLTENILOR, NR.1",0744484045,,,J2002002720133,
FERMA PORCUL DE BĂILEŞTI S.R.L.,"JUD. DOLJ, SAT BRANIŞTE COM. PODARI, STR. CALAFATULUI, NR.117, CONSTRUCTIE C5. T22. P1",0251.307.6,,,J2002001254167,
WURTH PRODSERV SRL,"JUD. MUREŞ, SAT SASCHIZ COM. SASCHIZ, NR.FERMA 10-11",0741992277,,,J26/32/2003,
FERMA CASA SOMESEANA S.R.L.,"JUD. MARAMUREŞ, MUN. BAIA MARE, BLD. TRAIAN, NR.3, AP.65",0753048184,,,J24/66/2003,
FERMA ALEX SRL,"JUD. BIHOR, SAT VIIŞOARA COM. VIIŞOARA, VIIŞOARA, NR.366",0259457707,,,J05/98/2003,
AGRICOLA PICIOROAGA S.R.L.,"JUD. VASLUI, MUN. VASLUI, STR. CĂLUGĂRENI, NR.201",0235313591,,,J37/42/2003,
AGRICOLA ULMENI SRL,"JUD. BUZĂU, SAT CLONDIRU COM. ULMENI, COM. ULMENI",0238521235,,,J2003000113105,
ANCA M&M S.R.L.,"JUD. SATU MARE, SAT PIR COM. PIR, FERMA CHEREUSA",0261825370,,,J30/98/2003,
FERMA ANGUS DE ROMANAŢI S.R.L.,"JUD. ARGEŞ, MUN. PITEŞTI, STR. MITROPOLIT ANTIM IVIREANU, NR.48A",0721248080,,,J2003000204038,
AGROFRUIT PRODUCTIE SRL,"JUD. ILFOV, SAT CĂCIULAŢI COM. MOARA VLĂSIEI, FERMA AVICOLA , HALA C1/2",0212011020,,,J23/389/2003,
AGRICOLA ECOFARM SRL,"JUD. VASLUI, COM. PUIEŞTI, FERMA PUIESTI DJ243KM29+800",,,,J37/115/2003,
FERMA FRUMUSICA SRL,"JUD. IALOMIŢA, SAT AXINTELE COM. AXINTELE, NR.-",0723256136,,,J2003000136212,
TEHNICA AGRICOLA COJASCA SRL,"JUD. DÂMBOVIŢA, SAT COJASCA COM. COJASCA, STR. PRINCIPALĂ, NR.682",0723225480,,,J2003000277151,
FERMA NATURAE S.R.L.,"MUNICIPIUL BUCUREŞTI, SECTOR 2, STR. VIESPARILOR, NR.50, BL.34, SC.1, ET.4, AP.18 CAM 2",,,,J40/4893/2003,
ZICHELLA E FIGLI LACEDONIA S.R.L.,"JUD. CARAŞ-SEVERIN, SAT COMORÂŞTE COM. FOROTIC, COMORÎŞTE, NR.FERMA 10",,,,J11/214/2003,
ALPESCOMER S.R.L.,"JUD. CARAŞ-SEVERIN, SAT GREONI COM. GRĂDINARI, FERMA PISCICOLA",0723650084,,,J11/237/2003,
CHUPPY AGRICOLA SRL,"JUD. IALOMIŢA, SAT ARMĂŞEŞTI COM. ARMĂŞEŞTI, COM. ARMASESTI, NR.-",,,,J21/340/2004,
LANDSCHAF SRL,"JUD. CARAŞ-SEVERIN, SAT GRĂDINARI COM. GRĂDINARI, FERMA, NR.3",074210692,,,J2003000246113,
EUROEXPERT AGRICOLA SRL,"JUD. TELEORMAN, MUN. ALEXANDRIA, STR. AV. ALEXANDRU COLFESCU, NR.51",,,,J34/29/2014,
FERMAGRO SRL,"JUD. GIURGIU, SAT GOGOŞARI COM. GOGOŞARI, STR. PETRE GHELMEZ, NR.2",0723531599,,,J52/169/2003,
BUCĂTĂRIA LUI RADU SRL,"JUD. ILFOV, ORŞ. BRAGADIRU,  , FOSTA FERMA 6",3109234,,,J23/3145/2012,
AGRO BRAVA SRL,"JUD. CONSTANŢA, SAT POIANA ORŞ. OVIDIU, FOSTA FERMA 6 SC HORTICOLA S.A.",,,,J2003001472137,
FERMA PISCICOLĂ COMANA S.R.L.,"MUNICIPIUL BUCUREŞTI, SECTOR 1, INT RĂSADULUI, NR.5, CONSTRUCTIA C2",0212227251,,,J2003007639408,
FERMA PERSE S.R.L.,"JUD. SĂLAJ, ORŞ. CEHU SILVANIEI, STR. HODODULUI, NR.2",0745636787,,,J31/331/2003,
FERMA MIORITA SRL,"JUD. BISTRIŢA-NĂSĂUD, LOC. UNIREA MUN. BISTRIŢA, STR. PRINCIPALA, NR.244",0263235484,,,J06/329/2003,
RAMICOM AGRICOL SRL,"JUD. TIMIŞ, SAT PERIAM COM. PERIAM, STR. MUREŞULUI, NR.173, CAMERA 6",0256375997,,,J2003001501354,
FERMA MILENIA SRL,"JUD. VASLUI, SAT VETRIŞOAIA COM. VETRIŞOAIA,",0745983993,,,J2003000371370,
AGRICOLA PISCOLT SRL,"JUD. SATU MARE, SAT PIŞCOLT COM. PIŞCOLT, G PIŞCOLT, NR.911/A",0722491763,,,J30/608/2003,
MASTVET S.R.L.,"JUD. SATU MARE, SAT SĂCĂŞENI COM. SĂCĂŞENI, FERMA 5",0261825740,,,J30/678/2003,
AGRICOLA-ALBESTI S.R.L.,"JUD. IAŞI, MUN. IAŞI, STR. LASCĂR CATARGI, NR.43",0232415112,,,J22/1622/2003,
AGRICOLA GAINA SRL,"JUD. IALOMIŢA, SAT GIURGENI COM. GIURGENI,  FERMA 10, NR.-",0256285508,,,J21/19/2005,
AGRICOLA INTERNATIONAL SRL,"JUD. OLT, SAT BREBENI COM. BREBENI, COM. BREBENI",0722308567,,,J2003000596289,
AGRICOLA BELLAN SRL,"JUD. TIMIŞ, SAT VARIAŞ COM. VARIAŞ,  , NR.293, CAMERA 10",0749364071,,,J2003002084351,
AZIENDA AGRICOLA GARDA SRL,"JUD. ARAD, SAT HORIA COM. VLADIMIRESCU, STR. ŞTEFAN CICIO POP, NR.36",0741187206,,,J02/1145/2003,
PARADISUL INFLORIT SRL,"JUD. BUZĂU, SAT PODGORIA COM. PODGORIA, FERMA II",0238569905,,,J2003000803101,
ESOP PROD SRL,"JUD. SIBIU, SAT AMNAŞ ORŞ. SĂLIŞTE,  , FERMA 2",0758243100,,,J2003001224323,
FERMA BUCU SRL,"JUD. TIMIŞ, SAT HEZERIŞ COM. COŞTEIU, COM. COSTEIU, NR.38",0256355382,,,J35/2297/2003,
FERMA H.P.H. FARM SRL,"JUD. HARGHITA, SAT CRĂCIUNEL COM. OCLAND,  , NR.192/A",0266214284,,,J2003000855197,
LIABL HOLDING SRL,"JUD. ARAD, ORŞ. LIPOVA, STR. FERMA, NR.4",,,,J02/1296/2003,
ROM-PESC IMPEX S.R.L.,"JUD. TULCEA, SAT VALEA NUCARILOR COM. VALEA NUCARILOR, VALEA NUCARILOR, FERMA PISCICOLA IAZURILE 4",0236460706,,,J36/16/2021,
AGRICOLA CASAGRANDE S.R.L.,"JUD. ILFOV, ORŞ. POPEŞTI-LEORDENI, DRM. FERMEI, NR.32A, LOT 2. CONSTRUCȚIA C1",0721276273,,,J23/2432/2023,
AGRICOLA ANDRIESENI SRL,"JUD. IAŞI, SAT SPINENI COM. ANDRIEŞENI, NR.-",0232297471,,,J22/2285/2003,
ZOO FERMA SRL,"JUD. ALBA, SAT SÂNTIMBRU COM. SÂNTIMBRU, STR BLAJULUI, NR.202",0258842255,,,J2003001065012,
MARIN AGRO SRL,"JUD. CONSTANŢA, SAT CORBU COM. CORBU, CORBU, EXTRAVILAN. FERMA VEGETALA NR.2. PARTIAL PARCELA CC8",0744324184,,,J2004005072138,
FERMA ANTONIO VIGNATI SRL,"JUD. DÂMBOVIŢA, SAT LUCIANCA COM. BUTIMANU, NR.125",0769617093,,,J15/53/2004,
AGRICOLA PADANA SRL,"JUD. DOLJ, SAT PODARI COM. PODARI, STR. DEPOZITULUI, NR.6",0745524825,,,J16/190/2004,
PUISOR SRL,"JUD. NEAMŢ, SAT IZVOARE COM. DUMBRAVA ROŞIE, COM. DUMBRAVA ROSIE (FERMA B3, GOC 2)",,,,J27/186/2004,
LEGROM GRUP SRL,"JUD. GALAŢI, COM. SMÂRDAN, TARLA 44, P.265, FERMA 5 BALTATU",0721361808,,,J2004000220172,
AGROMONET SRL,"JUD. CONSTANŢA, ORŞ. HÂRŞOVA, FERMA NR.8 GHINDARESTI",,,,J2004005600135,
PIM AGRICOLA SRL,"JUD. PRAHOVA, COM. LIPĂNEŞTI,",0244 215170,,,J2004000416292,
AGRICOLA LA RINASCENTE SRL,"JUD. TIMIŞ, MUN. LUGOJ, STR. FĂGĂRAŞ, NR.2",0727246042,,,J2004000927356,
FERMALIMENT SRL,"JUD. BRĂILA, SAT CAZASU COM. CAZASU, CAZASU, TARLA 38, PARCELA 158/1",0788478913,,,J09/287/2004,
D.C.I. AGRICOLA S.R.L.,"JUD. CONSTANŢA, SAT CHEIA COM. GRĂDINA, STR. CĂPRIOAREI, NR.9",0721892689,,,J13/6076/2004,
TRANSILVANIA BIO AGRICOLA SRL,"JUD. BRAŞOV, ORŞ. VICTORIA, STR. VICTORIEI, BL.14, AP.14",0724460783,,,J08/909/2004,
RODESCO TRADING S.R.L.,"JUD. DOLJ, SAT MOŢĂŢEI GARĂ COM. MOŢĂŢEI, FERMA 8 GOLDAP",0745637868,,,J16/857/2004,
TENUTA AGRICOLA ELIANA SRL,"JUD. ARAD, SAT CHERELUŞ COM. ŞICULA, CHERELUŞ, NR.544",279929,,,J02/1753/2007,
SUINPROD SIRET SRL,"JUD. BACĂU, SAT GHEORGHE DOJA COM. RĂCĂCIUNI, G GHEORGHE DOJA, FERMA GHEORGHE DOJA",0234510853,,,J2004000983044,
AGRICOLA DOMNEŞTI 2004 S.R.L.,"MUNICIPIUL BUCUREŞTI, SECTOR 4, ALEEA RÂUL SADULUI, NR.1A, CAMERA 2, BL.PE4, SC.1, ET.4, AP.14",0722305229,,,J40/2132/2022,
KOUNDOURAKIS EXPLOATARI AGRICOLE SRL,"JUD. DÂMBOVIŢA, SAT COMIŞANI COM. COMIŞANI, STR. ŞOSEAUA NOUĂ, NR.89, CAMERA 2",0752127786,,,J15/884/2018,
SABEDI GRUP SRL,"JUD. PRAHOVA, ORŞ. BĂICOI, STR. FERMA 6 - VALEA LARGA",,,,J29/2175/2004,
ARNAGRO S.R.L.,"JUD. DOLJ, SAT BRATOVOEŞTI COM. BRATOVOEŞTI, FERMA BRATOVOESTI",0251371031,,,J16/1227/2004,
VIANA LAND S.R.L.,"JUD. CONSTANŢA, SAT BIRUINŢA COM. TOPRAISAR, COM. TOPRAISAR, FERMA 5 SI 6",0722697185,,,J13/6882/2004,
CRINAPRIPU EXPLOATARI AGRICOLE SRL,"JUD. DÂMBOVIŢA, SAT COMIŞANI COM. COMIŞANI, STR. ŞOSEAUA NOUĂ, NR.89, CAMERA 1",0731838015,,,J15/885/2018,
EXPLOATAŢIE AGRICOLĂ LUPU SRL,"JUD. OLT, SAT GRĂDINILE COM. GRĂDINILE, STR. NEDA MARINESCU, NR.83",,,,J28/475/2004,
AGRICOLA BAB SRL,"JUD. DOLJ, MUN. CRAIOVA, STR. ARIEŞ, NR.16",0351807196,,,J16/1414/2004,
ANODONTA SRL,"JUD. VASLUI, COM. BOŢEŞTI, FERMA  MANTU",0235484231,,,J37/525/2004,
MONTEAGRO INVEST SRL,"JUD. DÂMBOVIŢA, SAT VADU STANCHII COM. CORBII MARI,  FERMA NR. 4, BL.CLADIRE C8",0245716388,,,J2005000107155,
GEEA AGRICOL SERV SRL,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. PICTOR NICOLAE GRIGORESCU, NR.9",,,,J13/7281/2004,
CASA ALEGRIA SRL,"JUD. CONSTANŢA, SAT MIHAIL KOGĂLNICEANU COM. MIHAIL KOGĂLNICEANU, FERMA NR.4, (FOSTA HORTICOLA SA M.KOGALNICEANU). CONSTRUCTIA C1. CAMERA 1",614996,,,J2004007386138,
AGRICOLA ODOREU SRL,"JUD. SATU MARE, SAT ODOREU COM. ODOREU, STR. REPUBLICII, NR.267",0745639465,,,J30/1112/2004,
AGRO SUPER COMPANY S.R.L.,"JUD. BUZĂU, SAT STÂLPU COM. STÂLPU, COM. STALPU,FERMA ZOOTEHNICA STALPU",0723295066,,,J10/985/2004,
TIM SUIN SRL,"JUD. TIMIŞ, SAT CHECEA COM. CHECEA, CHECEA, NR.FERMA 1, BL.EXTRAVILAN",,,,J35/3077/2004,
AQUILA AGRICOLA SRL,"JUD. PRAHOVA, MUN. PLOIEŞTI, STR. MALU ROŞU, NR.105A",0723647229,,,J2004002276298,
FERMA MIRCEA S.R.L.,"JUD. SIBIU, SAT ŞOMARTIN COM. BRUIU, NR.111",0722683587,,,J32/1789/2004,
AVIGAL SRL,"JUD. SIBIU, SAT VALEA VIILOR COM. VALEA VIILOR, STR. PRINCIPALĂ, NR.273/A, FERMA 3",0746178235,,,J32/1819/2004,
TENUTA AGRICOLA EMMEPI SRL,"JUD. ARAD, ORŞ. INEU, CAL. REPUBLICII, NR.9",,,,J02/2123/2004,
AGRICOLA POPRICANI SRL,"JUD. IAŞI, SAT POPRICANI COM. POPRICANI,",0766303285,,,J22/2827/2004,
BIO AGRAS SRL,"JUD. MUREŞ, SAT PĂNET COM. PĂNET, STR LIVEZII, NR.1, FERMA MIXTA",0265320473,,,J2004002203265,
AGRI IANCU S.R.L.,"JUD. CONSTANŢA, SAT LANURILE COM. BĂRĂGANU, FERMA LANURILE",,,,J13/274/2005,
AGRICOLA CHIOREAN SRL,"JUD. CLUJ, SAT BERCHIEŞU COM. FRATA,  , NR.29",0264365394,,,J12/302/2005,
FERMA HUSTI SRL,"JUD. MARAMUREŞ, SAT VICEA ORŞ. ULMENI,  , NR.108A",0262264399,,,J2005000289246,
AGRICOLA FRUGAL S.R.L.,"JUD. BOTOŞANI, MUN. DOROHOI, STR. CIREŞILOR, NR.22",,,,J07/125/2005,
FERMA DOI COCOŞI SRL,"JUD. VÂLCEA, MUN. DRĂGĂŞANI, STR. PANDURI F.N., PUNCT ""PRODCOOP""",0741877213,,,J2005000203387,
AZIENDA AGRICOLA TERRE DELLEST SRL,"JUD. ARAD, ORŞ. INEU, CAL. REPUBLICII, NR.9",,,,J02/470/2005,
DELFINUL COOPERATIVĂ AGRICOLĂ CA,"JUD. CONSTANŢA, MUN. MANGALIA, STR. PORTULUI, NR.82, CAMERA 1",0741996290,,,J2005000714137,
LAPUSANA COOPERATIVA AGRICOLA CA,"JUD. MARAMUREŞ, ORŞ. TÂRGU LĂPUŞ, STR. LIVIU REBREANU, NR.79",,,,J24/440/2005,
AGRO CD SRL,"JUD. TIMIŞ, SAT OBAD ORŞ. CIACOVA, STR FERMA ZOOTEHNICĂ, NR.105",0722543181,,,J2005000875359,
BOVACRIS SRL,"JUD. CONSTANŢA, COM. MIHAIL KOGĂLNICEANU, MIHAIL KOGĂLNICEANU, SOLA 113. PARCELA A 551/8. LOTUL 1. ANEXA AGRICOLA",0341411925,,,J2005000838134,
FERMA 5 SRL,"JUD. CONSTANŢA, SAT POIANA ORŞ. OVIDIU, STR. ALBATROS,FERMA 5, SC HORTICOLA SA, NR.78",0241512747,,,J2005001122131,
AGRICOLA BELISARIO SRL,"JUD. BUZĂU, MUN. BUZĂU, BUZĂU, TARLAUA 41, PARCELA 724, CF 50633",0723194360,,,J10/1064/2019,
AGROINDUSTRIALA LACT FRESH SRL,"JUD. GALAŢI, SAT FOLTEŞTI COM. FOLTEŞTI, FERMA NR. 2, PARCELA 27, AP.CAMERA 1",0745575165,,,J2005000877171,
FERMA CU OMENIE SRL,"JUD. ALBA, SAT UNIREA COM. UNIREA, STR TRAIAN, NR.173A",0258876053,,,J2005000514012,
EUROFERMA SRL,"JUD. NEAMŢ, SAT SĂVINEŞTI COM. SĂVINEŞTI, STR. GHEORGHE CARANFIL, NR.5,,O""",0233290667,,,J27/746/2005,
TOLDI COOPERATIVA AGRICOLA,"JUD. SĂLAJ, SAT NUŞFALĂU COM. NUŞFALĂU, PŢA. ARANY JÁNOS, NR.6",026067005,,,J31/324/2005,
AGRICOLA PROD EMB SRL,"JUD. BUZĂU, MUN. BUZĂU, STR. TRAIAN VUIA, NR.40, BL.E1, AP.9",0744143314,,,J2005000582107,
AGRICOLA MIONI S.R.L.,"JUD. ARAD, MUN. ARAD, STR. HATMAN ARBORE, NR.13",,,,J02/824/2005,
COOPERATIVA AGRICOLA AGRAR CENTRALA BACAU,"JUD. BACĂU, MUN. BACĂU, STR. BUCIUMULUI, NR.8, BL.8, SC.B, ET.2, AP.9",,,,J04/910/2005,
COJO-CHIM SRL,"JUD. TIMIŞ, SAT CENEI COM. CENEI, STR. CENEI, NR.FERMA CENEI, BL.CF.3790FN, ET.P, AP.CAMERA 1",,,,J35/1666/2005,
FERMA AGRICOLA MATESAN S.R.L.,"JUD. MARAMUREŞ, SAT TOHAT ORŞ. ULMENI, NR.87",0723305789,,,J24/894/2005,
AZIENDA AGRICOLA TERRE NUOVE SRL,"JUD. DOLJ, SAT AMĂRĂŞTII DE JOS COM. AMĂRĂŞTII DE JOS",,,,J16/1160/2005,
AGRICOLA INVESTMENT 2005 SRL,"JUD. IAŞI, MUN. IAŞI, STR. PĂUN, NR.86, PARTER. CAMERA 8",0232235856,,,J2005001486224,
OMNIPESCA S.R.L.,"JUD. BRĂILA, SAT BATOGU COM. CIREŞU,  , FERMA BATOGU",,,,J2018000552096,
DANELA SERVCOM SRL,"JUD. OLT, SAT GIUVĂRĂŞTI COM. GIUVĂRĂŞTI, STR. TINERETULUI, NR.34, ROL AGRICOL POZITIA 31",,,,J28/499/2014,
FERMA MOLNAR SRL,"JUD. MUREŞ, SAT FÂNTÂNELE COM. FÂNTÂNELE,  , BL.G1, AP.4",0265-580193,,,J2005001113265,
AGRICOLA CAMPICCO SRL,"JUD. BUZĂU, SAT SMEENI COM. SMEENI, SMEENI",,,,J10/982/2012,
AZIENDA AGRICOLA PAOLIN SRL,"JUD. ARAD, ORŞ. INEU, CAL. REPUBLICII, NR.9",,,,J02/1179/2005,
COOPERATIVA AGRICOLĂ AGRAR BOTOŞANI,"JUD. BOTOŞANI, MUN. BOTOŞANI, ALEEA MAXIM GORKI, NR.15, BL.A6, SC.A, AP.14",,,,J07/432/2005,
GULA DIN SRL,"JUD. CONSTANŢA, SAT CULMEA ORŞ. OVIDIU, (ZONA FOST SC NAZARCEA ), FOST FERMA 5-NAZARCEA. CORP C2 (O SUPRAFATA DE 20 M.P.)",0723337658,,,J2005002153136,
FERMA VEGETAL SRL,"JUD. TIMIŞ, SAT ŞAG COM. ŞAG, STR. XI, NR.127",0728033192,,,J2005002173352,
AGRAR BISTRITA NASAUD COOPERATIVA AGRICOLA,"JUD. BISTRIŢA-NĂSĂUD, MUN. BISTRIŢA, STR. MOŞILOR, NR.12",,,,J06/656/2005,
AGRAR SATU MARE COOPERATIVA AGRICOLA,"JUD. SATU MARE, MUN. SATU MARE, STR. GANEA, BL.CG 42, AP.1",,,,J30/798/2005,
AGRAR SUCEAVA - COOPERATIVA AGRICOLA,"JUD. SUCEAVA, MUN. SUCEAVA, STR. NICOLAE BĂLCESCU, NR.2, BL.3B, SC.A, AP.7",,,,J33/933/2005,
AGRAR SERV ALBA COOPERATIVA AGRICOLA,"JUD. ALBA, MUN. ALBA IULIA, BLD. REVOLUŢIEI 1989, NR.21, BL.3AB, AP.67",,,,J01/802/2005,
2 M & G PROD COM SRL,"JUD. SATU MARE, SAT SĂCĂŞENI COM. SĂCĂŞENI, FERMA BARONUL, NR.FN",,,,J30/824/2005,
FERMA NATURALĂ SRL,"JUD. GALAŢI, MUN. GALAŢI, STR. DOMNEASCĂ, NR.212",0236495209,,,J2005001413178,
CARTOFUL COOPERATIVA AGRICOLA,"JUD. SIBIU, ORŞ. AVRIG, STR. LAZĂR GHEORGHE, NR.103",0269524974,,,C32/20/2005,
FERMA KADAR S.R.L.,"JUD. SATU MARE, MUN. CAREI, STR. PETRU RAREŞ, NR.17",,,,J30/866/2005,
FERMA TOTH SRL,"JUD. SATU MARE, MUN. CAREI, STR. GRIGORESCU, NR.2",0743100972,,,J30/867/2005,
ITAL AGRO 2005 SRL,"JUD. GALAŢI, SAT FOLTEŞTI COM. FOLTEŞTI,  , NR.398, FERMA NR.2. CORP C27",0744207103,,,J2005001491174,
TOP SUIN SRL,"JUD. TIMIŞ, COM. CHECEA, FERMA CHECEA 1 -EXTRAVILAN,FARA NUMAR",0256295796,,,J35/2575/2005,
ŢARINA-COOPERATIVĂ AGRICOLĂ,"JUD. SUCEAVA, SAT IASLOVĂŢ COM. IASLOVĂŢ, STR. CENTRU, NR.583",0745491093,,,J33/1112/2005,
ECOFERMA HOGHILAG  SRL,"JUD. SIBIU, SAT HOGHILAG COM. HOGHILAG, G HOGHILAG, CF NR.100093. NR.TOP 2688/2",218053,,,J2005001240323,
FERMA SORIN SRL,"JUD. SUCEAVA, SAT DRĂGOIEŞTI COM. DRĂGOIEŞTI, STR. GĂRII, NR.53",0746276898,,,J2005001180337,
AGRAR BIHOR COOPERATIVA AGRICOLA,"JUD. BIHOR, MUN. ORADEA, BLD. DECEBAL, NR.20, BL.C104, SC.A, ET.2, AP.7",,,,J05/1947/2005,
COMPANIA AGRICOLA S.R.L.,"JUD. BOTOŞANI, MUN. BOTOŞANI, CAL. NAŢIONALĂ, NR.6",,,,J07/623/2005,
APICOM DOBROGEA COOPERATIVĂ AGRICOLĂ,"JUD. CONSTANŢA, MUN. CONSTANŢA, B-DUL FERDINAND, NR.74",0241585862,,,J13/3189/2005,
EURO FERMA S.R.L.,"JUD. IAŞI, SAT SCOBÂLŢENI ORŞ. PODU ILOAIEI, NR.-",,,,J22/2492/2005,
ZOOTEHNICA CONŢEŞTI SRL,"JUD. TELEORMAN, SAT CONŢEŞTI COM. CONŢEŞTI, STR. ALEXANDRIEI, NR.272",0247334334,,,J2005000645343,
AGRICOLA EMAGRI INVEST SRL,"JUD. BUZĂU, SAT MOVILA OII COM. CILIBIA,",0744379224,,,J2005001157106,
ZOOTEHNICA MANTI S.R.L.,"JUD. DOLJ, SAT MILEŞTI COM. ŞIMNICU DE SUS",0748233556,,,J16/2091/2005,
FERMA 2005 SRL,"JUD. CARAŞ-SEVERIN, MUN. REŞIŢA, STR. TIMIŞOAREI, NR.7, SC.1, ET.1, AP.4",0255219438,,,J11/943/2005,
DIAMI PRO AGRO S.R.L.,"JUD. CONSTANŢA, SAT POARTA ALBĂ COM. POARTA ALBĂ,  , FERMA NR. 8. IMOBIL INSCRIS IN CARTEA FUNCIARA NR. 100612 CU NR. CADASTRAL 100612 - C5 BIROURI",852877,,,J2005003490131,
AGRICOLA FARM S.R.L.,"JUD. CONSTANŢA, MUN. MEDGIDIA, ŞOS. CONSTANŢEI, NR.6",0729961087,,,J13/3692/2005,
BARAGANU COOPERATIVA AGRICOLA,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, PRL. BUCUREŞTI, NR.4, BL.N2, SC.3, ET.4, AP.47",0242312182,,,,
FERMA COROLA S.R.L.,"JUD. BACĂU, SAT CÂRLIGI COM. FILIPEŞTI, NR.450",,,,J04/2065/2005,
FERMA MĂDĂLICIA SRL,"JUD. MEHEDINŢI, SAT IZVOARELE COM. GRUIA",0746095203,,,J25/687/2005,
FERMA SILION SRL,"JUD. BACĂU, SAT CRĂIEŞTI COM. STĂNIŞEŞTI,",0234284817,,,J2005002211041,
SIMPLE WORKS (TRANSYLVANIA) SRL,"JUD. BRAŞOV, COM. CAŢA,  , FERMA CATA. IN EXTRAVILANUL COM.CATA.",0727133135,,,J2009000127083,
AGRICOLA MAXO SRL,"JUD. OLT, SAT BRÂNCOVENI COM. BRÂNCOVENI, STR. PRIMĂVERII, NR.1",432950,,,J2005000961287,
CRIDATIM SRL,"JUD. TIMIŞ, SAT ŞAG COM. ŞAG, ŞAG, DJ 593 KM 3 + 800,FERMA  9, POZITIA  A",,,,J35/4085/2005,
LEBADA COOPERATIVA AGRICOLA,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, STR. BĂRĂGANULUI, BL.L43, ET.4, AP.18",,,,J51/789/2005,
AGRICOLA RAISTAR S.R.L.,"JUD. CONSTANŢA, SAT VALU LUI TRAIAN COM. VALU LUI TRAIAN, STR. ISLAZULUI, NR.FN",0724315185,,,J13/4056/2005,
PESCĂREASCĂ JIRLĂU COOPERATIVĂ AGRICOLĂ,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, STR. DUMBRAVEI, NR.158",0762601311,,,J51/20/2006,
D & D HOUSE SRL,"JUD. ILFOV, SAT 1 DECEMBRIE COM. 1 DECEMBRIE, FERMA  NR. 13+18",4687014,,,J23/35/2006,
COMPLEX AGRICOL 2005 SRL,"JUD. GALAŢI, SAT DRĂGĂNEŞTI COM. DRĂGĂNEŞTI, NR.606",0236861675,,,J17/40/2006,
FANTANA VOIEVODULUI COOPERATIVA AGRICOLA,"JUD. MUREŞ, MUN. TÂRGU MUREŞ, STR. CUTEZANŢEI, NR.41, AP.5",0752483724,,,C26/2/2006,
DUVIGNEAU-MURFATLAR SRL,"JUD. CONSTANŢA, SAT POARTA ALBĂ COM. POARTA ALBĂ, NORD, FERMA 11, CAMERA 10",0241853511,,,J13/77/2006,
FERMA GHIDEL SRL,"JUD. MEHEDINŢI, MUN. DROBETA-TURNU SEVERIN, CAL. TÎRGU JIULUI, NR.146",0720222473,,,J2006000031253,
AGRICOLA CĂJVĂNARU SRL,"JUD. SUCEAVA, SAT CAJVANA ORŞ. CAJVANA, ORAS CAJVANA, NR.99, AP.CAM.1",0743487944,,,J33/97/2006,
