winner_name,cui,wins,total_value_ron,distinct_buyers
ALPILINE SRL---POL FRUCT SRL,,2,509615.48,1
ALPILINE SRL---SC PATISGAL SRL---Velrom,,2,1086774.01,1
AMA FRUCT CP---AMIA INVEST---STEDYAN COM,,2,75529.22,1
AMA FRUCT CP---Baby Business SRL---Harghita Retail,,2,1146.0,1
AMA FRUCT CP---Baby Business SRL---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,2,68820.48,1
AMA FRUCT CP---Baby Business SRL---PARHAN COM S.R.L.,,2,17626.33,1
AMA FRUCT CP---B.P. ANKROB IMPEX---Baby Business SRL---DAVIO PAN GRUP IMPEX---STEDYAN COM S.R.L.,,2,12069.5,1
AMA FRUCT CP---B.P. ANKROB IMPEX---Baby Business SRL---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,2,3591.59,1
AMA FRUCT CP---B.P. ANKROB IMPEX---Harghita Retail---STEDYAN COM S.R.L.,,2,11098.04,1
AMA FRUCT CP---B.P. ANKROB IMPEX---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,2,14532.16,1
AMA FRUCT CP---B.P. ANKROB IMPEX---STEDYAN COM S.R.L.,,2,11224.62,1
AMA FRUCT CP---CARLAND S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,258835.73,1
AMA FRUCT CP---COMIGA PROD IMPEX S.R.L.---PROVIGO TRADE S.R.L.,,2,43915.41,1
AMA FRUCT CP---COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.,,2,50189.58,1
AMA FRUCT CP---CO&SI---STEDYAN COM S.R.L.,,2,1459.11,1
AMA FRUCT CP---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.,,2,5884.48,1
AMA FRUCT CP---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,2,5998.17,1
AMA FRUCT CP---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,,2,2310.27,1
AMA FRUCT CP---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.---TRANSLIMA,,2,17809.61,1
AMA FRUCT CP---DOIMAN COM S.R.L.---METRO CASH & CARRY ROMANIA---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,2,2989.68,1
AMA FRUCT CP---DOIMAN COM S.R.L.---RULTRANS INDUSTRY 93 SRL---STEDYAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,,2,52685.04,1
AMA FRUCT CP---ELCOMER ACHIZITII---POL FRUCT SRL,,2,1355935.08,2
AMA FRUCT CP---ELLMAR COM,,2,23146.48,2
AMA FRUCT CP---FAGUL IMPEX,,2,121740.15,1
AMA FRUCT CP---FALCONS---PAM ALY 2007,,2,168473.91,1
AMA FRUCT CP---FILVAS SERVCOM---STEDYAN COM S.R.L.,,2,781.23,1
AMA FRUCT CP---Harghita Retail,,2,27416.03,1
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM---SUPER EXTRA PAN S.R.L.,,2,268210.91,1
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.,,2,2123.34,1
AMA FRUCT CP---LEGUMFRUCT DEPOO&DISTRIBUTION,,2,88145.48,2
Ama Fruct CP---Loial Office S.R.L.,,2,325426.67,1
AMA FRUCT CP---METRANS,,2,26672.13,2
AMA FRUCT CP---METRANS---PROVIGO TRADE S.R.L.,,2,296676.34,1
AMA FRUCT CP---MIRMAN COMPANY  SRL---STEDYAN COM,,2,65991.12,1
AMA FRUCT CP---PARHAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,,2,64608.35,1
AMA Fruct CP---Retacom,,2,101440.51,1
AMA FRUCT CP---S.C NISARA IMPEX S.R.L,,2,414985.41,2
AMA FRUCT CP---SIGISMUND COM,,2,321045.55,2
AMA FRUCT CP---STRUNGARIU & CO RIGAMS LM,,2,81205.46,2
AMARIEI G. PETRU---COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.,,2,20919.48,1
AMARIEI G. PETRU---CO&SI---MANDY MAB TRADE SRL---PARHAN COM S.R.L.,,2,834.67,1
AMARIEI G. PETRU---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.,,2,3443.92,1
AMARIEI G. PETRU---GRANBIS---MIRMAN COMPANY SRL---SENTROMCRIS---STEDYAN COM S.R.L.,,2,20133.93,1
AMARIEI G. PETRU---JOLDOS PROIMPEX S.R.L.---PARHAN COM S.R.L.,,2,30564.45,1
AMARIEI G. PETRU---MANDY MAB TRADE SRL---PARHAN COM S.R.L.,,2,2087.89,1
AMARIEI G. PETRU---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,2,10674.0,2
AMIA INVEST---COREX S.R.L.---GEOCOR TRADE IMP-EXP,,2,42001.83,1
AMIA INVEST---FILVAS SERVCOM,,2,65615.35,1
AMIA INVEST---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,,2,15892.94,1
AMIA INVEST---MOPAN SUCEAVA---STRUNGARIU & CO RIGAMS LM,,2,24821.7,1
AMIA INVEST---S.C. apex expert S.R.L.---STEDYAN COM S.R.L.,,2,18292.25,1
AMIA INVEST---SC BLACK SEA EUROINVESTMENT SRL---STEDYAN COM S.R.L.,,2,78230.29,1
ANASTYL COM---DRAGON.RC,,2,4535.99,1
ANASTYL COM---LECONFEX S.R.L.---NICOLA CARM IMPEX,,2,6532.78,1
Andromi COM---Carmangeria-Dalia S.R.L.---Eurogrup Bogdan,,2,64956.63,1
ANDROMI COM---CARMANGERIA JUPÂNUL S.R.L.---CRIS-TIM FAMILY HOLDING---EUROGRUP BOGDAN---MARIFLOR PRODCOM S.R.L.,,2,55076.75,1
ANDROMI COM---CINA CARMANGERIE S.R.L.---TRANSEURO,,2,1240.27,1
ANDROMI COM---COREX S.R.L.---TRANSEURO,,2,17599.37,2
ANDROMI COM---CRIS-TIM COMPANIE DE FAMILIE---SIGISMUND COM,,2,19018.59,1
ANDROMI COM---DOIMAN COM S.R.L.---SIGISMUND COM,,2,75552.54,2
ANDROMI COM---EUROGRUP BOGDAN---PRODLACTA SRL---SIGISMUND COM,,2,62075.51,1
ANDROMI COM---EUROGRUP BOGDAN---ROMICS,,2,125100.21,1
ANDROMI COM---EUROGRUP BOGDAN---SIGISMUND COM,,2,123198.6,2
ANDROMI COM---INTER CONECTER  S.R.L.---ROMICS,,2,391845.1,1
ANDROMI COM---LECONFEX S.R.L.---SAMARA MEAT,,2,124141.01,1
ANDROMI COM---LECONFEX S.R.L.---S.C. ROMICS S.R.L.,,2,30346.44,1
ANDROMI COM---PARHAN COM S.R.L.---PRODLACTA SRL,,2,31015.73,1
ANDROMI COM---S.C. CARMANGERIA-DALIA S.R.L. S.R.L.,,2,78565.32,2
ANDROMI COM---S.C. CARMANGERIA-DALIA S.R.L. S.R.L.---S.C. PRESBAR S.R.L.,,2,98941.06,2
Apex Expert---ELLMAR COM,,2,198397.3,1
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---DOIMAN COM S.R.L.,,2,51731.7,2
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---PROVISION RETAIL PROD SRL---STEDYAN COM S.R.L.,,2,58283.24,1
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.,,2,4416.84,1
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---SC IRINEL SRL,,2,83362.71,2
APRO-COM-IMPEX S.R.L.---CARLAND S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,36465.03,2
APRO-COM-IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.,,2,15061.86,1
APRO-COM-IMPEX S.R.L.---HARPEK,,2,162088.11,1
APRO-COM-IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.,,2,78945.65,1
APRO-COM-IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S. C. MCA COMERCIAL S.R.L,,2,13106.69,1
APROMAR FOREST 2001,,2,341896.82,1
ARIMEX COMEXIM 2000,,2,3075706.61,1
AR LINIA TEA---STEAUA DE VEST S.R.L.,,2,513904.92,2
ASALT OFICIAL SRL,,2,30889.16,2
A.S.F. ASOCIATIA ARTOSNICOSANT---SC LUANIS SRL,,2,113604.74,1
ATLANTIC IMPEX---Baby Business SRL---PARHAN COM S.R.L.,,2,63282.03,1
AVI-GIIS S.R.L.---GEOCOR TRADE IMP-EXP---MATRA S.R.L.,,2,267180.62,1
AVI-GIIS S.R.L.---MATRA S.R.L.,,2,182295.43,1
Baby Business SRL---CARLAND S.R.L.---COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.---FALCONS,,2,4259.01,1
Baby Business SRL---DACOS DORU TOTAL---PARHAN COM S.R.L.,,2,20782.69,1
Baby Business SRL---Harghita Retail---ILM-COM S.R.L.---STEDYAN COM S.R.L.,,2,398.96,1
Baby Business SRL---PARHAN COM S.R.L.---PRODLACTA SRL,,2,15068.58,1
Baby Business SRL---UNICARM,,2,163359.3,2
BARTS DISTRIBUTIE S.R.L.---CRASTO COMIMPEX S.R.L.---MEDIPLUS EXIM---ROPHARMA LOGISTIC,,2,3674804.22,1
Bau Klincher Art,,2,567327.36,1
BBD BEST BRANDS DISTRIBUTION S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---MATRA S.R.L.,,2,808995.22,1
B.BRAUN MEDICAL,,2,32015.47,1
BEST PRICE MAGAZIN SRL---Dobre&Fiii---GRANBIS S.R.L,,2,23922.66,1
BIO CARPATHIA COOPERATIVA AGRICOLĂ,,2,620987.95,1
BIOGENETIX S.R.L.---NUTRIENT SOLUTIONS,,2,160915.52,1
BIOTA COM S.R.L.---ELLMAR COM,,2,71944.96,2
BISCOTTO SRL---FAGUL IMPEX---G T P D---ISIS-PAN---UTOPIA PROD COM,,2,2114955.64,1
BISCOTTO SRL---FAGUL IMPEX---R & B COM S.R.L.,,2,2221463.65,2
BLACK SEA EUROINVESTMENT---CARLAND S.R.L.---LEGUME FRUCTE COM S.R.L.---PROVIGO TRADE S.R.L.---ROBAND COMPROD S.R.L.,,2,134021.45,1
BLACK SEA EUROINVESTMENT---COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.,,2,16551.05,1
BLACK SEA EUROINVESTMENT---COMPRODCOOP,,2,28302.35,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---OLYMEL FLAMINGO FOOD S.R.L.,,2,249553.38,1
BLACK SEA EUROINVESTMENT---COMSORADI SRL---SELGROS CASH&CARRY SRL,,2,72265.27,1
BLACK SEA EUROINVESTMENT---COPANEX S.R.L.,,2,193937.2,2
BLACK SEA EUROINVESTMENT---CRIS-TIM COMPANIE DE FAMILIE,,2,51175.45,2
BLACK SEA EUROINVESTMENT---CRIS-TIM COMPANIE DE FAMILIE---FRAHER DISTRIBUTION,,2,26924.75,1
BLACK SEA EUROINVESTMENT---DELTALACT S.A.,,2,75038.71,2
BLACK SEA EUROINVESTMENT---DELTALACT S.A.---LEGUME FRUCTE COM S.R.L.,,2,113302.04,1
BLACK SEA EUROINVESTMENT---DELTALACT S.A.---OLYMEL FLAMINGO FOOD S.R.L.,,2,13427.09,1
BLACK SEA EUROINVESTMENT---ELLMAR COM,,2,130206.58,1
BLACK SEA EUROINVESTMENT---GRANBIS---LEGUME FRUCTE COM S.R.L.---METRANS---STEDYAN COM,,2,77821.8,1
BLACK SEA EUROINVESTMENT---GRANBIS---MAKDOOR DISTRIBUTION,,2,462545.37,1
BLACK SEA EUROINVESTMENT---GRANBIS---MIRMAN COMPANY  SRL---S. C. MCA COMERCIAL S.R.L---STEDYAN COM,,2,163649.55,1
BLACK SEA EUROINVESTMENT---LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.,,2,36769.28,1
BLACK SEA EUROINVESTMENT---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SELGROS CASH&CARRY SRL,,2,176355.81,1
BLACK SEA EUROINVESTMENT---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,8160.12,1
BLACK SEA EUROINVESTMENT---NORDIC IMPEX S.R.L.,,2,83654.98,1
BLACK SEA EUROINVESTMENT---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,2,42833.5,2
BLACK SEA EUROINVESTMENT---S. C. MCA COMERCIAL S.R.L---S.C NISARA IMPEX S.R.L---SELGROS CASH&CARRY SRL---VRANLACT DISTRIBUTION,,2,9824.19,1
BLACK SEA EUROINVESTMENT---SELGROS CASH&CARRY SRL,,2,21119.58,1
BLACK SEA EUROINVESTMENT---SIGISMUND COM,,2,23602.56,1
BLACK SEA EUROINVESTMENT---STEDYAN COM,,2,10930.61,1
BMK GLOBAL IMPORT EXPORT SRL---GRANBIS S.R.L---PFA AMARIEI G. PETRU,,2,28633.61,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---EURICOM TRADE SRL---MATRA S.R.L.---PROVIGO TRADE S.R.L.,,2,2655.26,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---PROVIGO TRADE S.R.L.,,2,32212.63,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---S.C. AMA FRUCT CP S.R.L.,,2,199159.53,2
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---SC IRINEL SRL,,2,34823.53,1
Bobix Star S.R.L.---Euricom Trade S.R.L.---S.C. Irinel S.R.L.,,2,12674.94,1
BOBIX STAR S.R.L.---FALCONS---LEGUME FRUCTE COM S.R.L.,,2,20056.78,1
BOBIX STAR S.R.L.---FALCONS---SORION BĂLENI,,2,10961.68,1
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---NORDIC IMPEX S.R.L.---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL,,2,21737.43,1
BOBIX STAR S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,67949.26,2
BOBIX STAR S.R.L.---PROVIGO TRADE S.R.L.,,2,5544.51,1
BOBIX STAR S.R.L.---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL,,2,2711.11,1
BOBIX STAR S.R.L.---S.C. AMA FRUCT CP S.R.L.,,2,194103.83,2
BOBIX STAR S.R.L.---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,2,179751.17,2
BOWEL PROCESSING---PROVIGO TRADE S.R.L.---RADICSTAR,,2,82471.15,1
B.P. ANKROB IMPEX---C&M ARTIC IMPORT EXPORT SRL,,2,142170.29,2
B.P. ANKROB IMPEX---EUROGRUP BOGDAN,,2,26211.52,1
B.P. ANKROB IMPEX---Harghita Retail,,2,24627.86,1
B.P. ANKROB IMPEX---PARHAN COM S.R.L.,,2,6705.28,1
B.P. ANKROB IMPEX---S.C. AMA FRUCT CP S.R.L.,,2,10121.69,2
B.P. ANKROB IMPEX---SC IRINEL SRL,,2,224857.26,2
B.P. ANKROB IMPEX---S.C NISARA IMPEX S.R.L,,2,1333660.39,1
BRUTARIA PATRAS S.R.L.---LISIPROD S.R.L.---SILVA PAN SRL,,2,199857.77,2
BRUTARIA PATRAS S.R.L.---SILVA PAN SRL---SIMPEL,,2,91640.1,2
C-AGLA-C COM SRL---S.C NISARA IMPEX S.R.L,,2,100699.79,1
CAPISCO SERVCOM SRL---STEDYAN COM S.R.L.,,2,28622.14,1
CAPRARU COMP SRL---DIACARN FOOD,,2,267974.35,1
Carland S.R.L.---Company 94 Pirnau S.R.L.---Doiman Com S.R.L.---Geocor Trade Imp-Exp---Olymel Flamingo Food S.R.L.,,2,14902.84,1
Carland S.R.L.---Company 94 Pirnau S.R.L.---Doiman COM S.R.L.---Matra S.R.L.,,2,212057.96,1
CARLAND S.R.L.---COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.,,2,25387.39,2
Carland S.R.L.---Company 94 Pirnau S.R.L.---Matra S.R.L.,,2,108372.77,1
CARLAND S.R.L.---COMPRODCOOP SA---SKY GENERALL BUSINESS,,2,59689.12,1
CARLAND S.R.L.---DELTALACT S.A.---OLYMEL FLAMINGO FOOD S.R.L.,,2,144791.71,2
CARLAND S.R.L.---GEOCOR TRADE IMP-EXP---OLYMEL FLAMINGO FOOD S.R.L.,,2,24200.91,1
CARLAND S.R.L.---GRANBIS---LEGUME FRUCTE COM S.R.L.,,2,18242.32,2
CARLAND S.R.L.---GRANBIS---MATRA S.R.L.,,2,12569.64,1
CARLAND S.R.L.---GRANBIS---OLYMEL FLAMINGO FOOD S.R.L.,,2,25988.67,2
CARLAND S.R.L.---LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.,,2,46109.45,2
CARLAND S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.,,2,12909.37,1
CARLAND S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,2,37027.73,2
CARLAND S.R.L.---PARHAN COM S.R.L.---SIGISMUND COM,,2,31387.93,1
CARMANGERIA-DALIA S.R.L.---LECONFEX S.R.L.,,2,398485.48,1
CARMANGERIA-DALIA S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,2,200.79,1
CARMANGERIA JUPÂNUL S.R.L.---CINA CARMANGERIE S.R.L.---TRANSEURO,,2,6070.21,1
CARMANGERIA JUPÂNUL S.R.L.---COREX S.R.L.---S.C NISARA IMPEX S.R.L,,2,76470.7,1
CARMANGERIA JUPÂNUL S.R.L.---S.C NISARA IMPEX S.R.L---SIGISMUND COM,,2,57952.27,1
CARMO LACT PROD S.R.L.---COMIGA PROD IMPEX S.R.L.---LACTATE NATURA,,2,8445.09,2
CARPATIS---COPANEX S.R.L.---S.C NISARA IMPEX S.R.L,,2,93343.79,2
CARPATIS---DIACARN FOOD---GEOCOR TRADE IMP-EXP,,2,46755.67,2
CARPATIS---ELLMAR COM,,2,37131.97,2
CARPATIS---ELLMAR COM---S.C NISARA IMPEX S.R.L,,2,12092.99,1
CARPATIS---ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.,,2,20205.53,1
CARPATIS---FIVE CONTINENTS S.R.L.---GECOR GROUP GL SRL,,2,181805.55,1
CARPATIS---GEOCOR TRADE IMP-EXP---NICBAC PROD,,2,63366.86,2
CARPATIS---NICBAC PROD,,2,215294.47,2
CARPATIS---SALTEMPO S.R.L.,,2,127810.54,2
CARPATIS---S.C NISARA IMPEX S.R.L---S.C. SALTEMPO S.R.L. S.R.L.,,2,11826.64,1
CARPATIS---S.C. SALTEMPO S.R.L. S.R.L.,,2,4966.05,1
CARPATIS---VASCAR S.A.,,2,143445.58,2
CAS,,2,92611.84,2
CHOCOLADA ADRIDEN SRL,,2,65964.51,1
CINA CARMANGERIE S.R.L.---JOLDOS PROIMPEX S.R.L.,,2,13352.43,1
CINA CARMANGERIE S.R.L.---LECONFEX---MOLDOVAN CARMANGERIE,,2,80189.0,1
CINA CARMANGERIE S.R.L.---LECONFEX---S.C NISARA IMPEX S.R.L,,2,31896.82,1
C&M ARTIC IMPORT EXPORT SRL---FINELOR PRESTCOM S.R.L.---FORTUS S.R.L.,,2,129479.65,1
C&M ARTIC IMPORT EXPORT SRL---FORTUS S.R.L.---PFA AMARIEI G. PETRU,,2,564192.3,1
COFETĂRIA TOFFEE,,2,92756.28,1
COMEXIM R---RARVALSERV SRL,,2,55383.04,1
COMIGA PROD IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.,,2,6188.79,2
COMIGA PROD IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---GEOCOR TRADE IMP-EXP S.R.L.,,2,4453.35,1
COMIGA PROD IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---STEDYAN COM S.R.L.,,2,13453.46,2
COMIGA PROD IMPEX S.R.L.---COREX S.R.L.,,2,28619.99,2
COMIGA PROD IMPEX S.R.L.---COREX S.R.L.---LACTATE NATURA,,2,23322.44,2
COMIGA PROD IMPEX S.R.L.---DOIMAN COM S.R.L.---EURICOM TRADE SRL,,2,2136.26,2
COMIGA PROD IMPEX S.R.L.---DOIMAN COM S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.,,2,1309.51,1
COMIGA PROD IMPEX S.R.L.---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,,2,1548.12,2
COMIGA PROD IMPEX S.R.L.---ELCOMER ACHIZITII---FALCONS,,2,22133.54,1
COMIGA PRODIMPEX S.R.L.---FLORINA S.R.L.---GIGI & CO S.R.L.---SABY MIRIFIC SRL---SC CALIFARUL NEGRU SRL,,2,105670.38,1
COMIGA PROD IMPEX S.R.L.---GEOCOR TRADE IMP-EXP---LACTATE NATURA,,2,74010.46,1
COMIGA PROD IMPEX S.R.L.---LACTATE NATURA---VIC PROD S.R.L.,,2,81701.09,2
COMIGA PROD IMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,27966.99,2
COMIGA PROD IMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,2,18161.84,1
COMPANY 94 PIRNAU SRL---FALCONS---MATRA S.R.L.,,2,159972.52,1
COMPANY 94 PIRNAU SRL---FALCONS---PARHAN COM S.R.L.,,2,100046.66,1
COMPANY 94 PIRNAU SRL---FALCONS---S.C. AMA FRUCT CP S.R.L.,,2,33986.51,2
COMPANY 94 PIRNAU SRL---FALCONS---S. C. MCA COMERCIAL S.R.L,,2,48518.84,2
COMPANY 94 PIRNAU SRL---FALCONS---SORION BĂLENI,,2,7467.06,1
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.,,2,33879.91,2
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---NED COM,,2,8996.22,1
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,2,59675.14,1
COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.---VIVOPREST DISTRIBUTION S.R.L.,,2,53221.26,1
COMPANY 94 PIRNAU SRL---SC BLACK SEA EUROINVESTMENT SRL,,2,31697.35,1
COMPRODCOOP---NORDIC IMPEX S.R.L.,,2,4723.15,1
COMSORADI SRL---FALCONS---S.C NISARA IMPEX S.R.L,,2,83814.92,1
COMSORADI SRL---NICBAC PROD---SC BLACK SEA EUROINVESTMENT SRL,,2,245466.62,1
COMSORADI SRL---OLYMEL FLAMINGO FOOD S.R.L.---SELGROS CASH&CARRY SRL,,2,153285.42,1
COMSORADI SRL---PROVIGO TRADE S.R.L.,,2,143442.56,1
CONSERVFRUCT S.R.L.---ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.,,2,48042.75,2
CONSERVFRUCT S.R.L.---ELLMAR COM---STEDYAN COM S.R.L.,,2,22757.71,2
CONSERVFRUCT S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,,2,31610.73,2
CONSERVFRUCT S.R.L.---S.C. AMA FRUCT CP S.R.L.---SC BLACK SEA EUROINVESTMENT SRL---STEDYAN COM S.R.L.,,2,39672.54,1
CONSERVFRUCT S.R.L.---S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,2,15083.82,1
CONSERVFRUCT S.R.L.---STEDYAN COM---STRUNGARIU & CO RIGAMS LM,,2,44484.0,1
CONTRACT COM S.R.L.,,2,34390.62,1
COPANEX S.R.L.---ELLMAR COM---OLYMEL FLAMINGO FOOD S.R.L.,,2,96602.52,1
COPANEX S.R.L.---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---RADICSTAR,,2,60428.73,1
COPANEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,215564.86,2
COPANEX S.R.L.---STEDYAN COM S.R.L.---STRUNGARIU & CO RIGAMS LM SNC,,2,5030.72,1
COREX S.R.L.---DELTALACT S.A.---LACTATE NATURA,,2,16350.33,2
COREX S.R.L.---DIACARN FOOD---GEOCOR TRADE IMP-EXP,,2,21213.05,1
COREX S.R.L.---DIANA S.R.L.---MATRA S.R.L.,,2,41174.21,2
COREX S.R.L.---ELCOMER ACHIZITII---VANBET SRL,,2,60908.26,1
COREX S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.,,2,26117.23,2
COREX S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---S.C. AMA FRUCT CP S.R.L.---ZIM Prestserv,,2,39975.62,2
COREX S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---SPICUL 2---VANBET SRL,,2,91516.82,2
COREX S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---SPICUL 2---VANBET SRL---ZIM Prestserv,,2,69149.44,2
COREX S.R.L.---GEOCOR TRADE IMP-EXP---VANBET SRL,,2,15161.43,2
COREX S.R.L.---LACTATE NATURA,,2,24078.03,2
COREX S.R.L.---LACTATE NATURA---VIC PROD S.R.L.,,2,13606.43,2
COREX S.R.L.---LECONFEX S.R.L.---ROMFULDA PROD S.R.L.,,2,25608.16,1
COREX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,2,114290.36,2
COREX S.R.L.---S.C. ELCOMER ACHIZITII S.R.L.---S.C. FILVAS SERVCOM S.R.L.,,2,42396.6,1
COREX S.R.L.---S.C. Harghita Retail S.R.L.,,2,192849.76,1
Corex S.R.L.---S.C. Nisara Impex S.R.L.---Saltempo S.R.L.,,2,330068.06,2
Corex S.R.L.---S.C. Nisara Impex S.R.L.---Spicul 2,,2,61249.62,1
COREX S.R.L.---SPICUL 2,,2,159384.3,2
Corex S.R.L.---Vanbet S.R.L.---Vascar S.A.,,2,77706.6,1
Crescendo S.R.L.,,2,941878.72,1
CRIS GARDEN---GARDEN CENTER GRUP S.R.L.---GECA IMPEX P.M.---HIRIS GARDEN EXPERT,,2,598528.5,1
CRISTIAN IMPEX BAKERY---LIDAS S.R.L.,,2,129648.57,1
Cristim 2 Prodcom---ELLMAR COM---S.C. SALTEMPO S.R.L. S.R.L.,,2,3097.64,1
Cristim 2 Prodcom---LECONFEX S.R.L.---TARPI S.R.L.,,2,4141.82,1
Cristim 2 Prodcom---LECONFEX S.R.L.---TRANSEURO,,2,14738.35,1
CRIS-TIM COMPANIE DE FAMILIE---CUW IMPEX---LECONFEX,,2,41489.79,1
CRIS-TIM COMPANIE DE FAMILIE---DIACARN FOOD---SC TELDO TRANS SRL,,2,84501.04,1
CRIS-TIM COMPANIE DE FAMILIE---LECONFEX,,2,75918.32,1
Cristim - Tim Companie de Familie SRL---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,2,75538.25,2
Cristim - Tim Companie de Familie SRL---MATRA S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,,2,119069.39,2
CRISTIN NL IMPEX SRL,,2,446626.0,2
CRISTIPAN ACTIV S.R.L.---DANIS COM EX PROD S.R.L.---GREWE,,2,100384.03,1
Dania Brothers,,2,33809.63,1
DANY PROD SUPREM---S.C. AMA FRUCT CP S.R.L.,,2,310367.45,1
Da Silva S.R.L.---Lucsor Impex S.R.L.---Olymel Flamingo Food S.R.L.,,2,445628.3,2
