winner_name,wins,total_value_ron,first_win,last_win,distinct_buyers,distinct_cpvs
DANY PROD SUPREM,4,513921.28,,,1,1
Dark Forest S.R.L.,4,83514.21,,,1,1
DOIMAN COM S.R.L.---MATRA S.R.L.---PROVISION RETAIL PROD SRL,4,37990.22,,,2,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---EURICOM TRADE SRL,4,32621.65,,,1,1
S.C Nisara Impex S.R.L,4,312040.13,,,4,3
DAVIO PAN GRUP IMPEX---HARMOPAN,4,90240.78,,,1,1
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---S.C. AMA FRUCT CP S.R.L.,4,71800.59,,,3,2
DOIMAN COM S.R.L.---LECONFEX S.R.L.---STEDYAN COM S.R.L.,4,17492.83,,,1,1
DOIMAN COM S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,4,43168.89,,,4,2
ACVILA---CANAMAR---ROMICS---SIGISMUND COM,4,194650,,,1,1
Deltalact Distributie,4,153793.69,,,1,1
DELTALACT S.A.---GRANBIS---OLYMEL FLAMINGO FOOD S.R.L.,4,65780.19,,,1,1
PRODUCTIE MILKCOM S.R.L.,4,46131.01,,,2,1
COPANEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,3,2273.03,,,1,1
Ama Fruct CP---Legume Fructe COM S.R.L.,3,299099.72,,,1,1
Adcon---Doiman Com S.R.L.,3,102564.8,,,1,1
COMIGA PROD IMPEX S.R.L.---FALCONS---S.C NISARA IMPEX S.R.L,3,161882.72,,,1,1
LAKTOTRIO 2001 PROD,3,39889.29,,,2,2
ADCON---OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.,3,6192.22,,,2,2
COMIGA PROD IMPEX S.R.L.---DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.,3,36734.73,,,2,2
LARISCH EXIM---UNICARM,3,169892.54,,,2,1
DARALI STAR,3,40009.88,,,1,1
Terol Prod S.R.L.,3,46375.58,,,1,1
GARDEN CENTER GRUP S.R.L.---RO-VERDE LANDSCAPING S.R.L.,3,630868.12,,,1,1
LA STRADA BAKERY SRL,3,36569.28,,,1,1
COMIGA PROD IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,3,2033.05,,,3,2
ANDROMI COM---EUROGRUP BOGDAN---MACELARIA JUPANUL---MARIFLOR PRODCOM S.R.L.,3,63655.39,,,1,1
LECONFEX---MURICOM S.R.L.,3,68470.59,,,1,1
OLYMEL FLAMINGO FOOD S.R.L.---TARPI S.R.L.,3,242.99,,,3,1
S.C. Mopan Suceava S.A.,3,385442.74,,,3,3
DIACARN FOOD---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,250224.54,,,2,2
LECONFEX---NED COM---SIGISMUND COM,3,36366.96,,,1,1
CARLAND S.R.L.---PARHAN COM S.R.L.---PRODLACTA SRL,3,23674.09,,,1,1
FREGATA IMPEX,3,392984.53,,,1,1
LECONFEX---PRODLACTA SRL,3,154982.46,,,1,1
COREX S.R.L.---Cristim 2 Prodcom---LECONFEX S.R.L.,3,55503.43,,,2,1
FRAHER DISTRIBUTION---MATRA S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,3,524871.11,,,1,1
Roxar Prod Com S.R.L.,3,430762.22,,,2,1
DINU COMIMPEX---OLYMEL FLAMINGO FOOD S.R.L.,3,477678.05,,,1,2
AMA FRUCT CP---LECONFEX,3,18343.67,,,1,1
LECONFEX S.R.L.---NED COM---SIGISMUND COM,3,50403.33,,,1,1
LECONFEX S.R.L.---NORDIC IMPEX S.R.L.---TARPI S.R.L.,3,177134.01,,,2,1
FOOD DELIVERY,3,92118.72,,,2,2
Coca-Cola HBC România S.R.L.,3,46984.52,,,1,1
ANDROMI COM---CINA CARMANGERIE S.R.L.---JOLDOS PROIMPEX S.R.L.,3,86947.47,,,2,2
C&M ARTIC IMPORT EXPORT SRL---FORTUS S.R.L.---S.C NISARA IMPEX S.R.L,3,166728.19,,,1,1
LECONFEX S.R.L.---SC.DRAGON.RC.SRL---TRANSEURO,3,9296.57,,,1,1
LECONFEX S.R.L.---TARPI S.R.L.,3,42374.44,,,3,1
COREX S.R.L.---DIACARN FOOD---MATRA S.R.L.,3,116452.31,,,1,1
Simpel,3,409119.03,,,2,1
COREX S.R.L.---DOIMAN COM S.R.L.---MATRA S.R.L.,3,26406.87,,,2,1
LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.---NED COM,3,95478.16,,,2,2
LEGUME FRUCTE COM S.R.L.---NORDIC IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,50479.25,,,1,1
ROTMAN INDUSTRIES SRL---STIMPEX,3,1427771.65,,,1,1
ACVILA---SIGISMUND COM,3,183981.96,,,3,2
ANASTYL COM---NICOLA CARM IMPEX---SC.DRAGON.RC.SRL,3,10985.61,,,1,1
ADCON---DOIMAN COM S.R.L.---LECONFEX S.R.L.,3,3397.49,,,2,2
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---S. C. MCA COMERCIAL S.R.L,3,83984.73,,,2,2
Alexgold Distribution SRL---CARLAND S.R.L.---COMPANY 94 PIRNAU SRL,3,153501.11,,,1,1
ACVILA---LECONFEX S.R.L.---SIGISMUND COM,3,99349.29,,,2,2
FINELOR PRESTCOM S.R.L.,3,8387.11,,,2,2
CINA CARMANGERIE S.R.L.---DIANA---S.C NISARA IMPEX S.R.L,3,38989.88,,,1,1
PALAS COM---SC MEDMURES SRL,3,22290.18,,,1,1
CINA CARMANGERIE S.R.L.---COREX S.R.L.---JOLDOS PROIMPEX S.R.L.,3,45882.64,,,3,1
POPA ILEANA,3,18970.05,,,2,1
AMA FRUCT CP---C-AGLA-C COM SRL---KALMAN DISTRIBUTION S.R.L.,3,40472.22,,,1,1
LEGUME FRUCTE COM S.R.L.---SORION BĂLENI---STEDYAN COM,3,49887.23,,,1,1
LEGUME FRUCTE COM S.R.L.---SORION BĂLENI---STEDYAN COM S.R.L.,3,145667.71,,,2,1
Alvino S.R.L.,3,111765.56,,,1,2
PAM ALY 2007---STEDYAN COM,3,221360.45,,,1,1
Romaqua Group,3,83743.77,,,1,1
Derpan S.R.L.,3,2714946.17,,,2,2
CIBIBON,3,1377442.82,,,1,1
Farten Food S.R.L.---Leconfex S.R.L.---Romics,3,76016.05,,,1,1
AMIA INVEST---S.C. FILVAS SERVCOM S.R.L.---STEDYAN COM S.R.L.,3,13488.32,,,1,3
Farmexpert D.C.I. S.R.L.,3,975223.04,,,1,1
Carmo Lact Prod S.R.L.,3,6612.62,,,1,1
PRODLACTA SRL---SIGISMUND COM,3,71172.5,,,1,1
ROLEGFRUCT,3,358974.05,,,1,1
DAVIO PAN GRUP IMPEX---MOPAN SUCEAVA,3,113073.38,,,3,1
C I A ABOLIV S.R.L.,3,23278.22,,,1,1
AMIA INVEST---RULTRANS INDUSTRY 93 SRL---STEDYAN COM,3,27123.43,,,1,1
FALCONS---S.C NISARA IMPEX S.R.L,3,240947.72,,,1,2
SLATINA FOREST S.R.L.,3,1422109.7,,,1,1
FALCONS---PAM ALY 2007,3,144241.34,,,1,1
CEREALCOM GALAȚI SOCIETATE PE ACŢIUNI,3,6435029.97,,,1,1
LISIPROD S.R.L.,3,222388.7,,,1,1
FALCONS---OLYMEL FLAMINGO FOOD S.R.L.,3,137842.91,,,3,2
Roalmisa INV,3,275267.28,,,3,3
CEASIS IMPEX,3,52046.2,,,1,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,22002.26,,,3,2
CARPATIS---S.C NISARA IMPEX S.R.L,3,99885.93,,,2,2
BRUTARIA PATRAS---FLORIAN,3,333470.74,,,2,2
CARPATIS---DIACARN FOOD---SALTEMPO S.R.L.,3,37476.45,,,3,3
FALCONS---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,50700.18,,,1,2
COREX S.R.L.---LECONFEX,3,162812.15,,,1,1
M.A. Cristina S.R.L.,3,33169.68,,,3,2
BIOTA COM S.R.L.---CARPATIS,3,67808.55,,,2,2
ADCON---STEDYAN COM S.R.L.,3,73547.84,,,2,1
FAGUL IMPEX---POL FRUCT SRL,3,320071.51,,,1,1
COREX S.R.L.---LECONFEX S.R.L.---NORDIC IMPEX S.R.L.,3,32500.72,,,2,1
Fagul Impex,3,155877.54,,,2,2
FACOS,3,3123.31,,,1,1
Ambrosia---SIGISMUND COM,3,654316.68,,,1,1
Ambrosia---PREXICO S.R.L.,3,83972.75,,,1,1
Mariflor Servcom,3,275008.84,,,1,1
S.C. Euro Pati S.R.L.,3,139086.56,,,1,3
EXIMAL IMPEX---LECONFEX S.R.L.,3,4494.23,,,2,2
COREX S.R.L.---LECONFEX S.R.L.---TARPI S.R.L.,3,52138.01,,,2,1
S.C. EUROGRUP BOGDAN S.R.L.,3,4481883.43,,,1,1
EXIMAL IMPEX---JOLDOS PROIMPEX S.R.L.---LECONFEX,3,29331.84,,,1,1
PRESTIGIOSA PRODCOM S.R.L.---S.C. AMA FRUCT CP S.R.L.,3,127365.84,,,2,2
COREX S.R.L.---LEGUME FRUCTE COM S.R.L.,3,108113.38,,,3,2
EUROPROD SA,3,18450.61,,,2,1
COREX S.R.L.---LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.,3,86295.32,,,3,2
COREX S.R.L.---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,94018.09,,,3,2
PARHAN COM S.R.L.---PRODLACTA SRL---ROMICS---SIGISMUND COM,3,63404.34,,,1,1
S.C. ELIT S.R.L. S.R.L.,3,1834.44,,,2,1
COREX S.R.L.---MATRA S.R.L.,3,208492.49,,,3,2
AMA FRUCT CP---EUROGRUP BOGDAN---PARHAN COM S.R.L.,3,2288.94,,,2,2
ACVILA---AGRO ROPAN IMPEX---DOIMAN COM S.R.L.---DYNAMIC BUSINESS SERVICE---La Leul Com,3,61853.45,,,1,1
AMA FRUCT CP---DOIMAN COM S.R.L.---PARHAN COM S.R.L.,3,31144.66,,,2,2
Bobix Star S.R.L.---Doiman Com S.R.L.---S.C. Irinel S.R.L.,3,30330.65,,,1,1
SC NEW LOGISTIC EXPERTS SRL,3,609493.24,,,2,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,3,5580.62,,,1,1
EUROGRUP BOGDAN---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,3,10658.44,,,1,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,3,68919.92,,,3,1
COREX S.R.L.---MATRA S.R.L.---VIC PROD S.R.L.,3,49254.98,,,2,1
COREX S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,3,79606.5,,,2,2
COREX S.R.L.---S.C NISARA IMPEX S.R.L,3,163409.74,,,2,3
AMARIEI G. PETRU---SORION BĂLENI---STEDYAN COM S.R.L.,3,9811.72,,,1,1
ADCON---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,3,3371.79,,,3,2
Matrix Silva Total S.R.L.,3,31708.81,,,1,1
Amariei G. Petru---S.C. Elcomer Achiziții S.R.L.---S.C. Libro Events S.R.L.,3,505991.19,,,1,1
MDS Consulting,3,13914.32,,,1,1
AMARIEI G. PETRU---RULTRANS INDUSTRY 93 SRL---STEDYAN COM,3,108311.37,,,1,1
ADCON---BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.,3,3877.15,,,1,1
ELLY FOOD TRADIŢIONAL---LECONFEX---UNICARM,3,107265.83,,,1,1
ADCON---LEGUME FRUCTE COM S.R.L.,3,13751.85,,,2,1
AGRICOVER---S M RECOSEMTRACT,3,15747.23,,,1,1
DOIMAN COM S.R.L.---LECONFEX S.R.L.---PARHAN COM S.R.L.,3,19437.17,,,1,1
BISCOTTO SRL---FAGUL IMPEX---ISIS-PAN---R & B COM S.R.L.,3,2172181,,,1,1
DOIMAN COM S.R.L.---GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA---LEGUME FRUCTE COM S.R.L.,3,73238.77,,,2,2
DOIMAN COM S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---STEDYAN COM S.R.L.,3,30884.96,,,3,2
AGRITWINS S.R.L.---AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,3,27948.79,,,1,1
ELLMAR COM---S.C NISARA IMPEX S.R.L,3,11453.94,,,1,2
AMARIEI G. PETRU---METRO CASH & CARRY ROMANIA S.R.L.---PARHAN COM S.R.L.,3,13358.47,,,1,1
AMA FRUCT CP---B.P. ANKROB IMPEX---Baby Business SRL---STEDYAN COM S.R.L.,3,13275.14,,,1,1
AGRITWINS S.R.L.---AMA FRUCT CP---MIRMAN COMPANY  SRL,3,10927.14,,,1,1
METITEX AGRO FOOD---SADAGRO INTERPROD,3,173657.18,,,1,1
S.C. PREXICO S.R.L. S.R.L.,3,11805.83,,,2,1
DOIMAN COM S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---MATRA S.R.L.,3,85415.54,,,2,1
PARHAN COM S.R.L.---ROMICS---STEDYAN COM,3,89587.38,,,1,1
SUPER LACTIS,3,68627.46,,,1,1
Tarpi,3,10384.66,,,1,1
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP,3,14797.31,,,1,1
ACVILA---ANDROMI COM---SIGISMUND COM,3,48958.65,,,2,2
DOIMAN COM S.R.L.---EURICOM TRADE SRL---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL,3,1344.13,,,1,1
AMARIEI G. PETRU---LEGUME FRUCTE COM S.R.L.---STEDYAN COM S.R.L.,3,17587.73,,,2,2
B.P. ANKROB IMPEX---LECONFEX S.R.L.,3,242427.25,,,2,3
AMARIEI G. PETRU---LEGUME FRUCTE COM S.R.L.---SIGISMUND COM,3,134959.63,,,1,1
Utopia Prod Com,3,2041609.33,,,1,1
METRANS---RAMA CLAU---SC PLUSTER PROTECT SRL,3,161247.34,,,2,2
ADCON---LECONFEX S.R.L.---SIGISMUND COM,3,14794.47,,,3,2
AGRITWINS S.R.L.---AMARIEI G. PETRU---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,3,37135.23,,,1,1
S.C. Dragon R.C. S.R.L.,3,122678.01,,,1,1
PARHAN COM S.R.L.---UNICARM,3,68361.08,,,1,1
TREI BRUTARI,3,3760.02,,,1,1
SC DELMAR FOREST LOGISTIC SRL,3,311839.88,,,1,1
Provision Retail Prod S.R.L.,3,89968.4,,,2,2
Metro Cash & Carry România S.R.L.,3,50475.42,,,2,2
MIDO,3,37099,,,1,1
ACVILA---ANDROMI COM---S.C. ROMICS S.R.L.,3,34858.43,,,2,2
B.P. ANKROB IMPEX---COREX S.R.L.---SC RADIPCOM SRL,3,156608.53,,,1,1
MOPAN SUCEAVA---STEDYAN COM,3,1246.71,,,2,2
MURICOM---PARHAN COM S.R.L.---VIVOPREST DISTRIBUTION S.R.L.,3,44106.01,,,1,1
Agromipa---Muricom S.R.L.,3,31767.36,,,1,1
BOWEL PROCESSING---COMSORADI SRL,3,20938.09,,,1,1
Paumaro S.R.L.,3,130320.91,,,1,3
NED COM---OLYMEL FLAMINGO FOOD S.R.L.---SIGISMUND COM,3,57180.41,,,2,2
Ned Com---Olymel Flamingo Food S.R.L.---Stedyan Com S.R.L.,3,10049.12,,,2,2
DELTALACT S.A.---GRANBIS,3,171581.39,,,2,1
S.C. CASA PAINII S.R.L.,3,112668.91,,,2,1
RAMA CLAU---S.C NISARA IMPEX S.R.L---SC PLUSTER PROTECT SRL,3,311076.28,,,2,2
BLACK SEA EUROINVESTMENT---ELCOMER ACHIZITII---LEGUME FRUCTE COM S.R.L.,3,244758.07,,,1,1
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,24395.06,,,3,2
DUAL TOP S.R.L.,3,77175.53,,,1,1
NICBAC PROD---OLYMEL FLAMINGO FOOD S.R.L.,3,221393.14,,,2,2
CRISTIPAN ACTIV S.R.L.---PRIORITAR IMPEX S.R.L.---SIGISMUND COM,3,198680.06,,,2,2
ADCON---BLACK SEA EUROINVESTMENT,3,73289.85,,,2,2
Prodman S.R.L.,3,39371.88,,,1,1
NORDIC IMPEX S.R.L.---TARPI S.R.L.,3,45542.64,,,2,1
DRAGON.RC---VALYBIA COM,3,130728.44,,,3,3
Nova Food Services S.R.L.,3,249022.83,,,3,2
DRAGON.RC---TRANSEURO---VALYBIA COM,3,30671.08,,,1,2
DRAGON.RC---TRANSEURO,3,38979.9,,,2,2
DOBROGEA GRUP S.A.,3,264230.18,,,2,2
Agro Sanvet S.R.L.,3,874927.44,,,1,1
AMA FRUCT CP---RONY BIO GROUP---STEDYAN COM,3,42343.55,,,1,1
AMA FRUCT CP---COMPANY 94 PIRNAU SRL---FALCONS,3,156955.94,,,2,2
S.C. MOPAN SUCEAVA S.A.---STEDYAN COM S.R.L.,3,1685.84,,,3,2
DRAGON.RC---EXIMAL IMPEX,3,21829.7,,,2,2
RAION S.R.L.,3,138126.77,,,3,1
S.C. AMA Fruct CP S.R.L.,3,81293.17,,,2,2
S.C. Aicbac S.A.,3,176460.56,,,1,1
Nutrivet,3,46338.89,,,2,2
Radicstar S.R.L,3,422141.83,,,3,3
OANA,3,139095.45,,,1,1
BLACK SEA EUROINVESTMENT---LEGUME FRUCTE COM S.R.L.---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,413288.63,,,1,1
Dobre & Fiii,3,7091346.39,,,2,2
CUW IMPEX---LECONFEX---OLYMEL FLAMINGO FOOD S.R.L.,3,51447.72,,,1,1
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---PROVIGO TRADE S.R.L.,3,3689.31,,,1,1
COMPANY 94 PIRNAU SRL---SORION BĂLENI---STEDYAN COM,3,49009.44,,,1,1
G T P D---MATRA S.R.L.,3,450101.15,,,1,1
APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---STEDYAN COM S.R.L.,3,82085.41,,,3,1
G&T Services,3,26483.58,,,1,1
G&T Services S.R.L.,3,138016.47,,,1,1
COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.---S.C. AMA FRUCT CP S.R.L.,3,50096.92,,,3,2
ADCON---COREX S.R.L.,3,10802.52,,,3,1
SELECT CATERING S.R.L.,3,561980.79,,,1,1
VARGA QUATTRO,3,573796.62,,,2,2
GRANPAN DOR,3,3653170.98,,,1,1
COMPANY 94 PIRNAU SRL---NED COM---STEDYAN COM S.R.L.,3,15842.42,,,2,2
HARPEK---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---SIGISMUND COM---STEDYAN COM,3,65702.75,,,1,1
COMPRODCOOP---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,17515.16,,,2,2
S.C. Vavir Zetea Trans S.R.L.,3,9251.16,,,1,1
HARPEK---PRESTIGIOSA PRODCOM S.R.L.,3,244627.56,,,1,2
APRO-COM-IMPEX S.R.L.---COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,3,18386.93,,,3,2
AMA FRUCT CP---PARHAN COM S.R.L.---PRADYUMNA---STEDYAN COM---SUPER EXTRA PAN S.R.L.,3,119633.92,,,1,1
HARPEK---STEDYAN COM,3,138066.5,,,3,3
DOIMAN COM S.R.L.---ROMICS---SIGISMUND COM,3,210470.62,,,1,1
CARLAND S.R.L.---DOIMAN COM S.R.L.---MATRA S.R.L.,3,74005.98,,,2,1
I.I. Hurmuz Florinel,3,544585.41,,,1,2
COMSORADI SRL---DIACARN FOOD---S.C NISARA IMPEX S.R.L,3,469657.09,,,2,2
DOIMAN COM S.R.L.---PARHAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,3,64036.2,,,2,2
AMA FRUCT CP---OVISIM IMPEX S.R.L.,3,64494.88,,,1,1
DOIMAN COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.---SUPER EXTRA PAN S.R.L.,3,92319.22,,,1,1
CARLAND S.R.L.---COMPANY 94 PIRNAU SRL---OLYMEL FLAMINGO FOOD S.R.L.,3,222653.26,,,1,1
Ilm-Com S.R.L.,3,387685.32,,,1,2
COMSORADI SRL---FRAHER DISTRIBUTION S.R.L.---GEOCOR TRADE IMP-EXP---GRANBIS---MATRA S.R.L.---SALTEMPO S.R.L.---TRANSLIMA,3,83516.93,,,1,1
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---SORION BĂLENI,3,24119.85,,,3,1
APRO-COM-IMPEX S.R.L.---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,3,30137.04,,,2,1
DIANA,3,126729.53,,,3,3
OLYMEL FLAMINGO FOOD S.R.L.---PARHAN COM S.R.L.,3,74495.8,,,3,1
AMA FRUCT CP---MIRMAN COMPANY  SRL---S.C. GREENLEG DISTRIBUTION S.R.L.---STEDYAN COM S.R.L.,3,43411.16,,,1,1
Ilvas S.A.,3,123593.12,,,2,2
AMA FRUCT CP---Baby Business SRL---Harghita Retail---ILM-COM S.R.L.---STEDYAN COM S.R.L.,3,1964.52,,,1,1
ACVILA---AMA FRUCT CP---PARHAN COM S.R.L.,3,4345.22,,,1,1
Apex Expert---Corex S.R.L.---Vanbet S.R.L.,3,185801.04,,,1,1
CARLAND S.R.L.---FALCONS---OLYMEL FLAMINGO FOOD S.R.L.,3,34571.84,,,2,1
DOIMAN COM S.R.L.---PARHAN COM S.R.L.---PRODLACTA SRL,3,23431.51,,,1,1
S.C NISARA IMPEX S.R.L---STEDYAN COM S.R.L.,3,39977.22,,,3,2
APRO-COM-IMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,78835.8,,,3,2
GORDON-PROD S.R.L.---LACTIS,3,0.49,,,1,1
APRO-COM-IMPEX S.R.L.---LEGUME FRUCTE COM S.R.L.---STEDYAN COM,3,26089.61,,,1,1
Dalmers Prest,3,1065225.5,,,1,1
CARLAND S.R.L.---GEOCOR TRADE IMP-EXP---MATRA S.R.L.,3,66451.69,,,1,1
ADCON---OLYMEL FLAMINGO FOOD S.R.L.---SIGISMUND COM,3,33173.22,,,2,2
GEOCOR TRADE IMP-EXP S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,3,76129.21,,,3,1
GEOCOR TRADE IMP-EXP S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,107744.04,,,3,2
APRO-COM-IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,67427.28,,,3,3
ADCON---PARHAN COM S.R.L.---SIGISMUND COM,3,26673.36,,,2,2
ANDROMI COM---UNICARM,3,205977.29,,,2,1
Geocor Trade Imp-Exp S.R.L.---Lactate Natura---S.C. Nisara Impex S.R.L.,3,39576,,,1,1
INTER CONECTER  S.R.L.---ROMICS---SIGISMUND COM,3,149633.97,,,1,1
APRO-COM-IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,3,21851.8,,,3,2
IOASIM IMPORT EXPORT,3,61883.58,,,1,1
Geocor Trade Imp-Exp S.R.L.---Granbis---Stedyan Com S.R.L.,3,70287.9,,,2,2
ANDROMI COM---S.C. ROMICS S.R.L.---SIGISMUND COM,3,202538.99,,,2,1
Selgros Cash&Carry S.R.L.,3,241254.14,,,3,2
S.C. UNIMAR COM S.R.L.,3,82084.82,,,1,1
Geocor Trade Imp-Exp S.R.L.---Granbis,3,22186.18,,,1,1
ADCON---HARPEK,3,296738.27,,,2,3
ADCON---COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.,3,7149.14,,,3,1
ADCON---IUSTART,3,35012.45,,,3,3
COMSORADI SRL---MATRA S.R.L.---SC BLACK SEA EUROINVESTMENT SRL,3,82298.52,,,2,2
Comsoradi S.R.L.---Radicstar,3,284948.53,,,1,1
ADCON---APRO-COM-IMPEX S.R.L.---BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.,3,5639.37,,,1,1
OLYMEL FLAMINGO FOOD S.R.L.---S.C NISARA IMPEX S.R.L,3,401471.64,,,3,3
AMA FRUCT CP---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM,3,79306.3,,,2,1
COMVIG IMPEX SRL,3,6787.95,,,2,1
Condor Comimpex S.R.L.,3,48741.64,,,1,1
S.C. Mărul de Aur S.R.L.,3,137286.71,,,1,1
ADCON---COREX S.R.L.---PARHAN COM S.R.L.,3,47645.38,,,2,2
Conservfruct S.R.L.,3,122377.6,,,2,2
COMPANY 94 PIRNAU SRL---DOIMAN COM S.R.L.---S.C. AMA FRUCT CP S.R.L.,3,15479.46,,,3,2
ANDROMI COM---PRODLACTA SRL---ROMICS---SIGISMUND COM,3,148066.36,,,1,1
CARLAND S.R.L.---LACTATE NATURA---OLYMEL FLAMINGO FOOD S.R.L.,3,224492.7,,,2,1
Autentic din Ardeal S.R.L.,3,49423.5,,,2,1
AMA FRUCT CP---APRO-COM-IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,150114.93,,,1,1
COPANEX S.R.L.---NORDIC IMPEX S.R.L.,3,66627.05,,,1,1
Comlact S.R.L.,3,173861.2,,,2,2
OLYMEL FLAMINGO FOOD S.R.L.---SELGROS CASH&CARRY SRL,3,45583.85,,,2,2
GEOCOR TRADE IMP-EXP---LECONFEX S.R.L.---PARHAN COM S.R.L.,3,47196.91,,,1,1
JOLDOS PROIMPEX S.R.L.---PARHAN COM S.R.L.---Safeway International Impex SRL,3,14205.78,,,2,2
Kalman Distribution S.R.L.---Nova Food Services S.R.L.---Ovisim Impex S.R.L.,3,84252.53,,,2,2
COMIGA PROD IMPEX S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM S.R.L.,3,20635.35,,,3,2
CARLAND S.R.L.---MATRA S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,3,141319.29,,,3,1
PROVIGO TRADE S.R.L.---SC BLACK SEA EUROINVESTMENT SRL---apex expert,2,34844.17,,,1,1
Actavis S.R.L.,2,23501.51,,,1,1
ACVILA---ADA LACTA DISTRIBUTION S.R.L.---LECONFEX,2,53983.54,,,1,1
ACVILA---ADCON---S.C. ROMICS S.R.L.,2,26073.4,,,2,2
ACVILA---AGRO ROPAN IMPEX---DOIMAN COM S.R.L.,2,47783.44,,,1,1
ACVILA---DOIMAN COM S.R.L.---LECONFEX S.R.L.,2,12849.56,,,1,1
ACVILA---EUROGRUP BOGDAN---S.C. ROMICS S.R.L.,2,141420.42,,,2,2
ACVILA---INTER CONECTER S.R.L.---ROMICS,2,331089.02,,,1,1
ACVILA---IUSTART---S.C. ROMICS S.R.L.---SIGISMUND COM,2,36939.94,,,2,1
ACVILA---LACTATE MAGURA PRODCOM---LECONFEX,2,35505.27,,,1,1
ACVILA---LECONFEX,2,178201.56,,,1,1
ACVILA---LECONFEX---PARHAN COM S.R.L.,2,585.19,,,1,1
ACVILA---LECONFEX S.R.L.---ROMICS,2,34065.68,,,1,1
ACVILA---LECONFEX S.R.L.---S.C. ROMICS S.R.L.,2,117965.7,,,1,1
ACVILA---PARHAN COM S.R.L.---ROMICS,2,4010.1,,,1,1
ACVILA---PARHAN COM S.R.L.---STEDYAN COM,2,18080.63,,,1,1
