winner_name,cui,email,phone,website,city,address,sector,wins,total_value_ron,match_source
ANIMAL FERMA,14822192,toleamihai21@gmail.com,0740247400,,,,,93,95130.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DULGHERU SORIN PFA,22270471,,0744464805,,,,,93,104306.12,
SC PENTAGON SRL,9351536,vest@pentagonromania.ro,+40338106183,,,,,93,207188.34,companies_name
ELLMAR COM,RO4499001,sellmarkmedia@gmail.com,0786329223,,,,,92,14368105.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
CARMANGERIA-DALIA S.R.L.,RO 2200390,camelia_sorecau@yahoo.com,0748918231,,Bistrița-Năsăud > MUNICIPIUL BISTRITA,,,92,37056776.0,companies_prefix
SC NATUR PRODCARN SRL,26772659,naturprodcarn@yahoo.com,0740247500,,,,,92,25150.05,csv:ddg_contacts.csv
PRACTIC-COMERT-STRUGARU,629826,practiccomert@gmail.com,0231/631230,,,,,91,134616.44,anofm
S.C. E.L.M. SRL,1813966,contact@targetare.ro,0745517199,,,"JUD. TIMIŞ, SAT DUMBRĂVIŢA COM. DUMBRĂVIŢA, STR. FERVENTIA, NR.47",,91,47192.64,csv:ddg_contacts.csv
PHANTOM COMPANY IMPEX SRL,5599009,,712708,,,,,91,210224.29,
BERTIS S.R.L.,551751,,0040267352363,,,,,91,121305.78,
RAFFAELLO S.R.L.,7046846,raffaello.shoes@yahoo.com,0744908780,,,,,91,99803.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MEDASIMPEX SRL,6610075,medasfood@gmail.com,+40233212283,,,,Transport,91,207683.89,anofm
DENYA DECOR EXCLUSIV S.R.L.,25536064,filipflorentina@yahoo.com,0747225855,,,,,91,80736.3,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
LEGUME FRUCTE COM S.R.L.,10062337,,0213262413,,,,,90,457143.37,
T&O PRODCOM SRL,4467573,STEFONIVERONA2006@YAHOO.COM,0727082822,,,,,90,404648.67,contractors
MORARIT PANIFICATIE ROMAN SA,2053818,office@panificatieroman.ro,0757048427,,Neamț > MUNICIPIUL ROMAN,,,89,33493.08,companies_name
LARGER CARM SRL,35185351,largercarm@gmail.com,0743188583,,,,,89,85363.82,pg:romania.companies
CO&SI,18633749,,0742023714,,,,,88,68516.3,
ILE A&O SRL,3461742,contact@targetare.ro,0264221652,,,,,88,52875.22,csv:ddg_contacts.csv
FARMAVET,256,corinadomsa@farmavet.ro,0212219960,,,,,88,434890.85,csv:romania_with_email.csv
DIANAMIH,19245540,recrutare@diana.com.ro,214090,,,,,88,335646.99,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PAN-PARTENER SPEDITION ARG,30399265,office@romancuta.ro,-,,,,,87,1710018.49,anofm
ROMSERV S.R.L.,14873005,romserv1@yahoo.com,+40741224445,,Municipiul Bacau,"Municipiul Bacau, Sector 0, Str. NEAGOE VODA, nr. 10",,87,191654.8,contractors
CRINUL-S S.R.L.,688180,adyk@yahoo.com,0260678182,,,,,87,130872.56,csv:romania_with_email.csv
CARPATIS,712360,ionutburac@gmail.com,0230217767,,,,,87,122091.53,anofm
SCHAUMA COMEXIM SRL,10702967,,0251553650,,,,,87,77331.56,
DARIUS FIU S.R.L.,45768883,silvia.rus4@gmail.com,0786222032,,,,,87,132337.52,csv:romania_with_email.csv
SC STIINTA SRL,9757993,motstibina@yahoo.com,0723228959,,,,,87,236275.96,rapidfuzz:85.71428571428572
SOLDACOM,16735009,lumaxproiect@outlook.com,0233634682,,,,,87,153963.69,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
OVISIM IMPEX S.R.L.,6481450,,0231/510294,,,,,87,87783.75,
SC ALBATROS GOLD SRL,15079348,albatrosgold@yahoo.com,+40728014600,,,,Transport,87,103764.9,companies_name
NED DENFRUCT,32327087,nedelcu.liliana@yahoo.com,0745217821,,,,,87,185291.35,pg:romania.companies
GEBO IMPEX,6533380,contact@targetare.ro,0234581000,,,,,87,41320.6,csv:ddg_contacts.csv
NATY PROD SRL,11360749,,0269236812,,,,,87,41199.6,
SC HERIK DEAS SRL,7378527,,,,,"JUD. TIMIŞ, ORŞ. JIMBOLIA, STR. TUDOR VLADIMIRESCU, NR.53",,86,221715.14,
SC BOTUSANU COM SRL,5506220,,0230540570,,,,,86,107562.06,
CARMANGERIA STEJARUL,33936142,camelia_sorecau@yahoo.com,0748918231,,Bistrița-Năsăud > MUNICIPIUL BISTRITA,,,86,59066.81,companies_prefix
La Leul Com,6667373,,0252215100,,,,,86,61767.25,
NOY DISTRIBUTIE,32326006,commercial@nftdistribution.co.uk,0248232623,nftdistribution.co.uk,,,,85,21210.0,fuzzy_fd:0.50
ALBALUX COM SRL,6147117,albaluxbrad@gmail.com,+40254612749,,,,,85,166290.64,food_distribution_name
EPRUBETA FARM S.R.L.,11171693,,##,,,,,85,66444.58,
CRISTIPAN ACTIV S.R.L.,16690837,contact@targetare.ro,0721386419,,,,,84,475165.02,csv:ddg_contacts.csv
GANEA SIMONA IOANA,30954748,office@lastchance.ro,0745084930,,,,,84,232426.5,csv:contractors_enriched_all.csv
PISAT RAZVAN-IONUT PFA,34241712,,0746018822,,,"JUD. TIMIS, SAT HITIAS COM. RACOVITA, NR.323",,84,95577.5,
VALCOM 50,2795060,,0722351976,,,,,83,7195732.0,
CLASIBO BUSINESS,32666296,,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 4, BLD ALEXANDRU OBREGIA, NR.42-44",,83,140705.14,
NICAMARAND,37014439,,,,,"JUD. CLUJ, SAT JUCU DE MIJLOC COM. JUCU, ALEEA CRIŞAN, NR.2",,83,223056.52,
SC DELACO DISTRIBUTION SA,11411737,vanzari@lancom.ro,0268254087,,,,,82,117859.34,csv:romania_with_email.csv
S.C. MALY FRUITS S.R.L.,27787283,scmalysrl@yahoo.com,0730187333,,,,,81,494907.87,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
FAGUL IMPEX,16108972,fagulimpex@gmail.com,0751193844,,,,,81,127554610.0,pg:romania_emails.contacts
MARIA ANTONIA SERVICII SRL,36369638,pensiuneaantoniamaria@gmail.com,,,,"JUD. HUNEDOARA, MUN. PETROŞANI, STR. COASTA, NR.74",,81,274372.96,fuzzy_fd:0.59
EUROPEAN GROUP FOOD,RO 23426383,macrina.mester@europeanfood.ro,0731890699,,,,,80,45602671.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
S.C. PROCOM PASCAL S.R.L. S.R.L.,9663228,nicup2005@yahoo.com,0233783084,,Neamț > PASTRAVENI > PASTRAVENI,,,80,3416547.0,companies_prefix
ZAMISNICU P.MIHAI-REMUS INTREPRINDERE INDIVIDUALA,RO 18432842,alisia_micu97@yahoo.com,+40748178876,,,,,80,15678689.0,fuzzy:0.48
GROSU ADRIAN VASILE PERSOANA FIZICA AUTORIZATA,21347917,stativalentina6@gmail.com,0766205774,,,,,80,44608.06,fuzzy:0.64
S.C. ELCOMER ACHIZITII S.R.L.,33506617,,,,,"JUD. BUZĂU, SAT NICOLEŞTI COM. PUIEŞTI, STR  17, NR.10",,79,2415449.25,
ONCOS TRANSILVANIA,RO36001120,personal@oncos.ro,+40720600253,,,,,79,23982234.0,companies_name
ELEMENTAL DISTRIBUTION TRADE,42368807,,0723081512,,,,,79,116117.13,
MONDOPAD,18078177,,0749117110,,,,,79,266647.2,
TRANSLIMA,18916940,,0727315301,,,,,79,429869.08,
Apex Expert,32146897,contabilitate@expertcompany.ro,0740356746,,,,,78,21712447.42,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
G.M.D. INTERNATIONAL,6499679,simona.porut@g-m.ro,0722623185,,,,,78,130671.75,csv:romania_with_email.csv
COM FORTUNA 93,3491220,office@pensiunea-fortuna.ro,0744561778,,,,,78,212979.84,fuzzy_fd:0.53
GEOCRYS  HAPPY FOOD,38412017,geotransfgd@ymail.com,0727882756,,,,,78,73039.87,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SAB INTERCOM,15844202,salirobertii@gmail.com,0744600200,,,,,78,47210.87,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COFETARIA PARC,2326080,cofetaria_anira@yahoo.com,+40722536539,,,,,78,41212.87,companies_prefix
SC NICO PROFI CONSTRUCT SRL,17652408,georgiana.apostol@profi.ro,0230527527,,Bucuresti Sectorul 4,"Bucuresti Sectorul 4, Sector 4, SG. NITU VASILE, nr. 50",,78,431710.56,fuzzy:0.46
POLICALITA SRL,18837340,and@alitrans.ro,0237225036,,,,,77,111444.6,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
ANNABELLA,6532457,,0250746901,,,,,77,413361.88,
RMSD FAM,34879673,,0765613302,,,,,76,4350328.6,
S.C DENISSA IMPEX SRL,2892615,,,,,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. MIKSZATH KALMAN, NR.32",,76,208393.49,
PAVEL PAM,14926061,adry_drag@yahoo.com,0258730704,,,,,76,16219.28,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
BT MINIDAIO,34205957,,,,,"JUD. CARAŞ-SEVERIN, SAT TINCOVA COM. SACU, TINCOVA, NR.27",,76,151060.26,
B.N.BUSINESS S.R.L.,10933694,alin@bnb.ro,0257368661,,,,,76,36894.7,csv:contractors_enriched_all.csv
S.C. C&M ARTIC IMPORT EXPORT SRL S.R.L.,32533710,office@escomauto.com,+40264413100,,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, Sector 0, Str. GASPAR HELTAI, nr. 50",,75,16508217.9,fuzzy:0.59
PRESTIGIOSA PRODCOM S.R.L.,RO 6779601,,,,,,,75,16050031.0,
VIMPAN,15419768,contact@targetare.ro,0749083580,,,,,75,32012.1,csv:ddg_contacts.csv
FUME DELICATESE SRL,24785300,,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 4, STR. PRIBOIULUI, NR.2, SUBSOL",,75,32071.29,
Silpeter Coffee Services,27764034,office@dodocaffea.com,0743905644,,,,,75,27783.73,anofm
AVI INVEST,47214515,,0728135686,,,,,75,74953.69,
CAPISCO SERVCOM,5443955,,0744391834,,,,,75,216031.32,
SOL FILLA MARKET,39871700,,,,,"JUD. DÂMBOVIŢA, SAT BĂLENI-ROMÂNI COM. BĂLENI, ŞOS. BUCUREŞTI-TÂRGOVIŞTE, NR.225",,75,142585.0,
RESTEA VICTOR EUGEN INTREPRINDERE INDIVIDUALA,32259241,rosuemilniki@yahoo.com,+40722610174,,,,Transport,74,54624.0,fuzzy:0.48
CARNIG SRL,15316789,,,,,"JUD. IALOMIŢA, MUN. URZICENI, STR. AURORA, NR.-, BL.CD4, SC.A, ET.P, AP.2",,74,24631.79,
DNO SPEED LOGISTICS,38080848,,0753 313 286,,,,,74,38165.03,
Meotis SRL,4086641,,0267351631,,,,,74,25671.6,
SC IRINEL SRL,190258,tamasi.irinel@yahoo.com,557163,,,,,74,343941.85,anofm
SC VELMI PREST SRL,6486989,iubuexim@gmail.com,625315,,,,,74,204938.46,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
LEON PAN S.R.L.,43492829,hr@presidentgroup.ro,0740253854,,,,,74,22330.1,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
TOP CLEANING SYSTEM S.R.L.,48068450,curatenieblocuri@gmail.com,0724762012,,,,,74,281116.16,fuzzy:0.50
GREWE,RO9231165,d.grecu@penny.ro,0725514900,,,,,73,17940253.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
FERMA DENIS,RO26807340,office@fermeleado.ro,,https://produsmontan.ro/produse_montane/iaurt-de-baut-s-c-ferma-denis-s-r-l/,HUNEDOARA,"Sat Peșteana, nr. 2, com. Densuș, jud. Hunedoara",LAPTE ȘI PRODUSE DIN LAPTE,73,1623592.0,companies_name
MARAVET,10231304,,,,,"JUD. MARAMUREŞ, SAT CICÂRLĂU COM. CICÂRLĂU, STR. VASILE LUCACIU, NR.4",,73,251264.64,
Valencia Trading SRL,6966138,office@valenciatrading.ro,0269520156,,,,,73,110460.0,csv:ddg_contacts.csv
CARISMA TEX SRL,24831295,laurentiucepoiu19112000@yahoo.com,0747131143,,,,,73,33284.01,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DAR-NIC IRI CONF,31870513,liliana.motoc@gmail.com,0766594714,,,,,72,9210706.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Kermit Info,29497987,,0740897450,,,,,72,429903.22,
COOPERATIVA AGRICOLA AGROLACT MOLDOVA,36223488,lacooperativa@yahoo.com,+40742076166,,,,,72,42733.86,companies_prefix
PANIMON,957998,office@panimon.ro,+40752608057,,,,,72,153091.1,companies_name
AMIA INVEST,14023985,franck.pairault@amia.ro,0744567331,,,,,72,256375.43,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
METROPOL COM,4840809,met.timisoara@yahoo.com,0744544664,,,,,72,31740.76,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SC ANAMAGDA COM,9684956,,0351801664,,,,,72,152829.66,
INVESTAR PROPERTY,40382627,office@tarmv.ro,0736004375,,,,,72,123295.35,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Alexgold Distribution SRL,RO 26521290,amion_distribution@yahoo.com,+40740541433,,,,,71,91839897.0,fuzzy:0.48
FRAHER S.R.L.,RO 9442626,nicoleta.antonov@fraher.ro,0729700957,,,,,71,8326781.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MURICOM S.R.L.,RO 1196607,,,,,,,71,988498.0,
ILMANO,RO 4247888,,,,,,,71,6549533.0,
IAC,6786080,contact@targetare.ro,0257464119,,,,,71,246715.0,csv:ddg_contacts.csv
MABO POWER S.R.L.,40105880,,,,,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. MINERILOR, NR.8, AP.31",,71,111595.2,
GALPAS PROD,20856440,,0745186899,,,,,71,59788.85,
PATISERIA ANA SI MARCEL S.R.L.,39998071,patiserialorisgilau@gmail.com,0755849269,,Cluj > GILAU > GILAU,,,71,31974.4,companies_prefix
SIGISMUND COM,5740921,sigismund_com@yahoo.com,+40740064636,,,,,71,885267.05,companies_name
Frutas MRM,33576973,,0732736616,,,,,71,105874.92,
PAN DAVID JCL,RO 26378272,resurse.umane@pandavidjcl.ro,+40724550691,,,,Transport,70,28038712.0,companies_name
SC MIRAMAX IMPORT EXPORT SRL,29952301,iuliana@jeler.ro,0364404803,,,,,70,103979.68,fuzzy:0.46
S.C. CAN-LEO S.R.L.,5016229,ser.florentina@yahoo.com,,,,"JUD. TIMIŞ, ORŞ. JIMBOLIA, STR. SLAVICI ION, NR.106",,70,269359.4,fuzzy_fd:0.55
S.C. Fleischparty SRL S.R.L.,25753748,turbatu.adriana@yahoo.com,+40752779603,,,,,69,3485593.93,companies_prefix
MELIOR S.R.L.,15561796,ametaisel@yahoo.com,+40268540644,,Municipiul Brasov,"Municipiul Brasov, Sector 0, Str. Lanii, nr. 54",,69,268404.71,csv:romania_with_email.csv
S.C.EGYED COMPANY S.R.L,5627699,,0267310526,,,,,69,324311.61,
ROCAS FDS S.R.L.,42887448,office@rocas-fds.com,,,,"JUD. IAŞI, SAT MIROSLAVA COM. MIROSLAVA, STR. PĂDURII, NR.19A, CAMERA 3",,68,226960.0,pg:romania.companies
ARVOM,1456413,,0723563397,,,,,68,81298.87,
CAMELIA IMPEX,11431599,cami_ciocas@yahoo.com,0740085804,,,,,68,139699.66,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MIORITA HARV IMPORT EXPORT,230859,finetauntesu@gmail.com,0264220432,,,,,68,223076.85,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PREXICO S.R.L.,3296483,office@prexico.ro,0753050192,,,,,68,389372.44,anofm
Cori Com,8369454,avramady66@gmail.com,0269216105,,,,,68,85488.76,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COMPAN,3911847,locuridemunca@compa.ro,0232252150,,,,,67,187395.8,csv:romania_with_email.csv
PENTAROM,170340,pentarom@muscel.ro,0248 510203,,,,,67,2451817.16,contractors
PRODLACTA S.A.,1112568,resurse.umane@prodlacta.ro,0734772976,,,,,67,77189.2,contractors
INAN IMPEX SRL,9783747,inanimpex@yahoo.com,0730.017512,,,,,67,45764.73,anofm
SANTIS TOUR,24906444,,0726126933,,,,,67,183230.36,
CLF DEPOZIT,40173388,,,,,"JUD. SATU MARE, MUN. SATU MARE, STR. PRAHOVA, BL.C5, AP.15",,67,31580.8,
TARPI,RO 3672154,,,,,,,66,1084120.0,
DMD Vegetables PROD,28261952,,0741733158,,,,,66,271782.5,
TITAN 99 S.R.L.,11482630,carmen_tuti_60@yahoo.com,0720340313,,Hunedoara > ORAS SIMERIA > SIMERIA,,,66,67388.65,companies_name
ZAMFIRA COM,9408942,lidana2005@yahoo.com,,,,"JUD. SĂLAJ, MUN. ZALĂU, STR. 22 DECEMBRIE 1989, NR.21",,66,79521.74,fuzzy_fd:0.67
MAD STEL IMPEX,11075823,mastelcom@yahoo.com,333121,,,,,66,51107.6,csv:virgil_schema.fuzzy_enriched.csv
ZOOAGRO S.R.L.,974603,,0234285014,,,,,66,24787.11,
SC TELDO TRANS SRL,18097420,oana.barbu@teldo.ro,+40744777248,,,,Transport,66,607999.9,companies_name
DEM FRUCT SRL,21780359,,0722330409,,,,,65,74977.8,
MACELARIA NICFAM S.R.L.,46326294,acsmia@yahoo.com,0769282078,,,,,65,173570.2,pg:romania_emails.contacts
PAINEA CASEI PCP,27831605,expertchris.cont@gmail.com,0733694954,,,,,65,114623.71,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Exact Com SRL,7216924,,0744360439,,,,,65,71428.68,
AUTO NEWAMBIENT BY GEGE S.R.L.,42974811,,0743076732,,,,,65,172784.1,
DOMAGNIS COM,8028686,magconstructcraiova@gmail.com,0758018975,,,,,64,467292.26,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
AQUAVIA,13467530,ioan.popovici@aquavas.ro,0722621085,,,,,64,32794.39,csv:virgil_schema.fuzzy_enriched.csv
CRISTIN RALU IMPEX S.R.L.,9035681,ralu_company@yahoo.com,024323146,,,,,64,22736.7,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
COMARO S.R.L.,1923578,hr@comaconstruct.ro,0242512215,,,,,64,47593.42,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
IUSTART,RO37578829,iuliana.jianu87@gmail.com,,https://produsmontan.ro/produse_montane/magiun-de-prune-fara-zahar-delicii-de-vaideeni-s-c-iustart-s-r-l/,VÂLCEA,"Sat Vaideeni, nr. 5000, comuna Vaideeni, Județul Vâlcea",PRODUSE VEGETALE,63,1637615.0,companies_name
CO&SI,RO18633749,,,,,,,63,3381788.0,
ILM-COM S.R.L.,3132324,,0266105627,,,,,63,60580.18,
QFROST,26101394,virgil.petcu@yahoo.com,0722236396,,,"JUD. IALOMIŢA, MUN. SLOBOZIA, STR. DOMNIŢA BĂLAŞA, NR.11A",,63,74475.07,pg:romania_emails.contacts
Cretu Vasilica,19339696,,,,,"JUD. ILFOV, ORŞ. BUFTEA, STR. BUCURESTI - TARGOVISTE, NR.274A",,63,71584.5,
DANILEVICI CARN-PROD SRL,4974061,cristina.ionescu@dan-int.ro,733918368,,,,,63,44802.61,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
OANCEA ILIE-MIHAITA INTREPRNDERE INDIVIDUALA,36093817,,0768623834,,,"JUD. DAMBOVITA, SAT SLOBOZIA MOARA COM. SLOBOZIA MOARA, NR.180",,63,28404.5,
S&S Distribution 2014,33547935,amion_distribution@yahoo.com,0256474653,,,,,63,87378.7,fuzzy:0.52
AGROSEMCU,RO15501204,contact@targetare.ro,03000957291,,,,,62,66234524.0,ddg_contacts
PRODSPICOM CO SRL,RO14949073,contact@targetare.ro,02000199142,,,,,62,3670979.0,ddg_contacts
ASOCIATIA ARTOSNICOSANT,31437588,oftherecord25@outlook.com,07996699964,,Municipiul București > MUNICIPIUL BUCURESTI > BUCU,,,62,43173.4,companies_prefix
SC PLUTO PAN SRL,17490420,hr@presidentgroup.ro,0722301268,,,,,62,35219.6,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
VITOSA,3482702,vitosa.talmaciu@yahoo.com,0744398648,,,,,62,59058.11,csv:ddg_contacts.csv
LEON EVENTS S.R.L.,32707540,,0745796251,,,,,62,1098039.4,
FLOLIV DISTRIBUTION,27686041,office@chorus.ro,0721443684,,,,,62,36904.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
OVIPAN,18541378,contact@targetare.ro,0766671722,,,,,61,13382676.9,csv:ddg_contacts.csv
SC EXPANS COMCARN SRL,32891140,,0728230730,,,,,61,146707.45,
PANMAX PROD,40091326,hr@presidentgroup.ro,0740253854,,,,,61,316088.13,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Husimado S.R.L.,37724657,,0744791958,,,,,61,114085.98,
CONSERVFRUCT S.R.L.,4998460,comercial@conservfruct.ro,+40233244085,,,,Transport,61,320973.4,companies_name
AGROPAN PRODCOM,203960,hr@presidentgroup.ro,0743049107,,,,,61,137952.7,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Timoceanu,35756652,TIMOSERV@RONTAILA.RO,0724596951,,,,,61,57508.5,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PAM ALY 2007,RO 22851679,lauracarceanu8@gmail.com,0720907512,,,,,60,3804333.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Pavelana,14904080,,0745360885,,,,,60,122881.61,
SC DICK SRL,16605181,,0267341495,,,,,60,20919.48,
CHELARU A. CRISTINA INTREPRINDERE INDIVIDUALA,24063073,raducu_cristiann@yahoo.com,+40747942129,,,,,60,146472.36,fuzzy:0.72
IULIA RUX SRL,13491384,iuliavacea@yahoo.com,0243256025,,,,,60,190003.87,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
IDEAL INTERN PARTENER,35249331,hr@partner.ro,0234.588750,,,,,60,533653.51,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
AGROPROD CRASNA COPERATIVA AGRICOLA,25999050,contact@targetare.ro,,,,"JUD. SATU MARE, SAT SUPURU DE JOS COM. SUPUR, SUPURU DE JOS, NR.120",,59,9609531.83,csv:ddg_contacts.csv
INTIM,7378764,info@intim.com.ro,+40252316650,,,,Transport,59,30706.55,companies_name
ROXI SI ADE,25090564,,0728126166,,,,,59,110151.57,
EL CASIO COM S.R.L.,9064636,,0243-23152,,,,,59,125366.65,
FERMA MIHU,47372787,vilamihu@yahoo.com,0754796393,,,,,59,75225.0,fuzzy_fd:0.45
IQGAMES IMPACT,24740006,contact@targetare.ro,0740641111,,,,,59,128361.15,csv:ddg_contacts.csv
GOLDEN PROVIDER DISTRIBUTION,28016198,office.dc.employment@gmail.com,0732725725,,,,,59,36959.1,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
LORIMER,6015400,lorimer.personal@gmail.com,0753058836,,,,,59,384028.01,csv:romania_with_email.csv
ROGER SERV S.R.L.,7624800,contact@targetare.ro,025621815,,,,,59,103175.36,csv:ddg_contacts.csv
CERNEA S. MIHAI-ANDREI I.I.,38639312,CONSULT.DICONT@GMAIL.COM,0732822841,,,"JUD. BACAU, SAT TARGU TROTUS COM. TARGU TROTUS, TARGU TROTUS, NR.648B",,58,431796.0,csv:contractors_enriched_all.csv
LARISCH EXIM,RO6409021,larischexim@gmail.com,0867016043,,,,,58,8382875.0,ddg_contacts
MEDIPLUS EXIM,RO 9311280,alina.panait@companymed.ro,0757084681,,,,,58,4161988.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA,RO 20781461,resurseumane.textila@gmail.com,+40213263568,,Bistrita Nasaud,,,58,9477237.0,fuzzy_fd:0.46
PenesMar SRL,4424688,contact@targetare.ro,0744872964,,,,,58,39973.5,csv:ddg_contacts.csv
KAROMTEC,13879484,,0236820003,,,,,58,19128.1,
SC RADU 95 SRL,25679510,radu.100@yahoo.com,0746578553,,,,,58,225324.58,fuzzy_fd:0.50
DALVEN PROD,6838422,,744631547,,,,,58,212923.03,
SC CAVARANTANA COMPANY SA,12210260,contact@targetare.ro,0722518332,,,,,58,166912.72,csv:ddg_contacts.csv
PANCLEMA GIULIA S.R.L.,32703327,,0727268048,,,,,58,59374.91,
ELDI BRUTARIA S.R.L.,RO 6753822,monica.stoian@eldi.ro,0747/105919,,,,,57,5288584.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SIMULTAN S.R.L.,RO 6723660,office@smartrecruiters.ro,+40256212036,,,,,57,188973477.0,companies_name
TESSA BLUEBELLE,45282483,,0741326889,,,,,57,102704.2,
DESFACERE MIMY ZUP,3976102,,0267318449,,,,,57,43687.46,
STIOP LIVIU CRISTIN INTREPRINDERE INDIVIDUALA,31307405,raducu_cristiann@yahoo.com,+40747942129,,,,,57,112174.0,fuzzy:0.61
BLONDY ROMANIA S.R..L.,14326504,ovidiu.isac@briteon.ro,+40743222542,,,,,57,393518.75,fuzzy:0.52
NITELA IMPEX,8187878,,0251593377,,,,,57,152550.3,
COMPRODCOOP SA,RO 445823,office@comprodcoop.ro,+40744599336,,,,,56,3475482.0,web:extracted_20260120.csv
SEBICARN TRADITIONAL S.R.L.,38543209,scbicasrl@gmail.com,0744639899,,,,,56,121214.12,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
Mariana,1113741,dauceanumariana@gmail.com,0268333499,,,,,56,87604.0,food_distribution_name
ALIMENCO SA PASCANI,6101101,,0722587879,,,,,56,66247.11,
AVICOLA SLOBOZIA S.A.,2073092,office@avicola-slobozia.ro,+40243221197,,,,Transport,56,341697.6,companies_name
DINAMEL TRADE,17231344,,0239624070,,,,,55,4417185.75,
DALSOR COMPANY SRL,3763619,,0235321671,,,,,55,131858.92,
SC HARALD PROD SRL,6895304,haraldprod@yahoo.com,0744555817,,,,,55,38065.7,contractors
Royal Canin Romania,23330741,,,,,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR AV. POPIŞTEANU, NR.54A, EXPO BUSINESS PARK. CLADIREA 1. ETAJ 5",,55,187667.46,
OLEANDER GARDEN,17568243,,0265266240,,,,,55,1981091.27,
Rosid Prod S.R.L.,4786840,,0234364798,,,,,54,16922.61,
TOTUL PENTRU TINE DISTRIBUTIE S.R.L.,44402700,,0770123187,,,,,54,139055.69,
RABB MEAT,28130086,actedocc@gmail.com,0722947849,,,,,54,56471.47,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
DANY PROACTIV COF S.R.L.,40482278,cristina.ionescu@dan-int.ro,0749068178,,,,,54,296491.46,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
GIGI & CO S.R.L.,3965839,secretariatagentieasia@gmail.com,0735111788,,,,,54,928393.7,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
MIDENIDA TEAM STAR S.R.L.,40873543,,0763169173,,,,,54,198678.18,
BRICOSTORE ROMANIA,14328360,romaniaricosta@gmail.com,02140444111,,,,,54,53507.84,fuzzy:0.46
MB CARN SIB SRL,33933456,,,,,"JUD. SIBIU, SAT ŞURA MARE COM. ŞURA MARE, STR. ATELIERULUI, NR.43",,54,101842.15,
DINU COMIMPEX,RO 6409722,office@mimp.ro,0725912897,,,,,53,29228900.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SANLACTA SRL,RO 8159436,office@sanlacta.ro,,,,,,53,2308234.0,pg:romania.companies
