nr_licenta,operator_economic,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email
1474,STYLE TRAVEL AGENCY S.R.L.,STYLE TRAVEL AGENCY,40196551,"STR. Independenţei , NR. 4A",Mun. Baia Mare,MARAMUREŞ,Organizatoare,www.romaniabooking.eu,styletravelag@gmail.com
1477,YUSTRANS CONCEPT SRL,YUSTRANS,34663431,"STR. Mihail Sadoveanu , NR. 61  , ET. 1",Oraş Târgu Neamţ,NEAMŢ,Organizatoare,www.yustrans.ro,office@yustrans.ro
1479,ANYATRAVEL SRL,ANYA TRAVEL,32819225,"STR. Tineretului , NR. 10 , BL. B5",Mun. Râmnicu Vâlcea,VÂLCEA,Organizatoare,www.anyatravel.ro,anamaria@anyatravel.ro
1480,BILCO TRADING SRL,BILCO TRAVEL AGENCY,8974382,"STR. Nicolae Bălcescu , NR. 2",Mun. Suceava,SUCEAVA,Organizatoare,www.bilco.ro,bilco@bilco.ro
1482,PREMIO TRAVEL HOLIDAYS SRL,PREMIO TRAVEL HOLIDAYS,30165485,"STR. Ghencea , NR. 43B  , ET. 3","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,https://premiotravel.com/,office@premiotravel.ro
1483,BON VOYAGE SRL,BON VOYAGE,14430954,"STR. Ioan Lupaş , NR. 30",Mun. Sibiu,SIBIU,Organizatoare,,office@bonvoyagesibiu.ro
1486,HEDON SRL,HEDON EXPRESS,12549925,"STR. Városháza , NR. 1",Mun. Odorheiu Secuiesc,HARGHITA,Organizatoare,www.hedon.ro,hedonexpress@yahoo.com
1489,VELTRAVEL.RO SRL,VELTRAVEL,8978929,"STR. Unirii , NR. 16  , ET. 4","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.veltravel.ro,eugen.iacob@veltravel.ro
1493,SAMARIA TURISM SRL,SAMARIA TURISM,22404549,"STR. Arcu , NR. 1",Mun. Iaşi,IAŞI,Organizatoare,www.agentia-de-pelerinaj.ro,info@agentia-de-pelerinaj.ro
1494,AVENTURA TOUR & TRAVEL SRL,AVENTURA TOUR & TRAVEL,40625980,"STR. Mirăslău , NR. 38",Oraş Măgurele,ILFOV,Organizatoare,www.aventuratravel.ro,contact@aventuratravel.ro
1496,ELF TOURS & TRAVEL SRL,ELF TOURS & TRAVEL,14435579,"STR. Dealul Ţugulea , NR. 1 , BL. M18  , AP. 12","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.elf-travel.ro,office@elf-travel.ro
1497,TARSIN BUCOVINA SRL,TARSIN TRAVEL,35914116,"STR. Ştefan cel Mare , NR. 82",Mun. Rădăuţi,SUCEAVA,Organizatoare,www.tarsin.ro,tarsintrans@yahoo.com
1498,TRAVEL ALN TOURS SRL,TRAVEL ALN TOURS,15570891,"STR. Amman , NR. 4  , ET. 7 , AP. 111","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.ciaoromania.com,info@ciaoromania.com
1499,EUPHORIC TRIPS&TRAVEL SRL,EUPHORIC TRAVEL,34818552,"STR. Republicii , NR. 26 , BL. 26",Mun. Târgu Jiu,GORJ,Organizatoare,www.euphorictravel.ro,office@euphoriatravel.ro
150,SC VELIMED SRL,VELIMED TRAVEL,7119433,"STR. Stephan Ludwig Roth , NR. 15",Mun. Mediaş,SIBIU,Organizatoare,www.velimed.ro,office@velimed.ro
1501,EUROPA TRADE SRL,EUROPA,8043120,"STR. 14 Decembrie 1989 , NR. 4",Mun. Iaşi,IAŞI,Organizatoare,www.europatrade.ro,europatravel2003@yahoo.com
1502,ALBERT TRAVEL SRL,ALBERT TRAVEL,27166812,BL. N1,Mun. Călăraşi,CĂLĂRAŞI,Organizatoare,,albert_travel_cl@yahoo.com
1503,LEISURE OPERATOR SRL,LEISURE OPERATOR,27251977,"STR. Gib Mihăescu  , BL. RUSIDAVA , ET. 4 , AP. 12",Mun. Drăgăşani,VÂLCEA,OrganizatoareOnline,,office@turismin.ro
1504,VOLA.RO SRL,Vola.ro,17043146,"STR. Unirii , NR. 165 , BL. TN Offices 2 , ET. 2","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.vola.ro,rezervare@vola.ro
1505,AMBASADOR TOURS & TRAVELS SRL,AMBASADOR TOURS & TRAVELS,22057644,"STR. Gheorghe Doja , NR. 18",Mun. Piteşti,ARGEŞ,Organizatoare,www.ambasador-travel.ro,contact@ambasador-travel.ro
1506,EST CONCEPT SRL,EST TURISM,13797295,"STR. Poiana Florilor , NR. 15  , ET. 2 , AP. 5","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.plaja.ro,info@plaja.ro
1511,COUTURE TRAVEL SRL,COUTURE TRAVEL,28092349,"STR. Griviţei , NR. 168 , BL. J , ET. 6 , AP. 21","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.couturetravel.ro,office@couturetravel.ro
1512,MD HOLIDAYS TRAVEL SRL,MD HOLIDAYS TRAVEL,37749635,"STR. Virgil Drăghiceanu  , BL. 4  , AP. 1",Mun. Târgovişte,DÂMBOVIŢA,Organizatoare,www.mdholidaystravel.ro,office@mdholidaystravel.ro
1513,CARPATHIAN ESCAPES SRL,CARPATHIAN ESCAPES,34623739,NR. 79,Com. Racu,HARGHITA,Organizatoare,www.carpathianescapes.ro,info@carpathianescapes.ro
1514,INTEGRAL SUNNY HOLIDAYS SRL,INTEGRAL SUNNY HOLIDAYS,31041450,"STR. G-ral Gheorghe Magheru , NR. 41  , ET. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.worktravel.ro,dan@integraledu.ro
1517,VIOTOP TRAVEL SRL,VIOTOP TRAVEL,14699481,"STR. 15 Noiembrie , NR. 8   , AP. 1",Mun. Braşov,BRAŞOV,Organizatoare,www.viotoptravel.ro,rezervari@viotoptravel.ro
1518,NATURA TRAVEL SRL,NATURA TRAVEL,13956072,"STR. Unirii , NR. 10  , ET. PARTER , AP. 10",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.naturatravel.ro,naturatravel@cluj.astral.ro
1519,GAMMA TOUR SRL,GAMMA TOUR ZALAU,19090292,"STR. Crişan , NR. 4 , BL. T159  , AP. 1",Mun. Zalău,SĂLAJ,Organizatoare,www.gammatour.ro,gamma_tour@yahoo.com
1521,MONDO TRAVEL SRL,MONDO TRAVEL,14558849,"STR. Mihail Kogălniceanu , NR. 2 , BL. F1  , AP. 1",Mun. Focşani,VRANCEA,Organizatoare,www.mondotravel.ro,office@mondotravel.ro
1522,TRAVELSELECTOR INC SRL,TRAVEL SELECTOR,32044315,"STR. Ticuş , NR. 4","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.rumania-viajes.es,es@santiagotour.ro
1523,PELERINAJE PENTRU TOTI-IASI SRL,AGENTIA DE PELERINAJE SFANTUL MINA-IASI,38953667,"STR. Arcu , NR. 25",Mun. Iaşi,IAŞI,Organizatoare,www.pelerinajeiasi.ro,office@pelerinajeiasi.ro
1527,BUSINESS NO LIMIT RBK SRL,BUSINESS NO LIMIT TRAVEL,37961890,"STR. Speranţei , NR. 24 - 26",Oraş Bragadiru,ILFOV,OrganizatoareOnline,www.businessrbk.ro,office@businessrbk.ro
1528,TRAVEL CAP TOURS SRL,TRAVEL CAP TOURS,26573630,"STR. Alba Iulia , NR. 7   , AP. 1",Mun. Timişoara,TIMIŞ,Organizatoare,www.captours.ro,office@captours.ro
1529,ACCENT CONSULTING SRL,MY CONCIERGE,15751189,"NR. 5 , BL. CORP B","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.myconcierge.ro,office@myconcierge.ro
1530,PARALELA 45 SIEBENBURGEN SRL,PARALELA 45 SIEBENBURGEN,15942880,"NR. 6   , AP. 10",Mun. Mediaş,SIBIU,Organizatoare,www.paralela45medias.ro,mures@paralela45.ro
1534,SETTOUR & TRIP S.R.L.,SET TOUR,35823042,"STR. Eugeniu de Savoya , NR. 20   , AP. 2",Mun. Timişoara,TIMIŞ,Organizatoare,www.set-tour.ro,ruta@set-tour.ro
1535,BLUE TRAVEL SRL,BLUE TRAVEL GIURGIU,18538160,"BL. 45 , ET. PARTER",Mun. Giurgiu,GIURGIU,Organizatoare,,bluetravelgr1@yahoo.com
1536,ESTERA TOUR S.R.L.,ESTERA TOUR,32768601,"STR. 1 Mai , NR. 60   , AP. 14",Mun. Bacău,BACĂU,OrganizatoareOnline,www.esteratour.ro,office@esteratour.ro
1540,SIND ROMANIA SRL,SIND ROMANIA,1589592,"STR. Aniversării , NR. 41  , ET. 2 - M402","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.sindromania.ro,office@sindromania.ro
1541,CSA SUPPLIER SRL,CSA TRAVEL,36533683,"STR. Ana Ipătescu , NR. 3",Mun. Bacău,BACĂU,Organizatoare,,OFFICE@CSATRAVEL.RO
1547,PRIETENIA TURISM SRL,PRIETENIA TURISM,11669273,NR. 2B,Com. Tunari,ILFOV,OrganizatoareOnline,www.iuliaresort.ro,contact@iuliaresort.ro
1549,FIRST CLASS INT. S.R.L.,GLOBE 365,19090543,"STR. G-ral Gheorghe Magheru , NR. 31  , ET. 6","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.globe365.ro,office@globe365.ro
155,SC GORJ TURISM SRL,GORJ TURISM,10581199,"STR. Republicii , NR. 30 , BL. 30",Mun. Târgu Jiu,GORJ,Organizatoare,www.gorjturism.ro,rezervare@gorjtourism.ro
1552,ABEONA SRL,ABEONA,16393682,"STR. Constantin Dobrogeanu Gherea , NR. 4B",Mun. Braşov,BRAŞOV,Organizatoare,www.abeona.ro,office@abeonaturism.ro
1554,PHOENIX-AGENTIE DE TURISM SRL,PHOENIX,13788491,"STR. George Enescu , NR. 45   , AP. 2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.phoenixturism.ro,contact@phoenixturism.ro
1556,VIA CONSULT SRL,ATLAS TUR,18731798,"STR. Patriei  , BL. E1  , AP. 2",Mun. Deva,HUNEDOARA,Organizatoare,,office@atlastur.ro
1558,WENS TOUR SRL,WENS TOUR,9219790,"STR. Clinicilor , NR. 39",Mun. Cluj-Napoca,CLUJ,Organizatoare,,office@wens.ro
1559,EDELTOUR SRL,EDELTOUR,40545333,"STR. Berceni , NR. 39 , BL. 107 , ET. 7 , AP. 99","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,,raluca.delisor@gmail.com
156,SC AGENTIA DE TURISM SI TRANZACTII-ATT SRL,AGENTIA DE TURISM SI TRANZACTII ATT,11580582,"STR. Arcului , NR. 2 , BL. 3B  , AP. 3",Mun. Slatina,OLT,Organizatoare,www.travelatt.ro,office@travelatt.ro
1560,VEGA TRAVEL INTERNATIONAL SRL,VEGA TRAVEL INTERNATIONAL,25797124,"STR. Tomis , NR. 133",Mun. Constanţa,CONSTANŢA,Organizatoare,www.vegatravel.ro,agentie@vegatravel.ro
1562,CEDRA TOUR SRL,CEDRA TOUR,26431414,"STR. Mihai Viteazu , NR. 1",Mun. Bacău,BACĂU,Organizatoare,www.cedratour.ro,office@cedratour.ro
1567,VIA SIEBENBURGEN SRL,MANDALA TRAVEL,29990127,"STR. Între Lacuri , NR. 24-26 , BL. C3  , AP. 12",Mun. Cluj-Napoca,CLUJ,OrganizatoareOnline,info@mandala-travel.ro,info@mandala-travel.ro
1568,CORA TOURS AGENCY SRL,CORA TOURS,31177038,"STR. Mareşal Alexandru Averescu  , BL. 33",Mun. Deva,HUNEDOARA,Organizatoare,www.coratours.ro,coratoursagency@gmail.com
157,SC TRAVEL BRANDS SA,DERTOUR,39257566,"STR. Reînvierii , NR. 3-5  , ET. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.travelbrands.ro,oferte@dertour.ro
1571,AGATUR SRL,AGATUR,1643810,"STR. George Coşbuc , NR. 1",Mun. Galaţi,GALAŢI,Organizatoare,www.agatur.ro,offce@agatur.ro
1572,AMAL - TOUR SRL,AMAL - TOUR,5986838,"STR. Calea lui Traian , NR. 84 - 86 , BL. S7/3 , ET. P",Mun. Râmnicu Vâlcea,VÂLCEA,Organizatoare,www.amaltour.ro,office@amaltour.ro
1577,MONDOTOURS LEISURE SRL,MONDOTOURS,35275632,"STR. Arany János , NR. 19",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.mondotours.ro,office@mondotours.ro
1579,DESIGN YOUR TRAVEL SRL,MEDTRAVEL,33853977,"STR. Dr. Victor Babeş , NR. 3",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.medtravel.ro,office@medtravel.ro
1580,EMAUS TRAVEL SRL-D,EMAUS TRAVEL,36778284,"NR. 10 , BL. G2  , AP. 2",Com. Holboca,IAŞI,OrganizatoareOnline,www.emaustravel.ro,office@emaustravel.ro
1585,GOOD AIM TRAVEL SRL,GOOD AIM TRAVEL,37592157,"STR. Eftimie Murgu , NR. 11B   , AP. 2",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.goodaimtravel.ro,goodaimtravel@yahoo.com
1586,ROBINSON CRUSOE SRL,ROBINSON CRUSOE,29987199,"STR. Nikolaus Lenau , NR. 6",Mun. Timişoara,TIMIŞ,Organizatoare,www.robinsoncrusoe.ro,contact@robinsoncrusoe.ro
1590,ALL 4 TRAVEL EXPERIEMCE SRL,ALL 4 TRAVEL,37857440,"NR. 54  , ET. 1 , AP. 1B",Mun. Cluj-Napoca,CLUJ,Organizatoare,,ioana.dragos01@gmail.com
1591,PR MEDICAL EVENTS SRL,PR MEDICAL EVENTS,31767934,"NR. 17  , ET. 1",Mun. Iaşi,IAŞI,Organizatoare,www.pr-medicalevents.com,office@pr-medicalevents.com
1592,LUCOM TRAVEL SRL,LUCOM TRAVEL,24911408,"STR. Libertăţii  , BL. 14 , ET. P",Mun. Roman,NEAMŢ,Organizatoare,www.lucomtravel.ro,office@lucomtravel.ro
1595,DISCOVER WILD TRANSYLVANIA SRL,DISCOVER WILD TRANSYLVANIA,40690180,"STR. Prunului , NR. 18   , AP. 5",Mun. Braşov,BRAŞOV,Organizatoare,www.discovery.transylvania.ro,office@discovery-transylvania.ro
1596,NESTVAS TURISM SRL,NESTVAS TURISM,36845316,"STR. Ştefan cel Mare  , BL. 94(B2)  , AP. PARTER",Mun. Vaslui,VASLUI,Organizatoare,www.nestvasturism.com,nestvasturism@yahoo.com
1597,MIKA TRAVEL & TOUR SRL,MIKA TRAVEL,29775358,"STR. Gheorghe Doja , NR. 41 , BL. 45F3",Mun. Ploieşti,PRAHOVA,Organizatoare,www.mikatravel.ro,rezervari@mikatravel.ro
1598,B&I TIMES TRAVEL IMPEX SRL,TIMES TRAVEL,2794382,"NR. 23   , AP. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.timestravel.ro,officetimestravel@gmail.com
1599,ILMAR SERVICII SRL,ILMAR TRAVEL,30863526,"STR. Agricultorilor , NR. 3   , AP. 9",Mun. Cluj-Napoca,CLUJ,OrganizatoareOnline,www.ilmartravel.ro,office@ilmartravel.ro
1600,MIORITA LANDSCAPE TRAVEL SRL,MIORITA LANDSCAPE TRAVEL,32959814,NR. 50,"Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.mioritatravel.com,office@mioritatravel.com
1601,EURO TRAVEL CONSULT SRL,ETC TOURS,19592507,NR. 35,Com. Tunari,ILFOV,Organizatoare,,claudia.badea@eurotravelconsult.ro
1603,KING TRAVEL SRL,KING TRAVEL,18497612,"NR. 4   , AP. 1",Mun. Lugoj,TIMIŞ,Organizatoare,www.kingtravel.ro,kingtravel11@yahoo.com
1606,MUNDI BUSINESS TRAVEL SRL,MUNDI BUSINESS TRAVEL,32223450,"STR. Muzelor , NR. 22","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,,"office@mbtravel.ro, ab@mbtravel.ro"
1610,ROTOURS INCOMING CONCEPT SRL,ROTOURS INCOMING CONCEPT,33810828,"STR. Fabulistului , NR. 10  , ET. 3 , AP. 4","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,,office@rotours-incoming.ro
1611,SPATII SI CULTURA SRL,SPATII SI CULTURA,7785571,NR. 336 A,"Com. Suceviţa, Sat Voievodeasa",SUCEAVA,Organizatoare,,carpathica@yahoo.com
1615,ADVANCED EUROPEAN LOGISTICS SRL,ADVANCED TRAVEL,24729580,"STR. Republicii , NR. 15",Oraş Sinaia,PRAHOVA,Organizatoare,www.advancedtravel.ro,office@aelro.com
1616,CALATORESTE CU NOI SRL,TRAVEL SMART,40640009,"STR. Henri Coandă , NR. 26 , BL. PC48 , ET. 3 , AP. 7",Mun. Oradea,BIHOR,Organizatoare,,palcea.alexandra@gmail.com
1617,COMTURIST S.A.,COMTURIST,1579530,"STR. I. C. Brătianu , NR. 29 - 33  , ET. 2","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.comturist.ro,office@comturist.ro
1618,HESTIA WORLD S.R.L.,TOUREX,27741480,"NR. 11 , BL. V 59 , ET. 1 , AP. 5","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,,office@tourex.ro
1619,VALDIR TOUR S.R.L.,VALDIR TOUR,6848086,"STR. România Muncitoare , NR. 3",Mun. Craiova,DOLJ,Organizatoare,www.valdirtour.ro,valdirtour@yahoo.com
1620,SIRIUS S.R.L.,SIRIUS,1353345,NR. 8,Mun. Ploieşti,PRAHOVA,Organizatoare,,sirius_ploiesti_2006@yahoo.com
1622,VACANŢA DE VIS S.R.L.,ROXY VACANŢA DE VIS,21104306,"STR. Ştefan cel Mare , NR. 126 , BL. F1B  , AP. 22",Mun. Constanţa,CONSTANŢA,Organizatoare,www.vacantav.ro,vacantav@yahoo.com
1628,HAPPY TURIST TRANSPORT S.R.L.,HAPPY BUSINESS TRAVEL & CONFERENCE,14458297,"STR. Sabinelor , NR. 7A   , AP. 1","Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.happytravel.ro,office@happytravel.ro
1629,HORUS TOUR SRL,HORUS TOUR,32690278,"STR. Ştefan cel Mare , NR. 2",Mun. Satu Mare,SATU MARE,Organizatoare,www.paralela45.ro,baiamare@paralela45.ro
1630,CARPATHIAN NATURE TOURS SRL,CARPATHIAN NATURE TOURS,12499819,NR. 130,Com. Moieciu,BRAŞOV,Organizatoare,,office@cntours.ro
1631,TRAVEL GREEN LIGHT SRL,TRAVEL GREEN LIGHT,29730240,"STR. Tohani , NR. 1 , BL. 29 , ET. 10 , AP. 44","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.greenlight.travel,office@greenlight.travel
1634,ZAHIR TRAVEL S.R.L.,ZAHIR TRAVEL,28099657,"STR. Gării Căţelu , NR. 238 - 240","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.zahirtravel.ro,zahirtravel@yahoo.com
1635,MERIDIAN TRAVEL S.R.L.,MERIDIAN TRAVEL,15991122,"STR. Trandafirilor , NR. 57",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.meridian-travel.ro,office@meridian-travel.ro
1637,MIKA HOLIDAY TRAVEL SRL,MIHAELA TRAVEL,34256420,"STR. Haşdeu  , BL. 3B , ET. P",Mun. Buzău,BUZĂU,Organizatoare,www.mihaelatravel.ro,office@mikaholidaytravel.ro
1642,GEORGE TURISM SRL,GEORGE TURISM,17572406,"STR. Ploieşti , NR. 9  , ET. 10 , AP. 7",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.georgeturism.ro,office@georgeturism.ro
1644,TOP TRAVEL AGENCY ANC SRL,TOP TRAVEL,30537260,"STR. Alexandru Ioan Cuza , NR. 18",Mun. Slatina,OLT,Organizatoare,,top.travel2012@yahoo.ro
1645,COMINAV COMPANY SRL,VICTORIA TOUR,18431693,"STR. Călăraşilor , NR. 53 , BL. 2 BIS , ET. P",Mun. Brăila,BRĂILA,Organizatoare,www.victoriatour.ro,office@victoriatour.ro
1649,TRAVELIANA EVENTS SRL,TRAVELIANA,39610586,"NR. 144 CAM 1  , BL. 10 , ET. 10 , AP. 41","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.traveliana.ro,office@traveliana.ro
1650,EMOL TRAVEL AND TOURS S.R.L.,EMOL BUSINESS SERVICES,37548755,"STR. Mihai Eminescu , NR. 1   , AP. 2",Mun. Arad,ARAD,Organizatoare,www.emoltravel.ro,info@emoltravel.ro
1651,HOTEL TARNAVA 2000 S.R.L.,PRIMA TRAVEL,13640850,"STR. Városháza , NR. 16",Mun. Odorheiu Secuiesc,HARGHITA,Organizatoare,www.prima-travel.ro,dobrita.ildiko@prima-travel.ro
1653,RECREATION TRANS TOUR SRL,RECREATION,32402154,STR. Martirilor 1989,Mun. Timişoara,TIMIŞ,Organizatoare,www.recreation.ro,office@recreation.ro
1659,KAI SERVICES CLUB SRL,THERME KAI,27825662,"STR. Mircea Eliade , NR. 18  , ET. 2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.kaitour.ro,office@kaitour.ro
1660,MAXYGO TRAVEL SRL,MAXYGO TRAVEL,8838470,"STR. Vasile Lupu , NR. 2 , BL. 32",Mun. Ploieşti,PRAHOVA,Organizatoare,cleverbooking.ro,mihaelalupu@cleverbooking.ro
1665,WEST TRAVEL TOURS SRL,WEST TRAVEL TOURS,20177156,"STR. Revoluţiei din Decembrie    , AP. 2",Mun. Miercurea Ciuc,HARGHITA,Organizatoare,www.westtraveltours.ro,office@westtraveltours.ro
1666,AVIA TRANS CO SRL,AVIA TRANS CO TOURS,16227868,"STR. Pricopan , NR. 7 , BL. 7 , ET. 2 , AP. 29","Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www. aviatransco.ro,aviatransco@yahoo.com
1669,STEP BY STEP AGENCY SRL,IULIAN COZMA OUTDOOR ADVENTURES,14370100,NR. 109,"Com. Ucea, Sat Ucea de Sus",BRAŞOV,Organizatoare,www.montainguide.ro,contact@mountainguide.ro
1670,GALLEVITREK SRL,KARPAT KLUB TRAVEL,40309715,"STR. Făgăraşului , NR. 10",Mun. Cluj-Napoca,CLUJ,OrganizatoareOnline,,levente.j.gal@freemail.hu
1675,MOTO TRAVEL SRL,MOTO TRAVEL,37183527,"STR. Pipera , NR. 2",Oraş Voluntari,ILFOV,Organizatoare,www.romaniamotorcycletour.com,office@romaniamotorcycletours.com
1678,INTERNATIONAL GLOBAL TOUR S.R.L.,ADE TRAVEL,35905657,"STR. Moineşti , NR. 128","Com. Mărgineni, Sat Luncani",BACĂU,Organizatoare,,magianaturii@yahoo.com
1680,VACANŢE SEJURURI S.R.L.,BUBURUZA TRAVEL,32778648,"STR. Mălinului , NR. 2",Mun. Baia Mare,MARAMUREŞ,OrganizatoareOnline,www.esejururi.ro,office@esejururi.ro
1684,PANDATOURCOMPANY SRL,PANDA TOUR,38842871,"STR. Sf. Lazăr , NR. 27  , ET. 1",Mun. Iaşi,IAŞI,Organizatoare,www.pandatour.ro,ruslan.braguta@gmail.com
1686,DAGECOM TRAVEL SERVICES S.R.L.,DAGECOM TRAVEL SERVICES,8733929,"STR. Fluierului , NR. 36","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.dagecom.ro,office@dagecom.ro
1687,TRAVEL SHOP S.R.L.,TRAVEL SHOP,15145999,"STR. Theodor Pallady , NR. 18 , BL. M5","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.travelshop.ro,office@travelshop.ro
1688,GLOBAL TRIP SRL,GLOBAL TRIP,31035475,"STR. Republicii , NR. 38   , AP. BIROUL 3",Mun. Braşov,BRAŞOV,Organizatoare,www.globaltrip.ro,rezervari@globaltrip.ro
1689,ADVENTURE MOTORCYCLE TOURS AND RENTALS SRL,ADVENTURE MOTORCYCLE TOURS,28072686,"STR. Războieni , NR. 31A",Mun. Turda,CLUJ,OrganizatoareOnline,www.motorcycle-tours.travel,office@motorcycle-tours.travel
1690,TRAVEL PLUS 2015 S.R.L.,TRAVEL PLUS 2015,34352621,"STR. Ion Lahovari , NR. 133A  , ET. PARTER 2",Mun. Constanţa,CONSTANŢA,Organizatoare,www.travel-plus.ro,office@travel-plus.ro
1692,ALEFIOS TOUR SRL,ALEFIOS TOUR,37714300,NR. 65B,Com. Mărgineni,BACĂU,Organizatoare,,alefiostour@yahoo.com
1697,QUATTRO TRAVEL SRL,QUATTRO TRAVEL,31501966,"STR. Tomis , NR. 111",Mun. Constanţa,CONSTANŢA,Organizatoare,www.quatro-travel.ro,contact@quattro-travel.ro
1698,ACTIVE PLANET GO EAST SRL,ACTIVE PLANET,36348627,"STR. Johannes Honterus , NR. 22   , AP. 1A",Mun. Mediaş,SIBIU,OrganizatoareOnline,www.activeplanet.de,go_east@activeplanet.ro
1699,EUROMAX SRL,EUROMAX,15764600,STR. Brăilei,Mun. Galaţi,GALAŢI,Organizatoare,www.euromax.ro,contact@euromax.ro
1701,BIROUL DE TURISM SI TRANZACTII G & P SRL,BTT G & P,12888069,"STR. Republicii , NR. 190 , BL. N2 , ET. P",Mun. Bârlad,VASLUI,Organizatoare,,bttbarlad_goga@yahoo.com
1702,SIBIU REISEN SRL,SIBIU REISEN,22459340,"STR. G-ral Vasile Milea  , BL. 11A , ET. 3 , AP. 7",Mun. Sibiu,SIBIU,Organizatoare,www.sibiureisen.ro,office@sibiureisen.ro
1703,INTERAD SRL,INTERAD,14562475,"NR. 168 , BL. 15 , ET. P , AP. 2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.interad.ro,office@interad.ro
1704,NEXT TRAVEL EXPERIENCE SRL,NEXT TRAVEL EXPERIENCE,40363005,"STR. Negru Vodă , NR. 32 , BL. A3 , ET. P , AP. 4",Mun. Piteşti,ARGEŞ,Organizatoare,,andreea.pandrea@yahoo.com
1705,ALISEB TOURS SRL,ALISEB TOURS ROMANIA,36504505,"STR. Cuza Vodă  , BL. D2",Mun. Paşcani,IAŞI,Organizatoare,www.alisebtours.ro,alisebtour@gmail.com
1706,PRIETENII TAI-SUSTINEM LUMEA TA SRL,PRIETENII TAI-SUSTINEM LUMEA TA,40191180,"STR. Principală , NR. 82","Com. Stăneşti, Sat Curpen",GORJ,Organizatoare,,gigel.adamute@prietenii-tai.ro
1707,DANIRAMONT INTERNATIONAL SRL,VISIT TRANSILVANIA TRAVEL,17379481,"STR. Ştefan cel Mare , NR. 337",Oraş Ghimbav,BRAŞOV,Organizatoare,www.visittransilvania.ro,office@visittransilvania.ro
1709,DAVTURISM TRAVEL SRL,DAVTURISM TRAVEL,15740147,"STR. Alexandru Vlahuţă  , BL. 7 , ET. P",Mun. Târgu Jiu,GORJ,Organizatoare,www.davturism.ro,virgil_danaricu@yahoo.com
1714,RUSTIK TOURS MOLDOVA SRL,RUSTIK TOURS MOLDOVA,40285721,"STR. Pipera , NR. 61 , BL. 1 , ET. 3 , AP. 104","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,,complex.valeni@yahoo.com
1715,COME & GO CONSULTING,COME & GO,25897212,NR. 2,Com. Ghiroda,TIMIŞ,Organizatoare,www.romaniacitytours.com,transport@come-go.ro
