nr_licenta,licenta_tip,data_emitere,operator_economic,nr_registru_comert,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email,col13,col14,col15
1243,Licenta,26.02.2019,MATDAN ECO TOURS S.R.L.,J3/2159/2017,MATDAN ECO TOURS,38140656,"STR. Republicii , NR. 46",Mun. Piteşti,ARGEŞ,Organizatoare,www.matdantours.ro,contact@matdantours.ro,,,
1244,Licenta,26.02.2019,FANTASTIC TOURS S.R.L.,J40/15703/1992,FANTASTIC TOURS,1586332,"STR. Gilăului , NR. 24  , ET. 1","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.fantastictours.ro,fantastic@fantastictours.ro,,,
1245,Licenta,26.08.2019,INVESTCO MANAGEMENT S.R.L.,J12/432/1994,CITY TRAVELS,5227560,"STR. Avram Iancu , NR. 28  , ET. 1 , AP. 1",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.citytravels.ro,contact@citytravels.ro,,,
1246,Licenta,27.04.2022,ENERGETICA TOUR SERVICII SRL,J40/1680/2022,ENERGETICA TOUR,12582921,"STR. Decebal  , BL. 15 , ET. P",Mun. Deva,HUNEDOARA,Organizatoare,www.energeticatour.ro,energeticatour.brad@yahoo.ro,,,
1247,Licenta,24.06.2019,SMART WAY (TRAVEL & EVENTS) SRL,J40/8343/2014,TRAVELWAY,33381874,"STR. Finlanda , NR. 25  , ET. 2 , AP. 3","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Intermediara,www.travelway.ro,madalina.ciora@travelway.ro,,,
1248,Licenta,27.02.2019,EUROPOINT SRL,J40/4906/1997,EUROPOINT TOUR & TRAVEL,9553004,"STR. Manganului , NR. 9","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.europoint.ro,office@europoint.ro,,,
1249,Licenta,05.11.2020,BANAT TOUR COMPANY SRL,J11/817/2007,CHRISTIAN TOUR FRANCIZA LUGOJ,22430246,"STR. Victoriei  , BL. 56",Mun. Târgu Jiu,GORJ,Intermediara,,info.lugoj@christiantour.ro,,,
125,Licenta,24.10.2019,ALLEGRO DINAMIC CONCEPT SRL,J10/945/2018,ALLEGRO TRAVEL,39882793,"STR. Dorobanţi 2  , BL. H16 , ET. 3 , AP. 7",Mun. Buzău,BUZĂU,Organizatoare,www.allegrotravel.ro,office@allegrotravel.ro,,,
1250,Licenta,27.02.2019,VIA DAR SRL,J2/176/2012,VIA TRANSYLVANIA TOURS,27906481,NR. 1510,Com. Şiria,ARAD,OrganizatoareOnline,www.viatransylvania.com,info@viatransylvania.com,,,
1251,Licenta,01.02.2021,ACROSS SRL,J22/2525/1993,ACROSS TRAVELS,4858032,"STR. Cronicar Mustea , NR. 15-17",Mun. Iaşi,IAŞI,Organizatoare,www.across.ro,office@across.ro,,,
1252,Licenta,28.03.2022,JOURNEYMALL INTERNATIONAL SRL,J40/204/2018,JOURNEYMALL INTERNATIONAL,3863736,NR. 91,"Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Intermediara,,office@journeymall.ro,,,
1253,Licenta,27.02.2019,TREFF TURISM SI COMERT SRL,J14/308/1992,TREFF,546810,"STR. Kriza János , NR. 1/B",Mun. Sfântu Gheorghe,COVASNA,Organizatoare,www.trefftravel.ro,office@trefftravel.ro,,,
1254,Licenta,27.02.2019,FLUMEN VIAGGI INTERNATIONAL S.R.L.,J6/16/2004,CLUB CROAZIERE,16044674,"STR. Constantin Roman Vivu , NR. 68",Mun. Bistriţa,BISTRIŢA-NĂSĂUD,Organizatoare,www.clubcroaziere.ro,info@clubcroaziere.ro,,,
1255,Licenta,27.02.2019,UNITA TURISM HOLDING SA,J35/1837/2004,UNITA TOUR,2094737,"NR. 1   , AP. 4",Mun. Timişoara,TIMIŞ,Organizatoare,www.unita-turism.ro,unitatour@unita-turism.ro,,,
1256,Licenta,03.06.2021,ELLER TRAVEL SRL,J35/1464/2014,ELLER TRAVEL,33274860,"STR. Divizia 9 Cavalerie , NR. 64",Mun. Timişoara,TIMIŞ,Intermediara,www.ellertravel.ro,ramona@ellertravel.ro,,,
1257,Licenta,03.03.2026,UNIVERSAL TOURS 2006 S.R.L.,J03/182/2006,PARALELA 45 TURISM,18345711,"STR. Republicii  , BL. 79  , AP. 4",Mun. Piteşti,ARGEŞ,Organizatoare,www.vacanteparalela45.ro,florentina@paralela45.ro,,,
1258,Licenta,27.02.2019,SIMCOTOUR S.R.L.,J06/241/2000,SIMCOTOUR,13333279,"STR. Republicii , NR. 14  , ET. PARTRE , AP. 3",Mun. Bistriţa,BISTRIŢA-NĂSĂUD,Organizatoare,www.simcotour.ro,office@simcotour.ro,,,
1259,Licenta,27.02.2019,EXOTIC PAS TUR S.R.L.,J6/867/1993,PAS TOUR,5291016,"STR. Centrală , NR. 39",Mun. Bistriţa,BISTRIŢA-NĂSĂUD,Intermediara,www.pastour.ro,office@pastour.ro,,,
126,Licenta,14.11.2018,ZEPELIN TOUR SRL,j40/7829/2009,ZEPELIN TOUR,25773656,NR. 9,"Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.zepelintour.ro,contact@zepelintour.ro,,,
1260,Licenta,27.02.2019,ENJOY FUNNY TRAVEL SRL,J40/1353/2010,ENJOY FUNNY TRAVEL,26499495,"STR. Emil Racoviţă , NR. 2 , BL. R 18  , AP. 41","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Intermediara,www.funnytravel.ro,office@funnytravel.ro,,,
1261,Licenta,27.02.2019,TRANSILVANIA TRAVEL SERVICES S.R.L.,J5/436/2000,TRANSILVANIA TRAVEL SERVICES,13037524,"STR. Republicii , NR. 31  , ET. P",Mun. Oradea,BIHOR,Organizatoare,www.transilvaniatravel.ro,office@transilvaniatravel.ro,,,
1262,Licenta,27.02.2019,NETALL S.R.L.,J26/390/2007,FAMILY HOLIDAY,21240022,"STR. Tuşnad , NR. 1   , AP. 8",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.family-holiday.ro,office@family-holiday.ro,,,
1263,Licenta,19.04.2023,MONDIAL AIR S.R.L.,J12/446/2004,MONDIAL HOLIDAY,16120704,"STR. Teodor Mihali , NR. 62   , AP. 1",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.mondial-holiday.ro,office@modial-holiday.ro,,,
1264,Licenta,27.02.2019,AIR EXPRESS S.R.L.,J12/1685/2003,AIR EXPRESS,15528633,"STR. 21 Decembrie 1989 , NR. 20   , AP. 1",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.airexpress.ro,office@airexpress.ro,,,
1265,Licenta,27.02.2019,BUSINESS TRAVEL SOLUTIONS SRL,J40/15238/2011,I TRAVEL IN ROMANIA,29482706,"NR. 94-100 , BL. A1 , ET. 3 , AP. A1039","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,Organizatoare,www.itravelinromania.com,contact@itravelinromania.com,,,
1266,Licenta,27.09.2023,FORMARE PROFESIONALĂ TURISM S.R.L.,J03/2481/2008,TOUR SIM,24848696,"STR. Teilor , NR. 18",Mun. Piteşti,ARGEŞ,Organizatoare,www.toursim.ro,office@toursim.ro,,,
1267,Licenta,07.04.2022,EXPRES CENTER 2004 S.R.L.,J12/1498/2004,GO TOUR,16355930,"STR. Avram Iancu , NR. 8B",Mun. Turda,CLUJ,Organizatoare,www.gotour.ro,office@gotour.ro; travel@gotour.ro,,,
1268,Licenta,27.02.2019,EBOS TOUR S.R.L.,J35/2837/2013,EBOS TOUR,32476178,"STR. Regele Carol I , NR. 16",Mun. Timişoara,TIMIŞ,Organizatoare,www.ebostour.ro,office@ebostour.ro,,,
1269,Licenta,12.10.2020,CORELIA TRAVEL SRL,J35/1022/2009,CORELIA TRAVEL,25519756,"NR. 11   , AP. 2",Com. Dumbrăviţa,TIMIŞ,Intermediara,,office@coreliatravel.ro,,,
127,Licenta,14.11.2018,PRIVATE TRAVEL SRL,J40/9001/2011,MY ESCAPE,28913185,"STR. Valea Viilor , NR. 7 , BL. M40 , ET. 6 , AP. 39","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.myescape.ro,diana.udriste@myescape.ro,,,
1270,Licenta,14.04.2021,DIANA & CORINA CONSULT COM SRL,J3/1572/2004,COMPARI VACANTE,16770529,"STR. Egalităţii , NR. 18",Mun. Piteşti,ARGEŞ,Intermediara,www.comparivacante.ro,contact@comparivacante.ro,,,
1271,Licenta,27.02.2019,LA PIOVRA TURISTA,J40/28507/1994,LA PIOVRA TURISTA,6807213,"STR. Corneliu Coposu , NR. 4 , BL. 105A","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.lapiovra.ro,office@lapiovra.ro,,,
1272,Licenta,27.02.2019,MUST TRAVEL COMPANY S.R.L.,J17/873/2015,MUST TRAVEL,34768551,"STR. Brăilei , NR. 134A  , ET. 1",Mun. Galaţi,GALAŢI,Organizatoare,www.musttravel.ro,office@musttravel.ro,,,
1273,Licenta,28.02.2019,BTM TANIA TURISM S.R.L.,J15/108/2014,BTM TANIA TURISM,32836234,"STR. Mircea cel Bătrân  , BL. H2 , ET. PARTER",Mun. Târgovişte,DÂMBOVIŢA,Intermediara,www.btmtaniaturism.ro,taniaturism@gmail.com,,,
1274,Licenta,28.02.2019,CARPATERRRA TOP TRAVEL S.R.L.,J24/1390/2017,CARPATERRA TOP TRAVEL,38010273,STR. 22 Decembrie,Oraş Vişeu de Sus,MARAMUREŞ,Intermediara,www.carpaterra-travel.ro,office@carpaterra-travel.ro,,,
1275,Licenta,28.02.2019,MASIRO TRAVEL SRL,J40/24002/2007,MASIRO TRAVEL,22961949,"STR. Radu Vodă , NR. 1 , BL. B8 , ET. 8 , AP. 66","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.masirotravel.ro,office@masirotravel.ro,,,
1276,Licenta,28.02.2019,COSTEA GROUP SRL,J16/435/2005,OLTENIA TOUR,17288600,"STR. Cerna  , BL. A1  , AP. P",Mun. Craiova,DOLJ,Organizatoare,www.olteniatour.com,contact@olteniatour.ro,,,
1277,Licenta,28.02.2019,KALIMERA HOLIDAYS-TOURS & TRAVEL SRL,J13/952/2008,KALIMERA HOLIDAYS-TOURS & TRAVEL,23509284,NR. 81,Mun. Constanţa,CONSTANŢA,Organizatoare,www.kalimeraholidays.ro,hello@kalimeraholidays.ro,,,
1278,Licenta,03.04.2019,CIEL VOYAGES SRL,J12/661/1997,CIEL VOYAGES,9469567,"STR. Eroilor , NR. 19   , AP. 4",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.ciel-voyages.ro,danut.tamasan@ciel-voyages.ro,,,
1279,Licenta,28.02.2019,ROBIN GRUP SRL,J9/840/2004,ROBIN GRUP,16847029,"STR. Unirii , NR. 24  , ET. P , AP. 46",Mun. Focşani,VRANCEA,Intermediara,www.robingrup.ro,robin.grup@yahoo.com,,,
128,Licenta,14.11.2018,ALEX TRAVEL SRL,J27/1418/2005,TRAVEL CLUB,18008201,"STR. Ştefan cel Mare , NR. 4 , BL. C2  , AP. 26",Mun. Piatra Neamţ,NEAMŢ,IntermediaraOnline,www.clubulvacantei.ro,rezervari@clubulvacantei.ro,,,
1280,Licenta,28.02.2019,SFARA TOURS BAIA MARE SRL,J24/62/2002,SFARA TOURS,14437618,"STR. George Coşbuc , NR. 12   , AP. 32",Mun. Baia Mare,MARAMUREŞ,Organizatoare,www.sfaratours.com,office@sfaratours.com,,,
1281,Licenta,28.02.2019,YAHOO BEST SRL,J13/2608/2007,YAHOO TRAVEL,22215558,"STR. 9 Mai , NR. 4 , BL. E15 , ET. P , AP. 13",Oraş Cernavodă,CONSTANŢA,Intermediara,www.bestinfotur.ro,cernavoda.cristina@gmail.com,,,
1282,Licenta,28.02.2019,GO FOR FUN ZONE SRL,J23/2416/2002,GO FOR FUN ZONE,7610073,NR. 111,Com. Tunari,ILFOV,Organizatoare,www.goforfunzone.ro,office@goforfunzone.ro,,,
1284,Licenta,28.02.2019,ARHIEPISCOPIA TIMISOAREI,,CENTRUL DE PELERINAJE PARTOŞ,4483587,NR. 7,Mun. Timişoara,TIMIŞ,Organizatoare,www.pelerinajetimisoara.ro,pelerinaje@arhiepiocopiatimisoarei.ro,,,
1285,Licenta,08.05.2023,ULTRAMARIN VOYAGE SRL,J35/1152/2013,ULTRAVOYAGE,31588254,"NR. 11   , AP. 5",Mun. Timişoara,TIMIŞ,Organizatoare,www.ultravoyage.ro,office@ultravoyage.ro,,,
1286,Licenta,28.02.2019,MIRIMODO GROUP SRL,J18/230/2009,MIRIMODO,25422400,"STR. Victoriei  , BL. 37  , AP. 1",Mun. Târgu Jiu,GORJ,Intermediara,,modohog2005@yahoo.com,,,
1287,Licenta,28.02.2019,JENNY NICE TRAVEL S.R.L.,J2/1568/2007,JENNY NICE TRAVEL,22301357,"STR. Nelu Aristide Dragomir , NR. 18 , BL. 6  , AP. 3",Mun. Arad,ARAD,Intermediara,,eugenia_dr@yahoo.com,,,
1288,Licenta,28.02.2019,IF GRUP S.R.L.,J15/780/2003,TERRA EXPRESS,15810242,"STR. Mircea cel Bătrân  , BL. H6",Mun. Târgovişte,DÂMBOVIŢA,Intermediara,,ifgrup2003@yahoo.com,,,
1289,Licenta,28.02.2019,AGENTIA GLOBTROTTER TRAVEL SRL,J40/11397/2002,GLOBTROTTER TRAVEL,15008800,"STR. Decebal , NR. 28 , BL. S1 , ET. 4 AP 11 , AP. 11","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Intermediara,,globtrottertravel@yahoo.co.uk,,,
129,Licenta,14.11.2018,REXELITE SRL,J12/747/1991,BONJOUR HOLIDAY,204744,"STR. Regele Ferdinand , NR. 16",Mun. Cluj-Napoca,CLUJ,Intermediara,,scerbacginamaria09@gmail.com,,,
1290,Licenta,22.08.2024,TRAVEL EXPRES S.R.L.,J5/1682/2003,TRAVEL EXPRES,16009804,"STR. Corneliu Coposu , NR. 1 , BL. BT2",Mun. Oradea,BIHOR,Intermediara,www.travelexpres.ro,office@travelexpres.ro,,,
1291,Licenta,28.02.2019,IKA PROD COM - IMPEX SRL,J23/1018/2002,IKA TURISM,8501767,"STR. Dionisie Lupu , NR. 61  , ET. P , AP. 1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Intermediara,www.ikaturism.ro,info@ikaturism.ro,,,
1292,Licenta,31.08.2020,CARPATINO TOURS SRL,J12/1328/2016,HAYLAND EXPRESS,35886377,"STR. Bucegi , NR. 8 , BL. E2 , ET. PARTER , AP. 23",Mun. Cluj-Napoca,CLUJ,OrganizatoareOnline,www.getaclujtour.com,getaclujtour@gmail.com,,,
1293,Licenta,28.02.2019,SERENITY TRAVEL & EVENTS SRL,J40/2551/2014,SERENITY TRAVEL & EVENTS,32868147,"STR. Energeticienilor , NR. 9-11  , ET. 1 , AP. 5","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,,catalina.gheorghe30@yahoo.com,,,
1294,Licenta,28.02.2019,TROPICAL TOUR S.R.L.,J16/473/2001,TROPICAL TOUR,14092241,"STR. C.S. Nicolăescu Plopşor  , BL. 49",Mun. Craiova,DOLJ,Organizatoare,www.tropicaltour.ro,office@tropicaltour.ro,,,
1295,Licenta,28.02.2019,PRODIAL TOUR S.R.L.,J29/18/2002,PRODIAL TOUR,14379177,"STR. Constanţei , NR. 4 BIS",Mun. Ploieşti,PRAHOVA,Organizatoare,www.prodialtour.ro,prodialtour@gmail.com,,,
1296,Licenta,12.10.2020,ALMA TRADE & TOURS S.R.L.,J13/5156/2004,ALMA TOURS,16084717,NR. 3A,Com. Comana,CONSTANŢA,OrganizatoareOnline,www.almatours.ro,office@almatours.ro,,,
1298,Licenta,26.01.2023,DESTINE HOLIDAYS S.R.L.,J29/1007/2018,DESTINE HOLIDAYS,39345501,"STR. Mănăştur , NR. 62  , ET. 2",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.destineholidays.ro,office@destineholidays.ro,,,
1299,Licenta,28.02.2019,VELVET TRAVEL S.R.L.,J16/2116/2016,VELVET TRAVEL,36766115,"STR. Bucureşti , NR. 33 , BL. 21C , ET. PARTER",Mun. Craiova,DOLJ,Organizatoare,www.velvet-travel.ro,office@velvet-travel.ro,,,
13,Licenta,08.12.2021,SE7EN TOURS & EVENTS SRL,J8/3326/2021,SE7EN TOURS & EVENTS,39740896,"STR. Matei Basarab , NR. 92   , AP. 20",Mun. Braşov,BRAŞOV,IntermediaraOnline,www.se7entours.ro,office@se7entours.ro,,,
130,Licenta,14.11.2018,ALFAGROUP COMPANY SRL,J35/930/2002,EROL TOURS,14703647,NR. 53,Com. Giarmata,TIMIŞ,Intermediara,www.eroltours.com,contact@eroltours.ro,,,
1300,Licenta,01.03.2019,HOLIDAY TRAVEL & EVENTS S.R.L.,J40/3151/2011,HOLIDAY TRAVEL,28191920,"STR. Malcoci , NR. 3 , BL. 46  , AP. 5","Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Intermediara,www.holiday-travel.ro,rezervari@holiday-travel.ro,,,
1302,Licenta,01.03.2019,HAPPY HOLIDAYS S.R.L.,J28/617/2006,HAPPY HOLIDAYS FOR ALL,18963879,"STR. Alexandru Ioan Cuza , NR. 30 , BL. GA201 , ET. PARTER , AP. 4",Mun. Slatina,OLT,Organizatoare,,hholidays2006@yahoo.com,,,
1303,Licenta,01.03.2019,HEUREKA TRAVEL S.R.L.,J5/1717/2012,HEUREKA TRAVEL,30747050,"STR. Republicii , NR. 17 , BL. R7",Mun. Marghita,BIHOR,Intermediara,www.heurekatravel.ro,reka.sarkadi@heurekatravel.ro,,,
1304,Licenta,14.02.2023,TEAM TOUR OPERATOR S.R.L.,J24/94/2017,TEAM TOUR OPERATOR,36965614,NR. 16,"Oraş Baia Sprie, Loc. Tăuţii de Sus",MARAMUREŞ,IntermediaraOnline,www.teamtour.ro,office@teamtour.ro,,,
1305,Licenta,01.03.2019,FIRST CLASS TRAVEL S.R.L.,J05/1715/2011,FIRST CLASS TRAVEL,29172640,"STR. Avram Iancu , NR. 2",Mun. Oradea,BIHOR,Organizatoare,www.firstclasstravel.ro,office@firstclasstravel.ro,,,
1306,Licenta,01.03.2019,Arhiepiscopia Craiovei - Activitati Economice,-,"CENTRUL DE PELERINAJ  ""SF. NICODIM""",16825705,NR. 3A,Mun. Craiova,DOLJ,Organizatoare,www.pelerinaje.ro,centrulsfnicodim@gmail.com,,,
1307,Licenta,01.03.2019,AVE ACCOMODATION,J12/2275/2012,AVETOUR,30587714,"STR. Regele Ferdinand , NR. 9   , AP. 5",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.avetour.ro,ave_tour@yahoo.com,,,
1308,Licenta,01.03.2019,PRESTIGE BLUE MOON SRL,J15/121/2015,BLUE MOON TRAVEL,34126934,"STR. Arsenalului , NR. 1A",Mun. Târgovişte,DÂMBOVIŢA,Organizatoare,www.bluemoontravel.ro,office@bluemoontravel.ro,,,
1309,Licenta,31.08.2020,BOOMERANG SERVICES S.R.L.,J12/3025/2006,BOOMERANG SERVICES,19012910,"STR. Napoca , NR. 2-4   , AP. 53",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.boomerangservices.ro,office@boomerangservices.ro,,,
131,Licenta,15.11.2018,JOHNNY TOUR SRL,J16/1798/2013,JOHNNY TOUR,32499317,"STR. Unirii , NR. 68",Oraş Segarcea,DOLJ,Intermediara,www.johnnytour.ro,ionut.dolofan@gmail.com,,,
1310,Licenta,19.03.2024,INNTOUR SRL,J12/1038/2003,INNTOUR,15375211,"STR. Alexandru Donici , NR. 3",Mun. Cluj-Napoca,CLUJ,OrganizatoareOnline,www.inntour.ro,mihai@inntour.ro,,,
1311,Licenta,01.03.2019,ELSAVIO SERVICES S.R.L.,J05/260/1994,SAVI TRAVEL,5120202,"STR. 25 Octombrie , NR. 11  , ET. P",Mun. Satu Mare,SATU MARE,Organizatoare,www.savitravel.ro,office@savitravel.ro,,,
1314,Licenta,24.11.2020,BREGAMO SRL,J29/442/2003,BREGAMO TRAVEL,15291064,"STR. Grindului , NR. 6 , BL. M1 , ET. 1 , AP. 7",Mun. Ploieşti,PRAHOVA,Organizatoare,www.bregamotravel.ro,office@bregamotravel.ro,,,
1315,Licenta,27.01.2021,TOPFLY SRL,J40/3327/2014,TOP FLY,32941949,"STR. Nordului , NR. 28-36  , ET. 3 , AP. 3.2","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.topfly.ro,alina@topfly.ro,,,
1316,Licenta,04.03.2019,STAR HOLIDAY & TOURS SRL,J40/5809/2012,STAR HOLIDAY & TOURS,30226523,"STR. Blănari , NR. 23  , ET. 3","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.starholiday.ro,info@starholiday.ro,,,
1317,Licenta,21.03.2023,GALLERIA TRAVEL SRL,J8/1937/2012,FAN TRAVEL,31002044,"STR. Crişului , NR. 18A   , AP. SP6",Mun. Braşov,BRAŞOV,Organizatoare,www.fan-travel.ro,office@fan-travel.ro,,,
1318,Licenta,02.09.2020,ENJOY TOURING SRL,J4/454/2007,ENJOY TOURING,21286151,"STR. Ştefan cel Mare , NR. 35 , BL. 31  , AP. 129","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.enjoytouring.ro,daniela@enjoytouring.ro,,,
132,Licenta,08.02.2022,SUMMERSUN HOLIDAY & TRAVEL SRL,J22/1043/2008,SUMMERSUN HOLIDAY & TRAVEL,23612866,"STR. Grigore Ureche , NR. 1-3 , BL. SONTU-MARACINEANU",Mun. Iaşi,IAŞI,Organizatoare,www.summersun.ro,info@summersun.ro,,,
1320,Licenta,04.03.2019,SF TRAVEL SRL,J40/6756/1998,SF TRAVEL,10818970,"STR. G-ral Candiano Popescu , NR. 41","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.navigotravel.ro,office@sftravel.ro,,,
1321,Licenta,04.03.2019,NOIZZ EVENTS SRL,J40/2360/2008,NOIZZ TRAVEL,23255852,"STR. 1 Mai , NR. 39 , BL. C15 , ET. 4 , AP. 20","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,OrganizatoareOnline,www.noizzevents.ro,sorin.borsan@noizzevents.ro,,,
1322,Licenta,04.03.2019,LILIANGEO S.R.L.,J39/694/2006,SEJUR MAGIC,19022760,"STR. Republicii , NR. 16 , BL. 66 , ET. PARTRE",Mun. Adjud,VRANCEA,Intermediara,www.sejurmagic.ro,office@sejurmagic.ro,,,
1323,Licenta,04.03.2019,MAORI SRL,J26/207/2008,MAORI,23193032,"STR. Republicii , NR. 22   , AP. 4",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.maori.ro,office@maori.ro,,,
1324,Licenta,28.02.2023,EXACTTRAVEL EVENT S.R.L.,J29/305/2015,EVENT TOUR,34165585,"STR. Republicii , NR. 38 A",Oraş Sinaia,PRAHOVA,Organizatoare,www.eventtour.ro,office@eventtour.ro,,,
1325,Licenta,04.03.2019,BJR VACANŢE S.R.L.,J02/1194/2004,BJR VACANTE,16576566,"STR. Revoluţiei , NR. 66/B   , AP. 2/B",Mun. Arad,ARAD,Organizatoare,www.bjr-vacante.ro,president@bjr-vacante.ro,,,
1326,Licenta,19.01.2024,KMD WORLD TRAVEL,j40/13719/2012,KMD TRAVEL,30933850,"STR. Nerva Traian , NR. 3  , ET. 2","Mun. Bucureşti, Sector 3",MUNICIPIUL BUCUREŞTI,Organizatoare,www.kmd-travel.ro,office@kmd-travel.ro,,,
1328,Licenta,04.03.2019,SIND GAZ S.R.L.,J29/926/2003,UNION TRAVEL,15485834,"STR. Republicii , NR. 65",Mun. Ploieşti,PRAHOVA,Organizatoare,www.sindgaz.ro,catalin@sindgaz.ro,,,
1329,Licenta,04.03.2019,MANAGER INTERNATIONAL S.R.L.,J51/686/2007,VACANŢA STELELOR,22695162,"STR. Progresul  , BL. A 29 , ET. P , AP. 1",Mun. Călăraşi,CĂLĂRAŞI,Intermediara,,vacanta_turism@yahoo.com,,,
1330,Licenta,04.03.2019,GEMINA TRAVEL S.R.L.,J1/1/2016,GEMINA TRAVEL,35372473,"STR. Cloşca , NR. 2 , BL. CH1 , ET. P",Mun. Alba Iulia,ALBA,Organizatoare,www.geminatravel.ro,contact@geminatravel.ro,,,
1331,Licenta,04.03.2019,FLO ADVENTURE S.R.L.,J12/551/2017,FLO ADVENTURE,37077399,NR. 15,Com. Feleacu,CLUJ,IntermediaraOnline,,officefloadventure@gmail.com,,,
1332,Licenta,04.03.2019,BH TRAVEL INTERNATIONAL S.R.L.,J12/1850/2007,ELITE HOLIDAYS,21600660,"STR. Horea , NR. 2  , ET. PARTER , AP. 1",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.eliteholidays.eu,cristina.ispas@eliteholidays.eu,,,
1333,Licenta,04.03.2019,EXACT TOURS S.R.L.,J40/9951/1998,EXACT TOURS,11149327,"STR. Ghiocei , NR. 2","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.exact-tours.ro,office@exact-tours.ro,,,
1335,Licenta,02.07.2021,SIMPLICITY S.R.L.,J35/2728/2005,SIMPLICITY,17888035,NR. 17/A,Mun. Timişoara,TIMIŞ,Organizatoare,www.simplicity.ro,office@simplicity.ro,,,
1336,Licenta,04.03.2019,HOLIDAY TOUR MURES SRL,J26/641/2013,HOLIDAY TOUR TRAVEL,31862820,"STR. 1 Decembrie 1918 , NR. 209   , AP. 4",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.holidaytourmures.ro,agentie@holidaytourmures.ro,,,
1337,Licenta,04.03.2019,WISE.TRAVEL S.R.L.,J22/1617/2017,WISE TRAVEL,37696204,NR. 5,Com. Miroslava,IAŞI,Organizatoare,www.wise.travel,adelina.cretu@wise.travel,,,
1338,Licenta,04.03.2019,ABORIAD TOUR SRL,J9/381/2014,ADOR TOUR,33394416,"STR. Călăraşilor , NR. 30",Mun. Brăila,BRĂILA,Intermediara,www.adortour.ro,office@adortour.ro,,,
1339,Licenta,04.03.2019,TOP SELECT TOUR S.R.L.,J34/330/2013,TOP SELECT TOUR,31972009,"STR. Independenţei  , BL. 307  , AP. 7",Mun. Alexandria,TELEORMAN,Intermediara,www.topselect.ro,badea_lili2001@yahoo.com,,,
134,Licenta,28.09.2020,CHRISS TURISM SRL,J7/320/2011,CHRISS TURISM,29054793,"STR. Mihai Eminescu , NR. 46",Mun. Botoşani,BOTOŞANI,Intermediara,,chriss.turism@gmail.com,,,
1340,Licenta,04.03.2021,ORION MD S.R.L.,J27/367/2014,PROMO HOLIDAYS ROMANIA,33108735,"STR. Decebal , NR. 14 , BL. P + 10 , ET. PARTER",Mun. Piatra Neamţ,NEAMŢ,Intermediara,www.promoholidays.ro,mihaela.lepadatu@promoholidays.ro,,,
1342,Licenta,05.03.2019,AS-TOUR SRL,J35/2665/2003,AS TOUR,15897240,"STR. Timotei Cipariu , NR. 7   , AP. 1/2A",Mun. Timişoara,TIMIŞ,Organizatoare,www.astour-timisoara.ro,astourtm2@gmail.com,,,
1343,Licenta,05.03.2019,KM 0 TURISM S.R.L.,J26/1080/2013,KM ZERO,32387925,"STR. Trandafirilor , NR. 53   , AP. 3",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.kilometrulzero.ro,office@kilometrulzero.ro,,,
1344,Licenta,05.03.2019,PETER TURISM SRL,J35/1467/2011,PETER TURISM,28648364,"STR. Martir Nagy Eugen , NR. 16   , AP. 11",Mun. Timişoara,TIMIŞ,Intermediara,www.peter-turism.ro,oficiu@peter-turism.ro,,,
