email,company,country,city,website,buyer_authority,contract_value
dlanore@lesfilsescaliere.fr,LES FILS D'ESCALIERE,FRA,Laloubere,,Centre Hospitalier Tarbes - Lourdes,7241322
dlg.appel.offres@espri-restauration.fr,ESPRI RESTAURATION,FRA,ROEZE SUR SARTHE,,Assistance publique - hôpitaux de Paris ,14237975
dlg.appel.offres@espri-restuaration.fr,ESPRI RESTAURATION,FRA,Roeze sur Sarthe,,AGAP GRAND EST,290000
d.lustinger@metzgerei-ott.de,Metzgerei Ott e.K.,DE,Wiesmuhl,http://www.metzgerei-ott.de,RoMed Kliniken  Kliniken der Stadt und des Landkreises Rosenheim GmbH,454910.95
domingocaballo@caballoblancosl.com,COMERCIAL AVICOLA CABALLO BLANCO S.L.,ESP,VILLALON DE CAMPOS,,Gerencia de Servicios Sociales de la Junta de Castilla y León,1977476.34
dominique.guesdon@krill.fr,achille bertrand,FR,Les Herbiers Cedex,,lycee Chevrollier,405635.0
don@kyron.ie,Kyron Street Ltd,IE,Dunshaughlin,,Meath County Council,187750.0
dovile.ivanova@krekenavos.lt,UAB "KREKENAVOS AGROFIRMA",LTU,Mantvilonių k.,,Gynybos resursų agentūra prie Krašto apsaugos ministerijos,7931263.67
dragon.gyorgy@gmail.com,Dragon Gabona Mezogazdasagi, Kereskedelmi es Szolgaltato Korlatolt Felelossegu Tarsasag,HU,Tiszaalpar,,Kiskunsagi Nemzeti Park Igazgatosag,91200000.0
dragon_rc_srl@yahoo.com,DRAGON.RC,RO,Alba Iulia,,SPITALUL CLINIC JUDETEAN DE URGENTA CLUJ,1892160.0
dragos@pedra.ro,PEDRA MEAT EXPRES SRL,ROU,Pitesti,https://www.listafirme.ro/pedra-meat-expres-srl-33,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,3360542.95
drazenka.cosic@gavrilovic.hr,GAVRILOVIĆ d.o.o.,HRV,Petrinja,https://gavrilovic.hr,Studentski centar u Zagrebu,2792276.0
drbakonyi@drbakonyi.hu,PFL.Com Tanacsado es Szolgaltato Korlatolt Felelossegu Tarsasag,HU,Letavertes,,Ozdi Varosuzemelteto Intezmeny,23449320.0
dual_top@yahoo.com,Dual Top,RO,Tulcea,www.dualtop.ro,Directia Generala de Asistenta Sociala si Protectia Copilului,841944.26
Dummy-eMail-eVergabe@fb.hamburg.de,Heinrich Aldag Altländer Fleisch-u. Wurstwaren GmbH & CO KG,DEU,Guderhandviertel,,Behörde für Justiz und Verbraucherschutz,301400
d.wojcik@bissa.pl,BISSA Sp. z o.o. ,POL,Stargard,,Komenda Portu Wojennego Świnoujście,1165851.75
ebl@infodom.com,Infre Infodom,FR,Sainte-Marie,http://infodom.com,Commune de Dzaoudzi Labattoir,571338.0
e.daleszak@bruno-tassi.pl,Bruno Tassi Sp. z o.o.,POL,Warszawa,http://bruno-tassi.pl/,Szpital Wojewódzki w Poznaniu,1245036.3
edgaras.v@sanitex.eu,UAB OFFICEDAY,LTU,Vilnius,,Šiaulių rajono savivaldybės švietimo paslaugų centras,305300.00
edwina@ripplemarketing.ie,Ripple Marketing,IE,Dublin 18,http://https://www.ripplemarketing.ie/,Louth and Meath Education & Training Board ,0
e.greluk@bruno-tassi.pl,Bruno Tassi Spółka z ograniczoną odpowiedzialnością,POL,Warszawa,https://bruno-tassi.pl/,28 Wojskowy Oddział Gospodarczy,2531836.5
E.GRELUK@BRUNO-TASSI.PL,Bruno Tassi Sp. z o.o.,POL,Warszawa,,Centrum Szkolenia Policji w Legionowie,2317725
egurey@sureweld.net,Sureweld International Ltd,IE,Co. Dublin,http://www.sureweld.net,Louth and Meath Education & Training Board,500000.0
eibhlin.omeara@rentokil.com,Rentokil Pest Control_31165,IRL,Naas,,Longford and Westmeath Education and Training Board,
einar@tesman.ee,Osaühing Saare Uluk,EST, Saaremaa vald,,Regionaal- ja Põllumajandusministeerium,
ela.krzyzosiak@wp.pl,Hurtownia Producentów Drobiu, Wędlin, Konserw, Hurt-Detal Elżbieta Krzyżosiak,POL,Nowa Sól,,45 Wojskowy Oddział Gospodarczy,4256063.7
elesandras92@gmail.com,ÉLES AGRO Kft.,HUN,Ibrány,,NYÍRSÉGVÍZ Nyíregyháza és Térsége Víz- és Csatornamű Zártkörűen Működő Részvénytársaság,35900000.00
eleveursdesaveurs38@gmail.com,ELEVEURS DE SAVEURS ISEROISES,FRA,Saint-Etienne-De-Saint-Geoirs,,Département de l'Isère,
elisabeth.dealmeida@serb.eu,SERB SAS - lot 86,FRA,Paris,,CHU de Lille - ES du GHT LMFI,3193780.82
ellmar_com@yahoo.com,ELLMAR COM,ROU,Targu Neamt,,Directia Generala de Asistenta Sociala si Protectia Copilului Iasi,3106959.53
elstar.nou.2022@gmail.com,S.C. Elstar S.R.L. S.R.L.,ROU,Ploiesti,http://www.elstar.ro,Directia Generala de Asistenta Sociala si Protectia Copilului Prahova,2013206
elve.vahenomm@mail.ee,Elve Vahenõmm,EST, Häädemeeste vald,,Sihtasutus Jõulumäe Tervisespordikeskus,750000.00
elwis_2004@abv.bg,ЕЛВЕС-2004 ООД,BGR,гр. София,,ЮЖНОЦЕНТРАЛНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,41500.00
elzbieta.musial@onet.pl,HURT-DETAL "EKO-DRÓB" Elżbieta Musiał,POL,Opoczno,,42 Baza Lotnictwa Szkolnego w Radomiu,1047338
emanuelcom@fivecontinents.ro,FIVE CONTINENTS S.R.L.,RO,Rachiti,www.five-continents.ro,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BOTOSANI,3663885.6
emelie.wallin@vida.se,Vida Energi AB,SE,Hok,,Polismyndigheten,4500000.0
emilmihaileanu@yahoo.com,SC LUANIS SRL,ROU,Craiova,https://e-licitatie.ro,SPITALUL CLINIC DE NEUROPSIHIATRIE CRAIOVA,604160
emma.quinn@kone.com,KONE (Ireland) Limited,IRL,Dublin,,The Adelaide and Meath Hospital Dublin Incorporating The National Children's Hospital,2824319
encarna.garcia@grupovidela.com,PESCADOS VIDELA, S.A.,ESP,BARCELONA,,BARCELONA DE SERVEIS MUNICIPALS, S.A.,358000
encemasrl@pec.it,ENCEMA COSTRUZIONI GENERALI SRL,ITA,SANT'ANGELO DEL PESCO (IS),,Consorzio di Bonifica di Piacenza,2685360.05
eorhon@sda-volailles.fr,SDA,FRA,ANCENIS SAINT GEREON,,REGION BRETAGNE
,11971617
epagnon@sda-volailles.fr,SDA,FR,Ancenis Cedex,,Commune de Vertou,403565.0
episaveurs_labourse@sendao.fr,EPISAVEURS GROUPE POMONA,FRA,NOEUX-LES-MINES,,Ville de Lille,
erick.gaillardon@cheplapharm.fr,CHEPLAPHARM ARZNEIMITTEL GMBH lot 22,FRA,Griefswald Hanselstadt,,CHU de Lille - ES du GHT LMFI,3193780.82
ertekesites@kedvenckereskedohaz.hu,KEDVENC Kereskedőház Zártkörűen Működő Részvénytársaság,HUN,Budapest,,Bács-Kiskun Vármegyei Oktatókórház,150025900.00
esher.santalo@sobeval.com,SOBEVAL,FRA,BOULAZAC,https://www.sobeval.com/HP/HPSobevalcom.aspx,Centre Hospitalier de Laval (53),2307292
espri-restauration@sendao.fr,espri_restauration,FR,Wissous,,commune de vertou,260900.0
esther.santalo@sobeval.com,sobeval,FR,Boulazac Isle Manoire,,lycee Chevrollier,405635.0
es@vegtech.se,Vegtech AB,SWE,Vislanda,,Serviceförvaltningen (SEF),
eugenia.calinescu@josi.ro,JOSI LOGISTIC SRL,RO,Bucuresti,https://josi.ro/b2b/,Universitatea Nationala de Stiinta si Tehnologie Politehnica Bucuresti,5326800.0
eurogrupbogdan2008@yahoo.com,Eurogrup Bogdan,RO,Chiscadaga,www.eurogrupbogdan.ro,Directia Generala de Asistenta Sociala si Protectia Copilului Hunedoara,1118111.05
european_groupfood@yahoo.ro,EUROPEAN GROUP FOOD,RO,Varlezi,,MINISTERUL APARARII - UNITATEA MILITARA 02574,9229157.2
evaristo.pires@sogenave.pt,Sogenave - Sociedade Geral de Abastecimentos a Navegacao e Industria Hoteleira, SA,PT,Carnaxide,,Servico de Saude da Regiao Autonoma da Madeira, EPERAM (SESARAM, EPERAM),246020.5
eva@vicentecastanon.es,CONGELADOS CASTAÑÓN S.L.,ESP,TROBAJO DEL CAMINO,,Gerencia de Atención Especializada de León,544974.5
ev.racine@groupeperret.fr,RACINE SAP,FRA,BRIGNOLES,,Dracénie Provence Verdon Agglomération,
ewa.konopka@dantex.com.pl,DANTEX
Rafałowski Spółka Jawna,POL,Łomża,,25. Wojskowy Oddział Gospodarczy w Białymstoku.,6005076.75
eximalimpex@yahoo.com,EXIMAL IMPEX,RO,Cluj-Napoca,,Directia generala de asistenta sociala si protectia copilului Cluj,3032863.44
expedice@time-jatka.cz,TIME s. r. o.,CZE,Potěhy,https://time.sluzby.cz/,Zoologická zahrada hl. m. Prahy,923778.6
expert.achizitiipublice1@gmail.com,S.C. GEPETO IMPEX S.A.,ROU,Lumina,https://www.gepeto.ro,DIRECTIA GENERALA  ASISTENTA SOCIALA CONSTANTA,6502575.1
Fabien.gateau@sicarev.com,SA CHAROLLAIS VIANDES,FRA,PARAY LE MONIAL,https://www.charollais-viandes.fr/,HOSPICES CIVILS DE BEAUNE,1114381
fabrice.sanfilippo@etlin.fr,ETLIN SERVICE FRAIS,FRA,OGY-MONTOY FLANVILLE,,AGAP GRAND EST,290000
fakturzysci@unifreeze.com,Unifreeze sp. z o.o.,POL,Górzno,,Wojewódzki Szpital Zespolony im. L. Rydygiera w Toruniu
,332362.2
falconsrll@gmail.com,FALCONS,RO,Tomsani,,Scoala de Agenti de Politie '' VASILE LASCAR'' Campina,4500596.49
faltinek.juraj@azet.sk,FALCO, s.r.o.,SVK,Trenčín,,Stredná priemyselná škola, Obrancov mieru 343/1, Dubnica nad Váhom,
fantastika2002@abv.bg,ФАНТАСТИКА 2002 ЕООД,BGR,гр. Пловдив,,ОБЩИНА ПЛОВДИВ - РАЙОН "ЮЖЕН",384312.67
favreau.ste.bou@orange.fr,FAVREAU,FRA,CHATELLERAULT,,Ville de Châtellerault,596000
fer@fer.hr,SVEUČILIŠTE U ZAGREBU FAKULTET ELEKTROTEHNIKE I RAČUNARSTVA,HRV,ZAGREB,,Hrvatska akademska i istraživačka mreža - CARNET,1763305.13
fermadenis@gmail.com,FERMA DENIS,ROU,Pesteana,http://www.fermadenis.ro,SPITALUL JUDETEAN DE URGENTA DEVA,
finlay.wallace@granicus.com,Granicus-Firmstep Limited_120402,GBR,London,https://granicus.uk/,Meath County Council,340000
fiona@gainfort.com,Gainfort Hair and Beauty Supplies ltd,IRL,Wexford,,Louth and Meath Education and Training Board 1384,
fiona@sweetspot.ie,Sweet Spot Sourcing Limited_50177,IRL,Naas,www.sweetspot.ie,Louth and Meath Education and Training Board 1384,
fiore.burgas@gmail.com, ,BG,,,Obshtina Karnobat,200000.0
firmapost@kantinemat.no,Kantinemat AS,NOR,LØRENSKOG,,Nittedal Kommune,
firmapost@nortura.no,Nortura SA,NO,OSLO,http://www.nortura.no/,Forsvaret v/Forsvarets logistikkorganisasjon,322000000.0
flaviusng@yahoo.co.uk,VALYBIA COM,RO,Bistrita,www.valybia.ro,SPITALUL CLINIC JUDETEAN DE URGENTA CLUJ,1892160.0
fleisch@ladinger.cc,Ladinger GmbH & CoKG,AUT,Radstadt,,Stadtgemeinde Salzburg,1268287.20
flomario7@yahoo.com,S.C. YOU FOREVER SRL S.R.L.,RO,Movileni,www.elicitatie.ro,INSTITUTUL DE PSIHIATRIE "SOCOLA" IASI,1513126.8
florence@devernay-architectes.fr,Groupement DEVERNAY Florence Architecte (mandataire) / AERIUS / Pauline LAVERGNE / Forces et Appuis,FRA,INZINZAC-LOCHRIST,,Concarneau Cornouaille Agglomération,123068.55
flores@fhflores.com,FRUTAS Y HORTALIZAS FLORES, SLU,ESP,BARCELONA,,BARCELONA DE SERVEIS MUNICIPALS, S.A.,358000
florin.grigore@agricover.ro,Agricover,ROU,Voluntari,https://www.agricover.ro,Universitatea de Stiintele Vietii "Regele Mihai I"din Timisoara,738529
fmounier@nivernaises.fr,L'ATELIER DES BOUCHERIES NIVERNAISES,FRA,L'HAY LES ROSES,,GIE GROUPE CCIR PARIS ILE DE FRANCE,505000
fort-basile@wanadoo.fr,LES FILS DE FORT BASILE,FRA,Lorp-Sentaraille,,Centre hospitalier des vallées de l'Ariège,
FR0-Logistique@ferring.com,LABORATOIRE FERRING SAS - lot 47,FRA,Gentilly,,CHU de Lille - ES du GHT LMFI,3193780.82
fradun@inet.hr,KOZJAK dva d.o.o.,HRV,Kaštela,,KLINIČKI BOLNIČKI CENTAR SPLIT,283552.5
france@guillebert.fr,SEE – Division GUILLEBERT,FRA,RONCHIN,,Ville d'Evian (74),477000
francemarches@abbvie.com,ABBVIE - lot 98,FRA,Rungis,,CHU de Lille - ES du GHT LMFI,3193780.82
francisco.marquez@solaricca.com,SOLA RICCA SUR ,S.A.U.,ESP,Sevilla,,Consejería de Salud y Servicios Sociales,
francis.loiseau@espri-restauration.fr,ESPRI RESTAURATION,FRA,Wissous Cedex,,GHT Savoie Belley - CH Métropole Savoie,
francouz@chrudim.cz,MASO - Francouz s.r.o.,CZE,Sobětuchy,,Fakultní nemocnice Hradec Králové,1535500
franjo.vucic@sum.ba,Sveučilište u Mostaru,BIH,Mostar,https://sum.ba,HRVATSKA AKADEMSKA I ISTRAŽIVAČKA MREŽA CARNet,60000
frank@cooneyarchitects.com,Cooney Architects Ltd,IRL,Dublin,www.cooneyarchitects.com,Westmeath County Council,487450
fredrik@jordelit.se,Svensk Jordelit AB,SWE,MÖLNDAL,,Eskilstuna kommun,1868620
fr.herve@passionfroid.fr,POMONA PASSION FROID,FRA,CARQUEFOU,,REGION BRETAGNE
,11971617
fromagerie@trois-sources.fr,X-LAB - FROMAGERIE LES TROIS SOURCES,FRA,MOTREFF,,VILLE DE LANDERNEAU,830100.54
fruticolasatecasl@gmail.com,FRUTICOLAS ATECA, S.L.,ESP,OCAÑA,,Jefatura de Administración Económica del Cuarto Militar de S.M. el Rey y Guardia Real,1727272.72
f.yvorel@j-carrel.fr,J CARREL SA,FRA,Hieres Sur Amby,,GHT Savoie Belley - CH Métropole Savoie,
gabi.ciuciuc@imdia.ro,IMDIA S.R.L.,RO,Aninoasa,www.imdia.ro,Directia de Asistenta Sociala,1670902.7
gabrielanechita@yahoo.com,GECOR GROUP GL SRL,RO,Botosani,,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BOTOSANI,3663885.6
galdossoba@hotmail.com,DAVID GALDOS OLIVARES,ESP,PIELAGOS (CANTABRIA),,Subdirección General de Servicios Económicos y Pagadurías,20800
garden.ingre@gardenarrosage.com,GARDEN ARROSAGE,FRA,INGRE,,Ville d'Evian (74),477000
g.aresti@carnicasrasa.eus,CARNICAS RASA, S.L.,ESP,Erandio,,OSAKIDETZA - Servicio Vasco de Salud - Hospital Universitario Cruces (Impulsora),281964.15
Gary@gpsitservices.ie,GPS IT Services Ltd,IRL,Kildare,,Longford and Westmeath Education and Training Board,
gaubemaso@seznam.cz,maso – uzeniny Gaube Miloslav s.r.o.,CZE,Praha - Prosek,,Zařízení služeb pro Ministerstvo vnitra,500000000
gaz@gazechim.fr,GAZECHIM SAS,FRA,BEZIERS,,CONCARNEAU CORNOUAILLE AGGLOMERATION,4356666.68
g.d@sicurezzapostale.it,G & D S.r.l.,ITA,MARTINA FRANCA,,COMUNE DI MARTINA FRANCA,66666.20
geert.geebelen@dekeyzer-ossaer.be,Dekeyzer-Ossaer,BEL,Koekelare,,Vzw Stijn,777724.00
geoffrey.juyol@bodemerauto.com,ASCORIA,FRA,CONCARNEAU,,Ville de Concarneau,174374.00
geogigant.doo@gmail.com,Geo - GIGANT doo.,HR,Slavonski Brod,,Hrvatska akademska i istrazivacka mreza - CARNET,1130479.31
georgiuchriso@gmail.com,Yakumo Enterprises,CYP,Λευκωσία,https://cy.linkedin.com/company/yakumo-enterprises-limited,Υπουργείο Άμυνας,350000
gerencia@martinygeijo.es,CARNICAS MARTIN & GEIJO, S.L.,ESP,VALLADOLID,,Gerencia de Servicios Sociales de la Junta de Castilla y León,838188.83
gerry.carty@rpsgroup.com,RPS Consulting Engineers Ltd,IE,Galway,,Westmeath County Council,2787000.0
ger@thelunchbag.ie,The Lunch Bag,IRL,Nenagh,www.thelunchbag.ie,Louth and Meath Education and Training Board 1384,
gescoconsoriosca@oec.amadori.it,GESCO SOCIETA' COOPERATIVA AGRICOLA,ITA,CESENA,,MILANO RISTORAZIONE S.P.A.,8167356
gescoconsorziosca@pec.amadori.it,GESCO SOCIETA' COOPERATIVA AGRICOLA,ITA,CESENA,,MILANO RISTORAZIONE S.P.A.,8167356
gestoriaparedes@gmail.com,MIGUEL SANTIAGO ALEGRIA ROSA,ESP,SANT VICENT DEL RASPEIG,,Rectorado de la Universidad Miguel Hernández de Elche,0.09
gguerrasebastian@gmail.com,SEBASTIAN GUERRA GONZÁLEZ S.L.,ESP,LAS PALMAS DE GC,,Consejería Delegada de Hoteles Escuela de Canarias, S.A.,1154201.50
gie@lespepinieres.fr,GIE PEPINIERES FRANCILIENNES,FRA,LE THILLAY,,Ville d'Evian (74),477000
gkaracic@deloittece.com,Deloitte d.o.o.,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - CARNET,3723800.0
g.krzeszewski@elhurt.elblag.pl,Elbląskie Centrum Mięsne EL-HURT Produkcja i Handel Jolanta GRUDZIEŃ Zbigniew GRUDZIEŃ Sp. j. ,POL,Elbląg ,,18 Wojskowy Oddział Gospodarczy,1228655.1
glascel@gmail.com,Glas Civil Engineering Ltd,IRL,Tipperary,https://www.glascel.ie/,Meath County Council,5668679.50
gleonard@geda.co.uk,Geda Construction,IRL,Coalisland,www.geda.co.uk,Meath County Council,
g.lonneux@jjdelvaux.be,Delvaux J.-J. SA,BEL,Rue de la Grande Sambresse, 10 ,,Association de Pouvoirs Publics CHR Sambre et Meuse,
gobarto@gobarto.pl,Gobarto S.A,POL,Warszawa,,Dzielnicowe Biuro Finansów Oświaty Ursynów m.st. Warszawy,4428442.09
gostik@pozana.sk,POZANA MEAT s.r.o.,SVK,Zvolen,,Ústredná vojenská nemocnica SNP Ružomberok - FN,232253.50
g.poirisse@boucherie-1ere.fr,GRANDE BOUCHERIE PREMIERE,FRA,RUNGIS,,Association d'Action Sociale en faveur des Personnels de la Ville et du Département de Paris.,
granbis_cta@yahoo.com,GRANBIS,ROU,Constanta,https://www.granbis.ro,MINISTERUL APARARII - U.M.  02192,5450708.8
grupojaquete@grupojaquete.es,MANUEL JAQUETE, S.L.,ESP,Madrid,https://grupojaquete.com,Hospital Universitario Ramón y Cajal,269557
gtuohy@cantecireland.ie,Cantec Business Technology_84791,IRL,Waterford,,Louth & Meath Education & Training Board,1402482
guarnierifigli@pec.it,RAG. PIETRO GUARNIERI - FIGLI S.R.L.,ITA,PUTIGNANO,,COMUNE DI MARTINA FTRANCA,84595.68
guillaume.delcros@gmail.fr,GUILLAUME DELCROS,FRA,Les Monts-Verts,,MarketPlace Occitanie Centrale d'achat alimentaire,66429008.52
gustav.sjoberg@martinservera.se,Martin & Servera Restauranghandel AB,SWE,STOCKHOLM,https://www.martinservera.se/,Halmstads kommun,30000000
gwenaelle.lavoue@volfrance.fr,VOLFRANCE,FRA,LA VICOMTE SUR RANCE,,REGION BRETAGNE
,11971617
gyurgyik.zoltan@gmail.hu,Gyurgyik Benedek Zoltan e.v.,HU,Kunpeszer,,Kiskunsagi Nemzeti Park Igazgatosag,129900000.0
handel@artek.pl,ARTEK Sp. z o.o. Sp. k. ,POL,Zielona Góra,,45 Wojskowy Oddział Gospodarczy,4256063.7
handel@polaris.kalisz.pl,Przedsiebiorstwo Produkcyjno-Handlowe Polaris Magorzata Gruszczynska,PL,Kalisz,http://polaris.kalisz.pl,Instytut Pomnik-Centrum Zdrowia Dziecka",223626.78
handel@rojan.com.pl,ROJAN PAULA Sp. z o.o. Sp. j.,POL,Gościno,,Komenda Portu Wojennego Świnoujście,1137371.06
handel@zmnowyzmigrod.pl,Zakłady Mięsne "NOWY ŻMIGRÓD" Sp. z o.o.,POL,Nowy Żmigród,,Zespół Opieki Zdrowotnej w Dębicy,287770
handlowy2@rojan.com.pl,ROJAN PAULA Sp. z o.o. Sp. j.,POL,Gościno,,Komenda Portu Wojennego Świnoujście,1165851.75
happy_blue_mamaia@yahoo.com,Ian Intertop,ROU,Galati,,Directia Generala de Asistenta Sociala si Protectia Copilului Bacau,806513.2
harpek92@yahoo.com,HARPEK,ROU,Craiova,https://www.harpek.ro,Spitalul Clinic de Pneumoftiziologie Victor Babes Craiova,2869957.08
hcurran@bwg.ie,BWG Foods,IRL,Dublin,www.bwgfoods.ie,Health Service Executive,9523862.04
hd@pyzik.org,Firma Handlowa Pyzik Spółka Komandytowa,POL,Nowy Sącz,,ZAKŁAD KARNY W TARNOWIE,443231.6
heather.thornton@designid.co.uk,Design ID Consulting Limited,GBR,Hillsborough,www.designid.co.uk,Meath County Council,220070
heidi.ikonen@tuomi.fi,Saarioinen Oy,FIN,Tampere,,Tuomi Logistiikka Oy,22000000
heikki.heikinmaa@saunalahti.fi,Remeskylän Palvi Ky,FIN,Remeskylä,,Servica Oy,6000000
heinermann-gmbh@t-online.de,Heinermann GmbH,DE,Herzebrock-Clarholz,,Landschaftsverband Westfalen-Lippe,0.01
heli.sortti@kesko.fi,Kesko Oyj Kespro,FIN,Helsinki,,Servica Oy,6000000
hellin@hellin.ee,OÜ Balt-Hellin,EST, Tartu linn,,Sihtasutus Jõulumäe Tervisespordikeskus,750000.00
hellin@hellin.eu,OÜ Balt-Hellin,EST, Tartu linn,,Sihtasutus Jõulumäe Tervisespordikeskus,
hello@boxup.app,BoxUp,CHE,England,,Westmeath County Council,40800
henrik.bouvin@coopmitt.se,Coop Västmanland Örebro AB (Coop Mitt),SWE,Gävle,,Upphandlingscenter Falun Borlänge-regionen,
herve.courreges@sica-pyreneenne.com,SICA PYRENEENNE,FRA,Tarbes,,Centre Hospitalier Tarbes - Lourdes,7241322
holovacsne1973@gmail.com,Holovács Lászlóné Családi Gazdálkodó - Őstermelő,HUN,Egyek,,Hortobágyi Természetvédelmi és Génmegőrző Nonprofit Korlátolt Felelősségű Társaság,289919500.00
holta@holta.is,Reykjagarður hf,ISL,Reykjavík,https://www.holta.is/,Reykjavik Procurement Office,1
hopitalequipe@laboratoire-arrow.com,ARROW GENERIQUES -lots 12-21-24-29-30-80-91,FRA,Lyon,,CHU de Lille - ES du GHT LMFI,3193780.82
horeca@nematekas.com,ŽŪB Nematekas,LTU,Dovainonys, Kaišiadorių raj.,,Gynybos resursų agentūra prie Krašto apsaugos ministerijos,6664090.82
hospitalier@labogilbert.fr,LABORAOTOIRES GILBERT - lots 2-38-39,FRA,Herouville Saint Clair,,CHU de Lille - ES du GHT LMFI,3193780.82
hpet@hpet.hr,H5 d.o.o.,HRV,Sesvete,,Hrvatska akademska i istraživačka mreža - CARNET,1763305.13
hradkova@masobrejcha.cz,Maso Brejcha s.r.o.,CZE,Praha - Motol,,Institut klinické a experimentální medicíny,30500000
hrisini_im@abv.bg,  ,BG,,,Yuzhnotsentralno darzhavno predpriyatie, teritorialno podelenie Darzhavno gorsko stopanstvo Rodopi,10895.0
hrvoje.dzapo@fer.hr,Sveuciliste u Zagrebu, Fakultet elektrotehnike i racunarstva,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - Carnet,13597000.0
hrvoje.tomac@podravka.hr,PODRAVKA d.d.,HRV,Koprivnica,,Javna ustanova Nacionalni park Plitvička jezera,291693
hrvoje.vidas11@gmail.com,VIDAS FOREST d.o.o.,HR,Jastrebarsko,,HRVATSKE SUME d.o.o.,2800000.0
h.seidl@karnerta.at,Karnerta GmbH,AT,Klagenfurt,,Landeskrankenanstalten-Betriebsgesellschaft - KABEG,549341.42
hsmsales@hsm.hr,HSM-INFORMATIKA D.O.O.,HR,Zagreb,www.hsm.hr,Hrvatska akademska i istrazivacka mreza - CARNET,5779183.7
hugi@isfugl.is,Ísfugl ehf,ISL,Mosfellsbær,https://isfugl.is/,Reykjavik Procurement Office,1
iana.kirova@abv.bg,СТРАНДЖА-МП ООД,BGR,гр. Бургас,,ОБЩИНА ПОМОРИЕ,112072.10
ids@id-services.pro,EURL ID SERVICES,FRA,BRANTOME EN PERIGORD,https://commandepublique-nca-vdn-ccas.safetender.com/,VILLE DE NICE,
iepirkumi@sanitex.eu,"Sanitex" SIA,LVA,Ķekavas pag.,,Dienvidkurzemes novada pašvaldība,400000.00
igartza@bidfood.es,IGARTZA, S.L.,ESP,Oiartzun,,OSAKIDETZA - Servicio Vasco de Salud - Hospital Universitario Donostia,912665.98
igor.kundic@algebra.hr,Algebra d.o.o.,HR,Zagreb,,Hrvatska akademska i istrazivacka mreza - Carnet,1549000.0
ilge@ilge.at,Ilgenfritz Vertriebs GmbH,AT,Villach,,Landeskrankenanstalten-Betriebsgesellschaft - KABEG,549341.42
ilvas_vs@yahoo.com,ILVAS,ROU,Vaslui,https://www.ilvas.ro,Universitatea "Alexandru Ioan Cuza" Iasi,2065918.6
impuls2003@yahoo.com,PRESTIGIOSA PRODCOM S.R.L.,RO,Craiova,www.prestigiosa.ro,Spitalul Clinic de Pneumoftiziologie Victor Babes Craiova,2771950.0
i.musial@bruno-tassi.pl,BRUNO TASSI Sp. z o. o. Oddzia w Olsztynie,,PL,Olsztyn,,21 Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny SP ZOZ w Busku-Zdroju,673168.98
im.zadvat@zadvat.fr,I.M. ZADVAT,FRA,SAINT DENIS,,DICOM-GSBDD LA REUNION MAYOTTE,
ina.baspeyras@sobeval.com,SOBEVAL,FRA,Boulazac Isle Manoire,,EPD Clairvivre,136869.64
ina.hagel@mestergronn.no,Mester Grønn AS,NOR,Lierskogen,,Høgskulen på Vestlandet,2000000
indrek@linnamae.eu,Aktsiaselts Linnamäe Lihatööstus,EST, Lääne-Nigula vald,,Regionaal- ja Põllumajandusministeerium,
inducarang@hotmail.com,INDUSTRIAS CARNICAS ANGEL LAZARO,ESP,SEGOVIA,,Gerencia de Servicios Sociales de la Junta de Castilla y León,1977476.34
info1@baywa.de,BayWa AG,DEU,München,,Bundesanstalt für Landwirtschaft und Ernährung (BLE),
 info@abintrax.com,Abintrax S.r.l,ITA,Monopoli,,ITS Tirreno,299912.34
info@abintrax.com,Abintrax S.r.l.,ITA,Monopoli,,Istituto Tecnico Superiore Tirreno
Nuove Tecnologie della Vita,316407.26
info@AgriFoodTrade.com,AgriFood Trade BV,NLD,OVERBERG,,Bundesanstalt für Landwirtschaft und Ernährung (BLE),
info@agrocampocantabria.es,COMERCIAL NORTE AGROCAMPO, S.L.,ESP,ADALTRETO,,Sociedad Regional Cántabra de Promoción Turística S.A. CANTUR S.A.,108686.66
info@agro-males.hr,AGRO MALEŠ d.o.o.,HRV,Šibenik,,Sveučilište u Splitu, STUDENTSKI CENTAR SPLIT,1203926
info@alimexeurope.net,Braet - De Vos NV,BEL,Sint-Laureins,,Bundesanstalt für Landwirtschaft und Ernährung (BLE),
info@amanta-sa.gr,ΑΜΑΝΤΑ ΕΜΠΟΡΙΚΗ ΕΙΣΑΓΩΓΙΚΗ & ΕΞΑΓΩΓΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΤΡΟΦΙΜΩΝ - ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ - ΞΕΝΟΔΟΧΕΙΑΚΗ - ΜΕΣΙΤΙΚΗ,GRC,ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ,,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,1724191.2
