company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
GLOBAL NETWORK TELEMARKETING SRL,33753730,,Romania,Comuna Ciorogarla,LEGUMELOR 4,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
GREEN CONTACT CENTER S.R.L.,36808555,,Romania,Oras Popesti Leordeni,LEORDENI 90,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
GREEN GATE SOLUTIONS S.R.L.,36841799,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, ALEXANDRU IOAN CUZA, nr. 42",office@internationarhr.ro,,40754072874,,,,1,331562,233072,,1,active,BILANT,
GREENVIEW OUTSOURCING S.R.L.,50205622,,Romania,Bucuresti Sectorul 2,COLENTINA 16 2,,,40746903314,0746903314,,,,,,,Call center / BPO,active,BUC_ILFOV,
HAPPY CUSTOMER CONSULTING S.R.L.,43531936,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, BELSUGULUI, nr. 49D",,,,,,,1,286030,240937,,6,active,BILANT,
HARMOND OUTSOURCING SERVICES SRL,31525710,,Romania,Bucuresti Sectorul 3,INVINGATORILOR 24 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
HONEYBUNCH S.R.L.,46538386,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, POET DIMITRIE ANGHEL, nr. 1",,,,,,,1,230300,157613,,3,active,BILANT,
HR OUTSOURCING SRL,31451752,,Romania,Oras Bragadiru,RAHOVEI 31,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ICEBERG OUTSOURCING SRL,31205995,4791,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, BUCURESTII NOI, nr. 50A",,,,,,,7,2348221,374338,,1,active,BILANT | BUC_ILFOV,
ICORE OUTSOURCING SRL,34088857,6203,Romania,Municipiul Brasov,"Municipiul Brasov, TRAIAN GROZAVESCU, nr. 7-8",,,,,,,5,1882497,907363,,Call center / BPO,active,BILANT,
INCEPEM CU SANATATEA BIO S.R.L.,46959571,8220,Romania,Municipiul Turda,"Municipiul Turda, FABRICII, nr. 71",,,,,,,1,699239,327305,,Call center / BPO,active,BILANT,
INDEPO LOGISTICS EUROPE S.R.L.,46667607,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, VADUL CALUGARENI, nr. 20",,,0743547939,,,,11,2791194,-1085667,,Call center / BPO,active,BILANT,
INFRAWEB MANAGE SERVICES PROVIDER S.R.L.,38965327,8220,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, DIMITRIE POMPEIU, nr. 5-7",office@infraweb.ro,,0723231937,,,,15,4260703,596334,,2,active,BILANT,"Companie noua pe piata serviciilor BPO si ITO, remarcata prin profesionalismul echipei si flexibilitatea fata de nevoile clientilor. Ofera servicii de call center, de intrare si de iesire, adaptate ob"
INTERNATIONAL ONLINE OUTSOURCING TRAVEL CONSULTANTS SRL,31377702,,Romania,Bucuresti Sectorul 3,NUCULUI 6 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
IO OUTSOURCING IT SRL,32079275,,Romania,Bucuresti Sectorul 2,CALLIMACHI 57 2,,,40720777130,0720777130,,,,,,,Call center / BPO,active,BUC_ILFOV,
IPP OUTSOURCING SERVICES S.R.L.,49185335,,Romania,Bucuresti Sectorul 1,DIONISIE LUPU 70-72 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
IQIT OUTSOURCING CONSULTING SRL,29889760,6202,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, ITALIANA, nr. 21",,,0212529133,,,,4,2329594,162956,,2,active,BILANT | BUC_ILFOV,
IT ASSIST OUTSOURCING SRL,31665730,6202,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, BUCURESTII NOI, nr. 25",,,0745150051,,,,2,1176800,717983,,1,active,BILANT | BUC_ILFOV,
IT DEVELOPMENT OUTSOURCING  SRL,32178724,,Romania,"Sat Dudu, Comuna Chiajna",Rezervelor 62,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
IT DYNAMICS OUTSOURCING SRL,29586952,6203,Romania,Oras Popesti Leordeni,"Oras Popesti Leordeni, BIRUINTEI, nr. 93",,,0722216231,,,,1,269062,144188,,Call center / BPO,active,BILANT | BUC_ILFOV,
IT GOBANANAZ S.R.L.,41934134,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, BOGDAN PETRICEICU HASDEU, nr. 8",,,0742165249,,,,1,262272,207629,,Call center / BPO,active,BILANT,
IT OUTSOURCING INTERNATIONAL COMPANY SRL,33302030,,Romania,Bucuresti Sectorul 2,STOLNICUL VASILE 1 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ITH OUTSOURCING SRL,31152980,6209,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, IONEL PERLEA, nr. 13",,,0723563154,,,,1,211452,107165,,1,active,BILANT | BUC_ILFOV,
ITTM OUTSOURCING S.R.L.,38046714,6203,Romania,Municipiul Timisoara,"Municipiul Timisoara, INDEPENDENTEI, nr. 15",,,,,,,1,297731,153338,,Call center / BPO,active,BILANT,
IWMS OUTSOURCING SERVICES S.R.L.,42981738,,Romania,Oras Bragadiru,PRELUNGIREA GHENCEA 53bis,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
K-IT OUTSOURCING SRL,17802734,7430,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, Str. Glinka, nr. 8",,,2300071,,,,1,618156,54523,,2,active,BILANT | BUC_ILFOV,
KAY CONSULT S.R.L.,45891770,8220,Romania,Comuna Chiajna,"Comuna Chiajna, LUCEAFARULUI, nr. 38",,,,,,,1,593355,477220,,Call center / BPO,active,BILANT,
KLU-TOTAL OUTSOURCING SRL,26249294,,Romania,Bucuresti Sectorul 1,G-RAL ALEXANDRU CERNAT 23 1,,,0723698860,40723698860,,,,,,,Call center / BPO,active,BUC_ILFOV,
KM PARTNERS OUTSOURCING SRL,33805228,6920,Romania,Bucuresti Sectorul 5,"Bucuresti Sectorul 5, Sector 5, NICOLAE GALEA, nr. 5",,,0744557804,,,,1,368934,326312,,5,active,BILANT | BUC_ILFOV,
KR GROUP OUTSOURCING S.R.L.,47286457,7830,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, CORNELIU COPOSU, nr. 6-8",,,,,,,2,1113840,352931,,3,active,BILANT | BUC_ILFOV,
KURBI IT S.R.L.,41822580,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, NAPOCA, nr. 10",,,0742165249,,,,1,244620,193794,,Call center / BPO,active,BILANT,
LCG YOUR TIME SRL,35980810,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, AVIONULUI, nr. 26",,,0758269970,,,,1,298894,139136,,1,active,BILANT,
LEAD 5 DEVELOPMENT SRL,37042625,8220,Romania,Municipiul Iasi,"Municipiul Iasi, Armeana, nr. 4",,,,,,,2,933665,184486,,Call center / BPO,active,BILANT,
LEVEL-UP CORPORATION S.R.L.,39919094,8220,Romania,Municipiul Iasi,"Municipiul Iasi, Sf. Sava, nr. 18",,,,,,,1,669886,464000,,Call center / BPO,active,BILANT,
LEXCOR OUTSOURCE S.R.L.,39162989,4791,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, GRIGORE C. MOISIL, nr. 8",,,,,,,1,1199558,698449,,2,active,BILANT | FALIMENT,Procedure:  | Liquidator:
LIGEIA CONTACT MANAGEMENT S.R.L.,25486985,8220,Romania,"Sat Cornetu, Comuna Cornetu","Sat Cornetu, Comuna Cornetu, CORNILOR, nr. 80",,,0723211360,,,,1,284548,51123,,Call center / BPO,active,BILANT,
LION GOLD SERVICE S.R.L.,43563229,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, THEODOR PALLADY, nr. 66A",,,,,,,1,723846,68417,,3,active,BILANT,
LION QUICK TAXI SRL,31314623,8220,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, PANTELIMON, nr. 221",,,0768085269,,,,1,200153,19190,,2,active,BILANT,
LM PFLEGEUNTERNEHMEN S.R.L.,42464251,8220,Romania,"Sat Cliciova, Comuna Bethausen","Sat Cliciova, Comuna Bethausen, nr. 150",,,0744508821,,,,1,245239,177202,,Call center / BPO,active,BILANT,
LUGERA OUTSOURCING S.R.L.,29319025,,Romania,Bucuresti Sectorul 3,Str. VULTURILOR 98 3,,,0213187120,40213187120,,,,,,,Call center / BPO,active,BUC_ILFOV,
M&A OUTSOURCING S.R.L.,43094300,6201,Romania,Municipiul Craiova,"Municipiul Craiova, BUCURESTI, nr. 55",,,,,,,1,621216,568648,,Call center / BPO,active,BILANT,
M.B. SALES OUTSOURCING SRL,28632554,,Romania,Bucuresti Sectorul 6,Sos. VIRTUTII 46B 6,,,40749686972,0749686972,,,,,,,Call center / BPO,active,BUC_ILFOV,
MADALIN OUTSOURCING S.R.L.,39549080,6201,Romania,Municipiul Craiova,"Municipiul Craiova, MATEI BASARAB, nr. 38",,,,,,,1,1443013,1218978,,Call center / BPO,active,BILANT,
MAEREANU GRUP CONSTRUCT MGC S.R.L.,39587750,8220,Romania,Municipiul Bistrita,"Municipiul Bistrita, COMPOZITORILOR, nr. 62",,,0758034188,,,,1,566461,472918,,Call center / BPO,active,BILANT,
MAGENTA ADVERTISING OUTSOURCING SRL,36677395,,Romania,Bucuresti Sectorul 2,COLENTINA 16 2,ionutzmarian_rosu@yahoo.com,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
MANA & JUSTIN CONSULTING S.R.L.,42168507,8220,Romania,Municipiul Odorheiu Secuiesc,"Municipiul Odorheiu Secuiesc, PANTOFARILOR, nr. 4",,,0743100354,,,,1,350605,284673,,Call center / BPO,active,BILANT,
MARKBEK BUSINESS SRL,25585393,8220,Romania,Municipiul Ramnicu Valcea,"Municipiul Ramnicu Valcea, Sector 0, Aleea RINDUNELELOR, nr. 3",,,0745268468,,,,3,14589760,969183,,0,active,BILANT,
MASKELYNE MANAGEMENT S.R.L.,43518996,8220,Romania,"Sat Panticeu, Comuna Panticeu","Sat Panticeu, Comuna Panticeu, PANTICEU, nr. 63",,,0786111200,,,,2,3039462,2978433,,Call center / BPO,active,BILANT,
MCS BUSINESS OUTSOURCING SRL,38180235,,Romania,Bucuresti Sectorul 5,IANCU JIANU 57 5,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
MGMT AUDIT & BPO SRL,33928794,,Romania,Bucuresti Sectorul 2,JEAN LOUIS CALDERON 70 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
MOPLA SERVICES S.R.L.,50427793,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, PADUREA PUSTNICU, nr. 127C",,,0744535285,,,,1,569980,536104,,1,active,BILANT,
MUTHIG & VASS GROUP INTERNATIONAL CALL SERVICE S.R.L.,45291210,8220,Romania,"Sat Fintinele, Comuna Fintinele","Sat Fintinele, Comuna Fintinele, nr. 255",,,0727763194,,,,1,238028,151587,,Call center / BPO,active,BILANT,
MY1OUTSOURCING SRL,31423167,6201,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, Valea Lunga, nr. 20",,,0721368669,,,,5,2804152,785896,,6,active,BILANT | BUC_ILFOV,
NATIVE OUTSOURCERS S.R.L.,42999140,,Romania,Bucuresti Sectorul 6,ZBOINA NEAGRA 8-10 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
netWing International SRL,16552818,8220,Romania,Bucuresti Sectorul 5,"Bucuresti Sectorul 5, Sector 5, NATIUNILE UNITE, nr. 6",office@netwing.ro,,0740095381,,,,1,356279,222171,,5,active,BILANT,EU: CRESTEREA EFICIENTIEI ACTIVITATII SC NETWING INTERNATIONAL SRL PRIN IMPLEMENTARE PLATFORMA E-RESEARCH | 942400.0 EUR
NEXTEL TECHNOLOGIES SRL,18667636,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, Sector 0, Str. GHEORGHE DIMA, nr. 16",,,0744422592,,,,4,8484875,-124278,,0,active,BILANT,
NICOMAR SERVICES BPO S.R.L.,38646530,7112,Romania,"Sat Catelu, Comuna Glina","Sat Catelu, Comuna Glina, FLORILOR, nr. 14A",,,,,,,1,512152,454671,,Call center / BPO,active,BILANT | BUC_ILFOV,
NIDEC ORADEA SRL,30997641,2825,Romania,,Petre P. Carp 20,cariere.oradea@mail.nidec.com,cariere.oradea@mail.nidec.com,0374814000,0374814000,,,497,223299903,15485057,11,Call center / Suport clienti,active,DELIVERY | ANOFM_DEEP,
OCEAN OUTSOURCING S.R.L.,41913603,8299,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, MIHAI ROMANUL, nr. 23",,,,,,,6,2402250,1213365,,Call center / BPO,active,BILANT,
OLAH MEDIA SRL,34378346,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, COLTEI, nr. 44",,,0752777779,,,,6,1937105,988429,,3,active,BILANT,
OPEN MIND BV SRL,30641830,8220,Romania,Municipiul Iasi,"Municipiul Iasi, CHISINAULUI, nr. 29",,,,,,,1,413664,370378,,Call center / BPO,active,BILANT,
OPTIMA SOLUTIONS OUTSOURCING S.R.L.,49514411,,Romania,"Sat Chiajna, Comuna Chiajna",SERGENT ILIE PETRE 84 (PROV.),,,0784195953,40784195953,,,,,,,Call center / BPO,active,BUC_ILFOV,
ORACLE VOICE S.A.,33284553,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, EUGENIU DE SAVOYA, nr. 11",,,0356170090,,,,4,2387290,1273562,,Call center / BPO,active,BILANT,
OUTSOURCE ACCOUNTING SERVICE SRL,29553831,,Romania,Bucuresti Sectorul 6,Str. BOZIENI 7 6,,,40744207140,0744207140,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCE BUSINESS MANAGEMENT SRL,16123557,6920,Romania,"Loc. Voluntari, Oras Voluntari",Str. DRUMUL POTCOAVEI 71A 0,adrian_mitirita@hotmail.com,,0722200046,,,,,,,,Call center / BPO,active,BUC_ILFOV,EU: Dezvoltarea activitatii de recuperare de debite | 948488.4 EUR
OUTSOURCE HR MANAGEMENT SRL,30568020,7830,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, CORNELIU COPOSU, nr. 6-8",,,,,,,1,615276,199554,,3,active,BILANT | BUC_ILFOV,
OUTSOURCE MANAGEMENT & CONSULTING SOLUTIONS S.R.L.,45216846,,Romania,Bucuresti Sectorul 1,BUCEGI 38 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCE MANAGEMENT GROUP SRL,15547899,,Romania,"Sat 1 Decembrie, Comuna 1 Decembrie",16 28,,,0731359944,40731359944,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCING CAPITAL SRL,24335364,,Romania,Bucuresti Sectorul 6,PLEVNEI 159 6,,,40723182208,0723182208,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCING SERVICES APPROACH S.R.L.,44812956,,Romania,Bucuresti Sectorul 1,ARGENTINA 25 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCING SISTEMS & PRO S.R.L.,48183760,,Romania,Bucuresti Sectorul 4,IZVORUL OLTULUI 6 4,,,0749110505,40749110505,,,,,,,Call center / BPO,active,BUC_ILFOV,
OUTSOURCING SUPPORT SERVICES SRL,28302734,7820,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, BUZESTI, nr. 71",,,0727795226,,,,1,11385439,683138,,1,active,BILANT | BUC_ILFOV,
PARATRADE OUTSOURCING INTERNATIONAL S.R.L.,45283861,4791,Romania,"Sat Munteni, Comuna Munteni","Sat Munteni, Comuna Munteni, Stefan cel Mare, nr. 28",,,0745235252,,,,1,3223013,-1023571,,Call center / BPO,active,BILANT,
PATRISOFT OUTSOURCING S.R.L.,35482026,6201,Romania,Municipiul Suceava,"Municipiul Suceava, BURDUJENI, nr. 8",,,0745505896,,,,2,407266,47065,,Call center / BPO,active,BILANT,
PAUL TUDOR OUTSOURCING S.R.L.,46060035,6201,Romania,Municipiul Craiova,"Municipiul Craiova, NICOLAE TITULESCU, nr. 35",,,0768107502,,,,1,205728,160277,,Call center / BPO,active,BILANT,
PAYROLL OUTSOURCING EXPERT S.R.L.,41287089,7830,Romania,Municipiul Buzau,"Municipiul Buzau, Unirii, nr. 28A",,,,,,,1,299950,273043,,Call center / BPO,active,BILANT,
PELICANUL CALL CENTER SRL,36438320,,Romania,"Sat 1 Decembrie, Comuna 1 Decembrie",VIILOR 6,arabico.dima@yahoo.com,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
PERSONNEL OUTSOURCING S.A.,33702249,,Romania,Bucuresti Sectorul 6,IULIU MANIU 7 6,adriana.botoaca@personnel.com.ro,,+40728063430,,,BOTOACA ADRIANA,,,,2,Call center / BPO,active,BUC_ILFOV,
PLANTEPLUS S.R.L.,42369330,8220,Romania,"Sat Floresti, Comuna Floresti","Sat Floresti, Comuna Floresti, SESUL DE SUS, nr. 172",,,,,,,1,299781,113284,,Call center / BPO,active,BILANT,
POLARIS OUTSOURCING S.R.L.,43606443,,Romania,Bucuresti Sectorul 2,SINAIA 5 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
POLYMATCO BPO S.R.L.,46589754,,Romania,Bucuresti Sectorul 6,IULIU MANIU 57 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
PREMIERE OUTSOURCING S.R.L.,41686250,,Romania,Oras Popesti Leordeni,UNIRII 9,,,40751219197,0751219197,,,,,,,Call center / BPO,active,BUC_ILFOV,
PRIMA TAXI & BECCA SRL,32979447,8220,Romania,Municipiul Satu Mare,"Municipiul Satu Mare, GHEORGHE BARITIU, nr. 125D",,,,,,,1,216624,117178,,Call center / BPO,active,BILANT,
PRIMA TAXI CALL CENTER SRL,36417816,8220,Romania,Municipiul Satu Mare,"Municipiul Satu Mare, GHEORGHE BARITIU, nr. 125D",,,,,,,1,274004,213729,,Call center / BPO,active,BILANT,
PROCALL CENTER S.R.L.,52060897,,Romania,Bucuresti Sectorul 3,UNIRII 61 3,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
PROFESSIONAL OUTSOURCING SOLUTIONS SRL,25824067,,Romania,Bucuresti Sectorul 2,TUNARI 49 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
PROHUMAN APT OUTSOURCING S.R.L.,49601410,,Romania,Bucuresti Sectorul 1,av. Popisteanu 54A 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
PROSPORT EXPRESS INTERNATIONAL S.R.L.,39783641,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, IULIU MANIU, nr. 7",,,,,,,1,2871058,581752,,6,active,BILANT,
PROX PREMIER VISION S.R.L.,46736677,8220,Romania,Municipiul Sighetu Marmatiei,"Municipiul Sighetu Marmatiei, TUDOR VLADIMIRESCU, nr. 15",,,,,,,4,2453535,2106589,,Call center / BPO,active,BILANT,
PV WIEBE SOCIETATE IN NUME COLECTIV,49841472,8220,Romania,"Sat Floresti, Comuna Floresti","Sat Floresti, Comuna Floresti, TAUTULUI, nr. 72-74",,,,,,,1,2457274,2326207,,Call center / BPO,active,BILANT,
QUBO OUTSOURCING S.R.L.,45983733,7022,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, ACADEMIEI, nr. 35-37",,,,,,,1,1134225,327040,,1,active,BILANT,
R&V OUTSOURCING SERVICES S.R.L.,49533774,,Romania,Bucuresti Sectorul 4,PRIDVORULUI 17 4,,,0729385174,40729385174,,,,,,,Call center / BPO,active,BUC_ILFOV,
RADIO OUTSOURCING SRL-D,28161848,,Romania,Bucuresti Sectorul 5,Str. DR. DEMOSTENE 11 5,,,40214109477,0214109477,,,,,,,Call center / BPO,active,BUC_ILFOV,
RIDESHARING OUTSOURCED ACTIVITIES S.R.L.,43379812,,Romania,Bucuresti Sectorul 6,VALEA OLTULUI 22 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
RINF OUTSOURCING SOLUTIONS SRL,18334380,,Romania,Bucuresti Sectorul 2,GARA HERASTRAU 4C 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
RO-COMP 2000 SRL,3132910,8220,Romania,Municipiul Miercurea Ciuc,"Municipiul Miercurea Ciuc, Sector 0, P-ta. LIBERTATII, nr. 9",,,0266371127,,,,1,220036,66311,,0,active,BILANT,
ROEDL & PARTNER OUTSOURCING SRL,10116348,,Romania,Bucuresti Sectorul 2,GARA HERASTRAU 4B 2,,,40726152288,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ROPLANTA WEBSALES S.R.L.,41824174,8220,Romania,Municipiul Sibiu,"Municipiul Sibiu, Merisorului, nr. 14",,,,,,,1,2292458,735387,,Call center / BPO,active,BILANT,
SALAS YTALIAN SOLUTIONS S.R.L.,47636692,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, THEODOR PALLADY, nr. 66A",,,0729454204,,,,1,306997,238723,,3,active,BILANT,
SANOVERDE TOTAL S.R.L.,42907197,8220,Romania,"Sat Razbuneni, Comuna Bobalna","Sat Razbuneni, Comuna Bobalna, RAZBUNENI, nr. 2",,,,,,,1,403962,14973,,Call center / BPO,active,BILANT,
SB OUTSOURCING SERVICES S.R.L.,52036910,,Romania,Bucuresti Sectorul 1,G-RAL ERNEST BROSTEANU 23 1,,,40749323674,0749323674,,,,,,,Call center / BPO,active,BUC_ILFOV,
SC CONVERTOP EXPERT SRL,41299776,7022,Romania,,STIRBEI VODA 119,solutiismart88@gmail.com,solutiismart88@gmail.com,0,,,,3,557393,219585,5,Call center / Suport clienti,active,DELIVERY | ANOFM_DEEP,
SCANDINAVIAN IT OUTSOURCING S.R.L.,46619979,,Romania,Bucuresti Sectorul 1,ARGENTINA 25 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
SERBYX CONCEPT S.R.L.,49833135,8220,Romania,Municipiul Ploiesti,"Municipiul Ploiesti, CUMPATUL, nr. 2",,,0721476647,,,,1,245341,199306,,Call center / BPO,active,BILANT,
SERVICE 800 CONTACT CENTER - AGENT DE ASIGURARE SRL,31897276,,Romania,Bucuresti Sectorul 5,TUDOR VLADIMIRESCU 22,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
SERVICE OUTSOURCING SRL,36560157,6202,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, MAICA DOMNULUI, nr. 13A",vanzari@i-service.ro,,+40761330954,+402511171611,i-service.ro,,1,321990,63444,,Call center / BPO,active,WEBSITE_CONTACTS | BILANT | BUC_ILFOV,
SERVIZI QUALIFICATI SRL,33147483,8220,Romania,Municipiul Pitesti,"Municipiul Pitesti, REPUBLICII, nr. 117B",,,,,,,1,431605,375245,,Call center / BPO,active,BILANT,
SHARPMINDS GLOBAL S.R.L.,42445446,8220,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, STEFAN CEL MARE, nr. 4",,,0745056888,,,,5,1416855,326244,,Call center / BPO,active,BILANT,
SIGMA DIGITAL GROUP S.R.L.,46263641,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, IULIU MANIU, nr. 57",,,,,,,2,18517711,802097,,6,active,BILANT,
SKY OUTSOURCING SRL,38009708,,Romania,Bucuresti Sectorul 6,AMETISTULUI 19 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
SKYLINE CUBES S.R.L.,49673794,8220,Romania,Municipiul Ploiesti,"Municipiul Ploiesti, VESTULUI, nr. 20",,,0744330170,,,,1,226372,177270,,Call center / BPO,active,BILANT,
SMART CALL S.R.L.,47427211,8220,Romania,Municipiul Iasi,"Municipiul Iasi, Ungheni, nr. 2",,,0746076764,,,,3,851600,468932,,Call center / BPO,active,BILANT,
SMART OUTSOURCING SERVICES S.R.L.,45972459,,Romania,Bucuresti Sectorul 4,VERZISORI 6 4,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
SMARTX OUTSOURCING SRL,38252650,8230,Romania,Bucuresti Sectorul 5,"Bucuresti Sectorul 5, Sector 5, NATIUNILE UNITE, nr. 4",,,,,,,1,1020146,687795,,5,active,BILANT | BUC_ILFOV,
SMV SOLUTIONS S.R.L.,43210782,8220,Romania,"Sat Isla, Comuna Hodosa","Sat Isla, Comuna Hodosa, ISLA, nr. 92",,,0740684074,,,,1,420152,179236,,Call center / BPO,active,BILANT,
SOFTCARE SOLUTIONS INTELI S.R.L.,45997283,8220,Romania,"Sat Capalna de Jos, Comuna Jidvei","Sat Capalna de Jos, Comuna Jidvei, nr. 53",,,0757645526,,,,1,298789,6846,,Call center / BPO,active,BILANT,
SOFTWARE KINGDOM SERVICES SRL,37212517,8220,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, Timisoara, nr. 58J",,,,,,,1,536970,44010,,6,active,BILANT,
SOLIMAN ONE S.R.L.,47237187,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, EUGENIU DE SAVOYA, nr. 11",,,,,,,2,823438,546027,,Call center / BPO,active,BILANT,
SOVALFI OUTSOURCING SRL,38264700,,Romania,"Sat Fundeni, Comuna Dobroesti",FUNDENI 39,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
SPHERA CALL CENTER S.R.L.,45182379,8220,Romania,Municipiul Iasi,"Municipiul Iasi, TUTORA, nr. 9B",,,,,,,1,222676,117976,,Call center / BPO,active,BILANT,
SPORTSTECH BRANDS RO S.R.L.,43948365,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, SOLD. GHITA SERBAN, nr. 18",,,,,,,5,1072116,-122921,,3,active,BILANT,
SPOTLESS BUSINESS SUPPORT S.R.L.,42601847,8220,Romania,Municipiul Brasov,"Municipiul Brasov, CARPATILOR, nr. 93",,,0743101001,,,,1,204815,55448,,Call center / BPO,active,BILANT,
STEF TEAM S.R.L.,49688604,8220,Romania,Municipiul Iasi,"Municipiul Iasi, CHIMIEI, nr. 101",,,+40748414033,,,,1,466510,284913,,Call center / BPO,active,BILANT,
STRATEGIC HR OUTSOURCING S.R.L.,47661904,7810,Romania,"Sat Vladimirescu, Comuna Vladimirescu","Sat Vladimirescu, Comuna Vladimirescu, BISERICII, nr. 61",,,0767440920,,,,1,217208,-23584,,Call center / BPO,active,BILANT,
SYP CONSULT SRL,27293182,8220,Romania,"Sat Selimbar, Comuna Selimbar","Sat Selimbar, Comuna Selimbar, CARMEN SYLVA, nr. 24",,,,,,,1,292377,253495,,Call center / BPO,active,BILANT,
TAKT OUTSOURCING S.R.L.,45800682,,Romania,Bucuresti Sectorul 1,FINLANDA 17 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
TAKT RECRUITMENT S.R.L.,,,Romania,,,office@taktrecruitment.ro,,+40376447675,,https://taktrecruitment.ro,,,,,,Call center / BPO,active,CCIB,"Grupul TAKT pune la dispozitia clientilor solutii de angajare complete prin servicii de outsourcing cu echipe de lucratori straini, recrutare forta de munca straina si management de personal. Divizia"
TALENT OUTSOURCE SERVICES S.R.L.,45950612,,Romania,Oras Voluntari,EROU NICOLAE IANCU 12-26,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
