producer_name,products,county,odm,address_punct_lucru,address_sediu,phone,email,product_urls,scraped_at
DEZSŐ D. DÉNES ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Mun. Tg. Secuiesc, Str. Fehermartok, Nr. 3C, Jud. Covasna","Mun. Tg. Secuiesc, Str. Fehermartok, Nr. 3C, Jud. Covasna",0749 230 947,947kertesz_izabella@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-dezso-d-denes-intreprindere-individuala/,2026-03-11T10:37:02.654749
DINEA AGRO SERV S.R.L.,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Dretea, Nr. 12, Comuna Mănăstireni, Județul Cluj","Sat Dretea, Nr. 12, Comuna Mănăstireni, Județul Cluj",0741 451 692,,https://produsmontan.ro/produse_montane/lapte-de-vaca-dinea-agro-serv-s-r-l/,2026-03-11T10:37:02.654749
DIVERTIS AGRIPEX S.R.L.,PĂSTRĂV DE VIȘTIȘOARA,Brașov,ODM Lisa,"Sat Viștișoara, Comuna Viștea, Nr. 28, C2, Județul Brașov","Localitatea Târgu Mureș, Str. Cutezantei, Nr. 25, Ap.4, Județul Mureș",0742 059 236,236a_borzea@yahoo.com,https://produsmontan.ro/produse_montane/pastrav-de-vistisoara-divertis-agripex-s-r-l/,2026-03-11T10:37:02.654749
DOBRINAȘ GHEORGHE ÎNTREPRINDERE INDIVIDUALĂ,MIERE DE SALCÂM | PROPOLIS,Covasna,ODM Întorsura Buzăului,"Sat Lădăuți, Comuna Barcani,  Nr. 221, Județul Covasna","Sat Lădăuți, Comuna Barcani,  Nr. 221, Județul Covasna",,ion.dobrinas@distributie-energie.ro,https://produsmontan.ro/produse_montane/miere-de-salcam-dobrinas-gheorghe-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/propolis-dobrinas-gheorghe-intreprindere-individuala/,2026-03-11T10:37:02.654749
DODEA VALENTINA IOANA PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Muntele Rece, Nr. 76, Comuna Măguri Răcătău, Județul Cluj","Sat Muntele Rece, Nr. 76, Comuna Măguri Răcătău, Județul Cluj",0746 489 564,,https://produsmontan.ro/produse_montane/lapte-de-vaca-dodea-valentina-ioana-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
DONISĂ IOAN,LAPTE CRUD DE VACĂ,Suceava,ODM Poiana Stampei,"Sat Podu Coșnei, Nr .83, Comuna Coșna, Județul Suceava","Sat Podu Coșnei, Nr .83, Comuna Coșna, Județul Suceava",0740.178.016,,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-donisa-ioan/,2026-03-11T10:37:02.654749
DRAGOMIR FLORIN,URDĂ DIN LAPTE DE OAIE | CAȘ DIN LAPTE DE OAIE,Sibiu,ODM Poplaca,"Sat Vurpăr, Nr. 663, Comuna Vurpăr, Județul Sibiu","Municipiul Sibiu, Strada Verzăriei, Nr. 33, Județul Sibiu",0766 544 030,alecsandra_dragomir@yahoo.com,https://produsmontan.ro/produse_montane/urda-din-lapte-de-oaie-dragomir-florin/ | https://produsmontan.ro/produse_montane/cas-din-lapte-de-oaie-dragomir-florin/,2026-03-11T10:37:02.654749
DRAGOTĂ MATEI VALERIU PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE DE SALCÂM | MIERE POLIFLORĂ,Gorj,ODM Tismana,"Sat Dumbrăveni, Nr. 258, Comuna Crasna, Județul Gorj","Sat Dumbrăveni, Nr. 258, Comuna Crasna, Județul Gorj",0764 348 846,dragotavaleriumatei@gmail.com,https://produsmontan.ro/produse_montane/miere-de-salcam-dragota-matei-valeriu-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-poliflora-dragota-matei-valeriu-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
DREAM TRICULE S.R.L.,GEM DE SMOCHINE | DULCEAȚĂ DE SMOCHINE,MEHEDINȚI,ODM Sisești,"Sat Svinița, Comuna Svinița, Județul Mehedinți","Municipiul Drobeta-Turnu Severin, Bulevardul Carol I, Nr. 61, Camera M2, Județul Mehedinți",0757 467 119,martinovicisvetlana5@gmail.com,https://produsmontan.ro/produse_montane/gem-de-smochine-dream-tricule-s-r-l/ | https://produsmontan.ro/produse_montane/dulceata-de-smochine-dream-tricule-s-r-l/,2026-03-11T10:37:02.654749
DRĂGOESCU CAMELIA ÎNTREPRINDERE FAMILIALĂ,MIERE POLIFLORĂ | MIERE DE SALCÂM,Gorj,ODM Tismana,"Sat Drăgoiești, nr. 52, Comuna Crasna, Județul Gorj","Sat Drăgoiești, nr. 52, Comuna Crasna, Județul Gorj",0765 452 481,camelia.71@yahoo.com,https://produsmontan.ro/produse_montane/miere-poliflora-dragoescu-camelia-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/miere-de-salcam-dragoescu-camelia-intreprindere-familiala/,2026-03-11T10:37:02.654749
DUICU GHEORGHE,PERE | MORCOVI | CEAPĂ | CARTOFI | MERE | PRUNE | ROȘII | PĂTRUNJEL | CIREȘE,Caraș Severin,ODM Băile Herculane,"Sat Arsuri, nr. 17, comuna Cornereva, județul Caraș Severin","Sat Arsuri, nr. 17, comuna Cornereva, județul Caraș Severin",0749 877 710,,https://produsmontan.ro/produse_montane/pere-duicu-gheorghe/ | https://produsmontan.ro/produse_montane/morcovi-duicu-gheorghe/ | https://produsmontan.ro/produse_montane/ceapa-duicu-gheorghe/ | https://produsmontan.ro/produse_montane/cartofi-duicu-gheorghe/ | https://produsmontan.ro/produse_montane/mere-duicu-gheorghe/,2026-03-11T10:37:02.654749
DUKE BLUE S.R.L.,AFINE ”DUKE BLUE”,Hunedoara,ODM Hunedoara,"Comuna Beriu, Sat Căstău, Județ Hunedoara","Sat Căstău, Comuna Beriu, Nr. 318, Județul Hunedoara",0729 101 850,,https://produsmontan.ro/produse_montane/afine-duke-blue-duke-blue-s-r-l/,2026-03-11T10:37:02.654749
DÎRPEȘ PETRE PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE DE SALCÂM | MIERE DE TEI,Caraș Severin,ODM Oravița,"Sat Valea Bolvașnița, Nr. 86, Comuna Mehadia, Județul Caraș-Severin","Sat Valea Bolvașnița, Nr. 86, Comuna Mehadia, Județul Caraș-Severin",0721 224 197,,https://produsmontan.ro/produse_montane/miere-de-salcam-dirpes-petre-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-de-tei-dirpes-petre-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
ECO HOR INTERNATIONAL S.R.L.,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Moacșa, județul Covasna","Sat Pădureni, LAC, Construcția C2, Comuna Moacșa, Județul Covasna",0721.203.423,stefan.hornoiu@gmail.com,https://produsmontan.ro/produse_montane/cartofi-eco-hor-international-s-r-l/,2026-03-11T10:37:02.654749
ENICĂ IULIANA,PRUNE DE BISOCA,Buzău,ODM Nehoiu,"Sat Băltăgari, Comuna Bisoca, Județul Buzău","Municipiul Buzău, Str. Mărăști, nr. 16 bis, Județul Buzău",0771 287 193,iuliaenica@yahoo.com,https://produsmontan.ro/produse_montane/prune-de-bisoca-enica-iuliana/,2026-03-11T10:37:02.654749
ERDO M-Z HUNOR PERSOANĂ FIZICĂ AUTORIZATĂ,GRÂU COMUN | CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor Cernat, Turia și municipiului Târgu Secuiesc, Covasna","Sat Turia, Nr. 303, Comuna Turia, Județul Covasna",0741 532 494,,https://produsmontan.ro/produse_montane/grau-comun-erdo-m-z-hunor-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/cartofi-erdo-m-z-hunor-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
ERDO ZSUZSA PERSOANĂ FIZICĂ AUTORIZATĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținând comunelor Turia, Boroșneul Mare și Sânzieni, județul Covasna","Sat Turia, Nr. 303, Comuna Turia, Județul Covasna",0741 437 330,erdozsuzsa@gmail.com,https://produsmontan.ro/produse_montane/cartofi-erdo-zsuzsa-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
ERÖSS ISTVÁN,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare  municipiului Târgu Secuiesc, județul Covasna","Localitatea Covasna, Str. Spitalului, Nr. 10, Județul Covasna",0752 112 248,248productieagricom@gmail.com,https://produsmontan.ro/produse_montane/cartofi-eross-istvan/,2026-03-11T10:37:02.654749
FAJE MONICA,MURE,MARAMUREȘ,ODM Baia Mare,"Sat Bîrgău, Comuna Cicîrlău, Județul Maramureș","Sat Bîrgău, Nr. 2, Comuna Cicîrlău, Județul Maramureș",0744 923 892,faje.monica31@gmail.com,https://produsmontan.ro/produse_montane/mure-faje-monica/,2026-03-11T10:37:02.654749
FARCAȘ ZAMFIRA,MIERE POLIFLORĂ | POLEN,MARAMUREȘ,ODM Baia Mare,"Sat Libotin, Comuna Cupșeni, Județul Maramureș","Oraș Târgu Lăpuș, Str. Stadionului, Nr. 46, Județul Maramureș",,zamfira_21@yahoo.com,https://produsmontan.ro/produse_montane/miere-poliflora-farcas-zamfira/ | https://produsmontan.ro/produse_montane/polen-farcas-zamfira/,2026-03-11T10:37:02.654749
FECIORAȘ DOREL,MIERE,Vrancea,ODM Vintileasca,"Sat Irești, comuna Vidra, județul Vrancea","Sat Irești, comuna Vidra, județul Vrancea",0728 790 107,feciorascarmina@gmail.com,https://produsmontan.ro/produse_montane/miere-fecioras-dorel/,2026-03-11T10:37:02.654749
FEIER ANA FERMIER PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE DE MANĂ | MIERE DE SALCÂM | MIERE POLIFLORĂ,SATU MARE,ODM Baia Mare,"Sat Turț, Comuna Turț, Județul Satu Mare","Sat Turț, comuna Turț, strada Ulița Mare, nr. 8A, județul Satu Mare",0744 647 388,albinutafericita@yahoo.com,https://produsmontan.ro/produse_montane/miere-de-mana-feier-ana-fermier-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-de-salcam-feier-ana-fermier-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-poliflora-feier-ana-fermier-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
FEIER FLORIN,MIERE DE MANĂ | MIERE DE SALCÂM | MIERE POLIFLORĂ,SATU MARE,ODM Baia Mare,"Sat Turț, Comuna Turț, Județul Satu Mare","Sat Turț, comuna Turț, strada Ulița Mare, nr. 8A, județul Satu Mare",0744 647 388,albinutafericita@yahoo.com,https://produsmontan.ro/produse_montane/miere-de-mana-feier-florin/ | https://produsmontan.ro/produse_montane/miere-de-salcam-feier-florin/ | https://produsmontan.ro/produse_montane/miere-poliflora-feier-florin/,2026-03-11T10:37:02.654749
FEJÉR ADÉL,LAPTE CRUD DE VACĂ,Covasna,ODM Întorsura Buzăului,"Sat Ghelința, Nr. 1152,  Comuna Ghelința, Județul Covasna","Sat Ghelința, Nr. 1152,  Comuna Ghelința, Județul Covasna",0741 959 671,671adel.fejer@gmail.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-fejer-adel/,2026-03-11T10:37:02.654749
FEJÉR RUDOLF-CSABA ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunelor Cernat, Ghelința și Catalina, județul Covasna","Sat Ghelința, Nr. 1725, Comuna Ghelința, Județul Covasna",,csababi71@gmail.com,https://produsmontan.ro/produse_montane/cartofi-fejer-rudolf-csaba-intreprindere-individuala/,2026-03-11T10:37:02.654749
FERENCZ-CSIBI CSABA ÎNTREPRINDERE INDIVIDUALĂ,LAPTE CRUD DE VACĂ,Harghita,ODM Toplița,"Sat Remetea, Str. Bartok Bela, Nr. 81, Comuna Remetea, Județul Harghita","Sat Remetea, Str. Falu, Nr. 9, Comuna Remetea, Județul Harghita",0749 160 848,,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-ferencz-csibi-csaba-intreprindere-individuala/,2026-03-11T10:37:02.654749
FERMIERUL MOROȘAN COOPERATIVĂ AGRICOLĂ,ROȘII COCKTAIL | ROȘII CHERRY,MARAMUREȘ,ODM Baia Mare,"Sat Cernești, Nr. 155, Comuna Cernești, Județul Maramureș","Sat Cernești, Nr. 155/C, Comuna Cernești, Județul Maramureș",,info@agroverdemarket.com,https://produsmontan.ro/produse_montane/rosii-cocktail-fermierul-morosan-cooperativa-agricola/ | https://produsmontan.ro/produse_montane/rosii-cherry-fermierul-morosan-cooperativa-agricola/,2026-03-11T10:37:02.654749
FÁBIÁN BERNADETT ÎNTREPRINDERE INDIVIDUALĂ,VARZĂ | CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Sânzieni, județul Covasna","Sat Sânzieni, Nr. 875, Comuna Sânzieni, Județul Covasna",,782zsoltfabian@yahoo.com,https://produsmontan.ro/produse_montane/varza-fabian-bernadett-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/cartofi-fabian-bernadett-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/ceapa-fabian-bernadett-intreprindere-individuala/,2026-03-11T10:37:02.654749
FÖLDES GÁSPAR-TIHAMÉR PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE CRUD DE VACĂ,Covasna,ODM Bodoc,"Sat Olteni, Nr. 53, Comuna Bodoc, Județul Covasna","Sat Olteni, Nr. 26, Comuna Bodoc, Județul Covasna",0755 288 080,080davidszoka@yahoo.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-foldes-gaspar-tihamer-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
FÜLÖP JUDIT ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Catalina, județul Covasna","Sat Catalina, Nr. 326, Comuna Catalina, Județul Covasna",0742 429 631,631magyarizoli@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-fulop-judit-intreprindere-individuala/,2026-03-11T10:37:02.654749
FÜSTÖS LÁSZLÓ ÎNTREPRINDERE INDIVIDUALĂ,VARZĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Turia, Județul Covasna","Sat Turia, Nr. 216, Comuna Turia, Județul Covasna",0757.703.891,panczelimola@yahoo.com,https://produsmontan.ro/produse_montane/varza-fustos-laszlo-intreprindere-individuala/,2026-03-11T10:37:02.654749
GAVA LIVIU PERSOANĂ FIZICĂ AUTORIZATĂ,POLEN ECOLOGIC MONTAN | MIERE POLIFLORĂ ECOLOGICĂ,MARAMUREȘ,ODM Sighetu Marmației,"Sat Crasna Vișeului, nr. 24 C, Comuna Bistra, Județul Maramureș","Sat Crasna Vișeului, nr. 24 C, Comuna Bistra, Județul Maramureș",0743.809.276,gavaliviu@gmail.com,https://produsmontan.ro/produse_montane/polen-ecologic-montan-gava-liviu-persoana-fizica-autorizata/ | https://produsmontan.ro/produse_montane/miere-poliflora-ecologica-gava-liviu-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
GECSE ZSUZSÁNNA ÎNTREPRINDERE INDIVIDUALĂ,PORUMB ZAHARAT,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare comunei Catalina, județul Covasna","Sat Catalina, Nr. 383A, Comuna Catalina, Județul Covasna",,792magyarizoli@yahoo.com,https://produsmontan.ro/produse_montane/porumb-zaharat-gecse-zsuzsanna-intreprindere-individuala/,2026-03-11T10:37:02.654749
GEMÜSE KOMMERZ S.R.L.,ROȘII | ARDEI CAPIA | ARDEI GRAS | GOGOȘARI | VINETE | PĂTRUNJEL | ȚELINĂ | MORCOVI,Covasna,ODM Bodoc,"Terenuri agricole aparținătoare municipiului Sfântu Gheorghe, județul Covasna","Municipiul Sfântu Gheorghe, Str. Borviz, Nr. 107, Județul Covasna",0754 040 739,739ReimeschHuba@gmail.com,https://produsmontan.ro/produse_montane/rosii-gemuse-kommerz-s-r-l/ | https://produsmontan.ro/produse_montane/ardei-capia-gemuse-kommerz-s-r-l/ | https://produsmontan.ro/produse_montane/ardei-gras-gemuse-kommerz-s-r-l/ | https://produsmontan.ro/produse_montane/gogosari-gemuse-kommerz-s-r-l/ | https://produsmontan.ro/produse_montane/vinete-gemuse-kommerz-s-r-l/,2026-03-11T10:37:02.654749
GEORGIU ATANASIU,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Strîmbu, Comuna Chiuiești, Nr. 23, Județul Cluj","Sat Strîmbu, Comuna Chiuiești, Nr. 23, Județul Cluj",0769.614.332,,https://produsmontan.ro/produse_montane/lapte-de-vaca-georgiu-atanasiu/,2026-03-11T10:37:02.654749
GEORGIU GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Cluj,ODM Mărișel,"Sat Strîmbu, Comuna Chiuiești, Nr. 28A, Județul Cluj","Sat Strîmbu, Comuna Chiuiești, Nr. 28A, Județul Cluj",0769.614.332,,https://produsmontan.ro/produse_montane/lapte-de-vaca-georgiu-gabriel-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
GHERGHEL ALEXA,CASTRAVEȚI | ROȘII | ARDEI,MARAMUREȘ,ODM Baia Mare,"Sat Ciocotiș, Nr. 110, Comuna Cernești, Județul Maramureș","Sat Ciocotiș, Nr. 110, Comuna Cernești, Județul Maramureș",0762 629 319,dina_dina_78@yahoo.com,https://produsmontan.ro/produse_montane/castraveti-gherghel-alexa/ | https://produsmontan.ro/produse_montane/rosii-gherghel-alexa/ | https://produsmontan.ro/produse_montane/ardei-gherghel-alexa/,2026-03-11T10:37:02.654749
GHIDIM MARIA ÎNTREPRINDERE FAMILIALĂ,TELEMEA | URDĂ DULCE | SMÂNTÂNĂ DULCE | BRÂNZĂ DE BURDUF,Brașov,ODM Lisa,"Sat Mărgineni, Nr. 230, Comuna Hârseni,  Județul Brașov","Sat Mărgineni, Nr. 230, Comuna Hârseni,  Județul Brașov",0765 907 774,ifghidimdmarian@yahoo.com,https://produsmontan.ro/produse_montane/telemea-ghidim-maria-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/urda-dulce-ghidim-maria-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/smantana-dulce-ghidim-maria-intreprindere-familiala/ | https://produsmontan.ro/produse_montane/branza-de-burduf-ghidim-maria-intreprindere-familiala/,2026-03-11T10:37:02.654749
GRIDAMA FRUCT MONTAN S.R.L.,COACĂZE | DULCEAȚĂ DE PRUNE CU NUCI | SIROP DE COACĂZE NEGRE,Bistrița Năsăud,ODM Prundu Bârgăului,"Sat Piatra Fântânele, Nr. 96, Comuna Tiha Bârgăului, Județul Bistrița-Năsăud","Sat Piatra Fântânele, Nr. 96, Comuna Tiha Bârgăului, Județul Bistrița-Năsăud",0755 369 033,danaranzis@yahoo.com,https://produsmontan.ro/produse_montane/coacaze-gridama-fruct-montan-s-r-l/ | https://produsmontan.ro/produse_montane/dulceata-de-prune-cu-nuci-gridama-fruct-montan-s-r-l/ | https://produsmontan.ro/produse_montane/sirop-de-coacaze-negre-gridama-fruct-montan-s-r-l/,2026-03-11T10:37:02.654749
GRIGORESCU MARINA-VIORICA ÎNTREPRINDERE INDIVIDUALĂ,AFINE DE CULTURĂ | MERE | ALUNE DE PĂDURE,MARAMUREȘ,ODM Baia Mare,"Sat Ciocotiș, Comuna Cernești, Județul Maramureș","Sat Ciocotiș, Nr. 109, Comuna Cernești, Județul Maramureș",0755 633 484,marina.grigorescu@yahoo.com,https://produsmontan.ro/produse_montane/afine-de-cultura-grigorescu-marina-viorica-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/mere-grigorescu-marina-viorica-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/alune-de-padure-grigorescu-marina-viorica-intreprindere-individuala/,2026-03-11T10:37:02.654749
GYÖRGYJAKAB ARNOLD  ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare com. Moacșa, Cernat, Catalina și mun.Târgu Secuiesc, județul Covasna","Sat Moacșa, Comuna Moacșa, Nr. 232, Județul Covasna",0744.313.297,cooperativa.raulnegru.cv@gmail.com,https://produsmontan.ro/produse_montane/cartofi-gyorgyjakab-arnold-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/ceapa-gyorgyjakab-arnold-intreprindere-individuala/,2026-03-11T10:37:02.654749
GYŐRI MIKLÓS  ÎNTREPRINDERE INDIVIDUALĂ,MORCOVI | CARTOFI | CEAPĂ,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare UAT_urilor: Cernat, Dalnic, Turia și Târgu Secuiesc, județul Covasna","Sat Turia, Comuna Turia, Nr. 904, Județul Covasna",,392gmiky25@yahoo.com,https://produsmontan.ro/produse_montane/morcovi-gyori-miklos-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/cartofi-gyori-miklos-intreprindere-individuala/ | https://produsmontan.ro/produse_montane/ceapa-gyori-miklos-intreprindere-individuala/,2026-03-11T10:37:02.654749
GÁL ÉVA ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare UAT_urilor: Ojdula, Poian, Sânzieni și Târgu Secuiesc, județul Covasna","Sat Sânzieni, Comuna Sânzieni, Nr. 353, Județul Covasna",0757 595 900,900lory_kovacs@yahoo.com,https://produsmontan.ro/produse_montane/cartofi-gal-eva-intreprindere-individuala/,2026-03-11T10:37:02.654749
HAGIU CRISTINA ÎNTREPRINDERE INDIVIDUALĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri aparținând Comunei Zăbala, Județul Covasna","Sat Zăbala, Nr.210, Comuna Zăbala, Județul Covasna",0762 632 276,276productieagricom@gmail.com,https://produsmontan.ro/produse_montane/cartofi-hagiu-cristina-intreprindere-individuala/,2026-03-11T10:37:02.654749
HEREȘ S. PAVEL PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ ECOLOGIC,MARAMUREȘ,ODM Baia Mare,"Sat Costeni, Comuna Cupșeni, Județul Maramureș","Sat Costeni, Comuna Cupșeni, Nr. 169, Județul Maramureș",0784 635 656,,https://produsmontan.ro/produse_montane/lapte-de-vaca-ecologic-heres-s-pavel-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
HODOR JÁNOS PERSOANĂ FIZICĂ AUTORIZATĂ,CARTOFI,Covasna,ODM Întorsura Buzăului,"Terenuri agricole aparținătoare  comunelor Dalnic și Moacșa, județul Covasna","Sat Sânzieni, Nr. 335, Comuna Sânzieni, Județul Covasna",0744 307 616,616hodorfarm@gmail.com,https://produsmontan.ro/produse_montane/cartofi-hodor-janos-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
HOSU MARINELA PERSOANĂ FIZICĂ AUTORIZATĂ,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Iarăș, Nr. 223, Comuna Hăghig, Județul Covasna","Sat Iarăș, Nr. 223, Comuna Hăghig, Județul Covasna",0727 864 724,724iosifcoltea@yahoo.com,https://produsmontan.ro/produse_montane/lapte-de-vaca-hosu-marinela-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
HURA OVIDIU-DĂNUȚ PFA,MIERE POLIFLORĂ „BUCOVINA BEEZUM” | MIERE DE MANĂ „BUCOVINA BEEZUM” | MIERE DE SALCÂM „BUCOVINA BEEZUM”,Suceava,ODM Sucevița,"Sat Voitinel, nr. 272, comuna Voitinel, județul Suceava","Sat Voitinel, nr. 272, comuna Voitinel, județul Suceava",0747 539 492,huradanut@gmail.com,https://produsmontan.ro/produse_montane/miere-poliflora-bucovina-beezum-hura-ovidiu-danut-pfa/ | https://produsmontan.ro/produse_montane/miere-de-mana-bucovina-beezum-hura-ovidiu-danut-pfa/ | https://produsmontan.ro/produse_montane/miere-de-salcam-bucovina-beezum-hura-ovidiu-danut-pfa/,2026-03-11T10:37:02.654749
IABLONCIUC RODICA ÎNTREPRINDERE INDIVIDUALĂ,MIERE DE SALCÂM,MARAMUREȘ,ODM Sighetu Marmației,"Sat Poienile de sub Munte, nr. 1103, comuna Poienile de sub Munte, județul Maramureș","Sat Poienile de sub Munte, nr. 1103, comuna Poienile de sub Munte, județul Maramureș",0749 454 004,rodicaiablonciuc@gmail.com,https://produsmontan.ro/produse_montane/miere-de-salcam-iablonciuc-rodica-intreprindere-individuala/,2026-03-11T10:37:02.654749
IAKO EVA,LAPTE CRUD DE VACĂ,Covasna,ODM Bodoc,"Sat Bodoc, comuna Bodoc, nr. 13/E, județul Covasna","Sat Bodoc, comuna Bodoc, nr. 37, județul Covasna",0720 146 323,tiborbenedek16@gmail.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-iako-eva/,2026-03-11T10:37:02.654749
IAKO TIBOR BENEDEK,LAPTE CRUD DE VACĂ,Covasna,ODM Bodoc,"Sat Bodoc, nr. 13/E, comuna Bodoc, județul Covasna","Sat Bodoc, nr. 37, comuna Bodoc, județul Covasna",0720 146 323,tiborbenedek16@gmail.com,https://produsmontan.ro/produse_montane/lapte-crud-de-vaca-iako-tibor-benedek/,2026-03-11T10:37:02.654749
IANCU GHEORGHE „STUPINĂ” PERSOANĂ FIZICĂ AUTORIZATĂ,MIERE,Alba,ODM Săsciori,"Sat Vâltori, nr. 78, localitatea Zlatna, județul Alba","Sat Vâltori, nr. 78, localitatea Zlatna, județul Alba",0744 349 301,marianianaiancu1969@yahoo.com,https://produsmontan.ro/produse_montane/miere-iancu-gheorghe-stupina-persoana-fizica-autorizata/,2026-03-11T10:37:02.654749
IANCU M. MIHAI ÎNTREPRINDERE INDIVIDUALĂ,PORUMB,Hunedoara,ODM Hunedoara,"Sat Sălașu de Sus, Nr. 49, Comuna Sălașu de Sus, Județul Hunedoara","Sat Sălașu de Sus, Nr. 49, Comuna Sălașu de Sus, Județul Hunedoara",0727 541 694,694mihai.iancu2014@gmail.com,https://produsmontan.ro/produse_montane/porumb-iancu-m-mihai-intreprindere-individuala/,2026-03-11T10:37:02.654749
IANCU MARIANA,MIERE,Alba,ODM Săsciori,"Strada Petru Dobra, nr. 18, localitatea Zlatna, județul Alba","Sat Vâltori, nr. 78, localitatea Zlatna, județul Alba",,marianaiancu1969@yahoo.com,https://produsmontan.ro/produse_montane/miere-iancu-mariana/,2026-03-11T10:37:02.654749
IGNA MARIUS,MIERE SALCÂM DE MUNTE,Buzău,ODM Nehoiu,"Strada Griviței, nr. 1A, localitatea Bragadiru, județul Ilfov","Strada Pescarilor, nr. 2, bl. 26, sc. 4, et. 1, ap. 52, sector 2, localitatea București",0765 527 015,stupinaigna@gmail.com,https://produsmontan.ro/produse_montane/miere-salcam-de-munte-igna-marius/,2026-03-11T10:37:02.654749
ILYÉS LÁSZLÓ,MIERE POLIFLORĂ,Covasna,ODM Întorsura Buzăului,"Sat Ghelința, Nr. 60,  Comuna Ghelința, Județul Covasna","Sat Ghelința, Nr. 60,  Comuna Ghelința, Județul Covasna",0742 182 188,188lacy71@hotmail.com,https://produsmontan.ro/produse_montane/miere-poliflora-ilyes-laszlo/,2026-03-11T10:37:02.654749
INCZE DAN,LAPTE DE VACĂ,Covasna,ODM Bodoc,"Sat Aita Mare, Comuna Aita Mare, Nr. 160, Județul Covasna","Sat Aita Mare, Comuna Aita Mare, Nr. 160, Județul Covasna",0753 076 886,,https://produsmontan.ro/produse_montane/lapte-de-vaca-incze-dan/,2026-03-11T10:37:02.654749
