denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
DYNAMIC SECURITY SYSTEMS SRL,ILFOV,"Popești Leordeni, str. Drumul Fermei, nr.91A, et.1, ap.10",0743/793760,A-9585,30.12.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"DYNAMIC VISION INSTAL SRL
Autorizata la:","BUCUREȘTI
ILFOV","Str. Drum. Binelui, nr. 11-13, bl. B, et. 5, ap. 37, sector 4
Popești-Leordeni, str. Cicoarei, nr. 29A, camera 2",0734102992,"B-3389
B-0984","19.01.2024
30.08.2021",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EGNATIA ROM SRL,"ILFOV
BUCUREȘTI","Voluntari, Șos. București Nord, nr. 10, Global City
Business Park, clădirea O1.3, 399,19MP, et. 6
Str. Sfânta Maria, nr. 65, parter, et. 1și 2, sector 1",0744546246,"B-4101
B-3737","22.07.2024
18.04.2024",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTROINSTAL INVEST SRL,ILFOV,"Sat Fundeni, comuna Dobroești, Șos. Fundeni, nr.180, et. 2",0771422224,B-4056,05.07.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRO INSTAL PROIECT SRL,ILFOV,"Berceni, Str. Florilor, nr. 5A, cvartal 14, parcela 600/1, lot
2/2, mansardă, cam. 1,3 și 4",0726478882,B-3517,26.02.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELECTROPOWER SOLUŢII SRL,ILFOV,"Sat Cornetu, comuna Cornetu, str. Zăvoiului, nr.53",021/3112514,A-2065,17.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTROZEP EXIM SRL,ILFOV,"Popești Leordeni, str. Sf. Gheorghe, nr.16,",021/3614168,B-1645,05.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELETERM INSTAL SRL,ILFOV,"Otopeni, str. I.G. Duca, nr.11A",0723/212091,B-0133,17.09.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELTROX SRL,ILFOV,"Buftea, str.Poenii, nr.7",0767/621766,A-9043,05.06.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"EPA ENERGY SOLUTIONS SRL
Autorizată ca:",ILFOV,"Sat Ștefăneștii de Jos, com. Ștefăneștii de Jos, str. Europa, nr. 8,
bl. M2, et. 4, ap. 405",0724505598,"B-6125
B-6027","19.03.2026
26.02.2026",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EPA BUILD & CLEAN SRL,,,,,,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"EPSILON TEAM SRL
Autorizată la:",ILFOV,"Sat Dudu, Comuna Chiajna, str. Rezervelor, nr. 72, bl.3,
et. 2, ap. 38, judeţul Ilfov
Popeşti Leordeni, str. Oituz, nr.92C, zona C, parter",0720/171954,"A-5388
A-4719","22.12.2015
19.03.2015",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EURO DESIGN ENGINEERING SRL,ILFOV,"Dudu, com. Chiajna, str. Rezervelor, nr. 64, bl. 2, ap. 20",0767160801,B-1716,18.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EUROSTAR ONE SRL,ILFOV,"Pantelimon, str. Sf. Pantelimon, nr.25",0722/565731,A-6571,20.12.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EUROTECH SOLUTION SRL,ILFOV,"Sat Roșu, comuna Chiajna, str. Crinului, nr.150",0748/139492,A-6656,30.01.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EVA STAFF SRL,ILFOV,"Voluntari, Drumul Bisericii, nr. 50, cam. 1, ap. I9",0769701005,B-3722,16.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EXCLUSIV TELECOM SRL,ILFOV,"Roșu, com. Chiajna, Intrarea Canalului, nr. 32, cam. 3",0727326783,B-2622,16.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EXE GREEN ENGINEERING SRL,ILFOV,"Voluntari, Șos. Pipera-Tunari, nr. 198B",0722241231,B-2167,16.12.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"EXE GREEN HOLDING SRL
Autorizată la:",ILFOV,"Sat Siloștea Snagovului, com. Gruiu, str. Antim Ivireanul,
parter, cam.1
Voluntari, Șos. Pipera-Tunari, nr.198B","0722241231
0742/103336","B-5441
A-6720","21.08.2025
23.02.2017",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EXPERT IMOB SOLUTIONS SRL,ILFOV,"Pantelimon, str. Mihai Viteazu, nr.2, birou nr.1",0726/444496,A-8449,27.09.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EXPERT SECURITY SOLUTIONS SRL,ILFOV,"Sat Dudu, comuna Chiajna, str. Rezervelor, nr.64. bl.1,
et.5, ap.102",0728/150883,A-5617,10.03.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FIMATECH SOFT SRL,ILFOV,"Otopeni, Str. Ciprian Porumbescu, nr. 17B",0728147697,B-2100,31.10.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FPS CONSULTING SRL,ILFOV,"Popești Leordeni, str. Biruinței, nr. 51-57, cam. 1, bl. 4, et.
5, ap. 74, Cod poștal 77160",0763612829,B-4474,11.11.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FRINGE SYSTEMS SRL,ILFOV,"Fundeni, com. Dobroești, Intrarea Cireșului, nr. 5, et. 3,
ap. 25",0762818818,B-2634,16.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FULBAC CONSTRUCT DESIGN SRL,ILFOV,"Sat Domnești, comuna Domnești, intrarea Valea cu Tei,
nr. 12, camera nr. 1",0723407444,B-0043,07.08.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GDA FACILITY SERVICES SRL,ILFOV,"Sat Domnești, comuna Domnești, Intr.Abnegației, nr.4",0371/403424,A-8656,20.12.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GECRIS TOTAL SRL,ILFOV,"Sat Cornetu, comuna Cornetu, str. Trandafirilor, nr.35,
parter",0744/613894,A-5886,20.05.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"GREEN SEAS INTERNATIONAL
MAINTENANCE SRL",ILFOV,"Sat Fundeni, comuna Gura Vitioarei, nr.87",0786/979926,B-0174,07.10.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GROUND UP SRL,ILFOV,"Tunari, Str. Paris, nr. 19, vila 8, etaj, cam. 9",0740100002,B-3650,03.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HAF PROJECT SRL,ILFOV,"Ștefăneștii de Jos, str. Linia de Centură, nr. 50, bl. H8, ap.
003",0374940449,B-4085,17.07.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HARD INSTAL CONSULTING SRL,ILFOV,"Voluntari, str. Popasului, nr.32",031/4304825,A-7307,10.08.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HELLO SECURITY SRL,ILFOV,"Bragadiru, str. Cireșar, nr.3-5, corp A, et.3, ap.8",0760/030303,A-9001,23.05.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HIGH-TECH CLIMA SA,ILFOV,"Oraș Popești Leordeni, Șos. Berceni, nr. 11, Hală
depozitare birouri P+2E, spații publice, anexe,
împrejmuire, totem și utilități",0212550320,B-2066,13.10.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
HIGH-TECH ENERGY SRL,ILFOV,"Comuna Ștefăneștii de Jos, str. Linia de Centură, nr. 50, bl.
N32, ap. 004",0724546441,B-5439,20.08.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"ICS NET ADVANCED TECHNOLOGY
SRL
Autorizat la:
ICS NET ADVANCED
TECHNOLOGY SRL
Autorizat ca:
ICS NET SRL","BUCUREŞTI
ILFOV
BUCUREŞTI","Str. Judeţului, nr.13, bl.18, sc.2, parter, ap.36, sector 2
Bragadiru, Șos. Alexandriei, nr.82, Clădirea C2, parter
camera 112
Str. Judeţului, nr.13, bl.18, sc.2, parter, ap.36, sector 2","021/2568052
0767/712397
021/2568052","B-1278
A-9849
A-4226","21.12.2021
27.05.2020
26.06.2014",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"IDEAL PROIECT ARCHITECTURE &
ENGINEERING SRL",ILFOV,"Sat Tunari, comuna Tunari, str. Balta Pasărea, nr.8-10,
parter, camera 1",0764/701500,A-5964,09.06.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ID SOL PROJECTS SRL,ILFOV,"Pantelimon, str. Buşteni, nr.8, camera nr.3",0757/105904,A-5737,04.04.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IMPACT PLUS CONCEPT SRL,ILFOV,"Bragadiru, Str. Crișul Repede, nr. 30B, casa C4, biroul nr.
1",0722578105,B-2056,11.10.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC IMTECH TECHNOLOGY SA
Autorizată ca",ILFOV,"Voluntari, Bd. Pipera, nr. 1/VI,(fostă Şoseaua Pipera –
Tunari), imobil Barba Center, Clădirea 1, et. 7",021/3101925,A-4155,12.05.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC IMTECH ARCONI SA
SC IMTECH ARCONI SA
Autorizată ca
ARCONI GRUP SA","ILFOV
BUCUREŞTI
BUCUREŞTI","Voluntari, Bd. Pipera, nr. 1/VI,(fostă Şoseaua Pipera –
Tunari), imobil Barba Center, Clădirea 1, et. 7
Str. Ion Brezoianu, nr.27, et.5,6, sector 1
Str.Ion Brezoianu, nr.27, et.5,6, sector 1","021/3101925
021/3101925
021/3101925","A-3959
A-1914
A-0983","21.02.2014
19.03.2012
18.05.2011",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INA SYSTEMS SRL,ILFOV,"Vidra, Str. Principală, nr. 88, cam. 1",0763088040,B-1702,13.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INOVATIT ELECTRIC SYSTEMS SRL,ILFOV,"Sat Fundeni, com.Dobroești, Intrarea Cireșului, nr.5, ap.39",0722/259592,B-0177,07.10.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"INSTALL SECURITY&SISTEMS
VIDEO SRL",ILFOV,"Vidra, str. Garii, nr. 107A",0723326379,B-4222,28.08.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"INTELLIGENT SOLUTION GROUP
SRL",ILFOV,"Voluntari, Str. Neajlov, nr. 1B, parter, cam. 1",0722203200,B-1671,09.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC IQ FACILITY REAL ESTATE SRL,ILFOV,"Sat Dragomireşti-Deal, com. Dragomireşti-Vale, lotul 4,
corp B, et.2, nr. Cadastral 1733/2-C1-U4",021/5297728,A-0474,23.11.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IQ SECURITY TEAM SRL,ILFOV,"Voluntari, Str. C-tin Brâncoveanu, nr.24E",0799/777337,B-0566,29.03.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
JOY SYSTEMS SRL,ILFOV,"Buftea, str. Studioului, nr. 2, bl. D, sc. A, et. 1, ap. 5",0764493637,B-5029,05.05.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"KNOWLEDGE & SMART SOLUTIONS
SRL
Autorizat la
KNOWLEDGE & SMART SOLUTIONS
SRL","ILFOV
ILFOV","Orașul Bragadiru, str. Dunării, nr. 146-148, bl. B1-01, et.
2, ap. 24
Sat Roșu, com. Chiajna, str.1 Decembrie 1918, nr.177B,
Mansardă, ap.5","0749/424361
0749/424361","A-7737
A-7269","06.02.2018
31.07.2017",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"LIFE SECURITY SRL
Autorizată la:",ILFOV,"Popeşti Leordeni, Șos. Olteniței, nr. 11B, bl. 3, et. 3, ap. 30
Glina, str. Puțului, nr. 12",0745177070,"B-5037
A-9754","06.05.2025
12.03.2020",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"LIVE SECURITY TECHNOLOGIES
SRL",ILFOV,"Sat Dudu, comuna Chiajna, str. Orhideelor, nr.35D",0723/076526,A-7042,22.05.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LOVISION CONTROL SRL,ILFOV,"Cornetu, Str. Aeroportului, nr. 45B",0774067031,B-3022,13.09.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LUCENDI GRUP SRL,ILFOV,"Voluntari, Str. Carpați, nr. 50",0745510967,B-4838,11.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"Autorizat ca:
LUCENDI FACILITY MANAGEMENT
SRL",,,0737562300,B-3324,04.01.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LVD GENERAL FIRE SRL,ILFOV,"Sat Dudu, comuna Chiajna, Str. Rezervelor, nr. 58C, cam.
1, bl. 2, et. 4, ap. 47",0756952752,B-2947,23.08.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"MARCA TELECOM SRL
Autorizat la:","ILFOV
BUCUREŞTI","Sat Ciolpani, com. Ciolpani, str. Lacului, nr. 28, cameră în
suprafață de 16 mp
Str. Alunişului, nr.152, sector 4","0724352257
021/2316836","B-4930
A-0124","25.03.2025
01.07.2010",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MARCHIS CONECT SRL,ILFOV,"Sat Dudu, Comuna Chiajna, str. Orhideelor, nr.13L, parter,
camera 1",0724/727212,A-9312,11.09.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MASTER GAZ SRL,ILFOV,"Bragadiru, Str. Alunului, nr. 19",0744666642,B-1694,12.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MENTECH INSTAL SRL,ILFOV,"Popeşti Leordeni, str. Sf. Andrei, nr.21B",0722/691592,A-3368,26.04.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"MERCURY SECURITY SOLUTIONS
SRL",ILFOV,"Otopeni, str. Câmpului, nr.17, cam.3, et.1",0761/989332,A-7088,08.06.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"MICROLOGIC TECHNOLOGIES SRL
Autorizat ca:
SC MICRO LOGIC SRL","ILFOV
VÂLCEA","Glina, Str. Sportului, nr. 11A, et. 1
Râmnicu Vâlcea, str.Republicii, nr.8, bl.S7, sc.A, ap.31",0371/181482,"B-3330
A-0571","04.01.2024
05.01.2011",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MIFA SYSTEMS SRL,ILFOV,"Bragadiru, str. Mărăcineni, nr.88, ap.4",0727/000939,A-3818,16.12.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MIRA ELECTRICAL SOLUTIONS SRL,ILFOV,"Berceni, str. Padurea Craiului, nr. 59T",0762215761,B-3267,28.11.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MSIM SERVICE TEAM SRL,ILFOV,"Dudu, com. Chiajna, Str. Tineretului, nr. 4, provizoriu,
cam. 1, mansarda, bl. 1, ap. 67",0735537355,B-3412,26.01.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MYRMIDON TECHNOSYSTEMS SA,ILFOV,"Otopeni, Str. Steaua Roșie, nr. 15B, corp B, cam. 1, et. 3,
ap. 14",0768105504,B-3156,20.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NEI GUARD SRL,ILFOV,"Voluntari, Şos. Erou Nicolae Iancu, nr.69-71, vila 27",021/3100098,A-2841,07.11.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NEW RZS SRL,ILFOV,"Bragadiru, str. Gliei, nr. 34-38, corp B",0730330225,B-5178,29.05.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NEW STAR PRODCOMIMPEX SRL,ILFOV,"Voluntari, str. Ștefan cel Mare, nr. 31, birou 1, parter",0725004004,A-9568,17.12.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NORTH FIRE SOLUTIONS SRL,ILFOV,"Bragadiru, Str. Răsăritului, nr. 2-4, cam. 10, parter",0725522697,B-3137,17.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
N PRO ADV SRL,ILFOV,"Popești-Leordeni, Șos. Olteniței, nr.14D bis, et.3, ap.26",0721/771713,B-1527,29.03.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ONLINE CONCEPT SRL,ILFOV,"Roșu, comuna Chiajna, str. Rezervelor, nr.66B, ap.28",0726812349,B-2893,04.08.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
OPAX PROTECTION SYSTEMS SRL,ILFOV,"Voluntari, str. Drumul Potcoavei, nr.63A, parter",0722/533253,A-3907,05.02.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
OPTIMUS IT SOLUTIONS SRL,ILFOV,"Bragadiru, str. Luceafărului, nr.24",0726/281751,A-2850,08.11.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
OXI DELTA SRL,ILFOV,"Otopeni, str. Tudor Vladimirescu, nr. 20A",0723808575,B-2652,31.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PAN-NET SRL,ILFOV,"Pantelimon, str. Sf. Gheorghe, nr. 38, cam.1, bl.N, sc.A,
et.1, ap. 15",0722631515,B-2463,23.03.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PEM EXPERT TEAM SRL,ILFOV,"Otopeni, Calea Bucureștilor, nr. 289, etaj, cam. 6",0745762373,B-2160,08.12.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
POWER OVER ETHERNET SRL,ILFOV,"Chitila, oraș Chitila, str. Mărului, nr. 14, ca. 1",0726832612,B-5372,18.07.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PREST SMART IT SERVICES SRL,ILFOV,"Sat Roșu, com. Chiajna, str. Weiner Palada, nr. 6B, cam. 1,
sc. E, et. 1, ap. 4",0745001374,B-5811,19.12.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRIME MIH CORPORATION SRL,ILFOV,"Oraș Popești Leordeni, Șos. Olteniței, nr. 181, cămin 3, ap.
3",0767743551,A-7931,03.04.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRIMESEC TECHNOLOGY SRL,ILFOV,"Oraș Bragadiru, str. Alunului, nr. 13-13A, camera nr. 14,
etaj 1, ap. 5",0765606707,A-8094,21.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"PROFESSIONAL TERMO SERVICE
SRL",ILFOV,"Jilava, com. Jilava, Șos. Giurgiului, nr. 33, bl. A3, sc. 1, et.
4,ap. 18",0729568220,B-5364,17.07.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"PROTECTION OBJECTIVES
PERSONS & INFORMATIONS SRL",ILFOV,"Voluntari, oraș Voluntari, str. Școlii, nr.40A, sc.2, et.1,
ap.32,",0213695854,A-7778,23.02.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"PRUVA CONSULTANCY SERVICES
SRL",ILFOV,"Ştefăneştii de Jos, str. Parcului, nr.1, Complex Rezidenţial
Cosmopolis, faza 1",021/3611741,A-5226,04.11.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC RENAULT TECHNOLOGIE
ROUMANIE SRL",ILFOV,"Oraş Voluntari, B-dul Pipera, nr.2/III, North Gate Business
Centre",021/2038652,A-1986,30.03.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ROMALARM DGV SRL,ILFOV,"Comuna Ciorogârla, Șos. București, nr.179",0745/032329,A-7469,11.10.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ROMPREST SECURITY SRL,ILFOV,"Oraş Otopeni, Calea Bucureştilor, nr.224E, incinta
Aeroport International „Henri Coandă” – Bucureşti,
clădirea REAB, parter, camera 13",021/2041990,A-1057,16.06.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ROMSECURITY SYSTEMS SRL,ILFOV,"Oraş Otopeni, str. Mărgăritarului, nr.12, bl.P51, sc.3, et.3,
ap.34",021/4230357,A-2389,02.07.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RSK TECHNIC SOCIETATE CU,ILFOV,"Tunari, com. Tunari, str. Ioan Slavici, nr. 51",0733222221,B-5518,12.09.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RASPUNDERE LIMITATĂ,,,,,,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RUAL SERVICES SRL,ILFOV,"Comuna Jilava, str. Verii, nr.12, corp C3",0734/717558,A-6641,10.01.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
S.S.G. FIRE&RESCUE SRL,ILFOV,"Popești Leordeni, str. Porumbacului, nr. 2 C, cam. 7, etaj 1",0743400500,A-8194,02.07.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SAFE SRL,ILFOV,"Oraş Măgurele, str. Atomiştilor, nr. 329",0788/312582,A-4408,01.10.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SBA TOTAL SMALL BUSINESS
ADVANCED SRL",ILFOV,"Sat Brănești, comuna Brănești, str. I.L. Caragiale, nr.10",0747/654747,B-0510,08.03.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SBT SECURITY SERVICE SRL,ILFOV,"Fundeni, com. Dobroești, Șos. Fundeni, nr. 180, et. 1",0771422224,B-2069,13.10.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SBT FACILITY SERVICE SRL,ILFOV,"Fundeni, com. Dobroiești, Șos. Fundeni, nr. 180, Terasa în
suprafață de 291,8 mp, et. 1,2",0771422224,B-3326,04.01.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SETSYS TECHNOLOGY SRL,ILFOV,"Sat Berceni, comuna Berceni, str.Lăcrămioarei, nr.43A,
tarla16, parcela 696/1 și 693",0762/630590,B-0527,17.03.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SEVA ELECTRIC SRL,ILFOV,"Bragadiru, Str. Crișul Repede, nr. 48, vila 7, parter",0745544966,B-2628,16.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SIS&IT SOLUTIONS SRL,ILFOV,"Oraş Popeşti Leordeni, str. Leordeni, nr. 94, clădirea C5,
et.3",0723/160123,A-4684,03.03.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SMART CONTROLS ENGINEERING
SRL",ILFOV,"Dudu, com. Chiajna, str. Toamnei, nr. 4B, et. 2, ap. 19",-,B-1740,30.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SOF INSTAL PROIECT SRL,ILFOV,"Popeşti-Leordeni, str. Astrelor, nr.12, parter",0773/379207,A-4964,02.07.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SPECTRUM TECHNOLOGY SRL,ILFOV,"Dârvari, com. Ciorogârla, Str. Adunați, nr. 42",0728188360,B-3394,19.01.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SPRINT TELECOM SRL
Autorizat la","BUCUREȘTI
ILFOV","București, Str. Cetatea Veche, nr. 2A, bl. 5, sc. 3, et. 1, ap.
34, sector 4
Popești-Leordeni, str. Amurgului, nr.51E, ap.2","0726326062
0736/657759","B-3272
A-7185","28.11.2023
06.07.2017",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SRA SECURITY SISTEM SRL,ILFOV,"Sat Jilava, comuna Jilava, str. Panselei, nr.18, camera 1",0765/243356,A-8597,29.11.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SMART SECURITY SERVICES SRL-D,ILFOV,"Sat Balotești, com. Balotești, Șos. Unirii, nr.21, bl.P1, sc.1,
parter, ap.3",0722/533565,B-1116,29.09.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"STOICA P FLOREA ÎNTREPRINDERE
INDIVIDUALĂ",ILFOV,"Sat. Căţelu, com. Glina, str. Libertăţii, nr.48",0732/101050,A-0176,30.07.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
STRAL BIG SRL,ILFOV,"Popeşti Leordeni, Str. Sf. Gheorghe, nr. 21, parter",0722346015,B-2364,20.02.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SUPER INSTAL SERV SRL,ILFOV,"Sat Fundeni, comuna Dobroeşti, str. Stufului, nr.8A",0723/621990,A-6230,17.08.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SWISS SECURITY SRL,ILFOV,"Pantelimon, B-dul Biruinţei, nr.85, subsol, cam.8",0722/560597,A-6160,25.07.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SYSTEGRA ENGINEERING SRL,ILFOV,"Voluntari, Str. Erou Iancu Nicolae, nr. 11-19, vila 21, cam.
2, et. 2",0318600610,B-2551,21.04.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"TECHNOLOGY INTELIGENCE HOME
CONFORT SRL",ILFOV,"Sat Petreşti, comuna Corbeanca, Tarlaua 74, Parcelele
A214/33, A214/32, A214/31 şi A214/31/1 cu acces prin
drum de servitute din D.E. 216",0784/366661,A-2788,24.10.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TERRA GAZ CONSTRUCT SRL,ILFOV,"Otopeni, Str. Ion Mihalache, nr.3",0317171711,B-3294,12.12.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TESSERACT ENERGY SRL,ILFOV,"Chitila, Intrarea A.I. Cuza, nr. 5A",0755596735,B-3187,30.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
THETA NETWORK SRL,ILFOV,"Sat Tunari, com. Tunari, str. Traian, nr. 12A, cam. 2",0724467239,B-5062,09.05.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"TOTAL FIRE SRL
Autorizată ca:
IP CONTROL SYSTEMS SRL","ILFOV
DÂMBOVIȚA","Popești Leordeni, str.Amurgului, nr.45G, corp.7,
constructia C7,
Str. Poet Grigore Alexandrescu, bloc E8, ap. Nr. 2,
Târgoviște, jud. Dâmbovița","0314208313
0740100002","A-7779
A-4492",23.02.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TOTAL ZONE SECURITY SRL,ILFOV,"Voluntari, Șos. Pipera Tunari, nr. 1/5, cam. 2, et.2, ap. 6",0730989837,B-4914,24.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
