company_name,cui,phone,phone_e164,sector,city,jobs,positions_total,source_date
RIPERGO DESIGNER S.R.L.,43063452,0748228455,+40748228455,Construcții / Instalații,UNIREA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",30,20260320
S.C. ARBOCON IMPEX SRL,15474746,0736077317,+40736077317,Construcții / Instalații,MOINESTI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2),20,20260319
FLORIDA GOLD SRL,31204469,0744183132,+40744183132,Construcții / Instalații,ALBA IULIA,MANIPULANT MARFURI(1) | ZIDAR PIETRAR(1),46,20260406
CONI SRL,1310859,0244531283,+40244531283,Construcții / Instalații,MANESTI,Conducător auto transport rutier de mărfuri(1),2,20260317
DAPAL CONCEPT BUILDING S.R.L.,40871801,0751242782,+40751242782,Construcții / Instalații,SIBIU,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(10),750,20260416
HYATT DEVELOPMENT 2011 SRL,28953180,0744488056,+40744488056,Construcții / Instalații,PITESTI,CONSILIER/EXPERT/INSPECTOR/REFERENT/ECONOMIST ÎN ECONOMIE GENERALA(1),19,20260323
UNIVERSAL BUILDING SERVICES SRL,36405714,0737941325,+40737941325,Construcții / Instalații,MUNICIPIUL CLUJ-NAPOCA,ZUGRAV(1) | ZIDAR ROSAR-TENCUITOR(3),297,20260416
DRISEL ELIAN DECOR S.R.L.,41710200,0742685705,+40742685705,Construcții / Instalații,BABADAG,"ZIDAR PIETRAR(3) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",76,20260323
CONSTRUCT DECOR IULI S.R.L.,45328475,0740152359,+40740152359,Construcții / Instalații,BABADAG,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",57,20260323
RATS PEX INVEST S.R.L.,38497668,075034975,+40075034975,Construcții / Instalații,CLUJ-NAPOCA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),228,20260416
DOD ELECTRIC SUD SRL,34870208,0769425656,+40769425656,Construcții / Instalații,BAILESTI,ELECTRICIAN DE ÎNTRETINERE SI REPARATII(5) | ELECTRICIAN ÎN CONSTRUCTII(5),220,20260324
DURABILD PROJECT S.R.L.,42962728,0752089995,+40752089995,Construcții / Instalații,SCHEIA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1) | ELECTRICIAN ÎN CONSTRUCTII(1)",161,20260416
S C TRIOCONOR CONSTRUCT SRL,26200959,0741987397,+40741987397,Construcții / Instalații,LUETA,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(4)",16,20260317
BUCOVINA DARIUS CONSTRUCT S.R.L.,40920769,0748206992,+40748206992,Construcții / Instalații,VATRA DORNEI,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",45,20260403
S.C. CRISANA PRO CONSTRUCT SA,7189366,0769026620,+40769026620,Construcții / Instalații,SALONTA,"INGINER CAI FERATE, DRUMURI SI PODURI(1) | MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(5) | Conducător auto transport rutier de mărfuri(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(5)",361,20260416
VIOSAB CONSTRUCT SRL,50462618,0763172414,+40763172414,Construcții / Instalații,RODNA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",24,20260325
CRAFT PROFILES SRL,52116882,0734159999,+40734159999,Construcții / Instalații,CONSTANTA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1),6,20260318
SC EAST COASTCONSTRUCTION AN,26513190,0767825404,+40767825404,Construcții / Instalații,MAIERU,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(20),600,20260327
LAC EDIL INSTAL SRL,41946651,0745092541,+40745092541,Construcții / Instalații,BUCURESTI SECTORUL 3,"INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",26,20260402
STEELECONFEX S.R.L.,43746838,0772229976,+40772229976,Construcții / Instalații,SATU MARE,LACATUS MECANIC(1),1,20260317
SC AP RESIDENCE DEVELOPMENT SR,43267614,0731838106,+40731838106,Construcții / Instalații,BUCURESTI SECTORUL 6,MUNCITOR ÎN TAIERI STRUCTURI CU SCULE DIAMANTATE(1),30,20260327
AQUAMAS INSTAL S.R.L.,52185483,0756250671,+40756250671,Construcții / Instalații,ARDUSAT,"INSTALATOR APA, CANAL(1)",8,20260319
TC AQUA INSTAL SRL,51988395,0749644815,+40749644815,Construcții / Instalații,ARDUSAT,"INSTALATOR APA, CANAL(1)",8,20260319
ELGIMAR ELECTRIC S.R.L.,45848265,0728314182,+40728314182,Construcții / Instalații,RAMNICU VALCEA,ELECTRICIAN ÎN CONSTRUCTII(2),146,20260416
SALDNAV STEEL S.R.L.,41806771,0742029985,+40742029985,Construcții / Instalații,MUNICIPIUL BRAILA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(4) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(2)",17,20260407
Instal Pro Terra,45042472,0723559496,+40723559496,Construcții / Instalații,DROBETA-TURNU SEVERIN,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(12),240,20260324
ORANGE CONSTRUCT SRL,18947741,0723617106,+40723617106,Construcții / Instalații,VOLUNTARI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",146,20260416
PRODUCTIE PRESTARI SERVICII COMERT AGER SRL,3975468,0267370461,+40267370461,Construcții / Instalații,INTORSURA BUZAULUI,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",40,20260401
SAIDEL ENGINEERING S.A.,28550667,0765777520,+40765777520,Construcții / Instalații,BUCURESTI SECTORUL 1,"MACARAGIU(6) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(10) | SUDOR(10) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(12) | MAISTRU CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(6)",1008,20260321
PAVIMONT SRL,37810499,0773843646,+40773843646,Construcții / Instalații,CRAIOVA,"MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(18) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(18) | ZIDAR PIETRAR(2) | SOFER DE AUTOTURISME SI CAMIONETE(18) | PAVATOR(18)",1258,20260323
INTECO HOLDING SRL,14989507,0745322698,+40745322698,Construcții / Instalații,SIRIA,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(2)",70,20260331
S.C.CONCAVIO SRL,39648939,0744282777,+40744282777,Construcții / Instalații,SIBIU,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",3,20260318
AXM RENOVATION SRL,52635928,0745764747,+40745764747,Construcții / Instalații,SINCAI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",29,20260327
A-Z UTILAJE METALI SRL,24365306,0722616161,+40722616161,Construcții / Instalații,CONSTANTA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",20,20260324
PATMAT CONSTRUCT SRL,51636089,0738027415,+40738027415,Construcții / Instalații,MUNICIPIUL VASLUI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",2,20260317
S.C. ERKAN TRADING S.R.L.,44454815,0730519148,+40730519148,Construcții / Instalații,BUCURESTI SECTORUL 5,ZIDAR ROSAR-TENCUITOR(2) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | ZIDAR ROSAR-TENCUITOR(5) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),271,20260415
ROM SERVICE STRUCTURI METALICE,6504724,0728523268,+40728523268,Construcții / Instalații,BUCURESTI SECTORUL 3,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA(1),20,20260324
PALREDO SEB SRL,37047126,0723515532,+40723515532,Construcții / Instalații,TULCEA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(4)",292,20260416
MAURER IMOBILIARE SIBIU SRL,31239866,0759029363,+40759029363,Construcții / Instalații,SELIMBAR,SCHELAR(1),73,20260416
ECO GIORGIO SRL,20358802,0749571061,+40749571061,Construcții / Instalații,SEBESEL,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",22,20260320
SC KESZ CONSTRUCTII ROMANIA SRL,35753257,0733770133,+40733770133,Construcții / Instalații,CLUJ-NAPOCA,"INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1) | ELECTRICIAN ÎN CONSTRUCTII(2)",40,20260331
EURO CONSTRUCT TRADING 98,10742031,0736340231,+40736340231,Construcții / Instalații,BOD,INGINER TOPOGRAF(2),6,20260318
GLOBALSERV ELIN S.R.L.,35310802,0763634208,+40763634208,Construcții / Instalații,DRAGASANI,LACATUS MECANIC(1),20,20260324
SAFESTEEL S.R.L.,31306043,0230215300,+40230215300,Construcții / Instalații,SUCEAVA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1),20,20260324
BLOCART SRL,52163990,0733278437,+40733278437,Construcții / Instalații,ODOBESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",70,20260415
SC BS RECYCLING SRL,27965631,0728128662,+40728128662,Construcții / Instalații,CLUJ-NAPOCA,MECANIC UTILAJ(2) | EXCAVATORIST PENTRU EXCAVATOARE CU ROTOR DE MARE CAPACITATE(15) | SEF DEPARTAMENT(2),117,20260403
ALFA DELTA GDP DESIGN SRL,45936227,0724786361,+40724786361,Construcții / Instalații,CALARASI,ELECTRICIAN ÎN CONSTRUCTII(2),68,20260331
TUMA VEBO SRL,37228114,0722217240,+40722217240,Construcții / Instalații,OLTENITA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1) | SUDOR(1) | LACATUS CONSTRUCTII METALICE SI NAVALE(1)",138,20260416
SC MAMAIA NORD CONSTRUCT MFM SRL,51552425,0730746514,+40730746514,Construcții / Instalații,MUNICIPIUL CONSTANTA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(50) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(100)",1900,20260416
COSMINUTZA DECO SRL,30869790,0748194945,+40748194945,Construcții / Instalații,DROBETA-TURNU SEVERIN,UCENIC(4) | ELECTRICIAN ÎN CONSTRUCTII(1),212,20260416
SC MAREXACAVATI SRL,46567322,0230231100,+40230231100,Construcții / Instalații,GEMENEA,Conducător auto transport rutier de mărfuri(1),19,20260324
DAIURA COM SRL,18795023,0764328690,+40764328690,Construcții / Instalații,HUSI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",35,20260410
DUMEXIM SRL,16057895,0725117673,+40725117673,Construcții / Instalații,ORADEA,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(12) | MANAGER AL SISTEMELOR DE MANAGEMENT AL CALITATII(1) | SPECIALIST ÎN DOMENIUL SECURITATII SI SANATATII ÎN MUNCA(1) | INGINER GEODEZ(1) | ELECTRICIAN AUTO(2),1231,20260416
OSALMA,52738575,0752064885,+40752064885,Construcții / Instalații,IGHIEL,"CONSULTANT ÎN MANAGEMENT(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | ALTI MUNCITORI ÎN SERVICII PENTRU CURATENIE(1) | SPECIALIST MARKETING(1)",67,20260327
GEIGER TRANSILVANIA SRL,8844358,0742043440,+40742043440,Construcții / Instalații,CRISTESTI,"INGINER CAI FERATE, DRUMURI SI PODURI(1)",34,20260331
ROMCONSTRUCT SA,1348098,0745038550,+40745038550,Construcții / Instalații,PLOIESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",8,20260318
REGAL PLAST SRL,33052316,0748800788,+40748800788,Construcții / Instalații,PASCANI,ZIDAR ROSAR-TENCUITOR(1),12,20260320
S.C. FOMCO SOLAR SOLUTIONS S.R,46855317,0749111848,+40749111848,Construcții / Instalații,CRISTESTI,CONSTRUCTOR-MONTATOR DE STRUCTURI METALICE(5),220,20260403
AGASI SRL,1819748,0256495395,+40256495395,Construcții / Instalații,TIMISOARA,INSTALATOR RETELE TERMICE SI SANITARE(3) | INSTALATOR RETELE TERMICE SI SANITARE(2) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(3) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(2) | SUDOR(3),724,20260416
SC ROMCONSTRUCT GROUP SRL,19123756,0745038550,+40745038550,Construcții / Instalații,PLOIESTI,"TEHNICIAN DEVIZE SI MASURATORI ÎN CONSTRUCTII(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",4,20260416
BAT MEDIAS SA,2580508,0269/843004,+40269843004,Construcții / Instalații,MEDIAS,CONSILIER/EXPERT/INSPECTOR/REFERENT/ECONOMIST ÎN ECONOMIE GENERALA(1) | INGINER PETROLIST(1),27,20260330
IMPACT COFRAJ SRL,52401927,0769253617,+40769253617,Construcții / Instalații,SANGEORZ-BAI,"MANAGER DE INTREPRINDERE SOCIALA(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4) | MAGAZINER(1)",72,20260330
Sanitech instal,52233262,0752582840,+40752582840,Construcții / Instalații,VICTORIA,UCENIC(2) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(1),90,20260331
GÜN AL MADENCILIK INȘAAT NAKLIYE SANAYI VE TICARET ANONIM ȘIRKETI ANKARA SUCURSALA CONSTANTA,45874841,0721599864,+40721599864,Construcții / Instalații,CONSTANTA,DULGHER (EXCLUSIV RESTAURATOR)(80) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(80) | ZIDAR ROSAR-TENCUITOR(80) | FIERAR BETONIST(80),10560,20260331
HORIZONT PROJECT 2D S.R.L.,40405836,0747974371,+40747974371,Construcții / Instalații,ZALAU,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(25) | DULGHER (EXCLUSIV RESTAURATOR)(35) | FIERAR BETONIST(20) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",3459,20260410
S.C. TODERICA SOLUTIONS S.RL,37170543,0786522415,+40786522415,Construcții / Instalații,BUCURESTI SECTORUL 1,"FEMEIE DE SERVICIU(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",48,20260407
SC FRASINUL SRL,12337680,0725409054,+40725409054,Construcții / Instalații,ANIES,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(12)",204,20260324
MEMO AND ANCA S.R.L.,40343342,0721629484,+40721629484,Construcții / Instalații,ROVINA,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1) | SAPATOR MANUAL(1),15,20260401
VEON TECHNIC CONSTRUCTION,44680715,0734907604,+40734907604,Construcții / Instalații,CONSTANTA,MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(5),100,20260325
ACOMONTSERV SRL,27196341,0743043837,+40743043837,Construcții / Instalații,COMARNIC,"ACOPERITOR-ÎNVELITOR TIGLA, AZBOCIMENT, TABLA(5) | AGENT DE VÂNZARI(2)",490,20260416
ALESANT INSTAL S.R.L.,45582367,0722559951,+40722559951,Construcții / Instalații,BUCURESTI SECTORUL 1,FAIANTAR(25) | ZUGRAV(25) | MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(25) | FINISOR TERASAMENTE(25) | FIERAR BETONIST(25),3900,20260325
ELECTROMONTAJ SA BUCURESTI SUCURSALA BACAU,4525753,0722710356,+40722710356,Construcții / Instalații,MUNICIPIUL BACAU,ELECTRICIAN VERIFICARI SI MASURATORI ELECTRICE ÎN CENTRALE SI RETELE ELECTRICE(5),100,20260325
JZ UTILITYCONST S.R.L.,45633576,0769237130,+40769237130,Construcții / Instalații,BOGHIS,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(3),210,20260416
LASZLO ALEXANDRU-IOAN PFA,42493605,0756469070,+40756469070,Construcții / Instalații,CAMPIA TURZII,MASINIST LA INSTALATIILE DE PREPARAT SI TURNAT BETON SI MIXTURI ASFALTICE(1),18,20260325
SUN AQUA SRL,32105455,0766448772,+40766448772,Construcții / Instalații,ALBA IULIA,FEMEIE DE SERVICIU(1),20,20260325
Fima BC SRL,49783860,0762087535,+40762087535,Construcții / Instalații,BUCURESTI SECTORUL 2,SUDOR(4),92,20260326
PROLUNI STRUCTURI S.R.L.,33976902,742197591,+40742197591,Construcții / Instalații,MALU MARE,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",30,20260320
S.C.  RIGIPS  CONSIMPEX  S.R.L.,5934618,0744602495,+40744602495,Construcții / Instalații,MUNICIPIUL TARGU MURES,ASISTENT MANAGER(1),32,20260331
EURO T.D.C. SRL,1631174,0236411122,+40236411122,Construcții / Instalații,GALATI,DIRECTOR ECONOMIC(1),3,20260319
aegeanrom foundation engineering,44972124,0748 754 921,+40748754921,Construcții / Instalații,CHIAJNA,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(10)",200,20260325
HIROS - ROM SRL,11508641,0744559397,+40744559397,Construcții / Instalații,FLORESTI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(4) | BETONIST(1) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(6) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2),353,20260416
CBS GENERAL ARHITECTONIC SRL,28686651,0728533529,+40728533529,Construcții / Instalații,SLATINA,LACATUS MECANIC DE ÎNTRETINERE SI REPARATII UNIVERSALE(1),20,20260325
ADVANCE TEAM DEVELOPER S.R.L.,40834331,0723920896,+40723920896,Construcții / Instalații,ORAS OTOPENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",20,20260325
DEBIT - METALPROCES SRL,18977629,0766950980,+40766950980,Construcții / Instalații,FILIPESTII DE PADURE,LACATUS MECANIC(1) | SUDOR(2) | STRUNGAR UNIVERSAL(1),13,20260325
A.C. IDEAL TRUST SRL,28042014,0751139950,+40751139950,Construcții / Instalații,IASI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",6,20260318
INTERMED ASITRANS SRL,36055864,0751242782,+40751242782,Construcții / Instalații,SIBIU,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(10) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(7) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),408,20260415
ARIA BETUL S.R.L.,39062351,0792618340,+40792618340,Construcții / Instalații,MANGALIA,FIERAR BETONIST(6) | ZUGRAV(5) | FEMEIE DE SERVICIU(5) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(20),720,20260325
SC GHERASIM INFRA SRL,42243447,0744606962,+40744606962,Construcții / Instalații,FRATAUTII VECHI,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(1)",31,20260331
EDIMPEX SRL,3800083,0763388883,+40763388883,Construcții / Instalații,GANESTI,LUCRATOR GESTIONAR(1),36,20260401
RENOVARI SI AMANAJARI PRO SRL,51844063,0765866104,+40765866104,Construcții / Instalații,TARGU JIU,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1),50,20260402
COSADI CONSULT SRL,38081711,0741622258,+40741622258,Construcții / Instalații,LETEA VECHE,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",96,20260401
PAS INSTAL,7345910,0752 011 166,+40752011166,Construcții / Instalații,BUCURESTI SECTORUL 4,ELECTRICIAN ÎN CONSTRUCTII(1) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(2) | SUDOR(1),146,20260402
TUDOR VLAD RESIDENCE SRL,43891811,0758307065,+40758307065,Construcții / Instalații,MUNICIPIUL VASLUI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(4) | DULGHER (EXCLUSIV RESTAURATOR)(1) | INGINER ELECTRICIAN(1),379,20260416
SC BETON FLUX SRL,52630084,0753849297,+40753849297,Construcții / Instalații,BISTRITA,MASINIST LA INSTALATIILE DE PREPARAT SI TURNAT BETON SI MIXTURI ASFALTICE(10) | MANAGER DE INTREPRINDERE SOCIALA(2) | AGENT SERVICII CLIENT(1),386,20260410
S.C. BATIZ S.R.L.,15396230,0744607520,+40744607520,Construcții / Instalații,REGHIN,MERCEOLOG(1),3,20260319
MARIO CREW SRL,26089096,0727727043,+40727727043,Construcții / Instalații,TUNARI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2),38,20260325
S.C. GAVMAR BUILDING S.R.L.,43989357,0775360169,+40775360169,Construcții / Instalații,CRAIOVA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15)",285,20260325
SC ROSENA COMPANY SRL,52199527,0728075978,+40728075978,Construcții / Instalații,MUNICIPIUL GALATI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",69,20260416
GRUP IVAN CONSTRUCT S.R.L.,47593176,0760917198,+40760917198,Construcții / Instalații,IVESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(8) | OPERATOR SUDARE TEVI SI FITINGURI DIN POLIETILENA DE ÎNALTA DENSITATE PEHD(1) | ZUGRAV(1)",17,20260327
LINEST GRUP SRL,26653860,0742224310,+40742224310,Construcții / Instalații,OLTENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(20)",1380,20260416
WENTMAR TENCUIELI SRL,36633003,0724770777,+40724770777,Construcții / Instalații,TODERITA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",31,20260331
OVIX INSTAL S.R.L.,14896874,0724283944,+40724283944,Construcții / Instalații,VALEA DOFTANEI,LUCRATOR COMERCIAL(1),7,20260320
ROLKER PROD COM SRL,5753204,0739849991,+40739849991,Construcții / Instalații,MUNICIPIUL ORADEA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",30,20260331
