company_name,cui,phone,phone_e164,email,sector,city,jobs,positions_total,source_date
TUB INSTAL PROIECT S.R.L,23700186,0727587960,+40727587960,catitaftur@yahoo.com,Construcții / Instalații,POPESTI-LEORDENI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),95,20260326
FLUID DEVELOPMENT SRL,16310296,0726804027,+40726804027,office@fluiddevelopment.ro,Construcții / Instalații,CONSTANTA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(2)",82,20260403
FORTIS ECHIPAMENTE S.R.L.,41980947,0758063969,+40758063969,sorin.padurariu@fortisplus.ro,Construcții / Instalații,SIBIU,LACATUS-MONTATOR(3),108,20260402
TERMO MOB CONSTR SRL,22738670,0784956052,+40784956052,termo_mob_constr@yahoo.com,Construcții / Instalații,COGEALAC,DULGHER (EXCLUSIV RESTAURATOR)(3),63,20260327
Art Mim Floor,52509970,0740869526,+40740869526,iuli_s2004@yahoo.com,Construcții / Instalații,BACAU,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",24,20260330
S.C KOSTEA CONCEPT FOOD SRL,38998669,0723523309,+40723523309,andrei.iaver@yahoo.com,Construcții / Instalații,CHIAJNA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(30)",600,20260327
CONFORT TERMO EXPERT SRL,52976895,0742478112,+40742478112,conforttermoexpert@yahoo.com,Construcții / Instalații,TARGU MURES,"TEHNICIAN ELECTROENERGETICIAN, TERMOENERGETICIAN(1)",4,20260323
PRIMER ELECTRO SRL,5122220,0758222216,+40758222216,hr@centrudesticla.ro,Construcții / Instalații,LIVEZENI,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",124,20260416
AME EXPERT CONSTRUCT SRL,51977833,0773917305,+40773917305,ame.expertconstruct@gmail.com,Construcții / Instalații,FAGARAS,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(1) | CONTABIL(1) | FIERAR BETONIST(1)",186,20260416
CONMET TRADE SRL,25920722,0243230110,+40243230110,mihaela@conmet.com.ro,Construcții / Instalații,SLOBOZIA,SUDOR(1),62,20260416
Smart Electric ART,44064855,0734945909,+40734945909,seaconstruct23@yahoo.com,Construcții / Instalații,UILEACU DE MUNTE,"ZUGRAV(1) | FAIANTAR(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",174,20260416
CONSTRUCTII SOLIDARE SRL,52179880,0744309683,+40744309683,alina.vladia@yahoo.com,Construcții / Instalații,MUNICIPIUL RESITA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",9,20260324
SYLC CON TRANS SRL,16356935,0257289650,+40257289650,m8027915@gmail.com,Construcții / Instalații,ARAD,"MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1) | INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1)",13,20260401
URBAN HOME DEVELOPMENT SRL,34943660,+40 721 049 209,+40721049209,facturare@urban-home.ro,Construcții / Instalații,BUCURESTI SECTORUL 1,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(6)",108,20260327
PAVILION GRUP SRL,26771971,0723400403,+40723400403,silviurazvanavram@gmail.com,Construcții / Instalații,CARANSEBES,EXCAVATORIST PENTRU EXCAVATOARE CU ROTOR DE MARE CAPACITATE(1) | FEMEIE DE SERVICIU(1),42,20260406
HERMANNSTADT DESIGN & CONSTRUCT SRL,2236859,0740170001,+40740170001,OFFICE@ROPIC.RO,Construcții / Instalații,SIBIU,IPSOSAR (EXCLUSIV RESTAURATOR)(2) | FAIANTAR(2) | PARCHETAR(2) | ZUGRAV(2),144,20260327
ASERMAN SHIP SRL,17882245,0754630001,+40754630001,aserman.ship@yahoo.com,Construcții / Instalații,BRAILA,SUDOR GEOMEMBRANA(15) | LACATUS LA PRELUCRAREA SI ÎNDREPTAREA TEVILOR GHINTUITE(15),510,20260327
ARES REALTY AND DEVELOPMENT SRL,21818003,0730603102,+40730603102,office@aresconstructii.ro,Construcții / Instalații,CLUJ-NAPOCA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(50)",3050,20260416
DONŢU CONSTRUCT SRL,28631788,0785500018,+40785500018,sendidontu@gmail.com,Construcții / Instalații,CISMELE,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(3)",15,20260323
INSTAL IMPULS S.R.L.,30459596,0733017450,+40733017450,xplaygroundsibiu@gamil.com,Construcții / Instalații,SIBIU,SUDOR(20) | MASINIST LA MASINI CALE MECANIZARE USOARA SI GREA(20) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(20) | ELECTRICIAN ÎN CONSTRUCTII(5) | MANIPULANT MARFURI(50),9640,20260416
SZABI ATTI CONSTRUCTII SRL,42675488,0768004717,+40768004717,szabiattisrl@gmail.com,Construcții / Instalații,CADEA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",17,20260327
COFRAJE SI STRUCTURI DUMITRU S.R.L.,41122536,0729023401,+40729023401,maria_dorinalup@yahoo.com,Construcții / Instalații,NEPOS,FINISOR TERASAMENTE(3),27,20260325
DITO GROUP SRL,19074416,0770377510,+40770377510,recrutare@dito-group.ro,Construcții / Instalații,ORADEA,REPREZENTANT COMERCIAL(1),61,20260416
AQUAL DESIGN SRL,51155360,0766875317,+40766875317,VGAPRINT22@GMAIL.COM,Construcții / Instalații,BRAGADIRU,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(12) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(5) | FEMEIE DE SERVICIU(4) | AGENT DE VÂNZARI(4) | MANAGER(2)",372,20260403
LOIAL IMPEX SRL,3176126,0230526800,+40230526800,office@loial.ro,Construcții / Instalații,SCHEIA,SUDOR(1) | ELECTROMECANIC AUTOMATIZARI SI TELECOMUNICATII(1),6,20260323
B_HALLEN S.R.L.,37588997,0725585000,+40725585000,ACTE@CONION.RO,Construcții / Instalații,PERICEI,"OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1)",3,20260323
BUILDING GENERAL CONSTRUCT S.R.L.,41115962,0748225452,+40748225452,buildinggeneralconstruct@yahoo.com,Construcții / Instalații,BAICOI,"ZIDAR ROSAR-TENCUITOR(3) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(13) | FIERAR BETONIST(8) | MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(15) | DULGHER RESTAURATOR(3)",630,20260327
WLADY INVEST DEVELOPMENT S.R.L.,46618515,0748225452,+40748225452,wladyinvest@yahoo.com,Construcții / Instalații,FLORESTI,"ZIDAR ROSAR-TENCUITOR(3) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(6) | FIERAR BETONIST(4) | MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(5) | DULGHER RESTAURATOR(2)",280,20260327
placari lux s.r.l.,49465025,0759912953,+40759912953,office@workforceexpert.ro,Construcții / Instalații,BUCURESTI SECTORUL 4,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(20),320,20260327
TBM INNOVATION STEEL SRL,31554740,-,,tbm_ro@yahoo.com,Construcții / Instalații,PITESTI,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2),32,20260327
RUSCAT CONS SRL,50417510,0748225452,+40748225452,ruscatcons@yahoo.com,Construcții / Instalații,ORAS PLOPENI,"ZIDAR ROSAR-TENCUITOR(5) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(12) | FIERAR BETONIST(4) | MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(5) | DULGHER RESTAURATOR(3)",448,20260327
LAUR TETRIS METAL S.R.L.,40543413,0759536449,+40759536449,alma.valrom32@outlook.com,Construcții / Instalații,BUCURESTI SECTORUL 4,"SUDOR(12) | LACATUS CONSTRUCTII METALICE SI NAVALE(12) | MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(12)",576,20260327
SC TERAPONT SRL,15478845,0744708847,+40744708847,mihaela_tita2014@yahoo.com,Construcții / Instalații,RAMNICU VALCEA,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(2) | MECANIC AUTO(1)",48,20260327
TRIANGULAR FACADE SYSTEMS,47151336,0727369670,+40727369670,maricalisir@yahoo.com,Construcții / Instalații,CONSTANTA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(30)",570,20260330
AVER TRUST S.R.L.,47208092,0720804868,+40720804868,office@hproiect.ro,Construcții / Instalații,BUCURESTI SECTORUL 1,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(15),480,20260403
TRADING GOLD CONSTRUCT SRL,32379086,0745108284,+40745108284,tradinggoldconstruct@gmail.com,Construcții / Instalații,TARGU FRUMOS,LACATUS MECANIC(2) | DULGHER (EXCLUSIV RESTAURATOR)(2) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(2),54,20260325
HOMEL SRL,48105125,0722725685,+40722725685,almajanu_catalina@yahoo.com,Construcții / Instalații,BUCURESTI SECTORUL 2,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15)",270,20260330
NEW STRUCTURAL BUILDING BUSINESS S.R.L.,48265754,0720554495,+40720554495,ALMAJANU_CATALINA@YAHOO.COM,Construcții / Instalații,ORAS VOLUNTARI,"SAPATOR MANUAL(10) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(10) | MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(10)",630,20260331
LEONARDO BROKER GROUP CONSTRUCT S.R.L.,31032835,0741/041032,+40741041032,leontinciobanu@gmail.com,Construcții / Instalații,MARGINENI-SLOBOZIA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | ZIDAR ROSAR-TENCUITOR(1)",156,20260415
MATI COM SRL,3826610,0729536701/0745536701,0729536701/0745536701,constantin_matei_bt@yahoo.com,Construcții / Instalații,VARFU CAMPULUI,DULGHER (EXCLUSIV RESTAURATOR)(3) | ZIDAR ROSAR-TENCUITOR(3),354,20260416
HINCON PROJECTS S.R.L.,44259415,0747586451,+40747586451,garbovan.ioan@yahoo.com,Construcții / Instalații,LUNA DE SUS,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(18),324,20260330
DEPCEA CONSTRUCT S.R.L.,47504454,0736358252,+40736358252,depceac@yahoo.com,Construcții / Instalații,ROMOS,CONDUCATOR ÎNTREPRINDERE MICA – PATRON (GIRANT) ÎN CONSTRUCTII(1),21,20260331
DaS Construct Contracting,46194428,0750400431,+40750400431,dasconstruct@outlook.com,Construcții / Instalații,STANCENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(11)",473,20260409
BUGA TEAM ATS SOLUTIONS S.R.L.,44054177,0720442905,+40720442905,bugateamatssolutions@gmail.com,Construcții / Instalații,CORMAIA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(2),33,20260408
MERIDIAN TRANSCONSTRUCT S.R.L.,41449237,0723400646,+40723400646,marta70fil@yahoo.com,Construcții / Instalații,PETROSANI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4)",172,20260409
HASIT ROMANIA SRL,13018697,0732014540,+40732014540,aurica.toma@hasit.ro,Construcții / Instalații,TURDA,OPERATOR FABRICATIE FLUX(1),58,20260416
BALASZ GATER SRL,19671430,0731954885,+40731954885,scbalaszgater@yahoo.com,Construcții / Instalații,CURTUISENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",42,20260416
RAZVIRA CONSTRUCT SRL,16554169,0751807391,+40751807391,astaneata@yahoo.com,Construcții / Instalații,MOROENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",28,20260327
TERAINFO SRL,16527016,0744654454,+40744654454,anemar005@yahoo.com,Construcții / Instalații,ALBA IULIA,MUNCITOR NECALIFICAT ÎN INDUSTRIA CONFECTIILOR(15),465,20260403
ZAROM DESIGN SRL,18722870,0765463523,+40765463523,zaromdesign@gmail.com,Construcții / Instalații,TARGU JIU,ELECTROMECANIC(1),58,20260416
S.C. INSTALTEK PROJECT SRL,42936125,0745014066,+40745014066,contabilitate@instaltek.ro,Construcții / Instalații,BUCURESTI SECTORUL 1,PROIECTANT INGINER INSTALATII(1),21,20260401
BRIGBARACO SRL,37130786,0742683474,+40742683474,baracom2017@gmail.com,Construcții / Instalații,ORADEA,GESTIONAR DEPOZIT(1) | TEHNICIAN CONSTRUCTOR(1),27,20260327
S.C. MS INTERPROIECT ENGINEERI,29376870,0724037301,+40724037301,financiar@msinterproiect.ro,Construcții / Instalații,BUCURESTI SECTORUL 3,SUDOR(30) | LACATUS MECANIC(24),3132,20260416
DOCTOR TENCO PROOF SRL,38896871,0754395852,+40754395852,totallexconsulting@gmail.com,Construcții / Instalații,CHIAJNA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4)",56,20260327
ALMEK DESIGN SOCIETATE CU RASPUNDERE LIMITATĂ,30462184,0743041090,+40743041090,almekcasedinlemn@gmail.com,Construcții / Instalații,VLADESTI,ADMINISTRATOR SOCIETATE COMERCIALA(1),8,20260325
SIP HOUSE SRL,52195118,0752337792,+40752337792,cristinaszatmari@yahoo.com,Construcții / Instalații,HUNEDOARA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",3,20260324
SEMAROM CONSTUCTII CIVILE SRL,41032735,0770960060,+40770960060,OFFICE@INTERNATIONALRHR.RO,Construcții / Instalații,BUCURESTI SECTORUL 3,"MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(40) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(10)",850,20260330
AMARILLO SRL,12824260,744691393,+40744691393,banyasz.lehel@gmail.com,Construcții / Instalații,GHEORGHENI,ELECTRICIAN ÎN CONSTRUCTII(1),6,20260325
CON V,16218355,0728287643,+40728287643,conv_rusu@yahoo.com,Construcții / Instalații,MUNICIPIUL CLUJ-NAPOCA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(5),285,20260416
HELP TRANS SRL,3759685,0744607924,+40744607924,helptransro@yahoo.com,Construcții / Instalații,ORAVITA,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1) | AJUTOR BUCATAR(1)",16,20260409
ABC CONTROL SRL,29686854,0729113637,+40729113637,office@abccontrol.ro,Construcții / Instalații,BUCURESTI SECTORUL 3,AGENT DE VÂNZARI(1),24,20260401
DEEA PLAN PROFESIONAL S.R.L.,39525847,0723565112,+40723565112,ionut.slodoneanu@gmail.com,Construcții / Instalații,SNAGOV,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(8)",128,20260330
BETY SOMAR GROUP SRL,25234821,0747/270112,+40747270112,acte2022.office@gmail.com,Construcții / Instalații,2 MAI,UCENIC(50) | VOPSITOR(50),5700,20260416
FINILUX DECOR SRL,24497340,0756831807,+40756831807,finiluxoffice@gmail.com,Construcții / Instalații,IASI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(5) | MUNCITOR NECALIFICAT ÎN METALURGIE(4) | SEF ECHIPA SPECIALIZATA(1)",25,20260416
SC K&R CONSTRUCTOR SRL,48552697,0741108908,+40741108908,nicoaranelu10@gmail.com,Construcții / Instalații,SIBIU,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",16,20260330
TRANSELCOM SRL,6354414,0724173180,+40724173180,office@transelcom.ro,Construcții / Instalații,EFORIE NORD,FEMEIE DE SERVICIU(1) | MECANIC AUTO(1),63,20260416
SC TEHNO FLUID SOLUTIONS SRL,30815448,0746929128,+40746929128,ramona.grigorescu@tehnofluidsolutions.ro,Construcții / Instalații,PITESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",186,20260416
FEROX SRL,59423,0722375652,+40722375652,csabi@ferox.ro,Construcții / Instalații,ORADEA,MAISTRU ENERGETICIAN/ELECTRICIAN(1),57,20260416
NAVARYS SRL,17113284,0744302772,+40744302772,navarys2005@gmail.com,Construcții / Instalații,SIC,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",2,20260324
FARAG BUILDING,46479123,0762257308,+40762257308,petrutaiuzic@yahoo.com,Construcții / Instalații,BUCURESTI SECTORUL 4,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15) | ZUGRAV(15)",480,20260330
AURICA SI OVIDIU SRL,34247316,0721246766,+40721246766,iony_33@yahoo.com,Construcții / Instalații,CORBII MARI,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1),16,20260330
HOUSE EDILE SRL,53787479,0775231457,+40775231457,ionut.bilasco.1990@gmail.com,Construcții / Instalații,ALBA IULIA,"INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(1) | TEHNICIAN CONSTRUCTOR(1)",48,20260401
SEMA EXPERT BUILDINGS SRL,37982648,0770960060,+40770960060,OFFICE@INTERNATIONALRHR.RO,Construcții / Instalații,CIOROGARLA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(40),640,20260330
EMAAR CEL SRL,44965607,0725542478,+40725542478,daclim.ramona@gmail.com,Construcții / Instalații,ORAS POPESTI-LEORDENI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(5)",285,20260416
BD INTERSECT SRL,46534686,0761397732,+40761397732,consultanta.proiectare@yahoo.com,Construcții / Instalații,BUCURESTI SECTORUL 2,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(20)",320,20260330
MASTIC ROST SRL,52748951,0766448772,+40766448772,masticrost@yahoo.com,Construcții / Instalații,CIUGUD,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(4)",64,20260330
CATALONIC SRL,52748943,0766448772,+40766448772,catalonicsrl@yahoo.com,Construcții / Instalații,CIUGUD,"ASISTENT MANAGER(1) | OPERATOR INTRODUCERE, VALIDARE SI PRELUCRARE DATE(1) | GESTIONAR DEPOZIT(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",64,20260330
PHOENIX  PROD SRL,10089898,0242331505,+40242331505,phoenixprod@yahoo.com,Construcții / Instalații,CALARASI,ZIDAR PIETRAR(2) | INSTALATOR RETELE TERMICE SI SANITARE(1) | ELECTRICIAN ÎN CONSTRUCTII(1) | MONTATOR PERETI SI PLAFOANE DIN GHIPS-CARTON(2),342,20260416
SAN CONSTRUCT ALBA SRL,52757046,0766448772,+40766448772,sanconstructalba@yahoo.com,Construcții / Instalații,STREMT,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(4)",64,20260330
TERRA MYN SRL,52767988,0766448772,+40766448772,terramyn@yahoo.com,Construcții / Instalații,METES,"INGINER GEODEZ(1) | MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(3)",64,20260330
TIPAR VISION SRL,48189177,0725905750,+40725905750,petramatdesignsrl@gmail.com,Construcții / Instalații,BEIUS,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(2),36,20260331
DEVIA TRANS SRL,37061155,0722509085,+40722509085,deviatrans@yahoo.com,Construcții / Instalații,VALCELELE BUNE,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE(1)",18,20260331
BERKECZICONSTRUCT S.R.L.,42913172,0747304371,+40747304371,berkecziconstruct@yahoo.com,Construcții / Instalații,DEALU,ZIDAR ROSAR-TENCUITOR(1),18,20260331
MITIFER IULIPROF SOLUTION SRL,43542366,0772045103,+40772045103,marmureanu.office@yahoo.com,Construcții / Instalații,COROD,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1),12,20260327
OPTIM INSTAL GAZ AO SRL,43718200,0741406289,+40741406289,optimgazinstal@yahoo.com,Construcții / Instalații,VALEA ADANCA,INGINER INSTALATII PENTRU CONSTRUCTII(1),2,20260324
CIUTACONS KV S.R.L.,30058454,0726441993,+40726441993,mhlapetrei@yahoo.com,Construcții / Instalații,MUNICIPIUL BUCURESTI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(5)",85,20260331
REGTIV CONSTRUCT S.R.L.,46061553,0750827133,+40750827133,mobilarotiv@gmail.com,Construcții / Instalații,VALEA LUI MIHAI,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",11,20260327
EMIR PREMIUM CARS SRL,41084041,0766974090,+40766974090,office@mfk.ro,Construcții / Instalații,CONSTANTA,DULGHER (EXCLUSIV RESTAURATOR)(3) | FIERAR BETONIST(3),102,20260331
SAMA GARDEN CONSTRUCT SRL,39400460,0736825077,+40736825077,samagarden@gmail.com,Construcții / Instalații,SITARU,FAIANTAR(1),28,20260403
FORTATHAUSE SRL,21357910,0744/668584,+40744668584,fortatt@gmail.com,Construcții / Instalații,VALEA STRAMBA,STIVUITORIST(1),15,20260331
CIPRIS CONSTRUCT SRL,19110136,0740512370,+40740512370,cipriscons@yahoo.com,Construcții / Instalații,LUDUS,ZIDAR PIETRAR(1),17,20260331
EXPERT TERMIC INSTAL,52750668,0773841886,+40773841886,felicia.calin@dianiconsulting.ro,Construcții / Instalații,RAMNICU VALCEA,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(4) | AGENT DE VÂNZARI(1) | MANAGER(1),66,20260327
I-M CONS IDEAS SRL,35610664,0792759308,+40792759308,cjroconstruct@gmail.com,Construcții / Instalații,SUBCETATE,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(35)",385,20260327
5.	TERRA SUDVEST CONSTRUCT S.R.L,52198971,0784888899,+40784888899,terrasudvest@gmail.com,Construcții / Instalații,MUNICIPIUL CRAIOVA,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(1),9,20260407
ENERGOINSTAL PREMIUM INSTALAŢII SRL,38156733,0767491391,+40767491391,dana.bujor@energoinstalgaze.ro,Construcții / Instalații,BUCURESTI SECTORUL 4,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(1),17,20260331
SC ZALIVER SRL,18064392,0733692170,+40733692170,termopanezalivaer@gmail.com,Construcții / Instalații,TOPLITA,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR(1)",14,20260330
FLUXINVEST SRL,18299275,0791315484,+40791315484,ionela23053@gmail.com,Construcții / Instalații,HEMEIUS,INSTALATOR RETELE TERMICE SI SANITARE(2),34,20260331
Eissa Constructii SRL,51366783,0771273845,+40771273845,eissaconstruct@gmail.com,Construcții / Instalații,BUCURESTI SECTORUL 4,MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(10),170,20260331
SC DRIMORAKY SRL,29312515,0744577748,+40744577748,garaiviorica@gmail.com,Construcții / Instalații,BORS,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(1)",17,20260331
