email,company,city,county,sector,employees,contact_name,phone,matched_skills,suggested_positions,cv_available
office-ag@totalnsa.ro,TOTAL NSA AG CONSTRUCT SRL,Municipiul Sibiu,Sibiu,,136,,+40745696949,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ralunic_srl@yahoo.com,RALUNIC SRL,Municipiul Ramnicu Valcea,Valcea,,136,,+40250711001,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
complexturistic2d@gmail.com,MECAN CONSTRUCT SA,"Loc. Patarlagele, Oras Patarlagele",Buzau,,134,,+40238550539,"construction,driver","Constructii drumuri, operatori utilaje",1
office@multipland.ro,MULTIPLAND SRL,Municipiul Odorheiu Secuiesc,Harghita,,134,,+40266217409,"construction,driver","Constructii drumuri, operatori utilaje",1
mihaela.avram@btdconstruct.ro,BTDCONSTRUCT & AMBIENT SRL,Bucuresti Sectorul 1,Bucuresti,,134,,+40314055551,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
romconstructsa@yahoo.com,ROBCONSTRUCT SRL,"Sat Remetea, Comuna Remetea",Harghita,,134,,+40742242127,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@comranado.ro,COMRANADO SRL,Municipiul Craiova,Dolj,,133,,+40251418220,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
intecoholding@yahoo.ro,INTECO HOLDING SRL,"Sat Siria, Comuna Siria",Arad,,133,,+40745322698,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
dpl@alba.rdsmail.ro,DRUMURI SI PODURI LOCALE ALBA SA,Municipiul Alba Iulia,Alba,,132,,+40025881627,"construction,driver","Constructii drumuri, operatori utilaje",1
resurse.umane@generalsecurity.ro,GENERAL SECURITY SRL,Municipiul Cluj-Napoca,Cluj,,131,,+40264439200,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
gianina.marinescu@startrading.ro,STAR TRADING IMPEX SRL,"Sat Albota, Comuna Albota",Arges,,131,,+40248606070,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
resurse.umane@safesteel.ro,SAFESTEEL S.R.L.,Municipiul Suceava,Suceava,,127,,+40746691117,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@padrino.ro,PADRINO SRL,"Sat Criva de Jos, Oras Piatra-Olt",Olt,,127,,+40249415100,"construction,driver","Constructii drumuri, operatori utilaje",1
office.cristalexpertsrl@gmail.com,INSTAL EXPERT SRL,Municipiul Cluj-Napoca,Cluj,,127,,+40264417233,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
teamresurse@gmail.com,TEAM STAR SUD 2019 S.R.L.,Bucuresti Sectorul 5,Bucuresti,,127,,+40248606070,"construction,driver","Constructii drumuri, operatori utilaje",1
office@algorithmresidential.ro,ALGORITHM RESIDENTIAL S3 SRL,Bucuresti Sectorul 3,Bucuresti,,126,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@datacor.ro,DATACOR SRL,"Loc. Viisoara, Municipiul Bistrita",Bistrita-Nasaud,,125,,+40724322924,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@felbermayr.cc,FELBERMAYR KRAN S.R.L.,"Sat Dudu, Comuna Chiajna",Ilfov,,125,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@electroalfa.ro,ELECTRO ALFA SERVICII INGINERIE S.R.L.,Municipiul Botosani,Botosani,,124,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@elektrainvest.ro,ELEKTRA INVEST SRL,Bucuresti Sectorul 2,Bucuresti,,124,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hr@rara.ro,RARA INVEST SRL,"Sat Sura Mica, Comuna Sura Mica",Sibiu,,124,,+40750415331,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
iulian_matei30@yahoo.ro,TERRA CONSTRUCT SRL,Municipiul Tulcea,Tulcea,,123,,+40240535623,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
consolaro@aol.com,CONSOLA GRUP CONSTRUCT SRL,Bucuresti Sectorul 3,Bucuresti,,122,,+40213271051,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
resurse.umane@conhidro.ro,CONSTRUCTII HIDROTEHNICE SA,Municipiul Iasi,Iasi,,122,,+40232262065,"construction,driver","Constructii drumuri, operatori utilaje",1
office@opentrans.ro,OPENTRANS SRL,"Sat Coroieni, Comuna Coroieni",Maramures,,121,,+40742002975,"construction,driver","Constructii drumuri, operatori utilaje",1
office@baucem.ro,MULTIGRUP EPC S.R.L.,Bucuresti Sectorul 4,Bucuresti,,121,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
radaana75@yahoo.com,CONS ELECTRIFICAREA INSTAL SRL,Municipiul Timisoara,Timis,,120,,+40256306301,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
alina.barbu@sometconstruct.ro,SOMET SA,Bucuresti Sectorul 3,Bucuresti,,120,,+40723523211,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@proger.ro,PROGER GLOBAL NETWORK S.R.L.,Bucuresti Sectorul 2,Bucuresti,,119,,+40748219744,"construction,driver","Constructii drumuri, operatori utilaje",1
office@prelchim.ro,PRELCHIM SRL,Municipiul Ramnicu Valcea,Valcea,,116,,+40250730436,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
c.popa@ostenweg.com,OSTENWEG MOUNTING POWER S.R.L.,Municipiul Medias,Sibiu,,116,,,"construction,driver","Constructii drumuri, operatori utilaje",1
biancaaasimion@gmail.com,ELECTRO-SERVICE DISTRIBUTIE SRL,Bucuresti Sectorul 3,Bucuresti,,115,,+40250738743,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
popa.mirela@rcti.ro,R.C.T.I. COMPANY SRL,Municipiul Brasov,Brasov,,113,,+40268442726,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
constantin-dn@terratest.ro,TERRATEST GEOTEHNIC SA,Bucuresti Sectorul 1,Bucuresti,,113,,+40213178941,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
varzaruflorin61@gmail.com,GEOMARCO CONSTRUCT SRL,"Loc. Murfatlar, Oras Murfatlar",Constanta,,113,,+40241234199,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
termoproedil@yahoo.com,TERMOPRO EDIL SRL,Municipiul Oradea,Bihor,,113,,+40745609160,"construction,driver","Constructii drumuri, operatori utilaje",1
resurseumane@grupconstructiiest.ro,GRUP CONSTRUCTII EST SA,Municipiul Iasi,Iasi,,113,,+40232253044,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
georgeta.stoian@visioconstruction.com,VISIO CONSTRUCTION WORKS SRL,Bucuresti Sectorul 1,Bucuresti,,112,,+40737027593,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
zonadauto@gmail.com,ZONA D SRL,Municipiul Petrosani,Hunedoara,,111,,+40254546080,"construction,driver","Constructii drumuri, operatori utilaje",1
office@wagramer.ro,WAGRAMER TERMO 2000 SRL,Municipiul Slatina,Olt,,111,,+40762293857,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@emfor.ro,EMFOR S.A.,Bucuresti Sectorul 4,Bucuresti,,111,,+40213360120,"construction,driver","Constructii drumuri, operatori utilaje",1
office@drumcov.ro,DRUMURI SI PODURI COVASNA SA,Municipiul Sfantu Gheorghe,Covasna,,111,,+40267351552,"construction,driver","Constructii drumuri, operatori utilaje",1
romconstructsa@yahoo.com,ROMCONSTRUCTOR SA,Municipiul Bacau,Bacau,,110,,+40234517428,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@imogroup.ro,IMOBILIARE SOLUTIONS GROUP SRL,Bucuresti Sectorul 5,Bucuresti,,110,,+40745166100,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@pet-communications.ro,PET COMMUNICATIONS SRL,Municipiul Constanta,Constanta,,110,,+40241514416,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
gironap_prod@yahoo.com,GIRONAP PROD SA,Municipiul Onesti,Bacau,,110,,+40234310515,"construction,driver","Constructii drumuri, operatori utilaje",1
contabilitate@axoutil.ro,AXO UTIL SRL,Municipiul Timisoara,Timis,,109,,+40741100448,"construction,driver","Constructii drumuri, operatori utilaje",1
office@swietelsky.at,SWIETELSKY CONSTRUCT S.R.L.,Bucuresti Sectorul 1,Bucuresti,,108,,+40730014332,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@elcobotosani.ro,ELECTROCONSTRUCTIA ELCO SA,Municipiul Botosani,Botosani,,108,,+40231514356,"construction,driver","Constructii drumuri, operatori utilaje",1
sonia.lonca@skyline-engineering.ro,SKYLINE ENGINEERING S.R.L.,Municipiul Cluj-Napoca,Cluj,,108,,+40729156466,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,MONTREPCOM SRL,"Loc. Recea, Oras Ungheni",Mures,,108,,+40265254209,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@gei.ro,GRUP ENERGOINSTAL SA,Municipiul Cluj-Napoca,Cluj,,107,,+40722430487,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@comesad.ro,COMESAD RO SA,Municipiul Pitesti,Arges,,106,,+40248270098,"construction,driver","Constructii drumuri, operatori utilaje",1
webmaster@eren.ro,EREN CONS SRL,Municipiul Brasov,Brasov,,106,,+40747227887,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@alpaccess.com,ALPACCESS SCAFFOLDING SRL,"Sat Bucov, Comuna Bucov",Prahova,,105,,+40723816727,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@prideximp.ro,PRODEXIMP SRL,Municipiul Satu Mare,Satu Mare,,104,,+40261717435,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@saltcom.ro,SALT COM SRL,Municipiul Slobozia,Ialomita,,104,,+40729143833,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
resurse.umane@miralinstal.ro,MIRAL INSTAL COMPANY SRL,Bucuresti Sectorul 3,Bucuresti,,104,,+40213460994,"construction,driver","Constructii drumuri, operatori utilaje",1
info@yourdomain.com,RAL CONSTRUCT MANAGEMENT SRL,Municipiul Iasi,Iasi,,103,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,BUILD CORP SRL,Municipiul Iasi,Iasi,,103,,+40232209700,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@lasprom.ro,LAS PROM SRL,Municipiul Targu Mures,Mures,,103,,+40752191064,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office_inbit@yahoo.com,INBIT SRL,"Sat Carlig, Comuna Popricani",Iasi,,102,,+40723342534,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@electrocons-group.ro,ELECTROCONS GROUP PROIECT INTL SRL,Bucuresti Sectorul 3,Bucuresti,,102,,+40744707626,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@pompe-irigatii.ro,CARMIN POPSTAR PROD SRL,Bucuresti Sectorul 3,Bucuresti,,102,,+40741757123,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
tobimarconstruct@tobimar.ro,TOBIMAR CONSTRUCT SRL,"Sat Drambar, Comuna Ciugud",Alba,,102,,+40258818191,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@flodortranscom.ro,FLODOR TRANSCOM SRL,Municipiul Oradea,Bihor,,102,,+40722367259,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
electromatprompt@yahoo.com,ELECTRO MAT PROMPT SRL,"Sat Oncesti, Comuna Oncesti",Maramures,,101,,+40745421996,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@gendav.ro,GENDAV SRL,Municipiul Galati,Galati,,101,,+40236468392,"construction,driver","Constructii drumuri, operatori utilaje",1
vanzari@fiald.ro,FIALD IMOBILIARE SRL,Municipiul Bacau,Bacau,,101,,+40755125911,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
corvinfilimon@investservcom.roofficeinvestservcom.roproductieinvestservcom.roproiectareinvestservcom.romentenantainvestservcom.ro,INVEST SERVICII COMERCIALE SRL,Municipiul Dej,Cluj,,101,,+40722751687,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@soletanche-bachy.com,SBR SOLETANCHE BACHY FUNDATII SRL,Bucuresti Sectorul 1,Bucuresti,,100,,+40213203573,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
jaromir.cernik@ctp.eu,CTP INVEST BUCHAREST SRL,"Sat Dragomiresti-Deal, Comuna Dragomiresti-Vale",Ilfov,,100,,+40311051555,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@goproinfrastructure.ro,GOPRO INFRASTRUCTURE SRL,Municipiul Fagaras,Brasov,,100,,+40748228668,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@vectrum.ro,VECTRUM SOLUTIONS SRL,"Sat Valea Mare-Podgoria, Oras Stefanesti",Arges,,99,,+40726273383,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
globalindustrial2014@yahoo.ro,GLOBAL INDUSTRIAL SRL,Municipiul Oradea,Bihor,,99,,+40359412223,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
sales@solidhouse.ro,SOLID HOUSE SRL,Municipiul Constanta,Constanta,,97,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@megaedil.ro,MEGA EDIL AG S.R.L.,Bucuresti Sectorul 2,Bucuresti,,97,,+40786478334,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
aurelian.tranca84@gmail.com,DSE CONSULTING SRL,Bucuresti Sectorul 4,Bucuresti,,97,,+40758076765,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
hello@synergy.eu,SYNERGY CONSTRUCT SRL,Bucuresti Sectorul 2,Bucuresti,,96,,+40374340001,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
investa@investacci.ro,INVESTA CCI SRL,Municipiul Baia Mare,Maramures,,96,,+40262225221,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
info@webmail.com,S.C. LUCRARI DRUMURI SI PODURI SA VASLUI,Municipiul Vaslui,Vaslui,,95,,+40235311053,"construction,driver","Constructii drumuri, operatori utilaje",1
varzaruflorin61@gmail.com,MACO CONSTRUCT SRL,Municipiul Targu Mures,Mures,,95,,+40737018780,general,Diverse pozitii,45
hr@tecnoscavi.ro,TECNOSCAVI  SRL,"Sat Tunari, Comuna Tunari",Ilfov,,93,,+40264414701,"construction,driver","Constructii drumuri, operatori utilaje",1
jobs@instal-all.ro,INSTAL-ALL SRL,Municipiul Sfantu Gheorghe,Covasna,,93,,+40267351766,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
raluca.balbarau@conarg.ro,CONARG AG SRL,Municipiul Pitesti,Arges,,92,,+40745109327,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@romoil2003.ro,ROMOIL 2003 SRL,Municipiul Buzau,Buzau,,91,,+40727220305,"construction,driver","Constructii drumuri, operatori utilaje",1
office@baupartnerconstruct.ro,BAUPARTNER CONSTRUCT SRL,"Sat Aricestii Rahtivani, Comuna Aricestii Rahtivani",Prahova,,90,,+40729988018,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
resurseumane@palex.ro,PALEX CONSTRUCTII INSTALATII SRL,Bucuresti Sectorul 4,Bucuresti,,90,,+40720831711,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@aduro.ro,ADURO S.R.L.,Bucuresti Sectorul 1,Bucuresti,,90,,+40728181231,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
zadio.duta@afconsulting.ro,A.F. CONSULTING SRL,Bucuresti Sectorul 4,Bucuresti,,90,,+40213264815,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@elmarom.ro,ELMAROM GRUP SRL,Bucuresti Sectorul 2,Bucuresti,,89,,+40213367543,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office.asce@gmail.com,"ADMINISTRATIA STRAZILOR,CONSTRUCTII EDILITARE SRL",Municipiul Alexandria,Teleorman,,88,,+40247317011,"construction,factory",Operatori materiale constructii,9
sasu.adriana@yahoo.com,LCS ASISTENTA CONSTRUCTII S.R.L.,"Sat Lunca Cetatuii, Comuna Ciurea",Iasi,,88,,+40723193292,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@constructiiunu.ro,CONSTRUCTII UNU SA,Municipiul Iasi,Iasi,,88,,+40232231380,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
hotelsiaresidence@gmail.com,SIENA RESIDENCE SRL,Oras Popesti Leordeni,Ilfov,,88,,,general,Diverse pozitii,45
danc@edas.ro,EDAS-EXIM SRL,Bucuresti Sectorul 1,Bucuresti,,88,,+40744522903,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
midaconstruct@gmail.com,MIDA DRUM CONSTRUCT S.R.L.,Bucuresti Sectorul 3,Bucuresti,,87,,+40786708292,"construction,driver","Constructii drumuri, operatori utilaje",1
m.cretu@conecon.net,CONECON RO S.R.L.,Municipiul Medias,Sibiu,,87,,+40269841084,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@wernetto.ro,WERNETTO SRL,Municipiul Gheorgheni,Harghita,,87,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
marcotimimpex@yahoo.com,MARCOTIM IMPEX SRL,"Sat Ciucea, Comuna Ciucea",Cluj,,87,,+40264259269,"construction,driver","Constructii drumuri, operatori utilaje",1
EMATURCU90@GMAIL.COM,GLOBAL MAT INSTALL SRL,Bucuresti Sectorul 5,Bucuresti,,87,,+40726109163,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
adriana.camarasu@yahoo.com,ALM POWER GROUP SRL,"Sat Ghercesti, Comuna Ghercesti",Dolj,,87,,+40723609015,"construction,driver","Constructii drumuri, operatori utilaje",1
office@selca.ro,SELCA SA,Municipiul Pitesti,Arges,,86,,+40248636442,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
vanzari@plusconfort.ro,PLUS CONFORT SRL,Bucuresti Sectorul 3,Bucuresti,,86,,+40212554115,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
elegantglobbest@gmail.com,ELEGANT GLOB BEST CONSTRUCT SRL,"Sat Catamaresti-Deal, Comuna Mihai Eminescu",Botosani,,86,,+40744952264,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@aquilaconstruct.ro,AQUILA CONSTRUCT SRL,Municipiul Ploiesti,Prahova,,86,,+40244599445,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@rettergroup.com,RETTER PROJECTMANAGEMENT SRL,"Sat Selimbar, Comuna Selimbar",Sibiu,,85,,,"construction,driver","Constructii drumuri, operatori utilaje",1
contact@novum.ro,NOVUM BUSINESS INVEST SRL,Bucuresti Sectorul 6,Bucuresti,,85,,+40723315576,general,Diverse pozitii,45
magconstructcraiova@gmail.com,MATE CONSTRUCT SRL,"Sat Ganesti, Comuna Ganesti",Mures,,85,,+40744619098,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@baxcom.ro,BAXCOM SRL,"Sat Marginea, Comuna Marginea",Suceava,,85,,+40230416418,"construction,driver","Constructii drumuri, operatori utilaje",1
constructii.drumuri@yahoo.com,CONSTRUCTII DRUMURI SI LUCRARI DE ARTA SRL,"Sat Geamana, Comuna Bradu",Arges,,84,,+40348446980,"construction,driver","Constructii drumuri, operatori utilaje",1
office@atlassport.ro,ATLAS SPORT SRL,Municipiul Targu Mures,Mures,,83,,+40749136610,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ana.iancu@elenor.ro,ELENOR SRL,"Sat Tulucesti, Comuna Tulucesti",Galati,,83,,+40741145531,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@strade.ro,STRADE BAUUNTERNEHMUNG S.R.L.,Municipiul Craiova,Dolj,,83,,+40744691666,"construction,driver","Constructii drumuri, operatori utilaje",1
office@multiprodenergo.ro,MULTIPROD ENERGO SRL,Municipiul Buzau,Buzau,,82,,+40238713661,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hersson-group@outlook.com,HERSSON GROUP S.R.L.,"Sat Vladiceni, Comuna Tomesti",Iasi,,82,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
hr@nello-construct.ro,NELLO CONSTRUCT SRL,"Sat Mihai Viteazu, Comuna Mihai Viteazu",Cluj,,82,,+40742148596,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
vista.ati@gmail.com,T.V.I. CONSTRUCT SRL,Municipiul Iasi,Iasi,,82,,+40232262661,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@simiontehnoconstruct.ro,SIMION TEHNOCONSTRUCT S.R.L.,"Sat Curtesti, Comuna Curtesti",Botosani,,81,,+40741667727,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
gricontgl@yahoo.com,GRICON SRL,"Loc. Targu Lapus, Oras Targu Lapus",Maramures,,81,,+40262384508,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
pensiunea.carolina@yahoo.com,CAROLIN SRL,"Sat Olteni, Comuna Bujoreni",Valcea,,81,,+40744328146,general,Diverse pozitii,45
olivia.iscu@saidel.ro,SAIDEL ENGINEERING S.A.,Bucuresti Sectorul 1,Bucuresti,,80,,+40730588455,general,Diverse pozitii,45
scgpsageataprodsrl@yahoo.com,GP SAGEATA PROD SRL,"Sat Suplacu de Barcau, Comuna Suplacu de Barcau",Bihor,,80,,+40259368544,"construction,driver","Constructii drumuri, operatori utilaje",1
hr@cirasico.ro,CIRASICO S.R.L.,Bucuresti Sectorul 1,Bucuresti,,80,,+40770880381,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
development.office@rap-group.ro,RAP DEVELOPMENT SRL,Municipiul Brasov,Brasov,,79,,+40268406220,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@gmconstruzioni.ro,KRISTAL PRO BUILDING S.R.L.,"Loc. Odobesti, Oras Odobesti",Vrancea,,79,,+40237232072,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
marinarobertdicomes@yahoo.com,MAREKO INVEST S.R.L.,Municipiul Deva,Hunedoara,,79,,+40726710911,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hr@gendav.ro,GENDAV CONSTRUCT MONTAJ S.R.L.,Municipiul Galati,Galati,,78,,+40754237577,"construction,driver","Constructii drumuri, operatori utilaje",1
nicoleta.vecerdea@totalnsa.ro,UNIVERSAL BUSINESS S.R.L.,Municipiul Sibiu,Sibiu,,78,,+40726987678,"construction,driver","Constructii drumuri, operatori utilaje",1
lazareduard@romway.ro,ROMWAY ENGINEERING CONSTRUCTION S.R.L.,Oras Popesti Leordeni,Ilfov,,78,,+40751106106,"construction,driver","Constructii drumuri, operatori utilaje",1
potcons@gmail.com,POTENTIAL CONS SRL,Municipiul Targoviste,Dambovita,,77,,+40245611384,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@gep.ro,GENERAL ELECTRO PROEXIM SRL,Bucuresti Sectorul 1,Bucuresti,,77,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
metal@cona.ro,CON-A MEP S.R.L.,"Sat Selimbar, Comuna Selimbar",Sibiu,,77,,+40269560423,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@sangrup.ro,SAN ELECTROTERM GRUP SRL,Municipiul Constanta,Constanta,,77,,+40241627700,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@romtest.ro,ROMTEST ELECTRONIC SRL,Bucuresti Sectorul 5,Bucuresti,,76,,+40214233607,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
fofeldeaconstruct@yahoo.com,MIVO EXPERT CONSTRUCT SRL,"Sat Sasciori, Comuna Sasciori",Alba,,76,,+40749801803,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
ionel.tanase@rsconstruct.ro,ROM SERVICE CONSTRUCT,Bucuresti Sectorul 1,Bucuresti,,76,,+40720444938,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
cornel.ciumarnean@urban-invest.ro,URBAN INVEST SRL,Municipiul Brasov,Brasov,,76,,+40368461120,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contact@constructiiherald.ro,HERALD COM IMPEX SRL,Municipiul Oradea,Bihor,,75,,+40721641849,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@nisal.ro,NISAL SRL,Municipiul Medias,Sibiu,,74,,+40269836515,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@kronosconstruct.ro,KRONOS LIFE CONSTRUCT SRL,Municipiul Targu Mures,Mures,,74,,+40265264161,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@groupcb.ro,GROUP CONSTRUCT BUCOVINA SRL,"Loc. Plopeni, Oras Salcea",Suceava,,74,,+40230529959,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@regroup.ro,REGROUP CONSTRUCTION & MINING S.R.L.,Municipiul Timisoara,Timis,,73,,+40759013651,general,Diverse pozitii,45
office@tmgbuilding.ro,LSG BUILDING SOLUTIONS SRL,Bucuresti Sectorul 5,Bucuresti,,73,,+40721284214,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
laura.gherghinita@gmail.com,GETNIC CONSTRUCT SERV SRL,"Loc. Cernavoda, Oras Cernavoda",Constanta,,73,,+40241822393,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
giarmata-2-600x300@2x.jpeg,SENERA S.A.,"Sat Dorolt, Comuna Dorolt",Satu Mare,,73,,,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
HILCAR@YAHOO.COM,HILCAR SERVICE S.R.L.,"Sat Aghires, Comuna Mesesenii de Jos",Salaj,,73,,+40722380771,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
contabilitate.corsem@gmail.com,CORSEM IMPEX SRL,"Loc. Gura Humorului, Oras Gura Humorului",Suceava,,73,,+40744472358,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
adriano.alpin@gmail.com,ADRIANO ALPIN EXPERT SRL,"Sat Livezeni, Comuna Stalpeni",Arges,,73,,+40745314192,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
client@kasper-development.ro,KASPER DEVELOPMENT KDC S.R.L.,Municipiul Brasov,Brasov,,72,,+40733662375,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
neptunalbaiulia@gmail.com,NEPTUN ENGINEERING SRL,Bucuresti Sectorul 4,Bucuresti,,72,,,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@fluiddevelopment.ro,FLUID DEVELOPMENT SRL,Municipiul Constanta,Constanta,,72,,+40726804027,"construction,driver","Constructii drumuri, operatori utilaje",1
office.liaticonstruct@gmail.com,LIATI CONSTRUCT IMPEX SRL,"Sat Simian, Comuna Simian",Mehedinti,,72,,+40252319965,"construction,driver","Constructii drumuri, operatori utilaje",1
razvanpolivanov@rdc-gc.ro,RDC GENERAL CONTRACTOR SRL,Bucuresti Sectorul 2,Bucuresti,,72,,+40251533472,"construction,driver","Constructii drumuri, operatori utilaje",1
irina@greentechpro.ro,GREENTECH PROFESSIONALS S.R.L.,Bucuresti Sectorul 1,Bucuresti,,71,,+40074784759,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@daclim.ro,DACLIM HVAC SRL,Bucuresti Sectorul 4,Bucuresti,,71,,+40722806312,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
