name,country,city,sector,website,email,email_generated,source
Petroecuador,EC,Quito,Oil/Gas,eppetroecuador.ec,contacto@eppetroecuador.ec,yes,Ecuador
Petroamazonas,EC,Quito,Oil/Gas,,,no,Ecuador
Repsol Ecuador,EC,Quito,Oil/Gas,,,no,Ecuador
ENAP Sipec (Chile),EC,Quito,Oil/Gas,,,no,Ecuador
Reybanpac (Favorita),EC,Guayaquil,Bananas,rfrsa.com,contacto@rfrsa.com,yes,Ecuador
Ubesa,EC,Guayaquil,Bananas,ubesa.com.ec,contacto@ubesa.com.ec,yes,Ecuador
Truisfruit,EC,Guayaquil,Bananas,,,no,Ecuador
Palmar,EC,Machala,Bananas,,,no,Ecuador
Noboa Corporation,EC,Guayaquil,Bananas,gruponomoa.com,contacto@gruponomoa.com,yes,Ecuador
Oro Banana,EC,Machala,Bananas,,,no,Ecuador
Industrial Pesquera Santa Priscila (IPSP),EC,Guayaquil,Shrimp,santapriscila.com,contacto@santapriscila.com,yes,Ecuador
Omarsa,EC,Guayaquil,Shrimp,omarsa.com,contacto@omarsa.com,yes,Ecuador
Promarisco,EC,Guayaquil,Shrimp,promarisco.com,contacto@promarisco.com,yes,Ecuador
Songa,EC,Guayaquil,Shrimp,,,no,Ecuador
Expalsa,EC,Guayaquil,Shrimp,expalsa.com,contacto@expalsa.com,yes,Ecuador
Grupo Alcon,EC,Guayaquil,Shrimp,,,no,Ecuador
Republica del Cacao,EC,Quito,Cacao,republicadelcacao.com,contacto@republicadelcacao.com,yes,Ecuador
Pacari,EC,Quito,Cacao,pacarichocolate.com,contacto@pacarichocolate.com,yes,Ecuador
Cofina,EC,Guayaquil,Coffee,,,no,Ecuador
Florexpo (Rosaprima),EC,Quito,Flowers,rfrprima.com,contacto@rfrprima.com,yes,Ecuador
Falconfarms,EC,Cayambe,Flowers,falconfarms.com,contacto@falconfarms.com,yes,Ecuador
Nevado Ecuador,EC,Quito,Flowers,nevadoecuador.com,contacto@nevadoecuador.com,yes,Ecuador
Florecal,EC,Cayambe,Flowers,,,no,Ecuador
NIRSA,EC,Guayaquil,Tuna,nirsa.com,contacto@nirsa.com,yes,Ecuador
Eurofish,EC,Manta,Tuna,,,no,Ecuador
Conservas Isabel,EC,Manta,Tuna,,,no,Ecuador
Tecopesca,EC,Manta,Tuna,,,no,Ecuador
PDVSA,VE,Caracas,Oil/Gas,pdvsa.com,contacto@pdvsa.com,yes,Venezuela
CITGO (PDVSA),VE,Houston,Oil/Gas,,,no,Venezuela
Sidor,VE,Puerto Ordaz,Steel,,,no,Venezuela
CVG Minerven,VE,El Callao,Gold,,,no,Venezuela
CVG Ferrominera Orinoco,VE,Puerto Ordaz,Iron Ore,,,no,Venezuela
Empresas Polar,VE,Caracas,Food/Beverages,empresaspolar.com,contacto@empresaspolar.com,yes,Venezuela
Cargill Venezuela,VE,Caracas,Grains,,,no,Venezuela
Ron Santa Teresa,VE,Aragua,Beverages,rfrnsantateresa.com,contacto@rfrnsantateresa.com,yes,Venezuela
Savoy (Nestle),VE,Caracas,Food,,,no,Venezuela
ExxonMobil Guyana,GY,Georgetown,Oil/Gas,exxonmobil.com,contacto@exxonmobil.com,yes,Guyana
Hess Guyana,GY,Georgetown,Oil/Gas,,,no,Guyana
CNOOC Guyana,GY,Georgetown,Oil/Gas,,,no,Guyana
Guyana Goldfields,GY,Georgetown,Gold,,,no,Guyana
Troy Resources Guyana,GY,Georgetown,Gold,,,no,Guyana
Omai Gold Mines,GY,Georgetown,Gold,,,no,Guyana
Bosai Minerals (China),GY,Linden,Bauxite,,,no,Guyana
First Bauxite Corporation,GY,Georgetown,Bauxite,,,no,Guyana
Guyana Sugar Corporation (GuySuCo),GY,Georgetown,Sugar,guysuco.com,contacto@guysuco.com,yes,Guyana
Demerara Distillers (DDL),GY,Georgetown,Rum/Beverages,demrum.com,contacto@demrum.com,yes,Guyana
Guyana Rice Development Board (GRDB),GY,Georgetown,Rice,grdb.gy,contacto@grdb.gy,yes,Guyana
Nand Persaud & Company,GY,Georgetown,Rice,,,no,Guyana
Barama Company,GY,Georgetown,Timber,,,no,Guyana
Staatsolie,SR,Paramaribo,Oil/Gas,staatsolie.com,contacto@staatsolie.com,yes,Suriname
Apache Suriname,SR,Paramaribo,Oil/Gas,,,no,Suriname
TotalEnergies Suriname,SR,Paramaribo,Oil/Gas,,,no,Suriname
Newmont Suriname,SR,Paramaribo,Gold,,,no,Suriname
IAMGOLD Rosebel,SR,Paramaribo,Gold,,,no,Suriname
Grassalco,SR,Paramaribo,Mining,grassalco.com,contacto@grassalco.com,yes,Suriname
Suralco (Alcoa),SR,Paranam,Bauxite,,,no,Suriname
Surland,SR,Paramaribo,Rice,,,no,Suriname
NV SPBA (Bananas),SR,Paramaribo,Bananas,,,no,Suriname
SBB (Stichting Bosbeheer),SR,Paramaribo,Timber,sfrb.sr,contacto@sfrb.sr,yes,Suriname
SAIL (Suriname American Industries),SR,Paramaribo,Fishing/Shrimp,,,no,Suriname
