company_name,cui,caen_code,caen_description,employees,turnover_ron,city,county,email,email_source,email_verified,phone,website
FRONTERA TRADING SRL,6674176,1071,Industria alimentara,225,59943544,Municipiul Braila,Braila,,,,+40239618757,
STONEVAULT S.R.L.,39599178,2593,Constructii metalice,225,174598464,Municipiul Baia Mare,Maramures,,,,,
PROSPERO SRL,3686583,1071,Industria alimentara,225,56950754,Municipiul Timisoara,Timis,contact@prospero.ro,master_contacts,true,+40256219644,
CUMPANA 1993 SRL,4264242,1107,Bauturi,225,80880734,Bucuresti Sectorul 3,Bucuresti,office@cumpana.ro,master_companies,true,,
GORDON-PROD SRL,4367213,1051,Industria alimentara,225,135003626,"Sat Bisericani, Comuna Lupeni",Harghita,resurseumane@gordonprod.ro,companies,true,+40266248448,
MONETARIA STATULUI RA,427304,3211,Alte activitati industriale,224,127640838,Bucuresti Sectorul 5,Bucuresti,,,,,
CONFEX MATEX INTERNATIONAL SA,8976510,1413,Confectii,224,36959665,Municipiul Deva,Hunedoara,,,,+40254234321,
MASIFPANEL S.R.L.,24368027,1610,Lemn,224,66125179,"Sat Ileni, Comuna Mandra",Brasov,,,,+40722555950,
SHIPYARD ATG GIURGIU SRL,14625034,3011,3011,224,78287607,Municipiul Giurgiu,Giurgiu,office@shipyardatg.ro,master_companies,true,+40246214109,
DOBROGEA BISCUIT SRL,15634715,1072,Industria alimentara,224,89521543,Municipiul Constanta,Constanta,,,,+40241412153,
POP INDUSTRY SRL,6759221,2511,Constructii metalice,223,180513108,Municipiul Slatina,Olt,hr@popind.ro,anofm_jobs_20260310_123444_20260314_a3ffee1a,true,+40249413680,
VIRIX PROD SRL,6681637,1610,Lemn,223,87441682,"Sat Crangurile de Sus, Comuna Crangurile",Dambovita,virixprod@yahoo.com,master_companies,true,+40744627849,
AGROPAN IMPEX SRL,15576550,1071,Industria alimentara,222,91145076,Municipiul Iasi,Iasi,dpo@panifcom.ro,master_contacts,true,+40232233441,
G.T. COMPANY SRL,8832426,1413,Confectii,222,18793689,Municipiul Botosani,Botosani,ru.gtcompany@yahoo.ro,master_companies,true,+40231534833,
EURO GAS SYSTEMS SRL,26557103,2813,Masini si echipamente,222,350285461,"Sat Chirileu, Comuna Sinpaul",Mures,rohanadriana@yahoo.com,master_companies,true,+40365882416,
SOL-PLUS ROMANIA SRL,14759788,2229,Cauciuc si mase plastice,222,72132340,Bucuresti Sectorul 3,Bucuresti,hr@plasess.ro,master_companies,true,+40728903774,
ROMANELEC SRL,5415785,2711,Echipamente electrice,221,21410626,Municipiul Medias,Sibiu,,,,,
COHLINE RO S.R.L.,18120603,2932,Autovehicule,221,26577112,"Loc. Lipova, Oras Lipova",Arad,,,,+40257563345,
KILLER SRL,7195155,1013,Industria alimentara,221,125308240,"Sat HORODNIC DE JOS, Comuna HORODNIC DE JOS",Suceava,office@killersrl.ro,inferred,false,+40230567189,www.killersrl.ro
SUMMER CONF SRL,8145996,1413,Confectii,221,22169675,Municipiul Botosani,Botosani,info@summerconf.com,master_companies,true,+40231530395,
PANIMON SA,957998,1061,Industria alimentara,221,133455087,Municipiul Onesti,Bacau,,,,+40745956706,
BETAK SA,573768,2561,Constructii metalice,220,102085828,Municipiul Bistrita,Bistrita-Nasaud,,,,+40263218863,
"COMPANIA NATIONALA ""ROMARM"" FILIALA UZINA MECANICA BUCURESTI SA",14423850,2540,Constructii metalice,220,214756686,Bucuresti Sectorul 3,Bucuresti,,,,+40372149300,
BACHMANN ROMANIA SRL,15624983,2712,Echipamente electrice,220,98049013,Municipiul Medias,Sibiu,raluca.istrate@bachmann.com,master_companies,true,,
PEMONT LENJERIE SRL,11798707,1414,Confectii,220,15762776,Municipiul Alba Iulia,Alba,cornel.pemont@gmail.com,master_companies,true,+40258811646,
GOLD PLAST PRODUCTION SRL,18152257,2229,Cauciuc si mase plastice,219,66977507,"Loc. Topoloveni, Oras Topoloveni",Arges,,,,+40248666116,
HIRSCH POROZELL SRL,18198580,2221,Cauciuc si mase plastice,219,197379882,"Sat Rascruci, Comuna Bontida",Cluj,adrian.iusan@hirsch-gruppe.com,anofm_jobs_20260220_153333_20260314_549f40d5,true,+40742150205,
UZINA MECANICA RAMNICU VALCEA SA,1465560,2591,Constructii metalice,219,51354229,Municipiul Ramnicu Valcea,Valcea,,,,+40745645034,
CATEX INDUSTRY S.A.,47384072,1413,Confectii,219,16790285,Municipiul Calarasi,Calarasi,,,,,
ETEX BUILDING PERFORMANCE S.A.,11935340,2362,Alte produse minerale nemetalice,219,360529778,Bucuresti Sectorul 3,Bucuresti,,,,+40213120945,
TOP DESIGN FURNITURE SRL,22142634,3101,Mobila,219,108676209,Comuna Mediesu Aurit,Satu Mare,,,,+40261826367,
AKA AUTOMOTIV SRL,15802274,2932,Autovehicule,218,129631353,"Sat Valeni-Podgoria, Comuna Calinesti",Arges,mpopescu@akaoto.com.tr,anofm_jobs_20260220_153333_20260314_549f40d5,true,+40248651600,
ELBROMPLAST SA,13087840,2221,Cauciuc si mase plastice,218,163261724,Municipiul Timisoara,Timis,,,,+40749232395,
ART MATCH SRL,11332587,2229,Cauciuc si mase plastice,218,85411192,"Sat Chisoda, Comuna Giroc",Timis,office@artmatch.ro,inferred,false,+40722395629,www.artmatch.ro
ROQUET EASTERN EUROPE S.R.L.,32738074,2599,Constructii metalice,218,193367330,"Sat Aricestii Rahtivani, Comuna Aricestii Rahtivani",Prahova,d.iordache@roquetgroup.com,master_companies,true,+40213005604,
DS SMITH PACKAGING ROMANIA SRL,14787842,1721,Hartie,217,214779604,Municipiul Timisoara,Timis,,,,+40372740245,
MADEXPORT SRL,7699080,1071,Industria alimentara,217,60090357,Municipiul Sfantu Gheorghe,Covasna,,,,+40267318284,
BDM GRUP INVEST SRL,14986667,2512,Constructii metalice,217,112481230,Municipiul Baia Mare,Maramures,office@bdm.ro,inferred,false,+40745191480,www.bdm.ro
ROSSINI SLEEVE TECHNOLOGIES SRL,19278610,2221,Cauciuc si mase plastice,217,159575179,"Sat Chisoda, Comuna Giroc",Timis,,,,,
COMES SA,2662292,2899,Masini si echipamente,217,124939465,"Sat Savinesti, Comuna Savinesti",Neamt,maria.barsan@comes.ro,master_companies,true,+40233281568,
DEMIUMA COMIMPEX SRL,4517523,1419,Confectii,216,66846975,Municipiul Craiova,Dolj,opostelnicu@nissa.ro,master_companies,true,+40721276687,
YILDIZ ENTEGRE ROMANIA S.A.,34826768,1621,Lemn,216,265405162,"Sat Ceausesti, Comuna Oarja",Arges,,,,,
ARTEMA PLAST SRL,6318446,2222,Cauciuc si mase plastice,216,192711335,"Loc. Boldesti-Scaeni, Oras Boldesti-Scaeni",Prahova,,,,+40244211329,
ORTOPROFIL PROD ROMANIA SRL,6877197,3250,Alte activitati industriale,216,87366212,Municipiul Targu Mures,Mures,resurseumane@ortoprofil.ro,anofm_jobs_20260309_091938_20260314_74c23d98,true,+40265216236,
ZAREA SA,1569200,1102,Bauturi,215,245137775,Bucuresti Sectorul 1,Bucuresti,alina_livanov@yahoo.com,master_companies,true,,
FILECA INDUSTRY SA,16025605,1310,Textile,215,62192188,"Loc. Beclean, Oras Beclean",Bistrita-Nasaud,,,,+40263343249,
SANTA SA,3582396,2120,Produse farmaceutice,215,38980471,Municipiul Brasov,Brasov,contact@villasantha.eu,master_companies,true,+40368401093,
SAGROD SRL,628782,1011,Industria alimentara,215,83036537,"Loc. Darabani, Oras Darabani",Botosani,simona.timpau@sagrod.ro,master_contacts,true,+40757114338,
N.Y.R. GEORGIANA TRADE SRL,30410215,1071,Industria alimentara,215,53979249,Bucuresti Sectorul 3,Bucuresti,,,,,
FINPROJECT ROMANIA SRL,13357197,1520,Pielarie,215,40579508,Municipiul Timisoara,Timis,,,,+40259431690,
GEPETO IMPEX SA,11034874,1013,Industria alimentara,215,61686393,"Sat Lumina, Comuna Lumina",Constanta,expert.achizitiipublice1@gmail.com,companies,true,+40241585152,www.gepeto.ro
FAIST METALWORKING SRL,24049540,2562,Constructii metalice,214,113797960,"Sat Bors, Comuna Bors",Bihor,,,,+40359803601,
MANAGEMENT OBJECTIVES S.A.,16418035,1061,Industria alimentara,213,78491454,Municipiul Braila,Braila,adrian.andrei@manob.ro,companies,true,,https://braila.cylex.ro/firma/management+objectives+sa-1401192.html
SWOBODA TIMISOARA S.R.L.,29717276,2221,Cauciuc si mase plastice,213,144647220,"Sat Giarmata-Vii, Comuna Ghiroda",Timis,,,,+40758012100,
GREINER ASSISTEC SOCIETATE CU RASPUNDERE LIMITATA,4792671,2229,Cauciuc si mase plastice,213,104491768,"Sat Leresti, Comuna Leresti",Arges,,,,,
TEXTY GARMENTS SRL,26755216,1392,Textile,212,18055311,"Loc. Siret, Oras Siret",Suceava,textygarments@textilholding.ro,master_companies,true,+40741067172,
MIRDATOD PROD SRL,6525417,1051,Industria alimentara,212,146857190,"Sat Ibanesti, Comuna Ibanesti",Mures,,,,+40265538055,
MM PACKAGING ROMANIA S.R.L.,10528500,1721,Hartie,211,276479775,"Sat Blejoi, Comuna Blejoi",Prahova,office@thimm.ro,master_companies,true,+40244598109,
ELECTRO ALFA CM SRL,17005541,2733,Echipamente electrice,211,64798368,Municipiul Botosani,Botosani,,,,,
VALMEDY PROD SRL,34027558,1392,Textile,211,41035860,Municipiul Cluj-Napoca,Cluj,,,,+40372620200,
WOCO PIPE SYSTEM COMPONENTS ROM SRL,29300693,2932,Autovehicule,211,99623086,Municipiul Satu Mare,Satu Mare,recrutare@ro.wocogroup.com,master_companies,true,,
KARELIA - UPOFLOOR SRL,19062454,1610,Lemn,211,100422463,Comuna Satulung,Maramures,,,,+40730503715,
SIDEM SRL,13847989,2932,Autovehicule,211,91165792,"Sat Scheia, Comuna Scheia",Suceava,office@sidem.ro,inferred,false,+40230526696,www.sidem.ro
VESTA INVESTMENT SRL,5891142,2599,Constructii metalice,211,87662552,Oras Otopeni,Ilfov,,,,+40213510975,
MOTILOR SRL,2872367,1071,Industria alimentara,211,33041919,Municipiul Cluj-Napoca,Cluj,dana_pas_eugenia@yahoo.com,master_companies,true,+40264481281,www.pralina.com
S.C. LIVARO S.R.L.,16361257,1520,Pielarie,211,15736179,"Sat Livada de Bihor, Comuna Nojorid",Bihor,marina.puscas@livaro.ro,master_companies,true,+40259415393,
INFORM LYKOS SA,9030790,1812,Tipar,210,336567249,Bucuresti Sectorul 1,Bucuresti,,,,+40214084500,
TRANS AGAPE SRL,6269971,1071,Industria alimentara,209,52744170,Municipiul Sibiu,Sibiu,resurseumane@transagape.ro,master_companies,true,+40269210897,
STAER INTERNATIONAL SA,2643282,3109,Mobila,209,87894457,Municipiul Galati,Galati,stc_international_1997@yahoo.com,master_companies,true,+40747778875,www.staer.ro
PORKPROD SRL,18595092,1011,Industria alimentara,209,125371308,"Sat Iratosu, Comuna Iratosu",Arad,,,,+40743843628,
COMCEREAL SA,8206929,11,,209,104041891,,,mihaela.bursuc@comcerealbt.ro,anofm_jobs_20260311_083428_20260314_70886e3a,true,0758990515,
CH INDUSTRIAL PROD SRL,29228059,1629,Lemn,207,74320887,Municipiul Gherla,Cluj,salarizare@chipwood.ro,master_companies,true,+40264241717,
LTP BALKAN S.R.L.,46026823,1413,Confectii,207,9607598,Municipiul Botosani,Botosani,cfl@ltpgroup.com,master_companies,true,,
MOBILA SA,2071776,3109,Mobila,207,36139329,Municipiul Slobozia,Ialomita,recrutare@mobilasa.ro,master_companies,true,+40771742232,
ARMAX GAZ SA,803727,2511,Constructii metalice,206,20295284,Municipiul Medias,Sibiu,,,,+40269845864,
CONFECTII VASLUI SA,826992,1413,Confectii,206,16307145,Municipiul Vaslui,Vaslui,confvs.vaslui@gmail.com,master_companies,true,+40735864260,www.confectiivaslui.com
CONDOR SA,5431,1392,Textile,206,40972664,Bucuresti Sectorul 2,Bucuresti,info@condorhotel.ro,master_companies,true,+40212855171,
INTERSTAR CHIM SA,6614930,2041,Substante chimice,206,219208515,Bucuresti Sectorul 3,Bucuresti,,,,+40214024100,
TRICOTEX SRL,971488,1392,Textile,206,12127986,Municipiul Bacau,Bacau,office@tricotexbacau.ro,anofm_jobs_20260220_153333_20260314_549f40d5,true,0234515220,
FAR EST WINDOWS SRL,17073295,2223,Cauciuc si mase plastice,205,75939307,Bucuresti Sectorul 6,Bucuresti,,,,+40728853099,
JOLIDON INTERNATIONAL SRL,29974202,1414,Confectii,205,57979158,Municipiul Cluj-Napoca,Cluj,,,,+40264419391,
BARLETA SRL,6462610,1721,Hartie,205,88384957,Municipiul Bacau,Bacau,resurse.umane@barleta.ro,master_companies,true,+40234589013,www.barleta.ro
BICO INDUSTRIES S.A.,19241603,1320,Textile,205,149653754,Municipiul Piatra Neamt,Neamt,,,,+40233211400,
R & B COM SRL,12617744,1071,Industria alimentara,204,70889869,"Loc. Baia Sprie, Oras Baia Sprie",Maramures,resurseumane@brutariabaiasprie.ro,master_companies,true,+40740013665,
TC MASURARE & CONTROL SRL,24483433,2651,Calculatoare si electronice,204,39829287,Municipiul Campina,Prahova,,,,+40244330030,
BECKER ROMANIA SRL,14758332,3109,Mobila,204,54374709,Municipiul Gherla,Cluj,hr@becker-romania.ro,master_companies,true,+40264241717,
CARMEUSE HOLDING SRL,15379680,2352,Alte produse minerale nemetalice,204,210048136,Municipiul Brasov,Brasov,,,,+40268417103,
PARAGON CUSTOMER COMMUNICATIONS ROMANIA S.R.L.,16570490,1812,Tipar,204,58682681,Oras Otopeni,Ilfov,,,,+40213504296,
SARMISMOB SA,2117288,3299,Alte activitati industriale,203,77700566,Municipiul Deva,Hunedoara,responsabul.r.u@sarmismob.ro,master_companies,true,+40254227901,
ZAMBELLI  METAL SRL,18223803,2562,Constructii metalice,203,51884943,Municipiul Sfantu Gheorghe,Covasna,office@zambelli-metal.ro,inferred,false,,www.zambelli-metal.ro
ELECTRIC SRL,1447920,2222,Cauciuc si mase plastice,203,90907645,Municipiul Focsani,Vrancea,mbacanu@gmail.com,master_companies,true,+40237221082,
MORAD FOODS S.R.L.,31575750,1013,Industria alimentara,203,99033479,Bucuresti Sectorul 1,Bucuresti,,,,,
MODELLEISENBAHN SRL,18641288,3240,Alte activitati industriale,203,23506684,Municipiul Arad,Arad,,,,,
AGRAS FOOD FACTORY SRL,46355095,1011,Industria alimentara,202,78608042,"Loc. Oarda, Municipiul Alba Iulia",Alba,agr_hr@scandia.ro,master_companies,true,+40756164258,
BYXAN TRANS SRL,11307370,2899,Masini si echipamente,202,62021880,Oras Breaza,Prahova,,,,+40788349877,
RO STAR SA,8529520,1072,Industria alimentara,202,60133284,Oras Bragadiru,Ilfov,,,,+40763630155,
TECONNEX EUROPE S.R.L.,39332757,2599,Constructii metalice,202,103665318,Municipiul Cluj-Napoca,Cluj,,,,,
AUNDE C&S AUTOMOTIVE S.R.L.,11648246,1392,Textile,201,25759329,"Sat Santana de Mures, Comuna Santana de Mures",Mures,petcu.antoaneta@aunde.ro,master_companies,true,+40788460769,
BECOTEK METAL SRL,18596705,2815,Masini si echipamente,200,112796934,Bucuresti Sectorul 2,Bucuresti,mircea.bucur@harshaengeneers.ro,master_companies,true,+40723156186,
ICE DYP BALAS SRL,8615850,1052,Industria alimentara,200,116811498,"Sat Carpinis, Comuna Carpinis",Timis,cluj@icedyp.ro,master_companies,true,+40727798928,
MATT DESIGN & PRODUCTION SRL,14793100,3101,Mobila,199,62856997,Bucuresti Sectorul 4,Bucuresti,valentina.rizea@mattdesign.ro,master_companies,true,+40212557211,
TRICONF TEXTIL SRL,33720423,1413,Confectii,199,11137134,Municipiul Turnu Magurele,Teleorman,cornelia.neagu@triconftextil.ro,master_companies,true,,
EXIMPROD POWER SYSTEMS S.A.,14157812,2712,Echipamente electrice,198,184099681,Municipiul Buzau,Buzau,,,,+40747242101,
CARPATIS SRL,712360,1013,Industria alimentara,198,105792457,Municipiul Suceava,Suceava,primaconproiect@yahoo.com,master_companies,true,+40230247767,www.carpatis.ro
RECOM SID SA,14552595,2511,Constructii metalice,198,47622358,Municipiul Hunedoara,Hunedoara,office@recomsid.ro,master_companies,true,+40254207022,
VARIOSYSTEMS ROMANIA S.R.L.,8354682,2611,Calculatoare si electronice,198,23094328,"Sat Santu Floresti, Comuna Gruiu",Ilfov,,,,+40213508099,
NEGRO 2000 SRL,4600075,1020,Industria alimentara,197,179196616,Bucuresti Sectorul 4,Bucuresti,office@negro2000.ro,master_companies,true,+40744321152,
OVO DESIGN FURNITURE GROUP SRL,6844688,3109,Mobila,197,56114583,Oras Chitila,Ilfov,,,,,
MAIRON TUBES SRL,6497929,2420,Industria metalurgica,197,65687225,Municipiul Galati,Galati,,,,+40236471165,
GOODMILLS ROMANIA SRL,1221611,1061,Industria alimentara,197,334501745,Oras Pantelimon,Ilfov,office@titan.ro,inferred,false,+40212046790,www.titan.ro
GLOBAL GRAIN INTERNATIONAL SRL,36312437,1041,Industria alimentara,196,346600560,Bucuresti Sectorul 1,Bucuresti,m.nicolae@transoilcorp.com,master_companies,true,+40743555960,
EMSIL TECHTRANS SRL,7972880,2511,Constructii metalice,196,50602247,Municipiul Oradea,Bihor,,,,+40745201636,
RECOMET IMPEX SRL,14317859,2920,Autovehicule,196,98805075,Municipiul Cluj-Napoca,Cluj,,,,,
SISTEMPLAST SA,11438007,2562,Constructii metalice,195,31107184,Municipiul Ramnicu Valcea,Valcea,,,,+40744549106,
ALEXANDRION SABER DISTILLERIES 1789 S.R.L.,13575086,1101,Bauturi,195,218955869,"Sat Pleasa, Comuna Bucov",Prahova,office@alexandrion.ro,inferred,false,+40724211492,www.alexandrion.ro
COMPANY MED SRL,21912891,2931,Autovehicule,195,19826240,"Sat Pechea, Comuna Pechea",Galati,alina.panait@companymed.ro,master_companies,true,+40752610346,
PRESTIGE MOB SRL,6600187,3109,Mobila,195,69602849,"Sat Balotesti, Comuna Balotesti",Ilfov,artedocc@gmail.com,anofm_jobs_20260309_091938_20260314_74c23d98,true,+40213512162,
TE CONNECTIVITY SENSOR SOLUTIONS SRL,38546892,2651,Calculatoare si electronice,195,279574945,Bucuresti Sectorul 2,Bucuresti,,,,,
RAGUSE MEDIZINISCHE PRODUKTE ROMANIA SRL,9521827,2660,Calculatoare si electronice,194,18514694,"Loc. Cisnadie, Oras Cisnadie",Sibiu,,,,+40730584412,
ARTSANA ROMANIA SRL,12266600,1419,Confectii,194,14663892,Municipiul Botosani,Botosani,,,,+40231531332,
MARCHAND SRL,425257,1011,Industria alimentara,194,85279903,Bucuresti Sectorul 5,Bucuresti,office@marchand.ro,master_contacts,true,+40214930048,www.marchand.ro
DS SMITH PACKAGING GHIMBAV S.R.L.,1132506,1721,Hartie,194,159699144,"Loc. Ghimbav, Oras Ghimbav",Brasov,,,,+40268259100,
CIBIBON SRL,11256366,1072,Industria alimentara,194,72526437,Municipiul Piatra Neamt,Neamt,,,,+40233229595,
MECANPETROL SA,934854,2511,Constructii metalice,194,42732256,"Loc. Gaesti, Oras Gaesti",Dambovita,,,,+40722799980,
SOGEFI SUSPENSIONS EASTERN EUROPE S.R.L.,39839629,2932,Autovehicule,193,242426622,Municipiul Oradea,Bihor,florina.nerghes@sogefigroup.com,master_companies,true,+40732000080,www.sogefigroup.com
WALOR RO SRL,21496420,2562,Constructii metalice,193,202568256,Municipiul Sfantu Gheorghe,Covasna,paunita.hodea@walor.com,master_companies,true,+40722234161,
GOTEC ROM SRL,21851638,2561,Constructii metalice,193,62760517,Municipiul Satu Mare,Satu Mare,,,,+40261727416,
QUALICAPS ROMANIA SRL,23830038,2059,Substante chimice,193,145719849,Bucuresti Sectorul 1,Bucuresti,,,,+40723475706,
LA CASA RISTORANTE PIZZERIA PANE DOLCE SRL,32069255,1071,Industria alimentara,193,39541952,Municipiul Cluj-Napoca,Cluj,resurseumane@lacasapane.ro,master_companies,true,+40710183723,
DS SMITH PAPER ZARNESTI S.R.L.,1124988,1712,Hartie,192,431626980,"Loc. Zarnesti, Oras Zarnesti",Brasov,,,,,
SIMEX SA,687479,3109,Mobila,192,39466331,"Loc. Simleu Silvaniei, Oras Simleu Silvaniei",Salaj,,,,+40744572151,
ANA PAN SA,6718515,1071,Industria alimentara,191,37288221,Bucuresti Sectorul 2,Bucuresti,cristina.tomescu@anapan.ro,romania_food_distribution_contacts_20260314_97f4a0d3,true,+40212332236,
VEF SA,1444079,2599,Constructii metalice,190,27012583,Municipiul Focsani,Vrancea,rsumane@vef.com.ro,anofm_jobs_20260313_083455_20260314_3eab569a,true,+40237233659,
TERMOPLAST SRL,2003232,2223,Cauciuc si mase plastice,190,76530490,Municipiul Roman,Neamt,,,,+40233743970,
SETRO METAL GROUP SA,16457255,2511,Constructii metalice,190,46669896,Municipiul Campulung,Arges,dan@setrometalgroup.ro,anofm_jobs_20260313_083455_20260314_3eab569a,true,+40740105305,
FAULHABER MOTORS ROMANIA SRL,17595493,2711,Echipamente electrice,190,94124403,"Loc. Jimbolia, Oras Jimbolia",Timis,,,,,
TECHNOPHAR EQUIPMENT AND SERVICE SRL,8482100,2899,Masini si echipamente,189,78548095,"Sat Cornu de Jos, Comuna Cornu",Prahova,,,,+40725449800,
TERQUA SRL,12788922,2822,Masini si echipamente,189,55130346,Municipiul Ploiesti,Prahova,,,,+40747374896,
SOLERS SRL,33812594,2611,Calculatoare si electronice,189,43562151,Municipiul Bacau,Bacau,,,,+40728939728,
LAGUNA SERV SRL,6860144,3109,Mobila,188,65513466,Municipiul Sighetu Marmatiei,Maramures,epureanuion60@gmail.com,master_companies,true,+40262330122,
MACOFIL SA,2157789,2332,Alte produse minerale nemetalice,188,92299999,Municipiul Targu Jiu,Gorj,,,,,
SPEIDEL ROMANIA SRL,13439793,1414,Confectii,188,19304388,Municipiul Focsani,Vrancea,,,,,
AKKIM EUROPE S.R.L.,36783647,2016,Substante chimice,188,248209657,Municipiul Ploiesti,Prahova,mihaela.pirvu@akkim.eu,master_companies,true,+40216500071,
CONFECTIA SA,2362597,1414,Confectii,188,12199404,Municipiul Tulcea,Tulcea,,,,+40240512410,
PATISGAL SRL,15379876,1072,Industria alimentara,187,87656612,Municipiul Galati,Galati,office@patisgal.ro,master_contacts,true,+40236449955,
DELFINGEN RO - TRANSILVANIA SRL,17981940,2221,Cauciuc si mase plastice,187,155545399,Municipiul Arad,Arad,,,,+40726676122,
IMOB SRL,6571324,3109,Mobila,187,38267971,"Sat Dumbrava Rosie, Comuna Dumbrava Rosie",Neamt,office@imobsrl.ro,master_companies,true,+40233211320,
CECCO BRUNA 2011 SRL,29087146,1512,Pielarie,186,25846727,Municipiul Sibiu,Sibiu,adina.muntean@ceccobruna.ro,master_companies,true,+40727390756,
AKU EST SRL,14276244,1520,Pielarie,186,18030453,Municipiul Cluj-Napoca,Cluj,,,,+40722230150,
CONFEX  SOCIETATE COOPERATIVA,1158255,1413,Confectii,186,11918596,Municipiul Buzau,Buzau,,,,+40238710518,
DENTAS ROMANIA SRL,16011391,1729,Hartie,186,104172905,Bucuresti Sectorul 3,Bucuresti,,,,+40245607313,
WESTBRIDGE MANUFACTURING S.R.L.,17613689,1392,Textile,185,24177810,Municipiul Sighetu Marmatiei,Maramures,,,,+40262318000,
WEST CO IMPEX SRL,4565806,2223,Cauciuc si mase plastice,185,74354591,"Sat Criseni, Comuna Criseni",Salaj,,,,,
INTER-SPITZEN SRL,8397683,1399,Textile,185,22106681,Municipiul Lugoj,Timis,,,,+40356358900,
SARA SRL,1152015,2550,Constructii metalice,185,63010745,Municipiul Buzau,Buzau,office@hotelsara.ro,master_companies,true,,
VARGA QUATTRO SRL,6595234,1071,Industria alimentara,185,44038415,Municipiul Carei,Satu Mare,office@vargaquattro.ro,master_contacts,true,+40261861593,
VITAFOAM ROMANIA SRL,16466520,2016,Substante chimice,184,218426328,"Loc. Ludus, Oras Ludus",Mures,,,,+40365882310,
STEFI TEX SRL,15770563,1413,Confectii,184,19726323,Municipiul Suceava,Suceava,,,,+40745030703,
CIE MATRICON SA,1217009,2453,Industria metalurgica,184,213050817,Municipiul Targu Mures,Mures,,,,+40265264794,
DESLEECLAMA EASTERN EUROPE SRL,18841367,1392,Textile,183,155521432,Bucuresti Sectorul 1,Bucuresti,,,,+40269206780,
WERZALIT LEMN TECH S.R.L.,11454053,1621,Lemn,183,47815167,Municipiul Lugoj,Timis,,,,+40256218621,
AFRISO-EURO-INDEX SRL,2356161,2651,Calculatoare si electronice,182,58690037,Bucuresti Sectorul 5,Bucuresti,,,,+40721550046,
AUTONOVA SA,639110,2932,Autovehicule,182,44500555,Municipiul Satu Mare,Satu Mare,autonova@autonova.ro,anofm_jobs_20260309_091938_20260314_74c23d98,true,+40261769564,
CAFEA FORTUNA SRL,7400756,1083,Industria alimentara,182,266961216,"Sat Dragomiresti-Deal, Comuna Dragomiresti-Vale",Ilfov,office@cafeafortuna.ro,master_contacts,true,+40213001307,
TUDIA SRL,11963790,1051,Industria alimentara,181,73297123,Municipiul Suceava,Suceava,danieltoma821@yahoo.com,master_companies,true,+40722533597,
EUROPROD SA,13531071,1013,Industria alimentara,181,160001400,Municipiul Bacau,Bacau,info@europrodfood.ro,master_contacts,true,+40234520206,
MARCEL PROD SRL,5113892,3109,Mobila,181,49553263,"Sat Tudor Vladimirescu, Comuna Tudor Vladimirescu",Galati,,,,+40744391403,
SOGEMA SRL,5315930,1413,Confectii,181,19082618,Municipiul Oradea,Bihor,,,,+40259435421,
TB&C OUTSERT ROMANIA SRL,33418884,2229,Cauciuc si mase plastice,181,74018491,Municipiul Arad,Arad,,,,,
AQUIS SYSTEMS S.R.L.,19503305,2790,Echipamente electrice,181,117156876,"Loc. Jimbolia, Oras Jimbolia",Timis,,,,+40722560119,
R.G.HOLZ COMPANY SRL,12178568,1610,Lemn,181,54867696,"Loc. Viseu de Sus, Oras Viseu de Sus",Maramures,office@rgholz.com,inferred,false,+40262353100,www.rgholz.com
ROSTI ROMANIA SRL,30168597,2229,Cauciuc si mase plastice,180,163679772,"Sat Paulesti, Comuna Paulesti",Prahova,,,,+40722464148,
JIFFY PACKAGING S.A.,6315466,2221,Cauciuc si mase plastice,180,106489839,Municipiul Piatra Neamt,Neamt,dgavriliu@pregis.com,master_companies,true,+40233227040,
COROM EXPORT SRL,15113369,3109,Mobila,180,46933992,"Sat Sanbotin, Comuna Daesti",Valcea,laura.corom@gmail.com,anofm_jobs_20260313_083455_20260314_3eab569a,true,+40250753578,
ASAM SA,1965018,2932,Autovehicule,180,53567164,Municipiul Iasi,Iasi,christyan992000@yahoo.com,master_companies,true,+40232215513,
BRASPENNING PROJECTS S.R.L.,46861874,3315,Reparatii masini si echipamente,180,23702804,Bucuresti Sectorul 1,Bucuresti,,,,,
MINET SA,1476070,1395,Textile,180,135925838,Municipiul Ramnicu Valcea,Valcea,hr@minet.ro,master_companies,true,+40250737473,
CODRINA SRL,4121722,1071,Industria alimentara,179,56786849,Municipiul Timisoara,Timis,hotel.sibiu@gmail.com,master_companies,true,+40256431888,www.cofetariacodrina.ro
SALT CONFORT SRL,21133530,3103,Mobila,179,26438628,"Loc. Urlati, Oras Urlati",Prahova,,,,+40730603545,
LANTMANNEN UNIBAKE ROMANIA S.A.,35898037,1071,Industria alimentara,179,167982809,Oras Pantelimon,Ilfov,,,,,
CROSTA SRL,15793982,1071,Industria alimentara,179,31315275,"Sat Sabaoani, Comuna Sabaoani",Neamt,resurseumane@crosta.ro,master_companies,true,+40766573712,
FRANKISCHE ROMANIA SRL,33770766,2221,Cauciuc si mase plastice,179,77804180,"Sat Badeni, Comuna Moldovenesti",Cluj,diana.feurdeanu@fraenkische-ro.com,anofm_jobs_20260220_153333_20260314_549f40d5,true,+40786363911,
SOFIAMAN IMPEX SRL,4536401,1414,Confectii,179,29358962,"Loc. Targu Neamt, Oras Targu Neamt",Neamt,,,,+40233791343,
