company,email,phone,source_table
COVISIAN ROMANIA S.R.L.,alina.tomegea@covisian.com,0736863684,anofm_jobs_20260220_153333_20260314_549f40d5
COZMIRCOM S.R.L.,contact@cozmircomsa.ro,0262222134,anofm_jobs_20260220_153333_20260314_549f40d5
CPP TRANSPED INTERNATIONAL S.R.L.,revoldelta@gmail.com,0720614504,anofm_5_30pos_older_than_30_days_20260314_66bc9356
CRAFT BISTRO HOUSE S.R.L.,lucanicolae.puls@yahoo.com,0760237829,anofm_jobs_20260220_153333_20260314_549f40d5
CRAFT NATURE JOINERY S.R.L.,account@craft-nature.com,07852795645,anofm_jobs_20260220_153333_20260314_549f40d5
CRAN LIFTINGS S.R.L.,emil.furca@cran.ro,0746174757,anofm_5_30pos_older_than_30_days_20260314_66bc9356
CRAZY HAPPY KIDS S.R.L.,ginaudroiu@yahoo.com,0727334417,anofm_new_turism_20260314_17f0d9ec
CREATIV ATELIER VISION FASHIONS S.R.L.,soci_lucia@yahoo.com,0788 425 987,anofm_new_confectii_20260314_8da893a3
CREATIVE MOBILITY SOLUTIONS S.R.L.,creativecitym@gmail.com,0739501502,anofm_jobs_20260309_091938_20260314_74c23d98
CRISAME S.R.L.,biancaghitta@yahoo.com,0721461841,anofm_new_productie_20260314_40b9f91f
CRISAN COMIMPEX SRL,crisan.i.f@gmail.com,0771216788,anofm_jobs_20260220_153333_20260314_549f40d5
CRIS PREV OLTENIA S.R.L.,crisprev2008@yahoo.com,0724151312,anofm_5_30pos_older_than_30_days_20260314_66bc9356
CRISTALEL CLEANING S.R.L.,cristinaelenaciobanu81@gmail.com,0725549049,anofm_jobs_20260220_153333_20260314_549f40d5
CRISTIANDREI FOREVER S.R.L.,mironanamaria88@gmail.com,0742331592,anofm_new_constructii_20260314_8477685f
CRISTIN NL IMPEX,wp@counselors.legal,0727793230,anofm_new_turism_20260314_17f0d9ec
CRISTOPHE TO BE FOOD S.R.L.,cristophetobefood2018@gmail.com,0769448436,anofm_jobs_20260220_153333_20260314_549f40d5
CRYSTIALEXASYMO S.R.L.,cristi.radu.ionel@gmail.com,0743013027,anofm_jobs_20260220_153333_20260314_549f40d5
CSABA CLEAN S.R.L.,sallaicsaba8@gmail.com,0757773330,anofm_jobs_20260309_091938_20260314_74c23d98
C.S.C TRANS METAL SRL,mircea.falan@csc-transmetal.com,0 730 094 441,anofm_jobs_20260313_083455_20260314_3eab569a
CSÍKI SPORTCENTRUM S.R.L.,hajnal.szasz.experthr@gmail.com,0740820588,anofm_jobs_20260313_083455_20260314_3eab569a
CSM OIL GROUP S.R.L.,csmoilgroup@yahoo.com,0723675916,anofm_jobs_20260220_153333_20260314_549f40d5
CTN RIDE S.R.L.,mara_serbaniuc@yahoo.com,0730510282,anofm_jobs_20260220_153333_20260314_549f40d5
CTP INDUSTRIES SERVICES SRL,office@ctpgroup.ro,0344 142592,anofm_5_30pos_older_than_30_days_20260314_66bc9356
CUBE AUTO AND DESIGN,cubenewdesign@gmail.com,0722354744,anofm_jobs_20260309_091938_20260314_74c23d98
CUBE PRODUCTION SRL,office@cubeproduction.ro,+40 741 311 629,anofm_new_alte_20260314_0cf00e61
CUPITDONE COFFEE S.R.L.,chira.andrei123.123@gmail.com,0743328027,anofm_jobs_20260220_153333_20260314_549f40d5
CURSIV REX S.R.L.,vasilicaa2018@gmail.com,0723 617 106,anofm_5_30pos_older_than_30_days_20260314_66bc9356
CUW IMPEX SRL,personal@crescendogrup.ro,0773935877,anofm_jobs_20260220_153333_20260314_549f40d5
CVM CARS DRIVE S.R.L,contact@atarlawyer.ro,0744956724,anofm_jobs_20260220_153333_20260314_549f40d5
CXC BRANDS S.R.L.,cxcbrands@gmail.com,0771751456,anofm_jobs_20260220_153333_20260314_549f40d5
CZN PRODUCTION S.R.L.,cznproduction2024@gmail.com,0744625235,anofm_jobs_20260313_083455_20260314_3eab569a
DAAS IMPEX SRL,iulianaandra.badiu@daas.ro,0722333929,anofm_jobs_20260220_153333_20260314_549f40d5
DAB AUTO SERV SRL,resurseumane@dabauto.ro,0722372772,anofm_jobs_20260309_091938_20260314_74c23d98
DABC ECOPROD SRL,dabcecoprod@gmail.com,0740013276,anofm_jobs_20260313_160855_20260314_6a442ca2
DABRO IMPEX SRL,dabroimpex@gmail.com,0263/236132,anofm_jobs_20260220_153333_20260314_549f40d5
DADOŞ HORECA S.R.L.,dadoshoreca@gmail.com,0730072629,anofm_jobs_20260309_091938_20260314_74c23d98
DAF IDEAL OPTIM S.R.L.,dafidealoptim@gmail.com,0755907757,anofm_jobs_20260220_153333_20260314_549f40d5
DAGAMITEX S.R.L.,dagamitex@gmail.com,0744373131,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DAGMAR S.R.L.,radu.rizescu@gmail.com,0722226579,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DALIX ELECTRIC SERV SRL,dalixelectric@yahoo.com,0744646041,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DAMACC INDUSTRY S.R.L.,mncgrup@gmail.com,0722605509,anofm_jobs_20260220_153333_20260314_549f40d5
DAMIS ADVERTISING & CONSULTING S.R.L,rentacardox@gmail.com,0720314298,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DANALEX PATIPROD CONCEPT S.R.L.,claudiaene193@yahoo.com,0746504640,anofm_new_alte_20260314_0cf00e61
DAN&amp;DANA MARKET S.R.L.,daniela.mihalut@gmail.com,0745577908,anofm_jobs_20260309_091938_20260314_74c23d98
DAN CONSTRUCT AMD S.R.L.,andadi70@gmail.com,0726169869,anofm_jobs_20260220_153333_20260314_549f40d5
DANESSA IMPEX SRL,danessaimpex@gmail.com,0788660012,anofm_jobs_20260309_091938_20260314_74c23d98
DANEX ECHIPAMENTE SRL,ioana.alionte@danex.ro,0746107861,anofm_jobs_20260220_153333_20260314_549f40d5
DANIA SHAORMA S.R.L.,axmhradvisors@gmail.com,0723877880,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DANI TORI MARI S.R.L.,tautdaniel16@gmail.com,0783026483,anofm_new_alte_20260314_0cf00e61
DANLUC AUTO SRL,danluc2023igi@gmail.com,0741 110 050,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DAPAL CONCEPT BUILDING S.R.L.,dapalconceptbuilding@yahoo.com,0751242782,anofm_jobs_20260220_153333_20260314_549f40d5
DARBRI AGRO S.R.L.,constanta1969@yahoo.com,0741193411,anofm_jobs_20260220_153333_20260314_549f40d5
DAR DRAXLMAIER AUTOMOTIVE SRL,alexandru.bari@draexlmaier.com,0728106572,anofm_jobs_20260220_153333_20260314_549f40d5
DARIAN ERIC BUSINESS S.R.L.,contab.more@gmail.com,0733673691,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DARINOLYEXPRES S.R.L.,badeaa22@yahoo.com,0749020302,anofm_jobs_20260309_091938_20260314_74c23d98
DARO BUSINESS S.R.L.,georgiana.oancea@otdlawyers.ro,0746487242,anofm_jobs_20260310_123444_20260314_a3ffee1a
DAROM SERVICII SUPORT S.R.L.,recrutare@darom.ro,0725920590,anofm_jobs_20260313_083455_20260314_3eab569a
DARRAD INSTAL S.R.L.,contabhusi@yahoo.com,0760367498,anofm_jobs_20260220_153333_20260314_549f40d5
DAS CONCEPT S.R.L.,office@dasconcept.ro,0773782964,anofm_jobs_20260220_153333_20260314_549f40d5
DATAMINR ROMANIA S.R.L.,hr-ro@threatconnect.com,0741378790,anofm_jobs_20260220_153333_20260314_549f40d5
DAVAD FIVE SYSTEMS S.R.L.,davadfive@yahoo.com,0765625369,anofm_new_alte_20260314_0cf00e61
DAVID ALEXDIO PAVAMED S.R.L.,sofia_botan@yahoo.com,0745347530,anofm_new_alte_20260314_0cf00e61
DAVID MIHAI CDM S.R.L.,carauleanu_serban@yahoo.com,0726559332,anofm_jobs_20260220_153333_20260314_549f40d5
DAVID'S BAKERY S.R.L.,claudiumihaidusa@gmail.com,0724448886,anofm_jobs_20260220_153333_20260314_549f40d5
DAVIG LEMN S.R.L.,contact@lamoarabucovina.ro,07248007427,anofm_jobs_20260220_153333_20260314_549f40d5
DAVȘTEF CONSTRUCTII SUBTERANE S.R.L.,davstefcs@yahoo.com,0732056433,anofm_jobs_20260220_153333_20260314_549f40d5
DBM IMPEX SRL,buleacd@yahoo.com,0731347820,anofm_jobs_20260313_083455_20260314_3eab569a
DB SCHENKER GBS BUCHAREST S.R.L.,cosmina.zirna@dbschenker.com,0726359676,anofm_jobs_20260220_153333_20260314_549f40d5
DC Electrix S.R.L.,dcelectrix25@gmail.com,0745395484,anofm_new_alte_20260314_0cf00e61
D.D.F. SPEEDY BUS S.R.L.,contabilitateddf@gmail.com,0744770574,anofm_jobs_20260309_091938_20260314_74c23d98
DECASA BIO FOOD S.R.L.,decasabiofood@gmail.com,0755649033,anofm_new_turism_20260314_17f0d9ec
DECOSERV BUILD PLUS S.R.L.,cristinastroe44@gmail.com,0722547357,anofm_jobs_20260309_091938_20260314_74c23d98
DEDEIA UTILITAR BUILDING S.R.L.,voineateodoramaria@gmail.com,0764803943,anofm_jobs_20260220_153333_20260314_549f40d5
DEEA CRYSS COLLECTION S.R.L.,deeastore2012@gmail.com,0767900091,anofm_jobs_20260313_083455_20260314_3eab569a
DEEA PLAN PROFESIONAL S.R.L.,ionut.slodoneanu@gmail.com,0723565112,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DEFINITIVE BEAUTY S.R.L,berceaalin49@yahoo.ro,0765058855,anofm_jobs_20260220_153333_20260314_549f40d5
DEK SOLUTION PARTNERS S.R.L.,nakhonromania@gmail.com,+40738762033,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DELGAZ GRID S.A.,recrutare@delgaz-grid.ro,0747777777,anofm_jobs_20260220_153333_20260314_549f40d5
DELIA CHICKEN GRILL S.R.L,craciunsimona1994@gmail.com,0792700318,anofm_new_turism_20260314_17f0d9ec
DELIVERY RECRUITERS S.R.L.,transilvaniasolutions@yahoo.com,0745350567,anofm_jobs_20260313_083455_20260314_3eab569a
DELTA ALUMINIU SRL,office@delta-al.ro,0249/410331,anofm_jobs_20260220_153333_20260314_549f40d5
DELTA ENGINEERING AUTOMATION SRL,hr@delta-engineering.ro,0262222410,anofm_jobs_20260309_091938_20260314_74c23d98
DELTA MARINE SHOP S.R.L.,tiberiusmarinescu@yahoo.com,+40 741 302 382,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DEMGY DEVA S.R.L.,a.igna@demgy.com,0254235833,anofm_jobs_20260220_153333_20260314_549f40d5
DEMGY FAGARAS S.R.L.,roumanie@dedinne.com,0268215600,anofm_new_alte_20260314_0cf00e61
DENDAR EXCAV S.R.L.,donexcav@yahoo.com,0761099100,anofm_jobs_20260220_153333_20260314_549f40d5
DENTA CORLADE S.R.L.,denta.corlade.adm@gmail.com,0744.820323,anofm_new_alte_20260314_0cf00e61
DENTATUS COMIMPEX SRL,albert_anna_eniko@yahoo.com,0744515440,anofm_new_alte_20260314_0cf00e61
DEPOZITUL DE FURAJE MOARA GRECILOR S.R.L.,mara.spiridon@yahoo.com,0749123790,anofm_jobs_20260309_091938_20260314_74c23d98
DERPAN S.R.L.,madalina.radu@goldenfoods.com.ro,0745340925,anofm_jobs_20260220_153333_20260314_549f40d5
DESIGN A BETTER LIFE S.R.L.,iulian.vasile.puiu@gmail.com,0768746865,anofm_jobs_20260220_153333_20260314_549f40d5
DESIGN PROIECT PREMIUM S.R.L,vioricaceausu@yahoo.com,0722292131,anofm_jobs_20260220_153333_20260314_549f40d5
DESIGN WELDING PRODUCTION,desingdwp@yahoo.com,07443740510,anofm_jobs_20260220_153333_20260314_549f40d5
DETERGENTI S.A.,recrutare.im@pg.com,0344 229 200,anofm_jobs_20260313_160855_20260314_6a442ca2
DEVA STEEL CORPORATION S.R.L.,halasz.daniela@dscorporation.ro,0737190303,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DEZICLEAN RETAIL DIVISION S.R.L.,resurse.umane@deziclean.ro,0744502247,anofm_jobs_20260309_091938_20260314_74c23d98
DHELECTRIC HOME SRL,office@dhe.ro,0770669931,anofm_jobs_20260220_153333_20260314_549f40d5
DIACONU CONSULT OFFICE S.R.L.,mdwaytosuccess@gmail.com,0751031143,anofm_jobs_20260220_153333_20260314_549f40d5
DIAGNOSTIKUM MEDICAL S.R.L.,contact@diagnostikum-medical.ro,0754947745,anofm_jobs_20260220_153333_20260314_549f40d5
DIANTORIA S.R.L.,usteamihaela@gmail.com,0774423176,anofm_jobs_20260220_153333_20260314_549f40d5
DIARAL NORD S.R.L.,diaralnord@gmail.com,0743798752,anofm_jobs_20260220_153333_20260314_549f40d5
DIART SOLUTIONS S.R.L.,adrry26@gmail.com,0722269677,anofm_jobs_20260309_091938_20260314_74c23d98
DIAXIMPEX PREST SRL,lidiadaianu@yahoo.com,0769608270,anofm_jobs_20260313_083455_20260314_3eab569a
DIESEL SERVICE BOSANCI S.R.L.,bracau.a.t@xnet.ro,0230206130,anofm_jobs_20260220_153333_20260314_549f40d5
DIJA LORIK S.R.L.,gjelbrimmorina11@gmail.com,0722733561,anofm_new_alte_20260314_0cf00e61
DINAMIC CONSTRUCT AMIR S.R.L.,dinamicamir22@gmail.com,0736430875,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DINAMIC DELIVERY S.R.L.,dinamic.delivery@gmail.com,0727793230,anofm_jobs_20260313_160855_20260314_6a442ca2
DINAMIC PRODCOM SRL,dinamic_prodcom@yahoo.ro,0741215676,anofm_new_confectii_20260314_8da893a3
DIRECT LINE INOX IMPEX SRL,office@directline.ro,0264436037,anofm_jobs_20260220_153333_20260314_549f40d5
DISAN ANTREPRIZA ȘI CONSTRUCȚII S.R.L.,disanantrepriza@gmail.com,0728075044,anofm_jobs_20260313_083455_20260314_3eab569a
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,ioana.balazs@distributie-energie.ro,0264205434,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DISTRIBUȚIE ENERGIE ELECTRICĂ ROMANIA S.A.,ilie.raluca@distributie-energie.ro,0268305035,anofm_jobs_20260220_153333_20260314_549f40d5
DISTRIBUŢIE ENERGIE ELECTRICĂ ROMANIA S.A. CLUJ-NAPOCA SUCURSALA BRAȘOV,office.brasov@distributie-energie.ro,0268/410430,anofm_jobs_20260220_153333_20260314_549f40d5
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA SA- SUCURSALA HARGHITA,office.harghita@distributie-energie.ro,0266205702,anofm_jobs_20260220_153333_20260314_549f40d5
DISTRIBUȚIE ENERGIE OLTENIA S.A.,lavinia.teleaba@distributieoltenia.ro,0372524478,anofm_jobs_20260220_153333_20260314_549f40d5
DL CONSTRUCT FINISAJE REPARATII S.R.L. ,birou@dlconstruct.ro,0770.463.385,anofm_jobs_20260220_153333_20260314_549f40d5
DM ITALIAN SOFA S.R.L.,l.luca@dmitaliansofa.ro,0257216610,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DM MARKET S.R.L,dmmarket23@gmail.com,0745222247,anofm_new_curierat_20260314_17b33dec
DMM STEEL METALS S.R.L.,office@metaldmm.com,0741302014,anofm_jobs_20260220_153333_20260314_549f40d5
DMT TRAIAN CONSTRUCTING S.R.L.,partenetraiancatalin@gmail.com,0752426524,anofm_new_constructii_20260314_8477685f
DN AUTOMOTIVE SRL,dn.automotive@yahoo.com,0732051995,anofm_jobs_20260309_091938_20260314_74c23d98
DN&LX AUTO TRANS S.R.L.,traiancapitanescu@yahoo.com,0722700725,anofm_new_service_auto_20260314_b4a2325b
DNO PIZZA OVIO S.R.L.,novaccorneliucatalin@gmail.com,0744619408,anofm_jobs_20260313_083455_20260314_3eab569a
DNS EUROSPEED S.R.L.,dnseurospeed@gmail.com,0731576548,anofm_new_transport_20260314_7ccb1137
DOBAI AUTO CLINIC SRL,doibaieugenia6@gmail.com,0740643806,anofm_new_alte_20260314_0cf00e61
DOBROGEA PANIFICATIE SRL,neli.zamfiroiu@dobrogeagrup.ro,0241/482219,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DOCTOR AQUA S.R.L.,ctc.triumf@gmail.com,0730850527,anofm_jobs_20260309_091938_20260314_74c23d98
DOCTOR ÎN INSTALAŢII S.R.L,office@distrigaz-sud.ro,0755495588,anofm_jobs_20260220_153333_20260314_549f40d5
DOLARY PRODPAN SRL,dolariprodpan@yahoo.com,0259473200,anofm_new_alte_20260314_0cf00e61
DOLEXPO S.R.L.,dolianugabi@yahoo.com,0769477114,anofm_jobs_20260220_153333_20260314_549f40d5
Domcare auto srl,nsdlightbusiness@gmail.com,0766380033,anofm_jobs_20260220_153333_20260314_549f40d5
DON OCTAVIAN DELIVERY S.R.L.,asdfasdfasf@gmail.com,0735965222,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DOTMA DEVELOPMENT S.R.L.,hr@dotma.ro,0786350711,anofm_jobs_20260313_083455_20260314_3eab569a
DOZA DE SANATATE FORTE S.R.L.,paul.99@gmail.com,0743515200,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DPN INSTAL S.R.L,dpn_instal@yahoo.com,0720004764,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DRAGOŞ CONTRACTORS ROMANIA S.R.L.,denis_tataran@yahoo.com,(0770) 950 391,anofm_jobs_20260309_091938_20260314_74c23d98
DRAGOS FOOD S.R.L.,office@deli-cios.ro,0738822570,anofm_jobs_20260220_153333_20260314_549f40d5
DRAKUPLAST S.R.L.,nicoleta.tonca@drakuplast.eu,0729057701,anofm_new_productie_20260314_40b9f91f
D.R.B CONSTRUCT S.R.L.,drbconstruct@yahoo.com,0742392365,anofm_jobs_20260220_153333_20260314_549f40d5
DR. CIULEA DENTAL CLINIC S.R.L,ciuleadent@gmail.com,0744961976,anofm_jobs_20260220_153333_20260314_549f40d5
DRINI PAN S.R.L.,contimigocnsult@gmail.com,+40 742 684 475,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DR.MAX S.R.L.,cati.militaru@drmax.ro,0 213017474,anofm_jobs_20260309_091938_20260314_74c23d98
DRM DRAXLMAIER ROMANIA SISTEME ELECTRICE SRL,luminita.sabau@draexlmaier.com,0261/706100,anofm_jobs_20260220_153333_20260314_549f40d5
DRUMURI SI EDILITARE S.R.L.,contact.departamenthr@gmail.com,0732123008,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DUDU CAT BIROTIC S.R.L.,pizzeriapoin@yahoo.com,0732611209,anofm_new_alte_20260314_0cf00e61
DUMIGES MOB S.R.L.,lacramioaradumitrascu7@gmail.com,0765951438,anofm_jobs_20260220_153333_20260314_549f40d5
DUMI NOVA BUSINESS S.R.L.,manueladumitrasc@yahoo.com,0740573621,anofm_new_alte_20260314_0cf00e61
DUMITRIU METAL S.R.L.,transped2019@gmail.com,0757918162,anofm_jobs_20260310_123444_20260314_a3ffee1a
DURBIS PROD SRL,hr@presidentgroup.ro,0740253854,anofm_5_30pos_older_than_30_days_20260314_66bc9356
DVS INVEST GRUP S.R.L.,dvsinvestgrup@gmail.com,0742258618,anofm_jobs_20260313_083455_20260314_3eab569a
DYNAMIC PULSE S.R.L.,vasilicaa2018@gimail.com,0761516 441,anofm_new_curierat_20260314_17b33dec
EASTMAN IMPEX SRL,office@eastman.ro,0264417312,anofm_jobs_20260220_153333_20260314_549f40d5
EBM PAPST AUTOMOTIVE DRIVES ROMANIA S.R.L.,iolanda.beudean@ro.ebmpapst.com,0214024100,anofm_jobs_20260220_153333_20260314_549f40d5
ECHITEX PROD SRL,echitexprod@yahoo.com,0722656803,anofm_jobs_20260220_153333_20260314_549f40d5
ECKERLE AUTOMOTIVE SRL,ioana.andreiu@ro.eckerle-gruppe.com,0725915171,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ECO ATELIERUL SOCIAL S.R.L.,social@atelierefarafrontiere.ro,0740 024 613,anofm_jobs_20260220_153333_20260314_549f40d5
ECO CONSTRUCT GHEORGHENI S.R.L,ecoconstructgheorgheni@gmail.com,0741952592,anofm_jobs_20260220_153333_20260314_549f40d5
ECOEON S.R.L.,ecoeon2017@gmail.com,0731735838,anofm_jobs_20260220_153333_20260314_549f40d5
ECO GREEN DELIVERY S.R.L.,office@humanitarianhr.ro,0756513230,anofm_jobs_20260309_091938_20260314_74c23d98
Eco Green Electric,georgescuionutsorin@yahoo.com,0727356330,anofm_jobs_20260220_153333_20260314_549f40d5
ECOHEALTHEDU S.R.L.,tudorromanm@gmail.com,0734376104,anofm_new_alte_20260314_0cf00e61
ECOMETAL RECYCLING SRL,office@ecometal.ro,0336401367,anofm_jobs_20260220_153333_20260314_549f40d5
ECOSOCIAL CLEAN S.R.L.,girtonea.george@yahoo.com,0745889911,anofm_jobs_20260220_153333_20260314_549f40d5
ECRAN FOTO S.R.L.,natexpertgj@yahoo.com,0253219132,anofm_jobs_20260220_153333_20260314_549f40d5
ECUATOR COFFEE SERVICES S.R.L.,paula@ecuator.ro,0757610675,anofm_jobs_20260309_091938_20260314_74c23d98
ECVESTRIA GROUP INVEST S.R.L.,ralucarizea08@gmail.com,0 747 983 073,anofm_jobs_20260220_153333_20260314_549f40d5
EDA DEVELOPMENT ACTIVITY S.R.L.,edadevelop@gmail.com,0764508589,anofm_5_30pos_older_than_30_days_20260314_66bc9356
EDICIMMIM S.R.L.,busuiocvalerica1@gmail.com,0725924233,anofm_jobs_20260220_153333_20260314_549f40d5
EDILART BUCHE S.R.L.,edilartbuche@gmail.com,0733692206,anofm_new_constructii_20260314_8477685f
EDIL METAL SYSTEMS,edilmetalsystems@gmail.com,0743933597,anofm_jobs_20260313_160855_20260314_6a442ca2
EDOFIER SRL,edofier@gmail.com,0723129766,anofm_new_alte_20260314_0cf00e61
EDUARD MEDCLINIC S.R.L.,medclinichusi@gmail.com,0771415555,anofm_jobs_20260309_091938_20260314_74c23d98
EDUARDO CANARINO S.R.L.,totosica_86@yahoo.com,0740529250,anofm_jobs_20260309_091938_20260314_74c23d98
EDUJOY PRO S.R.L.,rodica_roman22@yahoo.com,0767850900,anofm_jobs_20260220_153333_20260314_549f40d5
EDUVAL S.R.L.,vincorprest@gmail.com,0742489109,anofm_jobs_20260313_083455_20260314_3eab569a
EFE EUROPA CONSTRUCTION S.R.L.,secretariat@efe-europa.ro,0749014041,anofm_5_30pos_older_than_30_days_20260314_66bc9356
EILUMINAT ELECTRICAL SOLUTIONS S.R.L.,eiluminatro@gmail.com,0773750095,anofm_jobs_20260220_153333_20260314_549f40d5
EIM FAST BUSINESS DELIVERY S.R.L,quickriders22@gmail.com,0766973180,anofm_5_30pos_older_than_30_days_20260314_66bc9356
EKM DUAK S.R.L.,info@ekmduak.com,0742976622,anofm_jobs_20260220_153333_20260314_549f40d5
EKPAN S.R.L.,adriela_asist@yahoo.com,0721624760,anofm_new_alte_20260314_0cf00e61
ELA ENERGY PH S.R.L.,cosmin.roman@cvp-rrf.ro,0742693755,anofm_jobs_20260313_160855_20260314_6a442ca2
ELANIA RESIDENCE S.R.L.,ella80style@yahoo.com,0763830985,anofm_new_alte_20260314_0cf00e61
ELCO LOGISTIC S.R.L.,elco.logistic@yahoo.com,0744922576,anofm_new_alte_20260314_0cf00e61
Electrica industriala srl,electricaindustriala@gmail.com,0725657457,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTRIC GROUP SRL,katonazo.egr@gmail.com,0745596111,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELECTRIC MOTORCYCLE SRL,aniteieliza2013@gmail.com,0765324661,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELECTROALBA ELECTRIS SRL,bogdannic80@gmail.com,0746784180,anofm_new_alte_20260314_0cf00e61
ELECTROAPARATAJ INDUSTRIAL S.R.L.,electroaparatajind@gmail.com,0721461470,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTRO BETA SRL,office@electro-beta.ro,0745582711,anofm_new_constructii_20260314_8477685f
ELECTROBIM SRL ,electrobimcraiova@gaail.com,0761814417,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTROCENTRALE BUCURESTI SA,office@elcen.ro,0214079911,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTROCERALI SRL,irinavoicucerali@gmail.com,0247321554,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROCONSTRUCTIA ELCO BISTRITA SA,office@elcobistrita.ro,0263/215905; 0721298121,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELECTROCONSTRUCTIA ELCO S.R.L.,elco@elcocv.ro,0267351009,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROFAMAR SRL,office@famielectronic.ro,0745035387,anofm_jobs_20260310_123444_20260314_a3ffee1a
ELECTROGLOBAL S.A.,laura.pogacean@electroglobal.ro,0745660017,anofm_new_alte_20260314_0cf00e61
ELECTROGRUP SA,office@electrogrup.ro,0264415120,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROINSTAL INVEST SRL,contact@stbgroup.ro,0761955631,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELECTROLIFE ATELIER,ianaserv88@gmail.com,0742288932,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTRO MAT PROMPT SRL,electromatprompt@yahoo.com,0756588588,anofm_jobs_20260313_083455_20260314_3eab569a
ELECTRO METAL CONSTRUCT EMCO SRL,emcopitesti@gmail.com,0748893071,anofm_jobs_20260313_160855_20260314_6a442ca2
ELECTROMONTAJ SA BUCURESTI SUCURSALA BUCURESTI,hr.admin@em.ro,0213305025,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROMONTAJ SA BUCURESTI SUCURSALA FABRICA DE CLEME SI ARMATURI CAMPINA,office.fca@em.ro,0344-401840,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROMONTAJ SA BUCURESTI SUCURSALA FABRICA DE STILPI METALICI,mihnea.hagima@em.ro,0213465537,anofm_jobs_20260309_091938_20260314_74c23d98
ELECTROMONTAJ SA BUCURESTI SUCURSALA PITESTI,office.pitesti@em.ro,279007,anofm_jobs_20260310_123444_20260314_a3ffee1a
ELECTROPRECIZIA ELECTRICAL MOTORS SRL,anamaria.idor@electropreciziaem.com,0268274880,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTROPUTERE VFU PAŞCANI S.A.,resurseumane@electroputerevfu.ro,0735234357 / 0730022442,anofm_jobs_20260313_160855_20260314_6a442ca2
ELECTRO-SERVICE DISTRIBUŢIE SRL,biancaaasimion@gmail.com,0730428661,anofm_jobs_20260311_083428_20260314_70886e3a
ELECTRO STANDARD S.R.L.,financiar@electrostandard.ro,0733667401,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTROTEHNICA ECHIPAMENTE ELECTRICE S.A.,catalina.stanciu@em.ro,0755073558,anofm_jobs_20260220_153333_20260314_549f40d5
ELECTROTEL SA,office@electrotel.ro,0247306200,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELECTROVALCEA SRL,dalinabreuceanuelv@yahoo.com,0755220134,anofm_new_constructii_20260314_8477685f
ELEGANT IMPEX SRL,scelegant@yahoo.com,+40 725 642 512,anofm_jobs_20260220_153333_20260314_549f40d5
ELEKTROMODUL ROMANIA S.R.L.,iulia-andreea.bunea@autoelectric.com,(0) 756 047 207,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELEMENT WEB SHOP S.R.L.,barbulescucatalin@gmail.com,0751149942,anofm_jobs_20260220_153333_20260314_549f40d5
ELIEZER LOGISTIC S.R.L.,eliezerlogistic@gmail.com,0728136542,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ELION PRODCOM SRL,elionprodcom@yahoo.com,0265/524108,anofm_new_lemn_20260314_46a056e1
ELISA MIX S.R.L.,edolincomimpex@yahoo.com,0743341648,anofm_jobs_20260220_153333_20260314_549f40d5
