company_name,cui,caen_code,caen_description,employees,turnover_ron,email,phone
LAROPHARM SRL,14099517,2120,Industrie prelucratoare,420,162435405,,
ARVINMERITOR LVS SALONTA SRL,21615491,2932,Fabricarea autovehiculelor,417,332148890,,
SOCERAM SA,346757,2332,Produse minerale nemetalice,417,241689284,,
IMPRIMERIA NATIONALA RA,2779625,1812,Industrie prelucratoare,416,491830851,,
TREI BRUTARI S.A.,23784748,1071,Industria alimentara,409,186879065,cv.ro@grupobimbo.com,
INCOM-VRANCO SA,5019225,1413,Fabricarea imbracaminte,409,37050662,,
UZINA DE CONSTRUCTII MASINI HIDROENERGETICE S.R.L.,49594720,2811,Masini si echipamente,406,53284441,dciati@ucmh.ro,
SANEX SA,199028,2331,Produse minerale nemetalice,406,205451641,,
CROCO SRL,6268054,1072,Industria alimentara,404,279512251,claulaza1973@gmail.com,
TECNOSTAMP TRIULZI EAST EUROPE SRL,18986597,2229,Cauciuc si mase plastice,403,139815851,,
ELECTRO SISTEM SRL,8699886,2712,Echipamente electrice,403,179462252,,
IRSAP INDUSTRIE S.R.L.,12398300,2521,Produse metalice,402,184266728,recrutare.ro@irsap.com,
TELCO - PE SRL,6555078,2611,Calculatoare si electronice,400,43591930,,
BAUELEMENTE SRL,19582996,2361,Produse minerale nemetalice,400,312290713,,
ORKLA FOODS ROMANIA SA,14624799,1042,Industria alimentara,399,376185790,youremail@yourwebsite.com,
DUCATI ENERGIA ROMANIA SA,14820787,2790,Echipamente electrice,399,424418326,,
IFM EFECTOR SRL,34715697,2611,Calculatoare si electronice,396,252607737,,
MALINA LUX SRL,15582454,1013,Industria alimentara,395,189118599,,
RAMIRA SA,2206261,2899,Masini si echipamente,395,121280747,,
MIELE TEHNICA SRL,22915470,2611,Calculatoare si electronice,394,466135964,,
RHINO WORK S.R.L.,18360762,1520,Tabacarea pieilor,393,114824222,,
PANDUIT EUROPEAN SOLUTIONS SRL,24834097,2612,Calculatoare si electronice,391,225010637,,
ELECTROTEL SA,1384430,2712,Echipamente electrice,389,73631233,office@electrotel.ro,
INFOPRESS GROUP SA,526170,1812,Industrie prelucratoare,389,167316342,,
ASTRA VAGOANE CALATORI SA,10966616,3020,Industrie prelucratoare,387,425126905,,
FRITZMEIER ENGINEERING SRL,14811355,2932,Fabricarea autovehiculelor,387,213834736,,
ASSA ABLOY OPENING SOLUTIONS ROMANIA S.R.L.,10473502,2572,Produse metalice,386,189951654,,
AGIL SRL,2487817,1011,Industria alimentara,386,123893615,office@agil.ro,+40221621708
COFICAB EASTERN EUROPE SRL,16876750,2732,Echipamente electrice,386,1156671192,,
HAMILTON CENTRAL EUROPE SRL,30841501,3250,Alte activitati industriale,385,261925720,,
SEFAR SRL,18019910,1320,Fabricarea prod textile,385,231634193,alexandra.prozan@sefar.com,
GUALA PACK NADAB SRL,27810947,2222,Cauciuc si mase plastice,385,298320860,,
IRUM SA,1235170,2830,Masini si echipamente,384,112111395,,
TRANSEURO SRL,1753287,1013,Industria alimentara,383,155011364,,
PIROUX INDUSTRIE ROMANIA SRL,13632084,2529,Produse metalice,383,174193571,,
VALROM INDUSTRIE SRL,8529679,2221,Cauciuc si mase plastice,378,385553911,,
DANONE - PRODUCTIE SI DISTRIBUTIE DE PRODUSE ALIMENTARE SRL,8961927,1051,Industria alimentara,378,1135987237,,
I.T.S. PRODUCTION SRL,18242562,1419,Fabricarea imbracaminte,378,55525793,,
BRIKSTON CONSTRUCTION SOLUTIONS S.A.,1989343,2332,Produse minerale nemetalice,378,285077003,razvana.apopei@leier.ro,
VIMETCO EXTRUSION SRL,15436904,2442,Industria metalurgica,376,583761229,,
E-CABLAJE S.A.,16344396,2931,Fabricarea autovehiculelor,376,87665653,,
EVEREL ROMANIA SRL,10228872,2611,Calculatoare si electronice,374,156819246,,
SOCIETATEA TOHAN S.A. FILIALA A COMPANIEI NATIONALE ROMARM  S.A.,13652413,2540,Produse metalice,373,77125687,,
DEXION STORAGE SOLUTIONS SRL,17049238,2511,Produse metalice,372,207600833,,
DELFINGEN RO-SATU MARE S.A.,17118265,2221,Cauciuc si mase plastice,372,162816071,,
BMT AEROSPACE ROMANIA SRL,22397069,2815,Masini si echipamente,371,132604155,,
RAITAR SRL,774583,1011,Industria alimentara,370,183560334,,
ELMET INTERNATIONAL SRL,10840889,2562,Produse metalice,370,599686236,,
IMPERIAL SA,1387470,1413,Fabricarea imbracaminte,369,58802287,,
PROINVEST GROUP SRL,13417272,2433,Industria metalurgica,369,214018766,,
DUQUEINE COMPOSITES SRL,18087760,2221,Cauciuc si mase plastice,369,135309968,,
HOLMBERGS SAFETY SYSTEM S.R.L.,21495905,1392,Fabricarea prod textile,368,34166378,,
SERGIANA PRODIMPEX SRL,6981790,1013,Industria alimentara,367,124350309,recrutare@sergaiana.ro,
DELTA ALUMINIU SRL,15157845,2442,Industria metalurgica,367,223480516,,
ELMAS SRL,1115033,2822,Masini si echipamente,367,231901119,,
METABET C.F. SA,128507,2511,Produse metalice,367,124214534,mariana.ionescu@metabet.ro,
PPG ROMANIA S.A.,3540951,2030,Fabricarea substantelor chimice,362,416471594,,
OMCO ROMANIA SRL,17891928,2829,Masini si echipamente,361,162416466,,
VASCAR SA,829522,1013,Industria alimentara,361,117026907,office@vascar.ro,
VCST AUTOMOTIVE PRODUCTION ALBA SRL,30057599,2815,Masini si echipamente,361,171719938,,
UNITED ROMANIAN BREWERIES BEREPROD SRL,5857302,1105,Fabricarea bauturilor,360,681147353,,
SUBANSAMBLE AUTO SA,128701,2932,Fabricarea autovehiculelor,360,153592935,,
GUHRING SRL,15783830,2841,Masini si echipamente,360,198927541,,
NOVARTIS PHARMACEUTICALS S.R.L.,7608294,2110,Industrie prelucratoare,357,166521446,,
ENTER 2 SA,13933753,1413,Fabricarea imbracaminte,356,28546996,,
CARPATHIAN SPRINGS SA,13290801,1107,Fabricarea bauturilor,356,538797367,angela.avram@valvis-holding.com,
HERAEUS ROMANIA SRL,31076475,2059,Fabricarea substantelor chimice,355,513008648,,
MADRUGADA COM SRL,15378390,2223,Cauciuc si mase plastice,355,293386487,,
AMANN ROMANIA SRL,10790713,1310,Fabricarea prod textile,353,144521482,,
MOTEXCO SRL,10727872,1413,Fabricarea imbracaminte,352,164454228,,
REINERT KUNSTSTOFFTECHNIK SRL,34815440,2229,Cauciuc si mase plastice,349,177340579,,
BEST FOODS PRODUCTIONS SRL,5971322,1072,Industria alimentara,349,158203351,,
DAW BENTA ROMANIA SRL,13673670,2030,Fabricarea substantelor chimice,348,234708024,,
GENERAL TURBO SA,2603490,2811,Masini si echipamente,348,65518509,,
FUCHS CONDIMENTE RO SRL,13807887,1084,Industria alimentara,347,212234801,,
SIT ROMANIA SRL,19169672,2814,Masini si echipamente,345,243936574,,
FILSAM PROD  SRL,5966997,1013,Industria alimentara,343,105492704,,
RADICSTAR SRL,4917490,1013,Industria alimentara,343,156259652,resurseumane@radicstar.ro,
WIENERBERGER S.R.L.,10941727,2332,Produse minerale nemetalice,343,223391272,,
ANNABELLA FABRICA DE CONSERVE RAURENI S.A.,14075542,1039,Industria alimentara,341,175950670,office@raureni.ro,
ITALTEXTIL SARATA SRL,13878942,1310,Fabricarea prod textile,341,309503765,,
MARUB BRASOV S.R.L.,1112878,3317,Repararea masinilor,341,62891583,,
HANNING MOTORS ROMANIA S.R.L.,37760862,2711,Echipamente electrice,340,113077405,,
IG WATTEEUW ROMANIA SRL,22282280,2815,Masini si echipamente,339,148815250,,
DERPAN S.A.,13837330,1071,Industria alimentara,337,98459707,madalina.radu@goldenfoods.com.ro,
PRODLACTA SA,1112568,1051,Industria alimentara,336,159650653,office@prodlacta.ro,
LINDE GAZ ROMANIA SRL,8721959,2011,Fabricarea substantelor chimice,333,1016988117,alex.horvath@linde.com,
MISAVAN TRADING SRL,26784173,2041,Fabricarea substantelor chimice,333,173515558,,
DOURDIN ROMANIA SRL,16662055,2932,Fabricarea autovehiculelor,333,136495537,,
FEDERAL - MOGUL FRICTION PRODUCTS PLOIESTI SRL,27854340,2932,Fabricarea autovehiculelor,332,129008826,,
MUSA-PITESTI'96 SRL,8876104,2932,Fabricarea autovehiculelor,332,202936467,,
KENDRION AUTOMOTIVE (SIBIU) SRL,10949666,2611,Calculatoare si electronice,332,281059085,,
ROMCARTON SA,365856,1721,Fabricarea hartiei,331,285975839,,
MG TEC INDUSTRY S.R.L.,39469500,1722,Fabricarea hartiei,330,342779922,,
TANEX SRL,12202836,1413,Fabricarea imbracaminte,328,67084514,,
ELDI BRUTARIA SRL,6753822,1071,Industria alimentara,327,76629472,monica.stoian@eldi.ro,
EUROAVI SRL,18305733,1012,Industria alimentara,326,223510891,,
YARNEA SRL,13849866,1310,Fabricarea prod textile,326,188245846,,
GRAFTEX PRODCOM SRL,9737945,1413,Fabricarea imbracaminte,325,154362253,,
HONEYWELL ELSTER ROMANIA S.R.L.,11219295,2651,Calculatoare si electronice,325,149561964,,
MASCHIO ROMANIA SRL,15126113,2830,Masini si echipamente,324,246573071,,
HENDRICKSON ROMANIA SRL,10405877,2932,Fabricarea autovehiculelor,323,183331743,,
POLYCONTACT HERMANNSTADT SRL,33851682,2931,Fabricarea autovehiculelor,323,162165375,,
MARIBO PRODCARN SRL,6558805,1011,Industria alimentara,323,124233728,,
SALBAC SA,18774861,1013,Industria alimentara,323,160305675,,
ADF PROD SRL,6501868,2223,Cauciuc si mase plastice,323,188431091,,
EXPERTAROM FOOD INGREDIENTS SRL,7308203,1089,Industria alimentara,322,152938767,contact@expertarom.com,+40269208035
ELPRECO SA,2321635,2361,Produse minerale nemetalice,322,224405543,,
TLC SHUTTERS SRL,34983029,2223,Cauciuc si mase plastice,322,125998829,,
MOLDOVAN CARMANGERIE S.R.L.,6224937,1013,Industria alimentara,321,112634970,,
SIOROM SRL,30626899,3299,Alte activitati industriale,321,85698625,,
CAME-IT SRL,15262107,2751,Echipamente electrice,320,90765373,,
ASSA ABLOY ENTRANCE SYSTEMS PRODUCTION ROMANIA S.R.L.,17857020,2511,Produse metalice,320,250096215,,
FABRICA DE CARNE MANCIUC SRL,29645935,1012,Industria alimentara,319,225883532,,
GOODIES MEAT PRODUCTION SRL,33566694,1013,Industria alimentara,318,258809833,,
ACS INDUSTRIES EUROPE SRL,36597687,2593,Produse metalice,318,93348865,,
HAI EXTRUSION S.R.L.,16344329,2442,Industria metalurgica,318,543337719,,
AURORA COM SRL,6671412,1011,Industria alimentara,317,116006789,,
DUNAPACK RAMBOX PRODIMPEX SRL,6933815,1721,Fabricarea hartiei,317,296031589,,
LACON ELECTRONIC SRL,18666703,2611,Calculatoare si electronice,316,32469997,,
SAVINI DUE SRL,15567276,3109,Fabricarea mobilei,316,161480168,,
COMBINATUL DE CELULOZA SI HARTIE S.A.,5976842,1712,Fabricarea hartiei,316,200205894,,
DM ITALIAN SOFA S.R.L.,14632325,3109,Fabricarea mobilei,316,115856492,,
BECIUL DOMNESC S.A.,1446711,1102,Fabricarea bauturilor,314,82009490,,
THIMM PACKAGING SRL,18188587,1721,Fabricarea hartiei,314,215562186,,
UZINA MECANICA PLOPENI SA,13741804,2540,Produse metalice,313,83752153,,
SATURN SA,1750957,2451,Industria metalurgica,312,62800408,,
ATELIERELE CFR GRIVITA SA,1555026,3020,Industrie prelucratoare,312,88910744,,
SAPTE SPICE SA,2537907,1061,Industria alimentara,312,273816858,,
BAUMIT ROMANIA COM SRL,7568475,2364,Produse minerale nemetalice,311,537238979,,
POPECI UTILAJ GREU SA,2294590,2891,Masini si echipamente,310,66282516,,
FORNETTI ROMANIA SRL,13872621,1071,Industria alimentara,310,239016558,office@fornetti.ro,+40256379901
NEPTUN SA,1322535,2815,Masini si echipamente,309,122734496,,
ROHDE & SCHWARZ TOPEX SA,6502278,2630,Calculatoare si electronice,309,112963747,,
CETINA SRL,5170650,1011,Industria alimentara,309,174641032,cetina@cetina.ro,
ROMLELIE SRL,14230948,1392,Fabricarea prod textile,308,35335627,,
LUNA SHOES SRL,17554906,1520,Tabacarea pieilor,307,33671826,,
DMT MARINE EQUIPMENT SOCIETATE PE ACTIUNI,14362477,2822,Masini si echipamente,305,227194630,,
COMPANIA NATIONALA ROMARM S.A.-FILIALA SOCIETATEA UZINA DE PRODUSE SPECIALE DRAGOMIRESTI S.A.,3180070,2540,Produse metalice,305,138334447,,
COTTA INTERNATIONAL SRL,12897806,3109,Fabricarea mobilei,304,127347675,,
COFICAB PLOIESTI SRL,29965557,2732,Echipamente electrice,304,996655839,,
SIMULTAN SRL,6723660,1051,Industria alimentara,303,356983269,office@smartrecruiters.ro,
INDUSTRIA FILATI BUZAU SRL,16021522,1310,Fabricarea prod textile,303,96128571,,
CARREMAN ROMANIA SRL,15031617,1320,Fabricarea prod textile,303,169690147,,
COMPANIA NATIONALA ROMARM SA - FILIALA SOCIETATEA UZINA AUTOMECANICA MORENI  S.A.,938970,3040,Industrie prelucratoare,302,18543117,,
FLEXITECH RO SRL,15237782,2932,Fabricarea autovehiculelor,302,56759301,,
HENKEL ROMANIA OPERATIONS  SRL,12177830,2369,Produse minerale nemetalice,301,90414477,,
EMMGI PROD SRL,13636205,1520,Tabacarea pieilor,301,26464243,,
ISOVOLTA S.R.L.,11703677,2790,Echipamente electrice,300,162749610,,
GORMET SRL,19105741,2511,Produse metalice,299,146385523,,
VAT ROMANIA S.R.L.,13680154,2562,Produse metalice,298,152394024,,
FERROBETON ROMANIA SRL,18700740,2361,Produse minerale nemetalice,298,203203013,,
ROMVAC COMPANY SA,482384,2120,Industrie prelucratoare,298,72077398,,
AENOVA ROMANIA S.R.L.,12052046,2120,Industrie prelucratoare,296,279932349,,
WILLY IMPEX SRL,4277404,1392,Fabricarea prod textile,294,28394599,,
ITALROM LEATHER SRL,16394297,3109,Fabricarea mobilei,294,86571292,,
AVIOANE CRAIOVA SA,2326144,3030,Industrie prelucratoare,293,70113435,,
AUGSBURG SRL,2042479,1439,Fabricarea imbracaminte,293,72184513,mirelarevent@augsburgromania.ro,
XELLA RO SRL,17954562,2361,Produse minerale nemetalice,293,317953544,,
GARTEK SRL,13616569,1520,Tabacarea pieilor,291,63751634,,
ZAHARUL ROMANESC SA,2083754,1081,Industria alimentara,291,831709456,,
ALU MENZIKEN SRL,34377820,2550,Produse metalice,291,525931332,,
ALPLA PACKAGING ROMANIA S.A.,8354631,2222,Cauciuc si mase plastice,290,454742049,,
AMERICAN PAN EUROPE S.R.L.,15058949,2599,Produse metalice,290,149071784,,
PRODAL 94 SRL,6646141,1101,Fabricarea bauturilor,290,200537849,,
ELJ AUTOMOTIVE S.A.,18890262,2221,Cauciuc si mase plastice,290,137361580,,
FLARO PROD S.R.L.,17956636,2229,Cauciuc si mase plastice,290,60532761,,
A-E ELECTRONICS SA,10372559,2612,Calculatoare si electronice,289,185400574,,
WENGLOR ELECTRONIC INNOVATION LITO SOCIETATE IN COMANDITA,25784779,2611,Calculatoare si electronice,288,148259191,,
FREEFASHION SRL,32715640,1419,Fabricarea imbracaminte,288,41938568,,
OMNIA EUROPE S.A.,34969040,1062,Industria alimentara,287,556154924,,
PSICONTROL SRL,18516218,2790,Echipamente electrice,287,310892053,,
AGROPROD CRASNA COOPERATIVA AGRICOLA,25999050,1012,Industria alimentara,285,179240128,,
MANUFACTURA DE EST SRL,11894933,1439,Fabricarea imbracaminte,285,34261860,,
R.S. ACTIV SRL,17296459,2399,Produse minerale nemetalice,285,101485452,office@rsactiv.ro,
HEIDI CHOCOLAT SA,6161022,1082,Industria alimentara,285,137307789,office@heidi-chocolate.com,
STOEHR ROM SRL,14077080,1310,Fabricarea prod textile,284,240137061,,
CABLEX RBM S.R.L.,13032357,2790,Echipamente electrice,283,70401984,,
ELECTRO-ALFA INTERNATIONAL S.A.,7348194,2712,Echipamente electrice,282,649506917,,
MAGLIERIE CRISTIAN IMPEX SRL,9850161,1439,Fabricarea imbracaminte,282,32187912,,
ANDREEAS 95 EXIM SRL,7324845,1011,Industria alimentara,281,118637120,,
VALENCIA TRADING SRL,6966138,1071,Industria alimentara,281,67451318,office@valenciatrading.ro,+40757057853
CEMACON - SA,677858,2332,Produse minerale nemetalice,280,179511831,,
POULTRY BRASOV S.R.L.,14713543,1012,Industria alimentara,280,103501154,,
FABRICA DE PRELUCRARE A CONCENTRATELOR DE URANIU  FELDIOARA S.R.L.,44958790,2446,Industria metalurgica,279,93323044,,
COMAU ROMANIA SRL,58924,2511,Produse metalice,276,225397691,,
WETTERBEST S.A.,12347950,2550,Produse metalice,275,325686730,,
MAGIK - 003 PROD SRL,14556660,1520,Tabacarea pieilor,275,20508155,,
IOR SA,340312,2670,Calculatoare si electronice,274,34468103,,
BELLINEA SRL,14543155,3109,Fabricarea mobilei,274,67752073,,
RUCK VENTILATOARE SRL,16034670,2825,Masini si echipamente,274,146215549,,
ROMPRIX EXIM SRL,6842083,1812,Industrie prelucratoare,272,171237826,,
COGEME SET RO SRL,17481030,2932,Fabricarea autovehiculelor,272,189639749,,
