name,email,county,phone,partid_primar,partid_consiliu
Ciacova,primariaciacova@primariaciacova.ro,Timis,0256-399500,Partidul Național Liberal,Partidul Național Liberal
Ciceu,hivatal@csikcsicso.ro,Harghita,0266-379261,UDMR,UDMR
Ciceu - Mihaiesti,primariacm@gmail.com,Bistrita-Nasaud,,,
Ciceu-Giurgeşti,primgiurgesti@yahoo.com,Bistrita-Nasaud,0263-345090,Partidul Social Democrat,Partidul Social Democrat
Ciclova Română,primariaciclovaromana@yahoo.com,Caras-Severin,0255-575305,Partidul Național Liberal,Partidul Național Liberal
Cicârlău,primariacicarlau@yahoo.com,Maramures,0262-481002,Partidul Social Democrat,Partidul Social Democrat
Cicăneşti,primarie@cicanesti.cjarges.ro,Arges,0248-735058,Partidul Național Liberal,Partidul Național Liberal
Cilibia,primariacilibia@yahoo.com,Buzau,0371-394318,Partidul Național Liberal,Partidul Național Liberal
Cilieni,primariacilieni@judetulolt.ro,Olt,0249-534002,Partidul Social Democrat,Partidul Social Democrat
Cincu,primariacincu@yahoo.com,Brasov,0268-244101,Partidul Social Democrat,Partidul Social Democrat
Ciobanu,primariaciobanu@yahoo.com,Constanta,0241-874302,Partidul Social Democrat,Partidul Social Democrat
Ciochina,primariaciochina@yahoo.com,Ialomita,0243-265001,Partidul Național Liberal,Partidul Național Liberal
Ciocile,primariaciocile@yahoo.com,Braila,0239-699210,Partidul Național Liberal,Partidul Național Liberal
Ciocârlia,primariaciocirlia@yahoo.com,Constanta,0241-875555,Partidul Național Liberal,Partidul Național Liberal
Ciocârlia,primciocarlia@yahoo.com,Ialomita,0243-256981,Partidul Social Democrat,Partidul Social Democrat
Ciocăneşti,primariaciocanesti@yahoo.com,Calarasi,0242-337292,Partidul Social Democrat,Partidul Social Democrat
Ciocăneşti,vioricamanzu@yahoo.com,Dambovita,0245-261336,Partidul Social Democrat,Partidul Social Democrat
Ciofrângeni,primaria@ciofrangeni.cjarges.ro,Arges,0248-747155,Partidul Social Democrat,Partidul Social Democrat
Ciohorăni,cristianalbu_2007@yahoo.com,Iasi,0232-765534,Partidul Social Democrat,Partidul Social Democrat
Ciolpani,primaria.ciolpani@gmail.com,Ilfov,021-2668123,Partidul Național Liberal,Partidul Național Liberal
Ciolăneşti,primaria_ciolanesti@yahoo.com,Teleorman,0247-336401,Partidul Social Democrat,Partidul Social Democrat
Ciomăgeşti,primarie@ciomagesti.cjarges.ro,Arges,0248-245008,Partidul Social Democrat,Partidul Social Democrat
Ciorani,ciorani@prefecturaprahova.ro,Prahova,0244-462025,Partidul Social Democrat,Partidul Social Democrat
Ciorogârla,contact@primariaciorogarla.ro,Ilfov,021-3131590,Partidul Național Liberal,Partidul Național Liberal
Cioroiaşi,cioroiasi@cjdolj.ro,Dolj,0251-317122,Partidul Social Democrat,Partidul Social Democrat
Ciorteşti,primaria.ciortesti@yahoo.com,Iasi,0232-320800,Partidul Național Liberal,Partidul Național Liberal
Ciorăşti,primariaciorasti@yahoo.com,Vrancea,0237-249756,Partidul Național Liberal,Partidul Național Liberal
Ciprian Porumbescu,primariaciprianporumbescusv@yahoo.com,Suceava,0230-551662,Partidul Social Democrat,Partidul Social Democrat
Cireşu,primariaciresu@yahoo.com,Braila,0239-623749,Partidul Național Liberal,Partidul Național Liberal
Cireşu,clciresu@sejmh.ro,Mehedinti,0252-388650,Partidul Social Democrat,Partidul Social Democrat
Cislău,primariacislau@clicknet.ro,Buzau,0238-551580,Partidul Național Liberal,Partidul Social Democrat
Cisnădie,primariacisnadie@yahoo.com,Sibiu,0269-561147,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI
Ciucea,primaria_ciucea@yahoo.com,Cluj,0264-259001,Partidul Național Liberal,Partidul Național Liberal
Ciucsângeorgiu,pciucsangeorgiu@freemail.hu,Harghita,0266-331603,UDMR,UDMR
Ciucurova,ciucurova_tl@primariaonline.ro,Tulcea,0240-576579,Partidul Național Liberal,Partidul Național Liberal
Ciudanoviţa,primaria_ciudanovita@yahoo.com,Caras-Severin,0726-354889,Partidul Social Democrat,Partidul Social Democrat
Ciugud,primariaciugud@yahoo.com,Alba,0258-841205,G. DĂMIAN,Partidul Național Liberal
Ciuhoi,primaria.ciuhoi@cjbihor.ro,Bihor,,,
Ciulniţa,primariaciulnita@yahoo.com,Ialomita,0243-218082,Partidul Social Democrat,Partidul Social Democrat
Ciumani,ciumani@hr.astral.ro,Harghita,0266-351006,UDMR,UDMR
Ciumeghiu,primaria_ciumeghiu@yahoo.com,Bihor,0259-392009,Partidul Social Democrat,Partidul Național Liberal
Ciumeşti,primariaciumesti@yahoo.com,Satu Mare,0261-821280,UDMR,UDMR
Ciuperceni,pcciuperceni@yahoo.com,Gorj,0253-276526,Partidul Național Liberal,Partidul Național Liberal
Ciuperceni,primariaciuperceni@yahoo.com,Teleorman,0247-419590,Partidul Social Democrat,Partidul Social Democrat
Ciupercenii Noi,ciupercenii_noi@cjdolj.ro,Dolj,0251-321002,Partidul Social Democrat,Partidul Social Democrat
Ciurea,primariaciurea@yahoo.com,Iasi,0232-296260,Partidul Social Democrat,Partidul Social Democrat
Ciurila,primaria_ciurila@yahoo.com,Cluj,0364-806500,Partidul Național Liberal,Partidul Național Liberal
Ciuruleasa,primariaciuruleasa@clicknet.ro,Alba,0258-780605,Partidul Social Democrat,Partidul Social Democrat
Cizer,primariacizer@yahoo.com,Salaj,0260-625543,Partidul Social Democrat,Partidul Social Democrat
Cleja,clcleja101@yahoo.com,Bacau,0234-253012,Partidul Național Liberal,Partidul Național Liberal
Clejani,clclejanigr@yahoo.com,Giurgiu,0246-261176,Partidul Național Liberal,Partidul Național Liberal
Clinceni,primariaclinceni@yahoo.com,Ilfov,021-3694041,Partidul Național Liberal,Partidul Național Liberal
Coarnele Caprei,secretar@coarnelecaprei.ro,Iasi,0232-724111,Partidul Național Liberal,Partidul Național Liberal
Coaş,primaria_coas@yahoo.com,Maramures,0262-286233,Partidul Social Democrat,Partidul Social Democrat
Cobadin,primariacobadin@yahoo.com,Constanta,0241-855129,Partidul Social Democrat,Partidul Social Democrat
Cobia,cobiadambovita@yahoo.com,Dambovita,0245-713235,Partidul Social Democrat,Partidul Social Democrat
Cochirleanca,primariacochirleanca@yahoo.com,Buzau,0238-736370,Partidul Social Democrat,Partidul Social Democrat
Cociuba Mare,primaria.cociubamare@cjbihor.ro,Bihor,0259-311232,Partidul Național Liberal,Partidul Național Liberal
Cocora,primariacocorail@yahoo.com,Ialomita,0243-247176,Partidul Social Democrat,Partidul Social Democrat
Cocorăştii Colt,cocorastiicolt@prefecturaprahova.ro,Prahova,0244-484100,Partidul Social Democrat,Partidul Social Democrat
Cocorăştii Mislii,primariacocorastiimislii@yahoo.com,Prahova,0244-229030,Partidul Național Liberal,Partidul Național Liberal
Codlea,primariacodlea@yahoo.com,Brasov,0268-251650,Partidul Social Democrat,Partidul Social Democrat
Cogealac,contact@primariacogealac.ro,Constanta,0241-769101,Partidul Social Democrat,Partidul Social Democrat
Cojasca,primar@primariacojasca.ro,Dambovita,0245-671565,Partidul Național Liberal,Partidul Național Liberal
Cojocna,admcojocna@yahoo.com,Cluj,0264-234075,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI
Colceag,primaria.colceag@yahoo.com,Prahova,0244-447001,Partidul Național Liberal,ALIANȚA ELECTORALĂ PSD-PUSL
Colelia,primariacolelia@yahoo.com,Ialomita,0243-247674,Partidul Social Democrat,Partidul Social Democrat
Colibaşi,clcolibasi@yahoo.com,Giurgiu,0246-227111,Partidul Național Liberal,Partidul Național Liberal
Coloneşti,comunacolonesti@yahoo.com,Bacau,0234-287600,Partidul Social Democrat,Partidul Social Democrat
Coloneşti,primaria.colonesti@yahoo.com,Olt,0249-463001,Partidul Social Democrat,Partidul Social Democrat
Coltău,primaria_coltau@yahoo.com,Maramures,0262-289287,UDMR,UDMR
Colţi,primariacolti@yahoo.com,Buzau,0238-522501,Partidul Social Democrat,Partidul Social Democrat
Comana,comanaprimaria@yahoo.com,Brasov,0246-283114,Partidul Social Democrat,Partidul Social Democrat
Comana,primar@primaria-comana.ro,Constanta,0241-859444,Partidul Național Liberal,Partidul Național Liberal
Comandău,cl_comandau@yahoo.com,Covasna,0267-353092,UDMR,UDMR
Comarna,comarnaiasi@yahoo.com,Iasi,0232-238900,Partidul Național Liberal,Partidul Național Liberal
Comarnic,comarnic@prefecturaprahova.ro,Prahova,0244-360076,Partidul Național Liberal,Partidul Național Liberal
Comişani,primaria_comisani@yahoo.com,Dambovita,0245-263147,Partidul Social Democrat,Partidul Social Democrat
Comloşu Mare,primariacomlosumare@yahoo.com,Timis,0256-364114,Partidul Social Democrat,Partidul Social Democrat
Comăneşti,relatiipublice@primariacomanesti.ro,Bacau,0234-374272,Partidul Național Liberal,Partidul Național Liberal
Comăneşti,comanestiprimaria@yahoo.com,Suceava,0230-539217,Partidul Național Liberal,Partidul Național Liberal
Conceşti,primariaconcesti@yahoo.com,Botosani,0331-710484,M. ILAŞ,Partidul Social Democrat
Conop,conop_ar@primariaonline.ro,Arad,0257-433003,Partidul Național Liberal,Partidul Național Liberal
Constantin Daicoviciu,primariacavaran@yahoo.com,Caras-Severin,,Partidul Social Democrat,Partidul Social Democrat
Conţeşti,contact@primariacontesti.ro,Dambovita,0245-241391,Partidul Social Democrat,Partidul Social Democrat
Conțeşti,primariacontesti@gmail.com,Teleorman,0247-334296,Partidul Social Democrat,Partidul Social Democrat
Copalnic-Manastur,copalnicmanastur@yahoo.com,Maramures,,Partidul Național Liberal,Partidul Național Liberal
Copăcel,primaria.copacel@cjbihor.ro,Bihor,0259-313598,Partidul Social Democrat,Partidul Social Democrat
Copăcele,primariacopacele@yahoo.com,Caras-Severin,0255-510132,Partidul Social Democrat,Partidul Social Democrat
Copăceni,primariacopaceni@yahoo.com,Ilfov,021-4687174,ALIANȚA ELECTORALĂ PSD PNL,ALIANȚA ELECTORALĂ PSD PNL
Copălău,primariacopalau@yahoo.com,Botosani,0231-619302,Partidul Național Liberal,Partidul Național Liberal
Copşa Mică,primaria_copsa@birotec.com,Sibiu,0269-840120,Partidul Național Liberal,Partidul Național Liberal
Corabia,primariacorabia@yahoo.com,Olt,0249-560703,Partidul Social Democrat,Partidul Social Democrat
Corbasca,corbasca@judetbacau.ro,Bacau,0234-283399,Partidul Social Democrat,Partidul Social Democrat
Corbeanca,secretar@primariacorbeanca.ro,Ilfov,021-2666031,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI
Corbeni,primaria_corbeni@yahoo.com,Arges,0248-730236,Partidul Social Democrat,Partidul Social Democrat
Corbi,primariacorbi@yahoo.com,Arges,0248-580005,Partidul Social Democrat,Partidul Social Democrat
Corbii Mari,primaria_cm@yahoo.com,Dambovita,0245-716444,Partidul Social Democrat,Partidul Social Democrat
Corbiţa,primarie@primariacorbita.ro,Vrancea,,Partidul Național Liberal,Partidul Național Liberal
Corbu,primariacorbu@judetulolt.ro,Constanta,0241-765105,Partidul Social Democrat,Partidul Social Democrat
Corbu,primariacorbu@yahoo.com,Harghita,0266-338814,Partidul Social Democrat,Partidul Social Democrat
Corcova,clcorcova@sejmh.ro,Mehedinti,0252-383464,Partidul Social Democrat,Partidul Social Democrat
Cordun,office@primariacordun.ro,Neamt,0233-748236,Partidul Național Liberal,Partidul Național Liberal
Cordăreni,primaria_cordareni@yahoo.com,Botosani,0231-624120,Partidul Social Democrat,Partidul Social Democrat
Corlăţel,clcorlatel@sejmh.ro,Mehedinti,0252-708990,Partidul Social Democrat,Partidul Social Democrat
Corlăţeni,primariacorlateni@yahoo.com,Botosani,0231-619504,Partidul Social Democrat,Partidul Social Democrat
Cornea,primariacorneacs@yahoo.com,Caras-Severin,0255-261312,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Cornereva,primaria.cornereva@yahoo.com,Caras-Severin,0374-942818,Partidul Social Democrat,Partidul Social Democrat
Cornetu,primariacornetu@yahoo.com,Ilfov,021-4689220,ALIANȚA ELECTORALĂ PSD PNL,ALIANȚA ELECTORALĂ PSD PNL
Corneşti,primariacornesti@yahoo.com,Cluj,0264-355516,Partidul Național Liberal,Partidul Național Liberal
Corneşti,cornesti@cjd.ro,Dambovita,0245-241654,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI
Corni,primariacornibotosani@yahoo.com,Botosani,0231-588110,Partidul Social Democrat,Partidul Social Democrat
Corni,primaria_corni@yahoo.com,Galati,0236-330820,Partidul Social Democrat,Partidul Social Democrat
Cornu,primariacornu@clicknet.ro,Prahova,0244-367461,Partidul Social Democrat,Partidul Social Democrat
Cornu Luncii,secretar.cornuluncii@yahoo.com,Suceava,0230-542296,Partidul Social Democrat,Partidul Social Democrat
Cornăţelu,cornateluprimaria@yahoo.com,Dambovita,0371-332739,Partidul Social Democrat,Partidul Social Democrat
Corod,primariacorodgl@yahoo.com,Galati,0236-864006,Partidul Social Democrat,Partidul Social Democrat
Coroieni,primariacoroieni@email.ro,Maramures,0262-389311,Partidul Național Liberal,Partidul Național Liberal
Coroieşti,primariacoroiesti_2007@yahoo.com,Vaslui,0372-772352,Partidul Social Democrat,Partidul Social Democrat
Coroisânmartin,coroisinmartin@cjmures.ro,Mures,0265-765012,Partidul Național Liberal,Partidul Social Democrat
Coronini,primar@primariacoronini.ro,Caras-Severin,0255-544192,Partidul Social Democrat,Partidul Social Democrat
Corunca,corunca@cjmures.ro,Mures,0265-243152,UDMR,UDMR
Corund,primariacorund@yahoo.com,Harghita,0266-249344,UDMR,UDMR
Cosmeşti,primaria.cosmesti@gmail.com,Galati,0236-336227,Partidul Social Democrat,Partidul Social Democrat
Cosmeşti,primariacosmesti@yahoo.com,Teleorman,0247-452118,Partidul Social Democrat,Partidul Social Democrat
Cosminele,primaria_cosminele@yahoo.com,Prahova,0244-228005,Partidul Național Liberal,Partidul Național Liberal
Cosoba,primariacosoba@yahoo.com,Giurgiu,0246-253887,Partidul Național Liberal,Partidul Național Liberal
Costache Negri,primariacnegri@yahoo.com,Galati,0236-825810,Partidul Social Democrat,Partidul Social Democrat
Costeiu,primaria.costeiu@yahoo.com,Timis,0256-326500,Partidul Social Democrat,Partidul Social Democrat
Costeşti,primaria@primariacostestiag.ro,Arges,0248-672320,Partidul Social Democrat,Partidul Social Democrat
Costeşti,secretaroprea@yahoo.com,Buzau,0238-536158,Partidul Social Democrat,Partidul Social Democrat
Costeşti,secretar@primariacostesti.ro,Iasi,0232-722106,Partidul Social Democrat,Partidul Social Democrat
Costeşti,primariacostesti@clicknet.ro,Vaslui,0235-344548,Partidul Social Democrat,Partidul Social Democrat
Costeşti,primaria_costesti@yahoo.com,Valcea,0250-863330,Partidul Național Liberal,Partidul Național Liberal
Costeştii Din Vale,d.primariacostestivale@yahoo.com,Dambovita,0245-717025,Partidul Social Democrat,Partidul Social Democrat
Costişa,primaria@comunacostisa.ro,Neamt,0233-260063,Partidul Social Democrat,Partidul Social Democrat
Costuleni,costulenisecretar@yahoo.com,Iasi,0232-291550,Partidul Național Liberal,Partidul Național Liberal
Cosâmbeşti,primaria.cosimbesti@yahoo.com,Ialomita,0243-218507,Partidul Social Democrat,Partidul Social Democrat
Coteana,primariacoteana@yahoo.com,Olt,0249-419308,Partidul Social Democrat,Partidul Social Democrat
Coteşti,primaria_cotesti@yahoo.com,Vrancea,0237-252111,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI,ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI
Cotmeana,primarie@cotmeana.cjarges.ro,Arges,0248-242044,Partidul Social Democrat,Partidul Social Democrat
Cotnari,primaria_cotnari@yahoo.com,Iasi,0232-730290,Partidul Social Democrat,Partidul Social Democrat
Covasint,primariacovasint@gmail.com,Arad,,Partidul Național Liberal,Partidul Național Liberal
Covasna,secretar@primariacovasna.ro,Covasna,0267-340001,UDMR,UDMR
Cozieni,primaria_cozieni@yahoo.com,Buzau,0238-750943,Partidul Național Liberal,Partidul Social Democrat
Cozma,cozma@cjmures.ro,Mures,0265-349402,Partidul Național Liberal,Partidul Național Liberal
Cozmeni,primcoz@freemail.hu,Harghita,0266-326668,UDMR,UDMR
Cozmeşti,comunacozmesti@yahoo.com,Iasi,0232-413444,Partidul Național Liberal,Partidul Național Liberal
Coşbuc,primariacosbuc@yahoo.com,Bistrita-Nasaud,0263-368019,Partidul Social Democrat,Partidul Social Democrat
Coşeiu,primariacoseiu@yahoo.com,Salaj,0260-653199,Partidul Național Liberal,UDMR
Coşereni,primariacosereni@yahoo.com,Ialomita,0243-318006,Partidul Social Democrat,Partidul Social Democrat
Coşeşti,primarie@cosesti.cjarges.ro,Arges,0248-230099,Partidul Social Democrat,Partidul Social Democrat
Coşna,primariacosna@yahoo.com,Suceava,0230-575142,Partidul Social Democrat,Partidul Social Democrat
Coşoveni,cosoveni@cjdolj.ro,Dolj,0251-457186,Partidul Social Democrat,Partidul Social Democrat
Coşula,cosulap@yahoo.com,Botosani,0231-619411,Partidul Social Democrat,Partidul Social Democrat
Coţofenii Din Dos,cotofenii_din_dos@cjdolj.ro,Dolj,0251-447089,Partidul Social Democrat,Partidul Social Democrat
Coţofenii Din Faţă,cotofenii_din_fata@cjdolj.ro,Dolj,0251-446598,Partidul Social Democrat,Partidul Social Democrat
Coţofăneşti,cons_loc_cotofanesti@yahoo.com,Bacau,0234-330216,Partidul Social Democrat,Partidul Social Democrat
Coţuşca,primariacotusca@yahoo.com,Botosani,0231-561643,Partidul Social Democrat,Partidul Social Democrat
Craidorolţ,office@craidorolt.ro,Satu Mare,0261-876566,Partidul Social Democrat,Partidul Social Democrat
Craiova,cv22primaria@cjdolj.ro,Dolj,0251-416235,Partidul Social Democrat,Partidul Social Democrat
Craiva,primariacraiva@artelecom.net,Arad,0257-324125,Partidul Social Democrat,Partidul Social Democrat
Crasna,primariacrasna@yahoo.com,Gorj,0253-474216,Partidul Social Democrat,Partidul Social Democrat
Crasna,primaria@crasna.ro,Salaj,0260-636066,UDMR,UDMR
Creaca,primaria_creaca@samtv.ro,Salaj,0260-646557,Partidul Național Liberal,Partidul Național Liberal
Crevedia,ciocanisteanuelena@gmail.com,Dambovita,0245-241840,Partidul Social Democrat,Partidul Social Democrat
Crevenicu,primariacrevenicu@yahoo.com,Teleorman,0247-450171,Partidul Social Democrat,Partidul Social Democrat
Creţeni,primariacreteni@yahoo.com,Valcea,0250-772922,Partidul Social Democrat,Partidul Social Democrat
Creţeşti,primariacretesti@gmail.com,Vaslui,0235-485125,Partidul Național Liberal,Partidul Național Liberal
Criciova,primaria.criciova@cjtimis.ro,Timis,0256-335807,Partidul Social Democrat,Partidul Social Democrat
Cricău,cricauprimaria@yahoo.com,Alba,0258-845019,Partidul Național Liberal,Partidul Național Liberal
Criscior,prim.criscior@yahoo.com,Hunedoara,,Partidul Social Democrat,Partidul Social Democrat
Cristeşti,primariacristesti@gmail.com,Botosani,0231-619912,Partidul Social Democrat,Partidul Social Democrat
Cristeşti,primaria.cristesti.iasi@gmail.com,Iasi,0232-716293,Partidul Național Liberal,Partidul Național Liberal
Cristeşti,cristesti@cjmures.ro,Mures,0265-326112,E. KOVÁCS,UDMR
Cristian,prim.cristian@yahoo.com,Brasov,0268-257376,Partidul Național Liberal,Partidul Național Liberal
Cristian,secretar@uatcristian.ro,Brasov,0269-579215,Partidul Național Liberal,Partidul Național Liberal
Cristineşti,primariacristinesti@yahoo.com,Botosani,0231-619104,Partidul Social Democrat,Partidul Social Democrat
Cristolţ,primariacristolt@yahoo.com,Salaj,0260-635958,Partidul Național Liberal,Partidul Național Liberal
Cristuru Secuiesc,office@keresztur.ro,Harghita,0266-242190,ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG,UDMR
Crivăț,primariacrivat@yahoo.com,Calarasi,,Partidul Social Democrat,Partidul Social Democrat
Crizbav,crizbav@judbrasov.ro,Brasov,0268-481820,UDMR,UDMR
Crişan,primariacrisan@gmail.com,Tulcea,0240-547057,Partidul Social Democrat,Partidul Social Democrat
Crişeni,primaria.criseni@gmail.com,Salaj,0260-610480,Partidul Național Liberal,Partidul Național Liberal
Criştioru De Jos,primariacristioru@yahoo.com,Bihor,0259-353604,Partidul Național Liberal,Partidul Național Liberal
Crucea,primaria_crucea@yahoo.com,Constanta,0241-874703,Partidul Național Liberal,Partidul Național Liberal
Crucişor,primaria_crucisor@yahoo.com,Satu Mare,0261-821003,Partidul Social Democrat,Partidul Social Democrat
Cruşeţ,primariacruset@yahoo.com,Gorj,0253-283075,Partidul Social Democrat,Partidul Social Democrat
Crâmpoia,primariacrampoiaolt@yahoo.com,Olt,0249-485020,Partidul Social Democrat,Partidul Social Democrat
Crângeni,primaria.cringeni@yahoo.com,Teleorman,0247-356209,Partidul Național Liberal,Partidul Național Liberal
Crângu,primariacringu@yahoo.com,Teleorman,0247-329623,Partidul Social Democrat,Partidul Social Democrat
Crângurile,crangurile@cjd.ro,Dambovita,,Partidul Social Democrat,Partidul Social Democrat
Crăciunelu De Jos,prim_craciuneludejos@yahoo.com,Alba,0258-883501,Partidul Național Liberal,Partidul Național Liberal
Crăciuneşti,craciunesti@cjmures.ro,Mures,0265-332112,UDMR,UDMR
Crăcăoani,primariacracaoani@yahoo.com,Neamt,0233-246001,Partidul Național Liberal,Partidul Social Democrat
Crăieşti,craiesti@cjmures.ro,Mures,0265-427637,Partidul Național Liberal,Partidul Național Liberal
Cuca,primariacucaag@yahoo.com,Arges,0248-241001,Partidul Social Democrat,Partidul Social Democrat
Cuca,primaria_cuca@gk.ro,Galati,0236-331124,Partidul Social Democrat,Partidul Social Democrat
Cucerdea,cucerdea@cjmures.ro,Mures,0265-457144,Partidul Național Liberal,Partidul Național Liberal
Cuci,cuci@cjmures.ro,Mures,0265-477503,Partidul Social Democrat,Partidul Social Democrat
Cucuteni,secretar@primariacucuteni.ro,Iasi,0232-717007,Partidul Social Democrat,Partidul Social Democrat
Cudalbi,primaria@comunacudalbi.ro,Galati,0236-862055,Partidul Social Democrat,Partidul Social Democrat
Cugir,primaria@primariacugir.ro,Alba,0258-751683,Partidul Național Liberal,Partidul Național Liberal
Cujmir,clcujmir@sejmh.ro,Mehedinti,0252-390011,Partidul Social Democrat,Partidul Social Democrat
Culciu,primaria.culciu@yahoo.com,Satu Mare,,UDMR,UDMR
Cumpăna,primaria_cumpana@yahoo.com,Constanta,0241-739003,Partidul Social Democrat,Partidul Social Democrat
Cungrea,secretar@cungrea.ro,Olt,0249-468603,Partidul Social Democrat,Partidul Social Democrat
Cupşeni,primariacupseni@yahoo.com,Maramures,0262-383021,Partidul Național Liberal,Partidul Social Democrat
Curcani,primariacurcani@clicknet.ro,Calarasi,0242-526258,Partidul Național Liberal,Partidul Național Liberal
Curtea,primaria_curtea@yahoo.com,Timis,0256-334748,Partidul Social Democrat,Partidul Social Democrat
Curtea De Argeş,primariacurteadearges@yahoo.com,Arges,0248-721033,Partidul Social Democrat,Partidul Social Democrat
Curteşti,primaria.curtesti@yahoo.com,Botosani,0231-584001,Partidul Social Democrat,Partidul Social Democrat
Curtici,secretariat@primariacurtici.ro,Arad,0257-464004,Partidul Național Liberal,Partidul Național Liberal
Curtişoara,primariacurtisoara@yahoo.com,Olt,0249-470044,Partidul Social Democrat,Partidul Social Democrat
Curtuişeni,primaria.curtuiseni@cjbihor.ro,Bihor,0259-465032,UDMR,UDMR
Curăţele,primaria.curatele@cjbihor.ro,Bihor,0359-235657,Partidul Național Liberal,Partidul Național Liberal
Cut,primariacut@yahoo.com,Alba,0258-745113,Partidul Național Liberal,Partidul Național Liberal
Cuza Vodă,primariacuzavoda@yahoo.com,Constanta,0241-818176,Partidul Național Liberal,Partidul Național Liberal
Cuza Vodă,primaria_cuza_voda@yahoo.com,Calarasi,0242-339397,Partidul Național Liberal,Partidul Național Liberal
Cuzdrioara,cuzdrioaraadm@yahoo.com,Cluj,0264-213928,Partidul Național Liberal,Partidul Național Liberal
Cuzăplac,primariacuzaplac@yahoo.com,Salaj,0260-626300,Partidul Național Liberal,Partidul Național Liberal
Câineni,primaria_caineni08@yahoo.com,Valcea,0350-425926,Partidul Național Liberal,Partidul Național Liberal
Câlnic,primaria_calnic@yahoo.com,Alba,0258-747050,Partidul Național Liberal,Partidul Național Liberal
Câlnic,primaria_cilnic@yahoo.com,Gorj,0253-276102,Partidul Național Liberal,Partidul Național Liberal
Câmpani,primariacimpani@yahoo.com,Bihor,0359-170759,Partidul Național Liberal,Partidul Național Liberal
Câmpeni,primaria_cimpeni@yahoo.com,Alba,0258-771215,Partidul Național Liberal,Partidul Național Liberal
Câmpia Turzii,primaria@campiaturzii.ro,Cluj,0264-368001,Partidul Național Liberal,Partidul Național Liberal
Câmpina,web@primariacampina.ro,Prahova,0244-337454,Partidul Social Democrat,Partidul Social Democrat
Câmpineanca,primaria.campineanca@yahoo.com,Vrancea,0237-222917,Partidul Social Democrat,Partidul Social Democrat
Câmpulung La Tisa,primariacampulunglatisa@yahoo.com,Maramures,0262-370613,UDMR,UDMR
Câmpulung Moldovenesc,primaria@campulungmoldovenesc.ro,Suceava,0230-314425,Partidul Național Liberal,Partidul Național Liberal
Câmpuri,contact@primariacimpuri.ro,Vrancea,0237-670003,Partidul Social Democrat,Partidul Social Democrat
Cândeşti,primariacandesti@yahoo.com,Botosani,0231-625519,Partidul Social Democrat,Partidul Social Democrat
Cândeşti,candesti_dambovita@yahoo.com,Dambovita,0245-240123,Partidul Național Liberal,Partidul Național Liberal
Cândeşti,primaria_candesti@yahoo.com,Neamt,0233-294905,Partidul Național Liberal,Partidul Național Liberal
Cârcea,carcea@cjdolj.ro,Dolj,0251-458121,Partidul Social Democrat,Partidul Social Democrat
Cârjiţi,cirjiti@personal.ro,Hunedoara,0254-220154,Partidul Național Liberal,Partidul Național Liberal
Cârlibaba,p_ciocanesti@yahoo.com,Suceava,0230-575802,Partidul Național Liberal,Partidul Național Liberal
Cârligele,cirligeleprimaria@yahoo.com,Vrancea,0237-253000,Partidul Social Democrat,Partidul Social Democrat
Cârna,carna-dunareni@cjdolj.ro,Dolj,0251-256824,Partidul Social Democrat,Partidul Social Democrat
Cârţa,primcr@kabelkon.ro,Harghita,0266-378005,UDMR,UDMR
Cârţa,primaria.carta@gmail.com,Sibiu,0269-521101,Partidul Național Liberal,Partidul Național Liberal
Câţcău,primar68@yahoo.com,Cluj,0264-225101,Partidul Național Liberal,Partidul Național Liberal
Căbeşti,primaria.cabesti@cjbihor.ro,Bihor,0259-325203,Partidul Social Democrat,Partidul Social Democrat
Căianu,primaria_caianu@yahoo.com,Cluj,0264-280007,Partidul Național Liberal,Partidul Național Liberal
Căianu Mic,comunacaianumic@yahoo.com,Bistrita-Nasaud,0263-347000,Partidul Social Democrat,Partidul Social Democrat
Căiuţi,primariacaiuti@yahoo.com,Bacau,0234-338401,Partidul Social Democrat,Partidul Social Democrat
Călan,primariacalan@yahoo.com,Hunedoara,0254-730201,Partidul Național Liberal,Partidul Național Liberal
Căldăraru,primarie@caldararu.cjarges.ro,Arges,0248-692008,Partidul Național Liberal,Partidul Național Liberal
Călimăneşti,primaria_calimanesti@yahoo.com,Valcea,0250-750080,Partidul Național Liberal,Partidul Social Democrat
Călineşti,primarie@calinesti.cjarges.ro,Arges,0248-651893,Partidul Social Democrat,Partidul Social Democrat
