name,email,county,phone
Băbeni,primaria.babeni@yahoo.com,Salaj,0260-634455
Băbeni,primaria_babeni@yahoo.com,Valcea,0250-765160
Băbiciu,primariababiciu@judetulolt.ro,Olt,0249-532033
Băbăiţa,primariababaita@yahoo.com,Teleorman,0247-433122
Băcani,primariabacani@yahoo.com,Vaslui,0235-429321
Băceşti,primaria.bacesti@yahoo.com,Vaslui,0235-458514
Băcia,primariabacia@yahoo.com,Hunedoara,0254-264580
Băgaciu,bagaciu@cjmures.ro,Mures,0265-425611
Băicoi,baicoi@prefecturaprahova.ro,Prahova,0244-260830
Băiculeşti,baranescughe_primar_baiculesti@yahoo.com,Arges,0248-760204
Băile Govora,primaria@primaria-baile-govora.ro,Valcea,0250-770460
Băile Herculane,primbh@yahoo.com,Caras-Severin,0255-560439
Băile Olăneşti,primariaolanesti@artelecom.net,Valcea,0250-775012
Băile Tuşnad,klarabodo@yahoo.com,Harghita,0266-335017
Băileşti,bailesti@cjdolj.ro,Dolj,0251-311017
Băiuţ,primariabaiut@yahoo.com,Maramures,0262-380012
Băişoara,primariabaisoara@yahoo.com,Cluj,0264-333660
Băiţa,prim.baita@yahoo.com,Hunedoara,0254-683110
Băiţa De Sub Codru,primaria_baita@yahoo.com,Maramures,0262-268487
Băla,bala@cjmures.ro,Mures,0265-339112
Bălan,office@orasulbalan.ro,Harghita,0266-330335
Bălan,primariabalan@yahoo.com,Salaj,0260-664404
Bălceşti,balcestivalcea@yahoo.com,Valcea,0250-840352
Bălcăuţi,primariabalcauti@yahoo.com,Suceava,0230-280589
Băleni,primaria_baleni@yahoo.com,Dambovita,0245-265004
Băleni,primariabaleni@yahoo.com,Galati,0236-330530
Băleşti,primariabalesti@yahoo.com,Gorj,0253-220037
Bălileşti,primaria_balilesti@yahoo.com,Arges,0248-562080
Bălteni,primariabalteni@adslexpress.ro,Olt,0249-481600
Bălteni,primariabaltenivs@yahoo.com,Vaslui,0235-342784
Bălteşti,baltesti@prefecturaprahova.ro,Prahova,0244-219023
Băluşeni,primariabaluseni@yahoo.com,Botosani,0231-515849
Bălăbăneşti,primariabalabanesti@yahoo.com,Galati,0236-348508
Bălăceana,primaria_balaceana@yahoo.com,Suceava,0230-534860
Bălăceanu,primariabalaceanu@gmail.com,Buzau,0238-577601
Bălăciţa,clbalacita@sejmh.ro,Mehedinti,0252-356444
Bălăneşti,primariabalanesti@yahoo.com,Gorj,
Bălăuşeri,balauseri@cjmures.ro,Mures,0265-764112
Bălăşeşti,primariabalasesti@yahoo.com,Galati,0236-334782
Bălţaţi,primariabaltati_is@yahoo.com,Iasi,0232-717249
Bălţăteşti,primbaltatesti@yahoo.com,Neamt,0233-244006
Băneasa,primariabaneasa@yahoo.com,Constanta,0241-850150
Băneasa,consiliullocalbaneasa@yahoo.com,Galati,0236-348750
Băneasa,secretariat@primariabaneasagr.ro,Giurgiu,0246-285101
Băneşti,primariabanesti@yahoo.com,Prahova,0244-348131
Bănia,osbania@yahoo.com,Caras-Severin,0762758581
Bănisor,primaria_banisor@yahoo.com,Salaj,0260-637571
Băniţa,primariabanita@yahoo.com,Hunedoara,0254-545681
Bărbuleţu,primaria_barbuletu@yahoo.com,Dambovita,0245-240933
Bărbulești,primariabarbulesti@yahoo.com,Ialomita,
Bărbăteşti,primariabarbatestigj@yahoo.com,Gorj,0253-270503
Bărbăteşti,primaria_barbatesti@yahoo.com,Valcea,0250-864629
Bărcăneşti,clbarcanesti@yahoo.com,Ialomita,0243-285000
Bărcăneşti,primaria_barcanesti@yahoo.com,Prahova,0244-276595
Bărăganul,primariabaraganulbr@yahoo.com,Braila,0239-663009
Bărăşti,barasti_vede@yahoo.com,Olt,0249-463575
Băsești,primaria_basesti@yahoo.com,Maramures,
Bătarci,primaria_batarci@yahoo.com,Satu Mare,0261-837024
Bătrâna,primariabatrana@gmail.com,Hunedoara,0726-170224
Bătrâni,primariabatrani@yahoo.com,Prahova,0244-421379
Băuţar,primaria.bautar@googlemail.com,Caras-Severin,0255-521602
Băţani,bacon@cosys.ro,Covasna,
C.A. Rosetti,primaria_carosetti@yahoo.com,Buzau,0238-731001
C.A. Rosetti,primariarosetti@gmail.com,Tulcea,0240-546200
Cacica,primariacacica@yahoo.com,Suceava,0230-237002
Cajvana,primaria_cajvana@yahoo.com,Suceava,0230-539222
Calafat,calafat@cjdolj.ro,Dolj,0251-231424
Calafindeşti,primariacalafindesti@yahoo.com,Suceava,0230-281290
Calopăr,calopar@cjdolj.ro,Dolj,0251-350558
Calvini,primaria.calvini@yahoo.com,Buzau,0238-523647
Camăr,primariacamar@yahoo.com,Salaj,0260-672101
Capu Câmpului,primariaccampului@yahoo.com,Suceava,0230-573006
Caracal,office@primariacaracal.ro,Olt,0249-511384
Caransebeş,primaria.caransebes@gmail.com,Caras-Severin,0255-514885
Caraula,caraula@cjdolj.ro,Dolj,0251-369568
Caraşova,primaria.carasova@yahoo.com,Caras-Severin,0255-232000
Carcaliu,primaria_carcaliu@yahoo.com,Tulcea,0240-574810
Carei,primariacar@yahoo.com,Satu Mare,0261-861662
Carpen,carpen@cjdolj.ro,Dolj,0251-445637
Casimcea,casimceaprimaria@yahoo.com,Tulcea,0240-576730
Castelu,casteluprimariacomunei@yahoo.com,Constanta,0241-811831
Castranova,castranova@cjdolj.ro,Dolj,0251-372602
Catane,catane@cjdolj.ro,Dolj,0251-319662
Cavadineşti,primaria-cavadinesti@hotmail.com,Galati,0236-347509
Cavnic,primariacavnic@yahoo.com,Maramures,0262-295046
Cazaşu,primariacazasu@yahoo.com,Braila,
Caţa,primariacata@yahoo.com,Brasov,0268-248621
Cașin,primaria_casin@yahoo.com,Bacau,0234-331067
Ceahlău,primaria_ceahlau@yahoo.com,Neamt,0233-258594
Ceamurlia De Jos,primariaceamurlia@yahoo.com,Tulcea,0240-564706
Ceanu Mare,primaria@ceanu-mare.ro,Cluj,0264-367715
Ceanu Mare,primar@ceanu-mare.ro,Cluj,0264-367715
Ceatalchioi,primariaceatalchioi@gmail.com,Tulcea,0371-034711
Cefa,primaria.cefa@cjbihor.ro,Bihor,0259-394007
Cehal,primaria.cehal@yahoo.com,Satu Mare,
Cehu Silvaniei,primaria_cehu@yahoo.com,Salaj,0260-650355
Ceica,primaria.ceica@cjbihor.ro,Bihor,0259-324460
Celaru,celaru@cjdolj.ro,Dolj,0251-375509
Cenad,primaria@cenad.ro,Timis,0256-374507
Cenade,primariacenade@yahoo.com,Alba,0258-789003
Cenei,primaria.cenei@cjtimis.ro,Timis,0256-366101
Cepari,primarie@cepari.cjarges.ro,Arges,0248-545043
Cepleniţa,primariaceplenita@yahoo.com,Iasi,0232-730110
Ceptura,primariaceptura@yahoo.com,Prahova,0244-445002
Ceraşu,cerasu@prefecturaprahova.ro,Prahova,0244-297112
Cerbăl,primariacerbal@yahoo.com,Hunedoara,0254-735403
Cerchezu,secretar@primariacerchezu.ro,Constanta,0241-780204
Cergău,primariacergau@yahoo.com,Alba,
Cermei,cermei@xnet.ro,Arad,0257-328101
Cerna,primariacernatl@yahoo.com,Tulcea,0240-571848
Cernat,comunacernat@yahoo.com,Covasna,0267-367501
Cernavodă,primaria@cernavoda.ro,Constanta,0241-487108
Cerneşti,cernestimm@comunacernesti.ro,Maramures,0262-382144
Cernica,primaria_cernica@yahoo.com,Ilfov,021-2555508
Cernişoara,primaria_cernisoara@yahoo.com,Valcea,0250-868503
Cernăteşti,primariacernatesti@yahoo.com,Buzau,0238-508001
Cernăteşti,cernatesti@cjdolj.ro,Dolj,0251-445072
Certeju De Sus,primaria_certejudesus@yahoo.com,Hunedoara,0254-648714
Certeze,certezeprimaria@yahoo.com,Satu Mare,0261-858005
Ceru-Băcăinţi,primariacerubacainti@yahoo.com,Alba,0258-700840
Cervenia,primarcervenia@yahoo.com,Teleorman,0247-333542
Cerăt,cerat@cjdolj.ro,Dolj,0251-358202
Cerţeşti,primariacertesti@yahoo.com,Galati,0236-337505
Cetariu,primaria.cetariu@cjbihor.ro,Bihor,0259-456266
Cetate,primaria@primariacetatebn.ro,Bistrita-Nasaud,0263-271419
Cetate,cetate@cjdolj.ro,Dolj,0251-364022
Cetatea De Baltă,primariacdb@yahoo.com,Alba,0258-886128
Cetăţeni,conscetateni@gmail.com,Arges,0248-544090
Ceuaşu De Câmpie,ceuasu@cjmures.ro,Mures,0265-324112
Cezieni,primariacezieni@judetulolt.ro,Olt,0249-510102
Checea,birdeandorin@yahoo.com,Timis,0256-360373
Checea,primaria.checea@cjtimis.ro,Timis,0256-360373
Cherechiu,primaria.cherechiu@cjbihor.ro,Bihor,0259-352838
Chevereşu Mare,primaria.cheveresumare@yahoo.com,Timis,0256-415008
Cheţani,chetani@cjmures.ro,Mures,0265-484114
Chiajna,registratura@primariachiajna.ro,Ilfov,021-4361122
Chibed,chibed@cjmures.ro,Mures,0265-717783
Chichiş,secretar_kokos@cosys.ro,Covasna,0267-347223
Chieşd,viozaha@gmail.com,Salaj,0260-652906
Chiheru De Jos,chiheru@cjmures.ro,Mures,0265-716112
Chilia Veche,primaria_chilia_veche@yahoo.com,Tulcea,0240-547301
Chinteni,primariachinteni@yahoo.com,Cluj,0264-271771
Chiochiş,chiochisprimarie@yahoo.com,Bistrita-Nasaud,0263-355320
Chiojdeanca,chiojdeanca@prefecturaprahova.ro,Prahova,0244-461000
Chiojdu,primariachiojdu@yahoo.com,Buzau,0238-599618
Chirnogeni,secretar@primaria-chirnogeni.ro,Constanta,0241-854305
Chirnogi,prim_chirnogi@yahoo.com,Calarasi,0242-524276
Chirpăr,primaria_chirpar@yahoo.com,Sibiu,0269-586101
Chiscani,primariachiscani@yahoo.com,Braila,0239-664011
Chiselet,primariachiselet@clicknet.ro,Calarasi,0242-521023
Chisindia,primariachisindia@yahoo.com,Arad,0257-314105
Chitila,primar@primariachitila.ro,Ilfov,021-4363709
Chiuieşti,primariachiuiesti@yahoo.com,Cluj,0264-225600
Chiuza,primaria_chiuza@yahoo.com,Bistrita-Nasaud,0263-346001
Chişineu-Criş,primariachcris@yahoo.com,Arad,0257-350044
Chișlaz,primaria.chislaz@cjbihor.ro,Bihor,0259-362695
Ciacova,primariaciacova@primariaciacova.ro,Timis,0256-399500
Ciceu,hivatal@csikcsicso.ro,Harghita,0266-379261
Ciceu - Mihaiesti,primariacm@gmail.com,Bistrita-Nasaud,
Ciceu-Giurgeşti,primgiurgesti@yahoo.com,Bistrita-Nasaud,0263-345090
Ciclova Română,primariaciclovaromana@yahoo.com,Caras-Severin,0255-575305
Cicârlău,primariacicarlau@yahoo.com,Maramures,0262-481002
Cicăneşti,primarie@cicanesti.cjarges.ro,Arges,0248-735058
Cilibia,primariacilibia@yahoo.com,Buzau,0371-394318
Cilieni,primariacilieni@judetulolt.ro,Olt,0249-534002
Cincu,primariacincu@yahoo.com,Brasov,0268-244101
Ciobanu,primariaciobanu@yahoo.com,Constanta,0241-874302
Ciochina,primariaciochina@yahoo.com,Ialomita,0243-265001
Ciocile,primariaciocile@yahoo.com,Braila,0239-699210
Ciocârlia,primariaciocirlia@yahoo.com,Constanta,0241-875555
Ciocârlia,primciocarlia@yahoo.com,Ialomita,0243-256981
Ciocăneşti,primariaciocanesti@yahoo.com,Calarasi,0242-337292
Ciocăneşti,vioricamanzu@yahoo.com,Dambovita,0245-261336
Ciofrângeni,primaria@ciofrangeni.cjarges.ro,Arges,0248-747155
Ciohorăni,cristianalbu_2007@yahoo.com,Iasi,0232-765534
Ciolpani,primaria.ciolpani@gmail.com,Ilfov,021-2668123
Ciolăneşti,primaria_ciolanesti@yahoo.com,Teleorman,0247-336401
Ciomăgeşti,primarie@ciomagesti.cjarges.ro,Arges,0248-245008
Ciorani,ciorani@prefecturaprahova.ro,Prahova,0244-462025
Ciorogârla,contact@primariaciorogarla.ro,Ilfov,021-3131590
Cioroiaşi,cioroiasi@cjdolj.ro,Dolj,0251-317122
Ciorteşti,primaria.ciortesti@yahoo.com,Iasi,0232-320800
Ciorăşti,primariaciorasti@yahoo.com,Vrancea,0237-249756
Ciprian Porumbescu,primariaciprianporumbescusv@yahoo.com,Suceava,0230-551662
Cireşu,primariaciresu@yahoo.com,Braila,0239-623749
Cireşu,clciresu@sejmh.ro,Mehedinti,0252-388650
Cislău,primariacislau@clicknet.ro,Buzau,0238-551580
Cisnădie,primariacisnadie@yahoo.com,Sibiu,0269-561147
Ciucea,primaria_ciucea@yahoo.com,Cluj,0264-259001
Ciucsângeorgiu,pciucsangeorgiu@freemail.hu,Harghita,0266-331603
Ciucurova,ciucurova_tl@primariaonline.ro,Tulcea,0240-576579
Ciudanoviţa,primaria_ciudanovita@yahoo.com,Caras-Severin,0726-354889
Ciugud,primariaciugud@yahoo.com,Alba,0258-841205
Ciuhoi,primaria.ciuhoi@cjbihor.ro,Bihor,
Ciulniţa,primariaciulnita@yahoo.com,Ialomita,0243-218082
Ciumani,ciumani@hr.astral.ro,Harghita,0266-351006
Ciumeghiu,primaria_ciumeghiu@yahoo.com,Bihor,0259-392009
Ciumeşti,primariaciumesti@yahoo.com,Satu Mare,0261-821280
Ciuperceni,pcciuperceni@yahoo.com,Gorj,0253-276526
Ciuperceni,primariaciuperceni@yahoo.com,Teleorman,0247-419590
Ciupercenii Noi,ciupercenii_noi@cjdolj.ro,Dolj,0251-321002
Ciurea,primariaciurea@yahoo.com,Iasi,0232-296260
Ciurila,primaria_ciurila@yahoo.com,Cluj,0364-806500
Ciuruleasa,primariaciuruleasa@clicknet.ro,Alba,0258-780605
Cizer,primariacizer@yahoo.com,Salaj,0260-625543
Cleja,clcleja101@yahoo.com,Bacau,0234-253012
Clejani,clclejanigr@yahoo.com,Giurgiu,0246-261176
Clinceni,primariaclinceni@yahoo.com,Ilfov,021-3694041
Coarnele Caprei,secretar@coarnelecaprei.ro,Iasi,0232-724111
Coaş,primaria_coas@yahoo.com,Maramures,0262-286233
Cobadin,primariacobadin@yahoo.com,Constanta,0241-855129
Cobia,cobiadambovita@yahoo.com,Dambovita,0245-713235
Cochirleanca,primariacochirleanca@yahoo.com,Buzau,0238-736370
Cociuba Mare,primaria.cociubamare@cjbihor.ro,Bihor,0259-311232
Cocora,primariacocorail@yahoo.com,Ialomita,0243-247176
Cocorăştii Colt,cocorastiicolt@prefecturaprahova.ro,Prahova,0244-484100
Cocorăştii Mislii,primariacocorastiimislii@yahoo.com,Prahova,0244-229030
Codlea,primariacodlea@yahoo.com,Brasov,0268-251650
Cogealac,contact@primariacogealac.ro,Constanta,0241-769101
Cojasca,primar@primariacojasca.ro,Dambovita,0245-671565
Cojocna,admcojocna@yahoo.com,Cluj,0264-234075
Colceag,primaria.colceag@yahoo.com,Prahova,0244-447001
Colelia,primariacolelia@yahoo.com,Ialomita,0243-247674
Colibaşi,clcolibasi@yahoo.com,Giurgiu,0246-227111
Coloneşti,comunacolonesti@yahoo.com,Bacau,0234-287600
Coloneşti,primaria.colonesti@yahoo.com,Olt,0249-463001
Coltău,primaria_coltau@yahoo.com,Maramures,0262-289287
Colţi,primariacolti@yahoo.com,Buzau,0238-522501
Comana,comanaprimaria@yahoo.com,Brasov,0246-283114
Comana,primar@primaria-comana.ro,Constanta,0241-859444
Comandău,cl_comandau@yahoo.com,Covasna,0267-353092
Comarna,comarnaiasi@yahoo.com,Iasi,0232-238900
Comarnic,comarnic@prefecturaprahova.ro,Prahova,0244-360076
Comişani,primaria_comisani@yahoo.com,Dambovita,0245-263147
Comloşu Mare,primariacomlosumare@yahoo.com,Timis,0256-364114
Comăneşti,relatiipublice@primariacomanesti.ro,Bacau,0234-374272
Comăneşti,comanestiprimaria@yahoo.com,Suceava,0230-539217
Conceşti,primariaconcesti@yahoo.com,Botosani,0331-710484
Conop,conop_ar@primariaonline.ro,Arad,0257-433003
Constantin Daicoviciu,primariacavaran@yahoo.com,Caras-Severin,
Conţeşti,contact@primariacontesti.ro,Dambovita,0245-241391
Conțeşti,primariacontesti@gmail.com,Teleorman,0247-334296
Copalnic-Manastur,copalnicmanastur@yahoo.com,Maramures,
Copăcel,primaria.copacel@cjbihor.ro,Bihor,0259-313598
Copăcele,primariacopacele@yahoo.com,Caras-Severin,0255-510132
Copăceni,primariacopaceni@yahoo.com,Ilfov,021-4687174
Copălău,primariacopalau@yahoo.com,Botosani,0231-619302
Copşa Mică,primaria_copsa@birotec.com,Sibiu,0269-840120
Corabia,primariacorabia@yahoo.com,Olt,0249-560703
Corbasca,corbasca@judetbacau.ro,Bacau,0234-283399
Corbeanca,secretar@primariacorbeanca.ro,Ilfov,021-2666031
Corbeni,primaria_corbeni@yahoo.com,Arges,0248-730236
Corbi,primariacorbi@yahoo.com,Arges,0248-580005
Corbii Mari,primaria_cm@yahoo.com,Dambovita,0245-716444
Corbiţa,primarie@primariacorbita.ro,Vrancea,
Corbu,primariacorbu@judetulolt.ro,Constanta,0241-765105
Corbu,primariacorbu@yahoo.com,Harghita,0266-338814
Corcova,clcorcova@sejmh.ro,Mehedinti,0252-383464
Cordun,office@primariacordun.ro,Neamt,0233-748236
Cordăreni,primaria_cordareni@yahoo.com,Botosani,0231-624120
Corlăţel,clcorlatel@sejmh.ro,Mehedinti,0252-708990
Corlăţeni,primariacorlateni@yahoo.com,Botosani,0231-619504
Cornea,primariacorneacs@yahoo.com,Caras-Severin,0255-261312
Cornereva,primaria.cornereva@yahoo.com,Caras-Severin,0374-942818
Cornetu,primariacornetu@yahoo.com,Ilfov,021-4689220
Corneşti,primariacornesti@yahoo.com,Cluj,0264-355516
Corneşti,cornesti@cjd.ro,Dambovita,0245-241654
Corni,primariacornibotosani@yahoo.com,Botosani,0231-588110
Corni,primaria_corni@yahoo.com,Galati,0236-330820
Cornu,primariacornu@clicknet.ro,Prahova,0244-367461
Cornu Luncii,secretar.cornuluncii@yahoo.com,Suceava,0230-542296
Cornăţelu,cornateluprimaria@yahoo.com,Dambovita,0371-332739
Corod,primariacorodgl@yahoo.com,Galati,0236-864006
Coroieni,primariacoroieni@email.ro,Maramures,0262-389311
Coroieşti,primariacoroiesti_2007@yahoo.com,Vaslui,0372-772352
Coroisânmartin,coroisinmartin@cjmures.ro,Mures,0265-765012
Coronini,primar@primariacoronini.ro,Caras-Severin,0255-544192
Corunca,corunca@cjmures.ro,Mures,0265-243152
Corund,primariacorund@yahoo.com,Harghita,0266-249344
Cosmeşti,primaria.cosmesti@gmail.com,Galati,0236-336227
Cosmeşti,primariacosmesti@yahoo.com,Teleorman,0247-452118
Cosminele,primaria_cosminele@yahoo.com,Prahova,0244-228005
Cosoba,primariacosoba@yahoo.com,Giurgiu,0246-253887
Costache Negri,primariacnegri@yahoo.com,Galati,0236-825810
Costeiu,primaria.costeiu@yahoo.com,Timis,0256-326500
Costeşti,primaria@primariacostestiag.ro,Arges,0248-672320
Costeşti,secretaroprea@yahoo.com,Buzau,0238-536158
Costeşti,secretar@primariacostesti.ro,Iasi,0232-722106
Costeşti,primariacostesti@clicknet.ro,Vaslui,0235-344548
Costeşti,primaria_costesti@yahoo.com,Valcea,0250-863330
Costeştii Din Vale,d.primariacostestivale@yahoo.com,Dambovita,0245-717025
Costişa,primaria@comunacostisa.ro,Neamt,0233-260063
Costuleni,costulenisecretar@yahoo.com,Iasi,0232-291550
Cosâmbeşti,primaria.cosimbesti@yahoo.com,Ialomita,0243-218507
Coteana,primariacoteana@yahoo.com,Olt,0249-419308
Coteşti,primaria_cotesti@yahoo.com,Vrancea,0237-252111
Cotmeana,primarie@cotmeana.cjarges.ro,Arges,0248-242044
Cotnari,primaria_cotnari@yahoo.com,Iasi,0232-730290
Covasint,primariacovasint@gmail.com,Arad,
Covasna,secretar@primariacovasna.ro,Covasna,0267-340001
Cozieni,primaria_cozieni@yahoo.com,Buzau,0238-750943
Cozma,cozma@cjmures.ro,Mures,0265-349402
Cozmeni,primcoz@freemail.hu,Harghita,0266-326668
Cozmeşti,comunacozmesti@yahoo.com,Iasi,0232-413444
Coşbuc,primariacosbuc@yahoo.com,Bistrita-Nasaud,0263-368019
Coşeiu,primariacoseiu@yahoo.com,Salaj,0260-653199
Coşereni,primariacosereni@yahoo.com,Ialomita,0243-318006
Coşeşti,primarie@cosesti.cjarges.ro,Arges,0248-230099
Coşna,primariacosna@yahoo.com,Suceava,0230-575142
Coşoveni,cosoveni@cjdolj.ro,Dolj,0251-457186
Coşula,cosulap@yahoo.com,Botosani,0231-619411
Coţofenii Din Dos,cotofenii_din_dos@cjdolj.ro,Dolj,0251-447089
Coţofenii Din Faţă,cotofenii_din_fata@cjdolj.ro,Dolj,0251-446598
Coţofăneşti,cons_loc_cotofanesti@yahoo.com,Bacau,0234-330216
Coţuşca,primariacotusca@yahoo.com,Botosani,0231-561643
Craidorolţ,office@craidorolt.ro,Satu Mare,0261-876566
Craiova,cv22primaria@cjdolj.ro,Dolj,0251-416235
Craiva,primariacraiva@artelecom.net,Arad,0257-324125
Crasna,primariacrasna@yahoo.com,Gorj,0253-474216
Crasna,primaria@crasna.ro,Salaj,0260-636066
Creaca,primaria_creaca@samtv.ro,Salaj,0260-646557
Crevedia,ciocanisteanuelena@gmail.com,Dambovita,0245-241840
Crevenicu,primariacrevenicu@yahoo.com,Teleorman,0247-450171
Creţeni,primariacreteni@yahoo.com,Valcea,0250-772922
Creţeşti,primariacretesti@gmail.com,Vaslui,0235-485125
Criciova,primaria.criciova@cjtimis.ro,Timis,0256-335807
Cricău,cricauprimaria@yahoo.com,Alba,0258-845019
Criscior,prim.criscior@yahoo.com,Hunedoara,
Cristeşti,primariacristesti@gmail.com,Botosani,0231-619912
Cristeşti,primaria.cristesti.iasi@gmail.com,Iasi,0232-716293
Cristeşti,cristesti@cjmures.ro,Mures,0265-326112
Cristian,prim.cristian@yahoo.com,Brasov,0268-257376
Cristian,secretar@uatcristian.ro,Brasov,0269-579215
Cristineşti,primariacristinesti@yahoo.com,Botosani,0231-619104
Cristolţ,primariacristolt@yahoo.com,Salaj,0260-635958
Cristuru Secuiesc,office@keresztur.ro,Harghita,0266-242190
Crivăț,primariacrivat@yahoo.com,Calarasi,
Crizbav,crizbav@judbrasov.ro,Brasov,0268-481820
Crişan,primariacrisan@gmail.com,Tulcea,0240-547057
Crişeni,primaria.criseni@gmail.com,Salaj,0260-610480
Criştioru De Jos,primariacristioru@yahoo.com,Bihor,0259-353604
Crucea,primaria_crucea@yahoo.com,Constanta,0241-874703
Crucişor,primaria_crucisor@yahoo.com,Satu Mare,0261-821003
Cruşeţ,primariacruset@yahoo.com,Gorj,0253-283075
Crâmpoia,primariacrampoiaolt@yahoo.com,Olt,0249-485020
Crângeni,primaria.cringeni@yahoo.com,Teleorman,0247-356209
Crângu,primariacringu@yahoo.com,Teleorman,0247-329623
Crângurile,crangurile@cjd.ro,Dambovita,
Crăciunelu De Jos,prim_craciuneludejos@yahoo.com,Alba,0258-883501
Crăciuneşti,craciunesti@cjmures.ro,Mures,0265-332112
Crăcăoani,primariacracaoani@yahoo.com,Neamt,0233-246001
Crăieşti,craiesti@cjmures.ro,Mures,0265-427637
Cuca,primariacucaag@yahoo.com,Arges,0248-241001
Cuca,primaria_cuca@gk.ro,Galati,0236-331124
Cucerdea,cucerdea@cjmures.ro,Mures,0265-457144
Cuci,cuci@cjmures.ro,Mures,0265-477503
Cucuteni,secretar@primariacucuteni.ro,Iasi,0232-717007
Cudalbi,primaria@comunacudalbi.ro,Galati,0236-862055
Cugir,primaria@primariacugir.ro,Alba,0258-751683
Cujmir,clcujmir@sejmh.ro,Mehedinti,0252-390011
Culciu,primaria.culciu@yahoo.com,Satu Mare,
Cumpăna,primaria_cumpana@yahoo.com,Constanta,0241-739003
Cungrea,secretar@cungrea.ro,Olt,0249-468603
Cupşeni,primariacupseni@yahoo.com,Maramures,0262-383021
Curcani,primariacurcani@clicknet.ro,Calarasi,0242-526258
Curtea,primaria_curtea@yahoo.com,Timis,0256-334748
Curtea De Argeş,primariacurteadearges@yahoo.com,Arges,0248-721033
Curteşti,primaria.curtesti@yahoo.com,Botosani,0231-584001
Curtici,secretariat@primariacurtici.ro,Arad,0257-464004
Curtişoara,primariacurtisoara@yahoo.com,Olt,0249-470044
Curtuişeni,primaria.curtuiseni@cjbihor.ro,Bihor,0259-465032
Curăţele,primaria.curatele@cjbihor.ro,Bihor,0359-235657
Cut,primariacut@yahoo.com,Alba,0258-745113
Cuza Vodă,primariacuzavoda@yahoo.com,Constanta,0241-818176
Cuza Vodă,primaria_cuza_voda@yahoo.com,Calarasi,0242-339397
Cuzdrioara,cuzdrioaraadm@yahoo.com,Cluj,0264-213928
Cuzăplac,primariacuzaplac@yahoo.com,Salaj,0260-626300
Câineni,primaria_caineni08@yahoo.com,Valcea,0350-425926
Câlnic,primaria_calnic@yahoo.com,Alba,0258-747050
Câlnic,primaria_cilnic@yahoo.com,Gorj,0253-276102
Câmpani,primariacimpani@yahoo.com,Bihor,0359-170759
Câmpeni,primaria_cimpeni@yahoo.com,Alba,0258-771215
Câmpia Turzii,primaria@campiaturzii.ro,Cluj,0264-368001
Câmpina,web@primariacampina.ro,Prahova,0244-337454
Câmpineanca,primaria.campineanca@yahoo.com,Vrancea,0237-222917
Câmpulung La Tisa,primariacampulunglatisa@yahoo.com,Maramures,0262-370613
Câmpulung Moldovenesc,primaria@campulungmoldovenesc.ro,Suceava,0230-314425
Câmpuri,contact@primariacimpuri.ro,Vrancea,0237-670003
Cândeşti,primariacandesti@yahoo.com,Botosani,0231-625519
Cândeşti,candesti_dambovita@yahoo.com,Dambovita,0245-240123
Cândeşti,primaria_candesti@yahoo.com,Neamt,0233-294905
Cârcea,carcea@cjdolj.ro,Dolj,0251-458121
Cârjiţi,cirjiti@personal.ro,Hunedoara,0254-220154
Cârlibaba,p_ciocanesti@yahoo.com,Suceava,0230-575802
Cârligele,cirligeleprimaria@yahoo.com,Vrancea,0237-253000
Cârna,carna-dunareni@cjdolj.ro,Dolj,0251-256824
Cârţa,primcr@kabelkon.ro,Harghita,0266-378005
Cârţa,primaria.carta@gmail.com,Sibiu,0269-521101
Câţcău,primar68@yahoo.com,Cluj,0264-225101
Căbeşti,primaria.cabesti@cjbihor.ro,Bihor,0259-325203
Căianu,primaria_caianu@yahoo.com,Cluj,0264-280007
Căianu Mic,comunacaianumic@yahoo.com,Bistrita-Nasaud,0263-347000
Căiuţi,primariacaiuti@yahoo.com,Bacau,0234-338401
Călan,primariacalan@yahoo.com,Hunedoara,0254-730201
Căldăraru,primarie@caldararu.cjarges.ro,Arges,0248-692008
Călimăneşti,primaria_calimanesti@yahoo.com,Valcea,0250-750080
Călineşti,primarie@calinesti.cjarges.ro,Arges,0248-651893
Călineşti,primariacalinesti@yahoo.com,Maramures,0262-373084
Călineşti,calinesti@gmail.com,Teleorman,0247-431177
Călineşti-Oaş,primariacalinestioas@yahoo.com,Satu Mare,0261-839001
Călmăţuiu,secretar_calmatuiu@yahoo.com,Teleorman,0247-430620
Călugăreni,calugareni.primaria@yahoo.com,Giurgiu,0246-281240
Călugăreni,primaria.calugareni@yahoo.com,Prahova,0244-448668
Călui,primariacalui@yahoo.com,Olt,0249-456187
Călăraşi,primar@primariacalarasibt.ro,Botosani,0231-548902
Călăraşi,secretar2006@yahoo.com,Cluj,0264-356086
Călăraşi,calarasi@cjdolj.ro,Dolj,0251-379052
Călăţele,primar@primariacalatele.ro,Cluj,0264-352304
Cămin,primaria_camin@yahoo.com,Satu Mare,0261-872789
Cămărzana,primariacamarzana@gmail.com,Satu Mare,0261-833001
Căneşti,primariacanesti@yahoo.com,Buzau,0238-897317
Căpleni,secretar@capleni.ro,Satu Mare,0261-873001
Căpuşu Mare,pcapusu@yahoo.com,Cluj,0264-350006
Căpâlna,primaria.capilna@cjbihor.ro,Bihor,0259-312016
Căpâlniţa,primca@kabelkon.ro,Harghita,0266-247601
