cui,denumire,telefon_anaf,sediu_judet,sediu_localitate
42477200,FARCAS F. I. LASZLO PERSOANĂ FIZICĂ AUTORIZATĂ,0727164315,SĂLAJ,Mun. Zalău
48000846,FARM AGRISOR S.R.L.,0764417677,BACĂU,Sat Cornăţel Com. Urecheşti
31679263,FARM EQUIPMENT SERVICES SRL,0766396642,MUREŞ,Orş. Sovata
38151507,FARMING EQUIPMENT S.R.L.,0729134149,IAŞI,Mun. Iaşi
47527547,FARMNET BALKANS S.R.L.,-,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
21574189,FAST ARIS CONSTRUCT SRL,0744307905,ILFOV,Sat 1 Decembrie Com. 1 Decembrie
28103588,FLODEL SRL,0748784199,SUCEAVA,Sat Dărmăneşti Com. Dărmăneşti
17538749,FOCUS MOTOR SRL,0723134760,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
46129470,FOCUS SPARE PARTS S.R.L.,0757220944,TIMIŞ,Mun. Timişoara
18241214,FORMEC SRL,0788359296,MARAMUREŞ,Mun. Baia Mare
51070400,FORTE TRACTORS S.R.L.,0744405130,NEAMŢ,Mun. Roman
29568956,FUERTE MOTOR S.R.L.,0722869219,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
35036422,G & G AGREPAIR SRL,0743218628,TIMIŞ,Mun. Timişoara
29024482,G.A.P. CONSTRUCTII AGRICOLE S.R.L.,0747453063,MARAMUREŞ,Sat Şurdeşti Com. Şişeşti
14637438,GALAXYMAR CONSULTING SRL,0259434751,BIHOR,Mun. Oradea
26704301,GAMLILA LAND SRL,0720819988,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
37211546,GARDENGURU TOOLS SRL,0754402964,HARGHITA,Mun. Odorheiu Secuiesc
37383975,GARDENLINE UTILAJE SRL,0751401001,SATU MARE,Mun. Carei
27406109,GARDENTRAC S.R.L.,0742490586,BRAŞOV,Mun. Săcele
18977270,GARDENTREND SRL,0723332863,HARGHITA,Sat Lăzăreşti Com. Cozmeni
28439082,GARDINERY INTERNATIONAL SRL,0727879765,CLUJ,Sat Gilău Com. Gilău
29980506,GAVIS TECHNIC SOLUTIONS S.R.L.,0265318552,MUREŞ,Sat Sângeorgiu de Mureş Com. Sângeorgiu de Mureş
1060043,GDA ARTO S.R.L.,0723385418,CARAŞ-SEVERIN,Mun. Reşiţa
47742952,GEBO AGRO SERVICE & SALE S.R.L.,0755-052706,BISTRIŢA-NĂSĂUD,Sat Cociu Com. Şintereag
6635436,GEDA PRODEXIM S.R.L.,0216671522,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
49261343,GEMCO MOTORS S.R.L.,+40721724688,CONSTANŢA,Mun. Constanţa
18975997,GENERA AGROGEN S.R.L.,0264247900,CLUJ,Mun. Gherla
35968302,GENERAL AGRISERV SRL,0212331064,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
4800456,GENERAL LEASING S.R.L.,0212331064,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
33827366,GENERAL MASER IMPEX SRL,0741774231,CONSTANŢA,Mun. Constanţa
44490214,GENERAL PRO INDUSTRY S.R.L.,0749300291,SATU MARE,Orş. Negreşti-Oaş
5964678,GENTLEMAN SERVCOM SRL,0258469363,BIHOR,Orş. Valea lui Mihai
47734674,GEOGREENHOUSE S.R.L.,0724206603,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
39087615,GEOTECH MACHINERY S.R.L.,0243232060,IALOMIŢA,Mun. Slobozia
16437118,GEPETTO CONSULT SRL,0368440960,BRAŞOV,Mun. Braşov
35160845,GLOBAL MAX RESOURCES DEVELOPMENT SRL,0268477704,BRAŞOV,Mun. Braşov
29289811,GM AGROTEHNIC PROIECT SRL,0737148825,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
41930132,GOLDHAUS MARKET S.R.L.,0758622864,SĂLAJ,Mun. Zalău
50112701,GOSPODARUL BISTRIŢA S.R.L.,0757-815150,BISTRIŢA-NĂSĂUD,Loc. Unirea Mun. Bistriţa
958390,GOSPOMAS SA,0234314322,BACĂU,Mun. Oneşti
40730020,GRADENIA COMPANY S.R.L.,0724387130,IALOMIŢA,Mun. Urziceni
34645397,GRAIN BAGS SRL,0751968108,CLUJ,Mun. Cluj-Napoca
49794214,GRAND AGRO S.R.L.,0722474424,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
45547513,GREEN AGROTOOLS S.R.L.,0740561091,CLUJ,Sat Floreşti Com. Floreşti
48652718,GREEN TEHNIC GLOBAL S.R.L.,0767291333,HUNEDOARA,Mun. Hunedoara
29369619,GREENOPOLIS TOOLS P&G SRL,0745109808,ARGEŞ,Mun. Piteşti
18878226,GRIGMAR SRL,0740225508,MARAMUREŞ,Mun. Baia Mare
36869684,GRIMD HORTI SRL,0724498933,CLUJ,Sat Floreşti Com. Floreşti
29580429,GRODECO INVEST SRL,0746265403,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
28492965,GROWAR M.A.T. SRL,0040 0742075676,IALOMIŢA,Mun. Slobozia
10311136,GRUP ALEX SRL,0744124396,BUZĂU,Sat Valea Lupului Orş. Pătârlagele
13203708,GRUP EDELWEISS SRL,0268476652,BRAŞOV,Mun. Braşov
25806583,GRUP INDUSTRY M & G PARTNER SRL,0248217753,ARGEŞ,Mun. Piteşti
5654650,GRUPO TRANSNATIONAL SRL,0247310273,TELEORMAN,Mun. Alexandria
48907978,GT TRADE.RO S.R.L.,359988851448,BRĂILA,Mun. Brăila
51803462,HANI BUSINESS CAR EXPORT S.R.L.,0756307131,CONSTANŢA,Mun. Constanţa
47145237,HAS AGRO S.R.L.,0724036668,IALOMIŢA,Sat Borduşani Com. Borduşani
37878753,HEAVY TECH SERVICE S.R.L.,0747640554,IAŞI,Sat Giurgeşti Com. Costeşti
47372647,HECHT MOTORS S.R.L.,+40314050440,ILFOV,Orş. Otopeni
44423088,HEIKO AGRO INVEST S.R.L.,0740048067,CĂLĂRAŞI,Mun. Călăraşi
18274505,HELIOS ELECTRIC PARK SRL,0745051842,ILFOV,Com. 1 Decembrie
19089590,HETECH TREND RO  SRL,0744620177,CLUJ,Mun. Gherla
9003671,HILLE TRANSILVANIA IMPORT EXPORT SRL,0264420012,CLUJ,Sat Jucu-Herghelie Com. Jucu
29316487,HOSSAM SRL,0756426477,SATU MARE,Mun. Satu Mare
15694695,HRISACOM SRL,0744496787,TULCEA,Mun. Tulcea
5874966,HU-RO SRL,0722207079,HARGHITA,Sat Sânsimion Com. Sânsimion
27276629,HUNROM AGROTEHNICS SRL,0758026658,BIHOR,Mun. Oradea
13858090,HUSKY SRL,0745113759,SUCEAVA,Orş. Gura Humorului
4381854,HUSQVARNA PADURE & GRADINA SRL,12228178,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
40503532,HYDROAGRI INVEST S.R.L.,0799973310,CLUJ,Sat Căşeiu Com. Căşeiu
17651437,HYDROSEEDING LAWN S.R.L.,0723542755,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
50905901,IANAGRO S.R.L.,0730247164,BIHOR,Sat Valea Târnei Com. Şinteu
25039731,IASEN GARDEN SRL,0257218821,ARAD,Mun. Arad
49522040,IB SERVICEAG S.R.L.,0747422992,TIMIŞ,Sat Giulvăz Com. Giulvăz
38698394,ICMAGRI S.R.L.,0741785795,DOLJ,Mun. Craiova
52372317,IHECTAR S.R.L.,0770149639,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
30541946,IMD HORTICULTURE SYSTEMS S.R.L.,0724498933,CLUJ,Sat Floreşti Com. Floreşti
29649147,IMRORUTI SRL,0722163034,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
30852187,INCOM NEED COM SRL,0727183618,ARAD,Mun. Arad
21820585,INOX CENTER S.R.L.,0722499119,ILFOV,Orş. Măgurele
38629947,INTER ULTRA AGRAR S.R.L.,0256707896,TIMIŞ,Mun. Timişoara
5818486,IOALDOV IMPEX SRL,0264214299,CLUJ,Mun. Dej
29442566,IONUŢ ANTONIO SRL,0755147770,BIHOR,Sat Sânmartin Com. Sânmartin
38513402,IRIS AGRICOLTURE S.R.L.,0256490640,TIMIŞ,Mun. Timişoara
1235170,IRUM SA,0265521639,MUREŞ,Mun. Reghin
37243220,ISAF B PREST SRL,0752750867,BIHOR,Sat Borozel Com. Borod
21195479,ITAGRI GROUP SRL,0239668251,BRĂILA,Orş. Ianca
33088590,IVA V&M UTILAJE SRL,0756423806,GALAŢI,Sat Costi Com. Vânători
29388491,JO M AGRO TRAC SRL,0040241522000,CONSTANŢA,Mun. Constanţa
45139530,JOSEPH AGRO SYSTEMS S.R.L.,0749121212,GALAŢI,Mun. Galaţi
6733132,JURJIU PRODUCT SRL,0359401393,BIHOR,Mun. Oradea
38447619,K-PLANTER S.R.L.,0744757421,COVASNA,Mun. Sfântu Gheorghe
18712206,KAMYROTECH S.R.L.,0332458443,IAŞI,Mun. Iaşi
18733047,KASPER AGRI SRL,0749075414,BRAŞOV,Mun. Braşov
50728729,KAT AGRO S.R.L.,0746622390,BIHOR,Sat Săldăbagiu de Munte Com. Paleu
6697285,KEIRON LOGISTICS SRL,0244 511691,PRAHOVA,Mun. Ploieşti
34788745,KEVIN UTILAJE FORESTIERE SRL,0773778715,MEHEDINŢI,Mun. Drobeta-Turnu Severin
956410,KID S.R.L.,0234323844,BACĂU,Mun. Oneşti
45316748,KISMETAL AGRICULTURE S.R.L.,0740362119,SIBIU,Mun. Sibiu
50028750,KL50 AGRO SERVICE UTILAJE S.R.L.,0721281821,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
19706946,KLASS UTILAJE S.R.L.,0751384119,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
51355776,KONIGIN APIS 2025 S.R.L.,0744850018,BRAŞOV,Mun. Săcele
22468194,KOPER AGRICULTURE SRL,0721271270,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
17452477,KOSMY SRL,0232718552,IAŞI,Sat Pietrosu Com. Tătăruşi
39346973,KTY AGRO SERV S.R.L.,0734985601,CĂLĂRAŞI,Mun. Olteniţa
37035458,KULCSAR AGRO SRL,0741464533,BIHOR,Mun. Oradea
46311382,KWK AGRI PARTS S.R.L.,0740162422,BRAŞOV,Mun. Braşov
44428220,L&C AGROLIVIU INDUSTRY S.R.L.,0733724331,TIMIŞ,Mun. Lugoj
25811440,L.K.A. CASIAN SRL,0723268703,TIMIŞ,Sat Gavojdia Com. Gavojdia
18936076,LA ANTONIO S.R.L.,0744832334,MUREŞ,Com. Sânpaul
26588665,LAGROMEX SARL PARIS SUCURSALA BUCURESTI,0033671653782,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
12242563,LANTEC INDUSTRIES SRL,4232840,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
23152873,LANTMEN SRL,0752849876,GALAŢI,Mun. Galaţi
50151859,LC AGRO EQUIPMENT S.R.L.,0720098815,BIHOR,Mun. Oradea
30813579,LEFAGRITEC SRL,0766358006,GALAŢI,Mun. Tecuci
2415209,LEGMAS SA,0241761778,CONSTANŢA,Orş. Năvodari
18459023,LEO DESIGN SRL,0247356906,TELEORMAN,Sat Beciu Com. Beciu
32329410,LEONIDAS GER-ROM SRL,0749894511,MEHEDINŢI,Mun. Drobeta-Turnu Severin
30263149,LEXION EUROPE SRL,040757779268,ARGEŞ,Sat Catanele Com. Căteasca
40355550,LIBOTRANS UTILAJE S.R.L.,0760802309,VRANCEA,Sat Gologanu Com. Gologanu
42011935,LIDER AGROTECH S.R.L.,0751200511,BRAŞOV,Mun. Braşov
24504463,LOKVE AGRI PROD S.R.L.,0728037440,PRAHOVA,Mun. Ploieşti
49225537,LORACSA S.R.L.,0741536723,BRAŞOV,Mun. Săcele
5934847,LOWER DESIGN IMPORT EXPORT SRL,484040,MUREŞ,Com. Cheţani
23689606,LUMIRI SRL,0740618011,NEAMŢ,Mun. Piatra Neamţ
17244131,M.P. IMPLEMENT S.R.L.,0351809775,DOLJ,Mun. Craiova
40728179,MACATECH-RO S.R.L.,0784221246,TIMIŞ,Mun. Timişoara
25633180,MACOS REPARAŢII SRL,0722277302,TIMIŞ,Sat Bazosu Nou Com. Bucovăţ
48715077,MADARA AGRO RO S.R.L.,0730025010,CĂLĂRAŞI,Mun. Călăraşi
18245500,MADIS ADYRAL SRL,0741777962,CLUJ,Mun. Cluj-Napoca
1764642,MAGIC AGROJET S.A.,058861803,ALBA,Mun. Aiud
36884749,MAGRO RUSMAN SRL,0766208449,GORJ,Sat Arcani Com. Arcani
18891527,MAGY ENGINEERING S.R.L.,3212922,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
445866,MAGY PRODIMPEX S.R.L.,3212922,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
47837890,MAHLI AGRICOLA S.R.L.,0721686444,CONSTANŢA,Mun. Constanţa
33012532,MAIK ARENA CENTER SRL,0768511111,DOLJ,Mun. Craiova
48463964,MANDI AUTO GARAJ S.R.L.,MANDIAUTO@GMAIL,DOLJ,Sat Işalniţa Com. Işalniţa
50604208,MAR AGRIPARTS S.R.L.,+40750447103,ILFOV,Sat Tunari Com. Tunari
27894417,MARITRANS UTILAGRO S.R.L.,0740327089,NEAMŢ,Sat Hanul Ancuţei Com. Tupilaţi
23118499,MARNIDUD SRL,0239663412,BRĂILA,Sat Dudeşti Com. Dudeşti
37789184,MARVAN AGRAR SRL,0752172778,TIMIŞ,Sat Giroc Com. Giroc
39993651,MAS AGRO STANDARD S.R.L.,0758366606,BIHOR,Mun. Salonta
15126113,MASCHIO-GASPARDO ROMANIA S.A.,0257307030,ARAD,Orş. Chişineu-Criş
17889405,MASINI AGRICOLE SI DE CONSTRUCTII G & B. S.R.L.,0742081680,MARAMUREŞ,Mun. Baia Mare
39628575,MASTERAGRI HV S.R.L.,0740629552,BRAŞOV,Sat Feldioara Com. Feldioara
2315722,MAT CRAIOVA S.R.L.,051437675,DOLJ,Mun. Craiova
45930097,MAT CRIS UTILAJE S.R.L.,-,ILFOV,Orş. Bragadiru
8040884,MAT MAGRIT SA,0251439345,DOLJ,Mun. Craiova
49960341,MAVO TOOLS S.R.L.,0769630434,TIMIŞ,Mun. Timişoara
30474685,MAXUTIL HEAVY MACHINERY S.R.L.,0730060862,TIMIŞ,Sat Gătaia Orş. Gătaia
26421674,MC GENERAL DISTRIBUTION & SERVICES S.R.L.,0721260557,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
2045262,MECANICA CEAHLAU SA,0233215820,NEAMŢ,Mun. Piatra Neamţ
1122928,MECANICA CODLEA SA,0268254200,BRAŞOV,Mun. Codlea
34593697,MECANIKKA DEUTSCHE TRAKTOREN AG ROMANIA SRL,0757573761,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
14195468,MECANO-PREST-SERVICE SRL,0235421757,VASLUI,Mun. Bârlad
26100062,MECOMAG H.V. SRL,0744565495,BRAŞOV,Sat Feldioara Com. Feldioara
6560473,MEDIA LINE SRL,0724310142,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
18125520,MEDREA CONSTRUCT SRL,0723741149,HUNEDOARA,Sat Sălişte Com. Băiţa
39533530,MEG GREEN GARDEN INSTALATIONS S.R.L.,0742145845,IAŞI,Sat Aroneanu Com. Aroneanu
23567242,MESAGRO CO.  SRL,0722338258,IALOMIŢA,Com. Ion Roată
49736680,META AGRICULTURE S.R.L.,0740752722,DOLJ,Sat Malu Mare Com. Malu Mare
48284896,METAL TEHNIC CONCEPT S.R.L.,0758516220,BISTRIŢA-NĂSĂUD,Sat Cociu Com. Şintereag
4744585,METEOR IMPEX S.R.L.,0267362617,COVASNA,Mun. Târgu Secuiesc
38105985,METOP SRL,0742091890,BIHOR,Mun. Oradea
6280007,MEWI IMPORT EXPORT AGRAR INDUSTRIETECHNIK SRL,0256494350,TIMIŞ,Sat Ortişoara Com. Ortişoara
38024627,MEZOGEP EXPORT IMPORT SRL,0740628840,HARGHITA,Sat Căpâlniţa Com. Căpâlniţa
29698115,MIHUŢ T. DORIN PERSOANĂ FIZICĂ AUTORIZATĂ,0751141832,SĂLAJ,Mun. Zalău
49746942,MIL PELET MACHINERY S.R.L.,0753792286,BIHOR,Sat Tăut Com. Batăr
37077348,MILAGRO CONCEPT S.R.L.,0771466232,BIHOR,Sat Săcădat Com. Săcădat
3794798,MIOTI MET S.R.L.,0722609744,BIHOR,Mun. Oradea
27432396,MIRA EGI IMPORT - EXPORT SRL,0722151757,CONSTANŢA,Sat Valu lui Traian Com. Valu lui Traian
35387091,MIRAGRI EXP SRL,0737104070,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
48229310,MIRCOM SOLUTIONS & TRADE S.R.L.,0037368211766,IAŞI,Sat Miroslava Com. Miroslava
2264505,MIRCOM SRL,0239610220,BRĂILA,Mun. Brăila
52383618,MOCANU IULIAN-RĂZVAN PERSOANĂ FIZICĂ AUTORIZATĂ,0724079959,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
22090977,MOLD AGRO SERV SRL,0723589881,NEAMŢ,Mun. Piatra Neamţ
18595424,MOSELI RO SRL,0341415463,CONSTANŢA,Orş. Năvodari
30859231,MOTOCIP AGRO S.R.L.,0744904045,COVASNA,Sat Chilieni Mun. Sfântu Gheorghe
14788066,MOTOPROF S.R.L.,0241695120,CONSTANŢA,Mun. Constanţa
10102490,MOTORCENTER SRL,3521801,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
31045983,MULTITECH-AGRO SRL,0756168487,HARGHITA,Sat Joseni Com. Joseni
42986506,MUMGEP SRL KECSKEMET SUCURSALA ODORHEIU SECUIESC,0726720316,HARGHITA,Mun. Odorheiu Secuiesc
15380528,MUNAX SRL,0256274388,TIMIŞ,Mun. Timişoara
30318368,MUSHGROCO SRL,0740339332,MUREŞ,Sat Ernei Com. Ernei
31776444,MUSSON MACHINERY SRL,0348426142,ARGEŞ,Mun. Piteşti
30248262,MÎRZA NICOLETA  ÎNTREPRINDERE INDIVIDUALĂ,0764199075,GALAŢI,Mun. Tecuci
25324711,N & N PAUN COM AGRO S.R.L.,0721299356,CĂLĂRAŞI,Mun. Călăraşi
26741962,NAANDANJAIN IRRIGATION PROJECTS SRL,0758550003,ILFOV,Orş. Bragadiru
26467400,NATALAG SRL,0745173839,CLUJ,Mun. Turda
35756695,NATURAL LAND WORKS SRL,0740701793,HARGHITA,Orş. Cristuru Secuiesc
33968225,NDA SMART TEAM AG SRL,0743010401,ARGEŞ,Sat Argeşelu Com. Mărăcineni
6436921,NEANDERCOM SRL,63221392,BISTRIŢA-NĂSĂUD,Mun. Bistriţa
50780409,NEC BUSINESS S.R.L.,0734359969,BISTRIŢA-NĂSĂUD,Sat Dobricel Com. Spermezeu
15242231,NECOPROFAM SRL,0744320561,VASLUI,Mun. Bârlad
14848389,NEK INDUSTRI SRL,0230512233,SUCEAVA,Sat Şcheia Com. Şcheia
11946536,NHR AGROPARTNERS SRL,0728977992,ILFOV,Sat Otopeni Orş. Otopeni
38573560,NIBO AGRO MOTOR S.R.L.,0745565685,BIHOR,Sat Hidişel Com. Dobreşti
36425266,NIBO AGRO UTILAJE SRL,0758458266,BIHOR,Sat Duşeşti Com. Ceica
8854572,NIC & M IMPEX SRL,0742072807,SIBIU,Sat Cristian Com. Cristian
29981714,NICOLAIDA PRO SOLUTION S.R.L.,0724241099,NEAMŢ,Sat Miron Costin Com. Trifeşti
35580202,NIDA-TUDORA S.R.L.,0721536174,DÂMBOVIŢA,Mun. Târgovişte
7871966,NIOLIS COM SRL,0743011375,DOLJ,Mun. Craiova
36316676,NOBAU COM 2016 SRL,0762620233,BRAŞOV,Mun. Făgăraş
33273430,NOR TEHNIK S.R.L.,0741312302,CLUJ,Sat Vlaha Com. Săvădisla
15430774,NORDEX SRL,0262211377,MARAMUREŞ,Orş. Baia Sprie
46758586,NOVAG AGRO REGENERATIV S.R.L.,0766586761,TIMIŞ,Sat Liebling Com. Liebling
2983233,NOVUS SRL,+40341456669,CONSTANŢA,Mun. Constanţa
39912126,NYRNA S.B.S. S.R.L.,0747142891,COVASNA,Sat Bodoc Com. Bodoc
18249480,O-MAC DISTRIBUTION 2005 S.R.L.,211377,ARGEŞ,Mun. Piteşti
51588968,ONE STETA GROUP S.R.L.,0755654097,BRĂILA,Mun. Brăila
6978434,ONO - VAL SRL,0240536123,TULCEA,Mun. Tulcea
28132540,ONOMEUS SRL,0746419786,VASLUI,Mun. Vaslui
16814013,OPTIMIT HIDRAULIC SRL,0259467594,BIHOR,Mun. Oradea
44893144,OROS GROUP COMPLEX S.R.L.,0757975924,MARAMUREŞ,Orş. Ulmeni
30650501,OSIDIO GROUP SRL,0762664339,BRĂILA,Mun. Brăila
32851978,OSTAFI MARINELA ÎNTREPRINDERE INDIVIDUALĂ,0744114031,BOTOŞANI,Mun. Dorohoi
49526394,OTIG HOLDING S.R.L.,+37360845767,TULCEA,Mun. Tulcea
38332287,P.W.R.SSB SRL,0721271105,TIMIŞ,Mun. Timişoara
7966438,PACT IMPEX 2001 SRL,0722587874,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
50353092,PAN-ASIAN S.R.L.,0740153285,VASLUI,Mun. Vaslui
26271674,PANAGROTEH SERVICE SRL,0747119101,BIHOR,Sat Biharia Com. Biharia
5705916,PANONIA SRL,0261861688,SATU MARE,Mun. Carei
42065650,PAUL TRACTORS S.R.L.,0748039789,MUREŞ,Sat Nazna Com. Sâncraiu de Mureş
40280090,PB AGRAR MACHINE S.R.L.,0036205259999,BIHOR,Mun. Oradea
25540685,PEDROGROUP AGRO S.R.L.,0744643530,MUREŞ,Mun. Târgu Mureş
52416367,PEEKAA INT S.R.L.,+40729137420,ALBA,Mun. Alba Iulia
30864491,PERELLI ANGELO PERSOANĂ FIZICĂ AUTORIZATĂ,0744501162,SIBIU,Mun. Sibiu
36442500,PIESE AGRO CABA SRL,0259424144,BIHOR,Sat Corniţel Com. Borod
44895528,PIRAMID AGROTECH S.R.L.,0744233139,SIBIU,Sat Poiana Sibiului Com. Poiana Sibiului
15240958,PLANEO TRADING SRL,0264453341,CLUJ,Mun. Cluj-Napoca
10294175,POLARIS GROUP COMPANY SRL,0247367032,TELEORMAN,Orş. Zimnicea
45822109,POP NIC AGRI S.R.L.,0753991282,CLUJ,Mun. Turda
48679322,POWER FARM EQUIPMENT S.R.L.,+40756130137,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
18968272,POWER-LIFT SRL,0728522254,TIMIŞ,Sat Peciu Nou Com. Peciu Nou
32828444,POWERGROUP MACHINERY S.R.L.,0735167997,IALOMIŢA,Mun. Slobozia
5772869,PRESINT COM SRL,0239675146,BRĂILA,Sat Cazasu Com. Cazasu
28239068,PRIME AGRICULTURE SRL,0799863804,PRAHOVA,Sat Pleaşa Com. Bucov
18811978,PRIMOG-TRAC SRL,0722733322,BRAŞOV,Mun. Braşov
15588767,PRO - TOOL SRL,0257256359,ARAD,Sat Turnu Orş. Pecica
49055653,PRO TOOLS HD 2023 S.R.L.,0757098818,HUNEDOARA,Mun. Hunedoara
36164780,PRO-AGRAR CONCEPT SRL,0742339870,VASLUI,Mun. Bârlad
42502606,PROAGRO DIVIZIA IMPLEMENTE S.R.L.,0746614240,BRAŞOV,Sat Peştera Com. Moieciu
32843878,PRODAGRO ROTITA SRL,0720030357,NEAMŢ,Mun. Piatra Neamţ
30110510,PROFESIONAL UTILAJ SRL,0740254876,IAŞI,Mun. Iaşi
25664810,PROFI AGRO CENTER SRL,0264442339,CLUJ,Sat Bonţida Com. Bonţida
13772169,PROGRESUL MESA SRL,0259373171,BIHOR,Mun. Salonta
7679503,PROINVEST SRL,421072,TELEORMAN,Mun. Alexandria
4612290,PROMPT S.R.L.,0266312859,HARGHITA,Mun. Miercurea Ciuc
50890436,PROTEH-AGRO RO SOCIETATE CU RASPUNDERE LIMITATĂ,0742288454,IAŞI,Mun. Iaşi
18729461,PROUTIL SRL,0259439999,BIHOR,Mun. Oradea
2215642,PROXIMA SRL,0262313304,MARAMUREŞ,Mun. Sighetu Marmaţiei
46434172,R&G META ITALY COMPANY S.R.L.,+393277173281,BIHOR,Sat Vărăşeni Com. Răbăgani
47947184,RACZI EPITKEZES S.R.L.,0758071455,MUREŞ,Orş. Sângeorgiu de Pădure
8861235,RAD AGRIEXPERT S.R.L.,0243215704,IALOMIŢA,Mun. Slobozia
16097571,RADORO BASAROM COM S.R.L.,0723385747,ILFOV,Sat Bragadiru Orş. Bragadiru
27799245,RADU FLORIN-RAOUL PERSOANĂ FIZICĂ AUTORIZATĂ,0362417808,MARAMUREŞ,Mun. Baia Mare
30948622,RAFSO SRL,0742780573,GALAŢI,Sat Buceşti Com. Iveşti
2721810,RAPIDEX S.R.L.,0744575327,BIHOR,Mun. Oradea
43449608,REAL DEAL RD S.R.L.,0729802379,TIMIŞ,Sat Bucovăţ Com. Bucovăţ
18229032,RED IMOBILIARE SRL,0743834640,HARGHITA,Sat Satu Mare Com. Satu Mare
9799697,RICVIDAN COM SRL,0268322406,BRAŞOV,Sat Sânpetru Com. Sânpetru
15464351,RIELA ROMANIA SRL,0264441910,CLUJ,Sat Bonţida Com. Bonţida
42891481,RIFESPOR S.R.L.,0770244339,BRAŞOV,Sat Cristian Com. Cristian
16216753,RIGA S.R.L.,411423,BUZĂU,Sat Băile Com. Balta Alba
7551546,RITTNER TRADING SRL,0722663550,BIHOR,Mun. Oradea
22645687,ROLANDA HELP SRL,0745474259,MARAMUREŞ,Sat Răzoare Orş. Târgu Lăpuş
18431618,ROMAGRO UTILAJ IMPORT EXPORT S.R.L.,0749206163,BIHOR,Sat Budureasa Com. Budureasa
31902704,ROMAGROTEHNICA SRL,0724550402,TIMIŞ,Sat Ghiroda Com. Ghiroda
16966003,ROMAVIA OTIS SRL,0268 / 481555,BRAŞOV,Sat Hălchiu Com. Hălchiu
42681978,ROMED AGROTRAC S.R.L.,0762902901,BUZĂU,Mun. Buzău
32233560,ROMERCATOR SRL,0743555450,BIHOR,Mun. Oradea
33324445,ROMIMAR GANVERD SRL,0733373770,ILFOV,Orş. Popeşti-Leordeni
15544795,ROMSEAL AGRI SRL,0213502317,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
5019276,ROMSEAL SRL,3502317,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
38338468,ROONIE-RAZVA SRL,0762081444,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
37825589,ROPRESTEM FARM SRL,0751235058,BIHOR,Orş. Aleşd
24301302,ROS PRODUCTION S.R.L.,0236836444,GALAŢI,Mun. Tecuci
6334441,ROTAKT SRL,0747461991,VÂLCEA,Mun. Râmnicu Vâlcea
24088256,ROTANA GRAND S.R.L.,0723769443,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
16179116,ROTAX SRL,0745320704,BIHOR,Sat Păcăleşti Com. Drăgăneşti
47095007,ROTCART ALL GRUP S.R.L.,0755824567,MUREŞ,Sat Cucerdea Com. Cucerdea
15597331,ROTECA SRL,0261771151,SATU MARE,Orş. Ardud
43232004,ROYAL DRU AGRO S.R.L.,0735666111,MUREŞ,Sat Cristeşti Com. Cristeşti
5045437,RURIS IMPEX SRL,0351464632,DOLJ,Mun. Craiova
6553280,S M RECOSEMTRACT SRL,0256201386,TIMIŞ,Mun. Timişoara
