cui,denumire,judet,tip_serviciu,nr_licenta,email
5473506,PAMA SRL Ploieşti,Prahova,apa,"Licenţă nr. 5440/11.08.2021 clasa 3
Valabilă până la data de 11.08.2026",
8636373,"JOVILA CONSTRUCT SRL
Ploieşti",Prahova,apa,"Licenţă nr. 5382/18.06.2021 clasa 2
Valabilă până la data de 18.06.2026",
22224874,APA SERV SA Alexandria,Teleorman,apa,"Licenţă nr. 6475/05.09.2023 clasa 2
Valabilă până la data de 05.09.2028",
40004920,"SERVICIUL DE
ALIMENTARE CU APĂ
Bogdana",Teleorman,apa,"Licenţă nr. 7014/17.12.2024 clasa 3
Valabilă până la data de 17.12.2029",
40178466,"SERVICIUL PUBLIC APĂ -
CANAL COMUNA SUHAIA
Suhaia",Teleorman,apa,"Licenţă nr. 5586/16.11.2021 clasa 3
Valabilă până la data de 16.11.2026",
42895424,"APA SERV COMUNA
PURANI SOCIETATE CU
RĂSPUNDERE LIMITATĂ",Teleorman,apa,"Licenţă nr. 6194/20.02.2023 clasa 3
Valabilă până la data de 12.01.2028",
11400673,"COMPANIA DE APĂ
OLTENIA SA Craiova",Dolj,apa,"Licenţă nr. 7160/14.04.2025 clasa 1
Valabilă până la data de 14.04.2030",
26710362,"SERVICIUL DE UTILITĂȚI
PUBLICE GIUBEGA",Dolj,apa,"Licenţă nr. 5666/18.01.2022 clasa 3
Valabilă până la data de 18.01.2027",
27179928,"SERVICII DE UTILITĂȚI
PUBLICE LEU SRL Leu",Dolj,apa,"Licenţă nr. 5553/26.10.2021 clasa 3
Valabilă până la data de 26.04.2026",
38096704,"SERVICIUL DE UTILITĂȚI
PUBLICE MISCHII SRL
Mischii",Dolj,apa,"Licenţă nr. 7086/17.02.2025 clasa 3
Valabilă până la data de 18.07.2029",
39468741,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Galicea Mare",Dolj,apa,"Licenţă nr. 5441/11.08.2021 clasa 3
Valabilă până la data de 11.08.2026",
39713620,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ -
COMUNA BRALOȘTIȚA",Dolj,apa,"Licenţă nr. 5508/24.09.2021 clasa 3
Valabilă până la data de 24.09.2026",
40227356,"APĂ GHINDENI SRL
Ghindeni",Dolj,apa,"Licenţă nr. 7049/22.01.2025 clasa 3
Valabilă până la data de 01.10.2029",
42633431,"SERVICIUL PUBLIC DE APA
ȘI CANALIZARE DANETI
SRL Daneti",Dolj,apa,"Licenţă nr. 7565/05.02.2026 clasa 3
Valabilă până la data de 16.12.2027",
42649594,"SERVICIUL PUBLIC DE APĂ
ȘI CANALIZARE MARSANI
SRL Mârșani",Dolj,apa,"Licenţă cu caracter provizoriu nr.
7360/22.09.2025 clasa 3
Valabilă până la data de 22.09.2026",
44275984,"SERVICIUL PUBLIC DE
ALIMENATRE CU APA
ROBANESTI SRL Robănești",Dolj,apa,"Licenţă nr. 6101/25.11.2022 clasa 3
Valabilă până la data de 28.03.2027",
47650883,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
DE CANALIZARE SADOVA",Dolj,apa,"Licenţă cu caracter provizoriu nr.
7269/29.07.2025 clasa 3
Valabilă până la data de 29.07.2026",
20415711,APAREGIO GORJ SA,Gorj,apa,"Licenţă nr. 6531/30.10.2023 clasa 2
Valabilă până la data de 22.10.2028",
23226130,MATSALUBRIS SRL Mătăsari,Gorj,apa,"Licenţă nr. 7446/28.11.2025 clasa 3
Valabilă până la data de 06.11.2030",
28109807,"ALIMPEŞTI UTIL SRL
Alimpeşti",Gorj,apa,"Licenţă nr. 5754/15.03.2022 clasa 3
Valabilă până la data de 01.02.2027",
30426424,"BUSTEDIL PREST SRL
Bustuchin",Gorj,apa,"Licenţă nr. 7199/26.05.2025 clasa 3
Valabilă până la data de 05.03.2030",
36360981,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Logrești",Gorj,apa,"Licenţă nr. 5483/31.08.2021 clasa 3
Valabilă până la data de 31.08.2026",
38231835,APĂ SĂDIȘOR SRL Mușetești,Gorj,apa,"Licenţă nr. 7297/06.08.2025 clasa 3
Valabilă până la data de 13.04.2028",
39264032,POLOVRAGII SRL Polovragi,Gorj,apa,"Licenţă nr. 7449/28.11.2025 clasa 3
Valabilă până la data de 16.10.2028",
42692306,"ALIMENTARE CU APĂ
BUMBEȘTI-PITIC SRL
Bumbești Pitic",Gorj,apa,"Licenţă nr. 5829/16.05.2022 clasa 3
Valabilă până la data de 01.07.2026",
47262156,"APĂ-BĂRBĂTEȘTI SRL
Bărbătești",Gorj,apa,"Licenţă cu caracter provizoriu nr.
7366/03.10.2025 clasa 3
Valabilă până la data de 03.10.2026",
1605884,"SECOM SA Drobeta-Turnu
Severin",Mehedinti,apa,"Licenţă nr. 7388/16.10.2025 clasa 2
Valabilă până la data de 16.10.2030",
2479229,FLORICOLA SA Orşova,Mehedinti,apa,"Licenţă nr. 6904/21.08.2024 clasa 3
Valabilă până la data de 21.08.2029",
27279072,DOBRA VODĂ SRL Svinița,Mehedinti,apa,"Licenţă nr. 6961/25.10.2024 clasa 3
Valabilă până la data de 01.03.2029",
29355176,"SERVICII DE
GOSPODĂRIRE COMUNALĂ
DEVESEL SRL Devesel",Mehedinti,apa,"Licenţă nr. 5646/05.01.2022 clasa 3
Valabilă până la data de 11.06.2026",
44609677,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANAL AL COMUNEI
DUMBRAVA - SPAC
DUMBRAVA",Mehedinti,apa,"Licenţă cu caracter provizoriu nr.
7147/10.04.2025 clasa 3
Valabilă până la data de 10.04.2026",
21307548,"COMPANIA DE APĂ OLT SA
Slatina",Olt,apa,"Licenţă nr. 6363/21.06.2023 clasa 2
Valabilă până la data de 21.06.2028",
27293115,"PRESTĂRI BĂRĂȘTI SRL sat
Ciocănești comuna Bărăști",Olt,apa,"Licenţă nr. 6454/17.08.2023 clasa 3
Valabilă până la data de 21.12.2027",
30509368,"PRESERV VEDIŢA SRL
Coloneşti",Olt,apa,"Licenţă nr. 6744/01.04.2024 clasa 3
Valabilă până la data de 01.11.2026",
30656687,"PRESTĂRI SERVICII
TĂTULEȘTI SRL Tătulești",Olt,apa,"Licenţă nr. 5913/11.07.2022 clasa 3
Valabilă până la data de 01.04.2027",
33537869,"PREST ADP GRĂDINILE SRL
Grădinile",Olt,apa,"Licenţă cu caracter provizoriu nr.
7532/20.01.2026 clasa 3
Valabilă până la data de 20.01.2027",
35201430,"APAVER UTILITĂȚI SRL
Poganu Verguleasa",Olt,apa,"Licenţă nr. 6552/14.11.2023 clasa 3
Valabilă până la data de 30.12.2027",
37074007,"SERVICIU PUBLIC DE
ALIMENTARE CU APĂ
CURTIȘOARA SRL Curtișoara",Olt,apa,"Licenţă nr. 6177/13.02.2023 clasa 3
Valabilă până la data de 15.03.2027",
37226385,"APĂ CANAL SALUBRIZARE
DRĂGHICENI SRL Drăghiceni",Olt,apa,"Licenţă nr. 7067/12.02.2025 clasa 3
Valabilă până la data de 29.03.2027",
37999631,"SERVICIUL APĂ FĂGEȚELU-
OLT",Olt,apa,"Licenţă nr. 6496/26.09.2023 clasa 3
Valabilă până la data de 26.09.2028",
38613649,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA
Leleasca",Olt,apa,"Licenţă nr. 5796/08.04.2022 clasa 3
Valabilă până la data de 08.04.2027",
38911351,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Vîlcele",Olt,apa,"Licenţă cu caracter provizoriu nr.
7250/26.06.2025 clasa 3
Valabilă până la data de 26.06.2026",
39359825,"SERVICIUL PUBLIC DE
GOSPODĂRIRE COMUNALĂ
BOBICEȘTI",Olt,apa,"Licenţă nr. 6270/11.04.2023 clasa 3
Valabilă până la data de 11.04.2028",
40227909,"PRESTARI SERVICII
STOICANESTI SRL
Stoicănești",Olt,apa,"Licenţă nr. 6943/15.10.2024 clasa 3
Valabilă până la data de 29.12.2028",
41036923,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ
Corbu",Olt,apa,"Licenţă nr. 5664/18.01.2022 clasa 3
Valabilă până la data de 18.01.2027",
4260111,"SERVICIUL PUBLIC DE APA
CANAL VULPENI",Olt,apa,"Licenţă cu caracter provizoriu nr.
7346/09.09.2025 clasa 3
Valabilă până la data de 09.09.2026",
44528084,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ AL
COMUNEI BĂLTENI,
JUDEȚUL OLT",Olt,apa,"Licenţă nr. 5756/15.03.2022 clasa 3
Valabilă până la data de 15.03.2027",
45036357,"SERVICIUL DE
ALIMENTARE CU APA
ICOANA",Olt,apa,"Licenţă nr. 6365/21.06.2023 clasa 3
Valabilă până la data de 12.06.2028",
16468149,APAVIL SA Râmnicu Vâlcea,Valcea,apa,"Licenţă nr. 7069/12.02.2025 clasa 2
Valabilă până la data de 12.02.2030",
30955972,"GOSPODĂRIRE LOCALĂ
BERBEȘTI SRL Berbești",Valcea,apa,"Licenţă nr. 5733/04.03.2022 clasa 3
Valabilă până la data de 28.10.2026",
36210321,"APĂ CANAL BUILA SRL
Bărbătești",Valcea,apa,"Licenţă nr. 7534/20.01.2026 clasa 3
Valabilă până la data de 02.06.2028",
36425525,"SERVICIUL DE
ALIMENTARE CU APA
ANINOASA",Valcea,apa,"Licenţă nr. 5568/29.10.2021 clasa 3
Valabilă până la data de 29.10.2026",
36476464,"APĂ CANAL COSTEȘTI SRL
Costești",Valcea,apa,"Licenţă nr. 6080/15.11.2022 clasa 3
Valabilă până la data de 03.10.2027",
36526384,"APĂ-CANAL ORLEȘTI-
SCUNDU SRL Orlești",Valcea,apa,"Licenţă nr. 5905/11.07.2022 clasa 3
Valabilă până la data de 06.12.2026",
36758341,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
DE CANALIZARE AL
COMUNEI GRĂDIȘTEA",Valcea,apa,"Licenţă nr. 5938/25.07.2022 clasa 3
Valabilă până la data de 25.07.2027",
37057162,"APĂ CANAL SLĂTIOARA
SRL Mogești Slătioara",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7463/04.12.2025 clasa 3
Valabilă până la data de 04.12.2026",
38348755,"PRIMCOM ZĂTRENI SRL
Zătreni",Valcea,apa,"Licenţă nr. 6544/08.11.2023 clasa 3
Valabilă până la data de 28.04.2028",
38498698,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ
MATEEȘTI Mateești",Valcea,apa,"Licenţă nr. 7146/10.04.2025 clasa 3
Valabilă până la data de 10.04.2030",
38503239,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Crețeni",Valcea,apa,"Licenţă cu cracter provizoriu nr.
7153/11.04.2025 clasa 3
Valabilă până la data de 11.04.2026",
38553555,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA ȘI
CANALIZARE ALUNU Igoiu
Alunu",Valcea,apa,"Licenţă nr. 6465/23.08.2023 clasa 3
Valabilă până la data de 23.08.2028",
38572107,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE LADESTI",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7600/27.02.2026 clasa 3
Valabilă până la data de 27.02.2027",
38623294,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE SUTEȘTI
Sutești",Valcea,apa,"Licenţă nr. 6586/18.06.2024 clasa 3
Valabilă până la data de 30.06.2029",
38739451,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE LĂPUȘATA",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7399/23.10.2025 clasa 3
Valabilă până la data de 23.10.2026",
40290990,"SERVICIUL PUBLIC
ALIMENTARE CU APA SI
DE CANALIZARE ""APAMIT""
Mitrofani",Valcea,apa,"Licenţă nr. 5911/11.07.2022 clasa 3
Valabilă până la data de 11.07.2027",
42457068,"CONSILIUL LOCAL
STOENEȘTI - SERVICIUL
PUBLIC DE ALIMENTARE
CU APĂ Stoenești",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7265/29.07.2025 clasa 3
Valabilă până la data de 29.07.2026",
42474093,"SERVICIUL DE UTILITĂȚI
PUBLICE AL COMUNEI
DĂNICEI",Valcea,apa,"Licenţă nr. 5730/04.03.2022 clasa 3
Valabilă până la data de 04.03.2027",
44480407,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
DE CANALIZARE AL
COMUNEI AMĂRĂȘTI",Valcea,apa,"Licenţă nr. 5921/13.07.2022 clasa 3
Valabilă până la data de 13.07.2027",
45498275,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
DE CANALIZARE AL
COMUNEI MĂCIUCA",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7235/19.06.2025 clasa 3
Valabilă până la data de 19.06.2026",
46471995,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE STANESTI",Valcea,apa,"Licenţă cu caracter provizoriu nr.
7383/15.10.2025 clasa 3
Valabilă până la data de 15.10.2026",
47759750,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
DE CANALIZARE AL
COMUNEI VALEA MARE",Valcea,apa,"Licenţă nr. 7290/05.08.2025 clasa 3
Valabilă până la data de 05.08.2030",
1683483,"COMPANIA DE APĂ ARAD
SA",Arad,apa,"Licenţă nr. 5368/28.05.2021 clasa 1
Valabilă până la data de 28.05.2026",
35310586,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
DE CANALIZARE A
COMUNEI SEMLAC Semlac",Arad,apa,"Licenţă nr. 4734/19.08.2024 clasa 3
Valabilă până la data de 12.09.2029",
36363465,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ-
CĂRAND Cărand",Arad,apa,"Licenţă nr. 6894/19.08.2024 clasa 3
Valabilă până la data de 19.08.2029",
38762071,"COMPANIA DE APĂ CRIȘ
SRL Chișineu-Criș",Arad,apa,"Licenţă nr. 7596/26.02.2026 clasa 3
Valabilă până la data de 01.11.2028",
39842233,"SERVICIUL DE
ALIMENTARE CU APĂ
IGNEȘTI",Arad,apa,"Licenţă nr. 7038/20.01.2025 clasa 3
Valabilă până la data de 20.01.2030",
5799643,"TERMO-CONSTRUCT SA
Sebiş",Arad,apa,"Licenţă nr. 6800/23.05.2024 clasa 3
Valabilă până la data de 19.02.2029",
16868757,AQUACARAS SA Reşiţa,Caras-Severin,apa,"Licenţă nr. 5492/09.06.2023 clasa 2
Valabilă până la data de 13.09.2026",
27754111,"APĂ CANAL SICHEVIȚA
SRL",Caras-Severin,apa,"Licenţă nr. 6741/01.04.2024 clasa 3
Valabilă până la data de 31.05.2028",
36727400,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ Și DE
CANALIZARE AL COMUNEI
EZERIȘ",Caras-Severin,apa,"Licenţă nr. 7218/12.06.2025 clasa 3
Valabilă până la data de 12.06.2030",
36918051,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE AL COMUNEI
DOCLIN",Caras-Severin,apa,"Licenţă cu carcater prvizoriu nr.
7396/23.10.2025 clasa 3
Valabilă până la data de 23.10.2026",
39168442,"GOSPODĂRIA COMUNALĂ
CORONINI SRL",Caras-Severin,apa,"Licenţă nr. 5906/11.07.2022 clasa 3
Valabilă până la data de 16.09.2026",
44047889,"SERVICIUL PUBLIC DE
GOSPODĂRIE COMUNALĂ
BERZOVIA",Caras-Severin,apa,"Licenţă cu caracter provizoriu nr.
7413/13.11.2025 clasa 3
Valabilă până la data de 13.11.2026",
44905915,"SERVICIUL PUBLIC DE
GOSPODARIE COMUNALA
CONSTANTIN DAICOVICIU",Caras-Severin,apa,"Licenţă nr. 6660/19.06.2024 clasa 3
Valabilă până la data de 30.06.2026",
14071095,APA PROD SA Deva,Hunedoara,apa,"Licenţă nr. 5263/15.02.2021 clasa 1
Valabilă până la data de 29.03.2026",
3186960,"ACTIVITATEA GOSCOM SA
Orăştie",Hunedoara,apa,"Licenţă nr. 7317/26.08.2025 clasa 3
Valabilă până la data de 26.08.2030",
36839403,"SERVICIUL PUBLIC DE
GOSPODĂRIE COMUNALĂ
BARU",Hunedoara,apa,"Licenţă nr. 7260/26.06.2025 clasa 3
Valabilă până la data de 26.06.2030",
41916855,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ,
CANALIZARE ȘI LUCRĂRI
EDILITARE AL COMUNEI
GHELARI",Hunedoara,apa,"Licenţă nr. 5719/02.03.2022 clasa 3
Valabilă până la data de 02.03.2027",
7392416,"APA SERV VALEA JIULUI
SA Petroșani",Hunedoara,apa,"Licenţă nr. 6895/19.08.2024 clasa 2
Valabilă până la data de 19.08.2029",
17513000,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Vălcani",Timis,apa,"Licenţă nr. 6294/08.05.2023 clasa 3
Valabilă până la data de 08.05.2028",
18924478,PĂRȚANA SRL Pârța,Timis,apa,"Licenţă nr. 5803/18.04.2022 clasa 3
Valabilă până la data de 18.04.2027",
29559184,PRIMA VARIAŞ SRL Variaş,Timis,apa,"Licenţă nr. 7048/22.01.2025 clasa 3
Valabilă până la data de 11.12.2029",
3041480,AQUATIM SA Timişoara,Timis,apa,"Licenţă nr. 7577/20.02.2026 clasa 1
Valabilă până la data de 20.02.2031",
31394843,"AQUA DUMBRĂVIȚA SRL
Dumbrăvița",Timis,apa,"Licenţă nr. 5346/11.05.2021 clasa 3
Valabilă până la data de 08.06.2026",
34650504,"AQUATORONTAL SRL
Dudeștii Noi",Timis,apa,"Licenţă nr. 6900/19.08.2024 clasa 3
Valabilă până la data de 20.05.2029",
35307629,"CONSLOCSERV PECIU NOU
SRL Peciu Nou",Timis,apa,"Licenţă nr. 7464/04.12.2025 clasa 3
Valabilă până la data de 17.11.2026",
37802496,"SERVICIUL PUBLIC DE
GOSPODĂRIE COMUNALĂ
AL COMUNEI PERIAM
(SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE AL COMUNEI
PERIAM) Periam",Timis,apa,"Licenţă nr. 6797/26.05.2025 clasa 3
Valabilă până la data de 22.05.2029",
39112506,"APĂ CANAL TOMNATIC
S.R.L. Tomnatic",Timis,apa,"Licenţă nr. 7163/16.04.2025 clasa 3
Valabilă până la data de 31.01.2030",
41477261,"SERVICIU PUBLIC DE
ALIMENTARE CU APA ȘI
CANALIZARE - COMUNA
ȘANDRA",Timis,apa,"Licenţă nr. 5644/05.01.2022 clasa 3
Valabilă până la data de 05.01.2027",
43909757,"SERVICIUL GOSPODĂRIE
COMUNALĂ FOENI",Timis,apa,"Licenţă nr. 7145/10.04.2025 clasa 3
Valabilă până la data de 10.04.2026",
4483684,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE AL COMUNEI
GIERA",Timis,apa,"Licenţă nr. 5404/12.07.2021 clasa 3
Valabilă până la data de 12.07.2026",
45749237,"APA-CANAL DAROVA SRL
Darova",Timis,apa,"Licenţă nr. 6174/10.02.2023 clasa 3
Valabilă până la data de 30.05.2027",
25067154,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ,
CANALIZARE ŞI
SALUBRIZARE Marghita",Bihor,apa,"Licenţă nr. 5086/06.08.2025 clasa 3
Valabilă până la data de 21.08.2030",
27221372,"APĂ CANAL NORD VEST SA
Borş",Bihor,apa,"Licenţă nr. 6088/25.08.2025 clasa 2
Valabilă până la data de 24.11.2027",
27965160,"COMUNALE CRIȘTIOR SRL
Criștioru de Jos",Bihor,apa,"Licenţă nr. 5828/16.05.2022 clasa 3
Valabilă până la data de 08.04.2027",
28095744,"LOCAL PREST SERV
AȘTILEU SRL Peștera, Aștileu",Bihor,apa,"Licenţă nr. 7562/02.02.2026 clasa 3
Valabilă până la data de 22.12.2030",
31151518,"IZBUCUL CĂRPINET SRL
Cărpinet",Bihor,apa,"Licenţă nr. 7485/17.12.2025 clasa 3
Valabilă până la data de 08.12.2030",
32249329,REMAPA SRL Remetea,Bihor,apa,"Licenţă nr. 7491/17.12.2025 clasa 3
Valabilă până la data de 15.11.2028",
34865210,"AQUA VALEA IADULUI SRL
Bulz",Bihor,apa,"Licenţă nr. 6975/14.11.2024 clasa 3
Valabilă până la data de 16.05.2029",
36806945,"APĂ CANAL DERNA SRL
Derna",Bihor,apa,"Licenţă nr. 5856/30.05.2022 clasa 3
Valabilă până la data de 01.02.2027",
37052459,"APĂ-CANAL ȘUNCUIUȘ SRL
Șuncuiuș",Bihor,apa,"Licenţă nr. 5974/30.08.2022 clasa 3
Valabilă până la data de 20.04.2027",
39765521,"APĂ CANAL VADU
CRIȘULUI SRL Vadu Crișului",Bihor,apa,"Licenţă nr. 7050/22.01.2025 clasa 3
Valabilă până la data de 23.07.2029",
39968496,APĂ-CANAL SRL Popești,Bihor,apa,"Licenţă nr. 7466/05.12.2025 clasa 3
Valabilă până la data de 10.03.2030",
44277063,APA CANAL BORS SRL Borș,Bihor,apa,"Licenţă nr. 5830/16.05.2022 clasa 3
Valabilă până la data de 01.02.2027",
44960308,"SERVICIUL PUBLIC DE
GOSPODĂRIRE COMUNALĂ
TULCA",Bihor,apa,"Licenţă cu caracter provizoriu nr.
7178/07.05.2025 clasa 3
Valabilă până la data de 07.05.2026",
45771692,APA CANAL BRATCA SRL,Bihor,apa,"Licenţă nr. 6541/03.11.2023 clasa 3
Valabilă până la data de 22.06.2028",
54760,"COMPANIA DE APĂ
ORADEA SA",Bihor,apa,"Licenţă nr. 7597/27.02.2026 clasa 2
Valabilă până la data de 27.02.2031",
7401263,SOLCETA SA Stei,Bihor,apa,"Licenţă nr. 7238/25.06.2025 clasa 3
Valabilă până la data de 23.06.2030",
8334634,SALUBRI SA Aleşd,Bihor,apa,"Licenţă nr. 6339/26.06.2025 clasa 3
Valabilă până la data de 05.12.2026",
566787,AQUABIS SA Bistrița,Bistrita-Nasaud,apa,"Licenţă nr. 5305/26.03.2021 clasa 2
Valabilă până la data de 18.05.2026",
201217,"COMPANIA DE APĂ SOMEŞ
SA Cluj Napoca",Cluj,apa,"Licenţă nr. 5598/25.11.2021 clasa 1
Valabilă până la data de 09.12.2026",
20330054,"COMPANIA DE APĂ ARIEȘ
SA Turda",Cluj,apa,"Licenţă nr. 6415/01.08.2023 clasa 2
Valabilă până la data de 14.08.2028",
21105808,"SERVICIUL DE UTILITĂȚI
PUBLICE BORȘA",Maramures,apa,"Licenţă nr. 7325/26.08.2025 clasa 3
Valabilă până la data de 26.08.2030",
39483679,"CONSILIUL LOCAL
GÂRDANI - SERVICIUL DE
UTILITATI PUBLICE Gârdani",Maramures,apa,"Licenţă nr. 7467/05.12.2025 clasa 3
Valabilă până la data de 05.12.2030",
36375508,"SERVICIUL PUBLIC APĂ,
CANAL FĂRCAȘA",Maramures,apa,"Licenţă nr. 7085/17.02.2025 clasa 3
Valabilă până la data de 17.02.2030",
36789844,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
DE CANALIZARE MOISEI
Moisei",Maramures,apa,"Licenţă nr. 7508/19.01.2026 clasa 3
Valabilă până la data de 19.01.2031",
39124594,"SERVICIUL PUBLIC LOCAL
SALSIG Sălsig",Maramures,apa,"Licenţă nr. 5522/27.09.2021 clasa 3
Valabilă până la data de 27.09.2026",
9710087,VITAL SA Baia Mare,Maramures,apa,"Licenţă nr. 7468/05.12.2025 clasa 2
Valabilă până la data de 05.12.2030",
16844952,APASERV SATU MARE SA,Satu-Mare,apa,"Licenţă nr. 6188/20.02.2023 clasa 2
Valabilă până la data de 20.02.2028",
27689935,"SERVICIUL COMUNITA
VIILE SATU MARE",Satu-Mare,apa,"Licenţă nr. 5548/18.10.2021 clasa 3
Valabilă până la data de 18.10.2026",
36001589,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ –
VAMA Vama",Satu-Mare,apa,"Licenţă cu caracter provizoriu nr.
7426/14.11.2025 clasa 3
Valabilă până la data de 14.11.2026",
1755482,APA–CTTA SA Alba Iulia,Alba,apa,"Licenţă nr. 6212/02.03.2023 clasa 2
Valabilă până la data de 02.03.2028",
39877258,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE BUCIUM",Alba,apa,"Licenţă nr. 5857/30.05.2022 clasa 3
Valabilă până la data de 30.05.2027",
43411026,"ROUA ARDEALULUI
LUNCA MURESULUI SRL
Lunca Mureșului",Alba,apa,"Licenţă nr. 5498/17.09.2021 clasa 3
Valabilă până la data de 18.03.2026",
1096128,"COMPANIA APA BRAȘOV
S.A.",Brasov,apa,"Licenţă nr. 5277/24.02.2021 clasa 1
Valabilă până la data de 06.04.2026",
12642101,MORANI IMPEX SRL Zărneşti,Brasov,apa,"Licenţă nr. 6831/19.06.2024 clasa 3
Valabilă până la data de 19.06.2029",
17484436,DOROBEIUL SRL Cristian,Brasov,apa,"Licenţă nr. 7296/06.08.2025 clasa 3
Valabilă până la data de 19.12.2027",
20762885,"VICTORIA PARC
INDUSTRIAL SRL Victoria",Brasov,apa,"Licenţă nr. 7397/23.10.2025 clasa 3
Valabilă până la data de 01.09.2030",
28424073,"AROMAPA SERV SRL Ucea
de Jos",Brasov,apa,"Licenţă nr. 6385/11.07.2023 clasa 3
Valabilă până la data de 13.03.2028",
31710504,"SERVICII PUBLICE
SÂMBETEANĂ SRL Sâmbăta
de Sus",Brasov,apa,"Licenţă nr. 7492/17.12.2025 clasa 3
Valabilă până la data de 24.10.2030",
36920906,"TĂRLUNGENI SERVICII
APE SRL Tărlungeni",Brasov,apa,"Licenţă nr. 7345/09.09.2025 clasa 3
Valabilă până la data de 31.10.2028",
40122627,"CONSILIUL LOCAL VISTEA -
SERVICIUL APA CANAL",Brasov,apa,"Licenţă nr. 6939/11.10.2024 clasa 3
Valabilă până la data de 11.10.2029",
40631892,"CONSILIUL LOCAL
DRĂGUȘ - SERVICIUL APĂ
CANAL Drăguș",Brasov,apa,"Licenţă nr. 4974/30.05.2025 clasa 3
Valabilă până la data de 18.06.2030",
43629897,"SERVICIUL DE UTILITATI
PUBLICE RÂȘNOV",Brasov,apa,"Licenţă nr. 7579/24.02.2026 clasa 3
Valabilă până la data de 24.02.2031",
4384575,"SERVICIUL PUBLIC APĂ ȘI
CANALIZARE ȘERCAIA
Șercaia",Brasov,apa,"Licenţă nr. 5557/26.10.2021 clasa 3
Valabilă până la data de 26.10.2026",
48507190,"DISTRIBUȚIE APĂ BRAN
SRL Bran",Brasov,apa,"Licenţă nr. 7441/19.11.2025 clasa 3
Valabilă până la data de 14.09.2028",
8574327,"HYDROKOV SA Sfântu
Ghoerghe (GOSPODĂRIE
COMUNALĂ SFÂNTU
GHEORGHE SA)",Covasna,apa,"Licenţă nr. 5685/29.07.2025 clasa 2
Valabilă până la data de 03.02.2027",
13462311,ROMAQUA PREST SA Borsec,Harghita,apa,"Licenţă nr. 7319/26.08.2025 clasa 3
Valabilă până la data de 26.08.2030",
18246807,"AQUA NOVA HARGITA SRL
Odorheiu Secuiesc",Harghita,apa,"Licenţă nr. 7015/17.12.2024 clasa 3
Valabilă până la data de 19.03.2027",
24864080,REDISZA SA Remetea,Harghita,apa,"Licenţă nr. 6107/13.12.2022 clasa 3
Valabilă până la data de 10.09.2027",
27256087,"AQUA CĂLIMANI SRL
Toplița",Harghita,apa,"Licenţă cu carcater provizoriu nr.
7394/21.10.2025 clasa 3
Valabilă până la data de 21.10.2026",
32300235,"ECKEN KOZMU SRL
Sâncrăieni",Harghita,apa,"Licenţă cu caracter provizoriu nr.
7458/03.12.2025 clasa 3
Ordin nr. 689/03.12.2025
Valabilă până la data de 03.12.2026",
